"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P17","Nunca la votaría",0.314,0.669,0.941,0.463,0.548
"P17","No sabe",0.032,0.017,0.024,0.092,0.058
"P18","Lo votaría",0.14,0.307,0.082,0.022,0.06
"P18","Puede que lo vote",0.176,0.317,0.294,0.132,0.213
"P18","Nunca lo votaría",0.645,0.325,0.567,0.759,0.582
"P18","No sabe",0.039,0.051,0.057,0.087,0.145
"P19","Lo votaría",0.052,0.152,0.083,0.015,0.071
"P19","Puede que lo vote",0.202,0.336,0.301,0.152,0.19
"P19","Nunca lo votaría",0.638,0.409,0.54,0.681,0.57
"P19","No sabe",0.108,0.103,0.076,0.152,0.169
"P20","La votaría",0.128,0.362,0.329,0.016,0.218
"P20","Puede que la vote",0.104,0.21,0.34,0.045,0.154
"P20","Nunca la votaría",0.749,0.386,0.283,0.883,0.546
"P20","No sabe",0.019,0.042,0.048,0.056,0.082
"P21","Lo votaría",0.043,0.062,0.679,0.1,0.031
"P21","Puede que lo vote",0.105,0.174,0.231,0.087,0.13
"P21","Nunca lo votaría",0.826,0.694,0.054,0.704,0.701
"P21","No sabe",0.026,0.07,0.036,0.109,0.138
"P22","La votaría",0.063,0.208,0.122,0.013,0.08
"P22","Puede que la vote",0.142,0.242,0.269,0.066,0.174
"P22","Nunca la votaría",0.742,0.469,0.525,0.799,0.611
"P22","No sabe",0.053,0.081,0.084,0.122,0.135
"P23","Lo votaría",0.167,0.084,0.023,0.037,0.081
"P23","Puede que lo vote",0.394,0.198,0.046,0.119,0.187
"P23","Nunca lo votaría",0.377,0.681,0.895,0.786,0.647
"P23","No sabe",0.062,0.037,0.036,0.058,0.085
"P24","Lo votaría",0.046,0.074,0.022,0,0.018
"P24","Puede que lo vote",0.144,0.258,0.107,0.12,0.094
"P24","Nunca lo votaría",0.692,0.559,0.774,0.688,0.706
"P24","No sabe",0.118,0.109,0.097,0.192,0.182
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.138,0.36,0.131,0.02,0.221
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.096,0.245,0.042,0.053,0.032
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.084,0.034,0.005,0.04,0.103
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.61,0.28,0.012,0.395,0.289
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.013,0.015,0.756,0.003,0.016
"P25","Otros candidatos",0.059,0.066,0.054,0.489,0.339
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.674,0.316,0.007,0.378,0.356
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.203,0.53,0.15,0.016,0.232
"P29","Javier Milei – José Luis Espert por los liberales",0.028,0.038,0.794,0.015,0.041
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.018,0.007,0.009,0.466,0.006
"P29","Otro candidato",0.077,0.109,0.04,0.125,0.365
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.251,0.591,0.048,0.113,0.085
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.51,0.235,0.02,0.1,0.204
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.026,0.046,0.885,0.076,0.052
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.028,0.006,0.003,0.656,0.02
"P31","Otro candidato",0.185,0.122,0.044,0.055,0.639
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.685,0.336,0.01,0.06,0.093
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.201,0.564,0.221,0.036,0.257
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.012,0.015,0.751,0.038,0.015
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.006,0.006,0.008,0.792,0.015
"P33","Otro candidato",0.096,0.079,0.01,0.074,0.62
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.641,0.271,0.042,0.121,0.212
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.283,0.636,0.025,0.076,0.184
"P37","Javier Milei – José Luis Espert por los liberales",0.013,0.024,0.902,0.041,0.014
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.005,0.002,0.01,0.73,0.003
"P37","Otro candidato",0.058,0.067,0.021,0.032,0.587
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.669,0.319,0.029,0.546,0.326
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.227,0.549,0.51,0.088,0.309
"P38","No sabe",0.104,0.132,0.461,0.366,0.365
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.591,0.26,0.022,0.355,0.213
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.266,0.624,0.429,0.073,0.183
"P39","No sabe",0.143,0.116,0.549,0.572,0.604
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.695,0.305,0.034,0.365,0.131
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.211,0.564,0.589,0.12,0.338
"P40","No sabe",0.094,0.131,0.377,0.515,0.531
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.676,0.321,0.03,0.606,0.333
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.25,0.608,0.482,0.074,0.195
"P41","No sabe",0.074,0.071,0.488,0.32,0.472
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.69,0.334,0.037,0.528,0.148
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.232,0.595,0.445,0.035,0.177
"P42","No sabe",0.078,0.071,0.518,0.437,0.675
"P43","Muy buena",0.129,0.055,0.014,0.018,0.043
"P43","Buena",0.28,0.149,0.033,0.149,0.119
"P43","Ni buena ni mala",0.23,0.138,0.058,0.386,0.217
"P43","Mala",0.132,0.141,0.083,0.212,0.133
"P43","Muy mala",0.211,0.514,0.8,0.191,0.463
"P43","No sabe",0.018,0.003,0.012,0.044,0.025
"P44","Muy de acuerdo",0.26,0.198,0.142,0.045,0.126
"P44","De acuerdo",0.297,0.174,0.105,0.174,0.126
"P44","Ni de acuerdo ni en desacuerdo",0.249,0.337,0.228,0.474,0.379
"P44","En desacuerdo",0.092,0.111,0.145,0.127,0.143
"P44","Muy en desacuerdo",0.066,0.139,0.295,0.118,0.129
"P44","No sabe",0.036,0.041,0.085,0.062,0.097
"P45","Muy de acuerdo",0.312,0.163,0.045,0.034,0.09
"P45","De acuerdo",0.287,0.197,0.051,0.205,0.117
"P45","Ni de acuerdo ni en desacuerdo",0.217,0.249,0.251,0.437,0.354
"P45","En desacuerdo",0.08,0.139,0.183,0.164,0.116
"P45","Muy en desacuerdo",0.089,0.231,0.432,0.147,0.271
"P45","No sabe",0.015,0.021,0.038,0.013,0.052
"P46","Si",0.517,0.281,0.07,0.238,0.195
"P46","No",0.223,0.519,0.785,0.313,0.502
"P46","No sabe",0.26,0.2,0.145,0.449,0.303
"P47","Muy buena",0.171,0.064,0.027,0.026,0.098
"P47","Buena",0.252,0.171,0.092,0.224,0.136
"P47","Ni buena ni mala",0.234,0.148,0.04,0.344,0.193
"P47","Mala",0.151,0.134,0.148,0.159,0.128
"P47","Muy mala",0.187,0.481,0.69,0.247,0.427
"P47","No sabe",0.005,0.002,0.003,0,0.018
"P48","Muy buena",0.475,0.197,0.011,0.278,0.263
"P48","Buena",0.126,0.087,0.01,0.219,0.062
"P48","Ni buena ni mala",0.074,0.057,0.031,0.137,0.078
"P48","Mala",0.08,0.059,0.067,0.165,0.089
"P48","Muy mala",0.242,0.598,0.871,0.187,0.484
"P48","No sabe",0.003,0.002,0.01,0.014,0.024
"P49","Muy buena",0.13,0.235,0.141,0.059,0.175
"P49","Buena",0.086,0.191,0.238,0.006,0.116
"P49","Ni buena ni mala",0.084,0.136,0.196,0.095,0.14
"P49","Mala",0.187,0.116,0.198,0.06,0.175
"P49","Muy mala",0.501,0.32,0.218,0.773,0.372
"P49","No sabe",0.012,0.002,0.009,0.007,0.022
"P50","Muy buena",0.099,0.252,0.096,0.004,0.078
"P50","Buena",0.137,0.312,0.219,0.016,0.107
"P50","Ni buena ni mala",0.161,0.152,0.294,0.071,0.252
"P50","Mala",0.196,0.1,0.16,0.277,0.165
"P50","Muy mala",0.397,0.183,0.218,0.524,0.333
"P50","No sabe",0.01,0.001,0.013,0.108,0.065
"P51","Muy buena",0.181,0.071,0.029,0.018,0.032
"P51","Buena",0.313,0.184,0.043,0.024,0.1
"P51","Ni buena ni mala",0.241,0.2,0.127,0.537,0.246
"P51","Mala",0.089,0.161,0.186,0.188,0.159
"P51","Muy mala",0.172,0.378,0.606,0.229,0.423
"P51","No sabe",0.004,0.006,0.009,0.004,0.04
"P52","Muy buena",0.134,0.341,0.332,0.043,0.208
"P52","Buena",0.094,0.207,0.279,0.047,0.138
"P52","Ni buena ni mala",0.089,0.104,0.209,0.145,0.139
"P52","Mala",0.15,0.11,0.071,0.072,0.096
"P52","Muy mala",0.531,0.232,0.098,0.621,0.361
"P52","No sabe",0.002,0.006,0.011,0.072,0.058
"P53","Muy buena",0.024,0.05,0.558,0.029,0.021
"P53","Buena",0.067,0.142,0.276,0.004,0.099
"P53","Ni buena ni mala",0.184,0.292,0.132,0.123,0.29
"P53","Mala",0.168,0.192,0.021,0.171,0.159
"P53","Muy mala",0.551,0.308,0.008,0.612,0.371
"P53","No sabe",0.006,0.016,0.005,0.061,0.06
"P54","Muy buena",0.084,0.27,0.166,0.005,0.091
"P54","Buena",0.104,0.238,0.23,0.026,0.147
"P54","Ni buena ni mala",0.091,0.137,0.239,0.243,0.2
"P54","Mala",0.165,0.093,0.146,0.173,0.167
"P54","Muy mala",0.551,0.251,0.212,0.553,0.359
"P54","No sabe",0.005,0.011,0.007,0,0.036
"P55","Muy buena",0.108,0.079,0.024,0,0.05
"P55","Buena",0.317,0.164,0.035,0.12,0.118
"P55","Ni buena ni mala",0.265,0.147,0.097,0.348,0.201
"P55","Mala",0.12,0.172,0.166,0.144,0.16
"P55","Muy mala",0.187,0.437,0.673,0.333,0.431
"P55","No sabe",0.003,0.001,0.005,0.055,0.04
"P56","Muy buena",0.061,0.116,0.102,0.012,0.084
"P56","Buena",0.153,0.254,0.186,0.054,0.104
"P56","Ni buena ni mala",0.37,0.334,0.314,0.312,0.322
"P56","Mala",0.177,0.127,0.148,0.215,0.174
"P56","Muy mala",0.186,0.122,0.212,0.34,0.226
"P56","No sabe",0.053,0.047,0.038,0.067,0.09
"P57","Muy buena",0.038,0.079,0.037,0,0.02
"P57","Buena",0.106,0.229,0.084,0.047,0.077
"P57","Ni buena ni mala",0.275,0.339,0.413,0.186,0.292
"P57","Mala",0.153,0.133,0.142,0.147,0.176
"P57","Muy mala",0.364,0.168,0.242,0.463,0.346
"P57","No sabe",0.064,0.052,0.082,0.157,0.089
