"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.47,0.459,0.024,0.036,0.104
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.298,0.345,0.235,0.035,0.4
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.039,0.02,0.726,0.102,0.007
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.015,0.022,0.007,0.755,0.005
"P33","Otro candidato",0.178,0.154,0.008,0.072,0.484
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.589,0.278,0.017,0.042,0.103
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.225,0.563,0.028,0.016,0.108
"P35","Javier Milei – José Luis Espert por los liberales",0.032,0.02,0.935,0.071,0.03
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.015,0.01,0.007,0.851,0.008
"P35","Otro candidato",0.139,0.129,0.013,0.02,0.751
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.632,0.488,0.01,0.438,0.062
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.269,0.426,0.509,0.097,0.425
"P38","No sabe",0.099,0.086,0.481,0.465,0.513
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.46,0.427,0.014,0.359,0.096
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.354,0.431,0.434,0.111,0.262
"P39","No sabe",0.186,0.142,0.552,0.53,0.642
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.484,0.471,0.038,0.346,0.113
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.307,0.384,0.584,0.139,0.476
"P40","No sabe",0.209,0.145,0.378,0.515,0.411
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.578,0.557,0.014,0.418,0.079
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.343,0.403,0.501,0.146,0.277
"P41","No sabe",0.079,0.04,0.485,0.436,0.644
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.505,0.483,0.049,0.448,0.121
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.35,0.399,0.44,0.067,0.235
"P42","No sabe",0.145,0.118,0.511,0.485,0.644
"P43","Muy buena",0.109,0.082,0.007,0.017,0.026
"P43","Buena",0.224,0.214,0.043,0.146,0.058
"P43","Ni buena ni mala",0.202,0.192,0.063,0.338,0.181
"P43","Mala",0.136,0.133,0.088,0.246,0.123
"P43","Muy mala",0.318,0.365,0.785,0.253,0.584
"P43","No sabe",0.011,0.014,0.014,0,0.028
"P44","Muy de acuerdo",0.219,0.23,0.152,0.05,0.098
"P44","De acuerdo",0.23,0.232,0.118,0.1,0.111
"P44","Ni de acuerdo ni en desacuerdo",0.313,0.283,0.234,0.478,0.359
"P44","En desacuerdo",0.117,0.093,0.133,0.147,0.155
"P44","Muy en desacuerdo",0.087,0.114,0.289,0.139,0.159
"P44","No sabe",0.034,0.048,0.074,0.086,0.118
"P45","Muy de acuerdo",0.236,0.231,0.035,0.033,0.08
"P45","De acuerdo",0.252,0.221,0.068,0.1,0.089
"P45","Ni de acuerdo ni en desacuerdo",0.28,0.248,0.243,0.427,0.277
"P45","En desacuerdo",0.095,0.116,0.191,0.184,0.121
"P45","Muy en desacuerdo",0.119,0.173,0.433,0.175,0.361
"P45","No sabe",0.018,0.011,0.03,0.081,0.072
"P46","Si",0.416,0.389,0.065,0.195,0.137
"P46","No",0.335,0.37,0.779,0.393,0.607
"P46","No sabe",0.249,0.241,0.156,0.412,0.256
"P47","Muy buena",0.143,0.116,0.02,0.022,0.053
"P47","Buena",0.212,0.206,0.084,0.22,0.136
"P47","Ni buena ni mala",0.226,0.187,0.042,0.235,0.145
"P47","Mala",0.134,0.153,0.145,0.243,0.117
"P47","Muy mala",0.283,0.333,0.706,0.28,0.528
"P47","No sabe",0.002,0.005,0.003,0,0.021
"P48","Muy buena",0.394,0.408,0.001,0.135,0.024
"P48","Buena",0.112,0.099,0.014,0.207,0.046
"P48","Ni buena ni mala",0.083,0.045,0.028,0.11,0.094
"P48","Mala",0.069,0.056,0.061,0.287,0.112
"P48","Muy mala",0.336,0.386,0.892,0.246,0.699
"P48","No sabe",0.006,0.006,0.004,0.015,0.025
"P49","Muy buena",0.175,0.185,0.138,0.037,0.177
"P49","Buena",0.109,0.138,0.249,0.017,0.149
"P49","Ni buena ni mala",0.091,0.113,0.208,0.113,0.164
"P49","Mala",0.146,0.176,0.186,0.169,0.154
"P49","Muy mala",0.468,0.383,0.215,0.657,0.325
"P49","No sabe",0.011,0.005,0.004,0.007,0.031
"P50","Muy buena",0.161,0.169,0.077,0.022,0.095
"P50","Buena",0.178,0.211,0.219,0.028,0.175
"P50","Ni buena ni mala",0.134,0.145,0.321,0.143,0.306
"P50","Mala",0.16,0.153,0.155,0.326,0.147
"P50","Muy mala",0.35,0.319,0.219,0.363,0.208
"P50","No sabe",0.017,0.003,0.009,0.118,0.069
"P51","Muy buena",0.134,0.113,0.014,0.02,0.037
"P51","Buena",0.218,0.268,0.051,0.034,0.065
"P51","Ni buena ni mala",0.274,0.211,0.123,0.451,0.182
"P51","Mala",0.141,0.125,0.176,0.234,0.139
"P51","Muy mala",0.224,0.278,0.625,0.257,0.537
"P51","No sabe",0.009,0.005,0.011,0.004,0.04
"P52","Muy buena",0.213,0.205,0.332,0.037,0.3
"P52","Buena",0.107,0.171,0.283,0.074,0.173
"P52","Ni buena ni mala",0.098,0.098,0.216,0.105,0.149
"P52","Mala",0.132,0.133,0.054,0.185,0.078
"P52","Muy mala",0.441,0.39,0.104,0.52,0.235
"P52","No sabe",0.009,0.003,0.011,0.079,0.065
"P53","Muy buena",0.045,0.023,0.556,0.105,0.052
"P53","Buena",0.088,0.109,0.295,0.006,0.097
"P53","Ni buena ni mala",0.226,0.243,0.12,0.101,0.322
"P53","Mala",0.148,0.191,0.016,0.193,0.189
"P53","Muy mala",0.478,0.422,0.008,0.528,0.279
"P53","No sabe",0.015,0.012,0.005,0.067,0.061
"P54","Muy buena",0.153,0.169,0.154,0.017,0.129
"P54","Buena",0.13,0.172,0.237,0.035,0.201
"P54","Ni buena ni mala",0.111,0.101,0.247,0.24,0.249
"P54","Mala",0.128,0.145,0.136,0.278,0.154
"P54","Muy mala",0.472,0.406,0.216,0.43,0.223
"P54","No sabe",0.006,0.007,0.01,0,0.044
"P55","Muy buena",0.097,0.098,0.01,0.006,0.038
"P55","Buena",0.239,0.25,0.04,0.044,0.071
"P55","Ni buena ni mala",0.256,0.192,0.095,0.279,0.145
"P55","Mala",0.134,0.153,0.166,0.232,0.159
"P55","Muy mala",0.27,0.306,0.684,0.379,0.537
"P55","No sabe",0.004,0.001,0.005,0.06,0.05
"P56","Muy buena",0.076,0.093,0.095,0.024,0.104
"P56","Buena",0.172,0.184,0.206,0.065,0.139
"P56","Ni buena ni mala",0.36,0.352,0.312,0.249,0.309
"P56","Mala",0.152,0.167,0.139,0.288,0.154
"P56","Muy mala",0.179,0.155,0.214,0.3,0.208
"P56","No sabe",0.061,0.049,0.034,0.074,0.086
"P57","Muy buena",0.05,0.057,0.021,0,0.047
"P57","Buena",0.136,0.154,0.093,0.052,0.113
"P57","Ni buena ni mala",0.295,0.304,0.404,0.255,0.319
"P57","Mala",0.131,0.168,0.146,0.195,0.15
"P57","Muy mala",0.332,0.255,0.253,0.391,0.265
"P57","No sabe",0.056,0.062,0.083,0.107,0.106
