"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Otros candidatos"
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.004,0.019,0.028,0.048,0.001,0.141
"P35","Otro candidato",0.218,0.061,0.373,0.184,0.017,0.516
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.312,0.415,0.415,0.502,0.016,0.088
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.306,0.463,0.332,0.44,0.017,0.093
"P37","Javier Milei – José Luis Espert por los liberales",0.132,0.064,0.03,0.004,0.933,0.089
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.005,0.005,0.028,0.022,0.014,0.148
"P37","Otro candidato",0.245,0.053,0.195,0.032,0.02,0.582
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.051,0.084,0.718,0.892,0.012,0.114
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.897,0.588,0.072,0.061,0.45,0.218
"P38","No sabe",0.052,0.328,0.21,0.047,0.538,0.668
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.015,0.04,0.803,0.716,0.019,0.085
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.789,0.828,0.079,0.027,0.369,0.286
"P39","No sabe",0.196,0.132,0.118,0.257,0.612,0.629
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.012,0.094,0.604,0.786,0.032,0.151
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.915,0.643,0.024,0.016,0.541,0.344
"P40","No sabe",0.073,0.263,0.372,0.198,0.427,0.505
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.014,0.025,0.693,0.95,0.014,0.135
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.771,0.872,0.018,0.01,0.435,0.318
"P41","No sabe",0.215,0.103,0.289,0.04,0.551,0.547
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.007,0.063,0.666,0.828,0.044,0.176
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.75,0.834,0.063,0.007,0.392,0.257
"P42","No sabe",0.243,0.103,0.271,0.165,0.564,0.567
"P43","Muy buena",0.01,0.016,0.302,0.13,0.006,0.017
"P43","Buena",0.046,0.059,0.252,0.345,0.036,0.06
"P43","Ni buena ni mala",0.045,0.059,0.271,0.322,0.061,0.199
"P43","Mala",0.077,0.178,0.102,0.143,0.08,0.199
"P43","Muy mala",0.816,0.682,0.041,0.043,0.8,0.501
"P43","No sabe",0.006,0.006,0.032,0.017,0.017,0.024
"P44","Muy de acuerdo",0.076,0.099,0.232,0.328,0.143,0.116
"P44","De acuerdo",0.102,0.122,0.273,0.301,0.115,0.147
"P44","Ni de acuerdo ni en desacuerdo",0.334,0.4,0.474,0.247,0.206,0.355
"P44","En desacuerdo",0.175,0.179,0.002,0.054,0.138,0.163
"P44","Muy en desacuerdo",0.27,0.138,0.005,0.022,0.299,0.132
"P44","No sabe",0.043,0.062,0.014,0.048,0.099,0.087
"P45","Muy de acuerdo",0.025,0.073,0.403,0.342,0.039,0.095
"P45","De acuerdo",0.039,0.106,0.175,0.372,0.059,0.122
"P45","Ni de acuerdo ni en desacuerdo",0.26,0.382,0.284,0.225,0.237,0.32
"P45","En desacuerdo",0.197,0.213,0.046,0.033,0.168,0.157
"P45","Muy en desacuerdo",0.458,0.189,0.027,0.02,0.454,0.251
"P45","No sabe",0.021,0.037,0.065,0.008,0.043,0.055
"P46","Si",0.038,0.102,0.567,0.633,0.054,0.187
"P46","No",0.804,0.577,0.153,0.108,0.79,0.502
"P46","No sabe",0.158,0.321,0.28,0.259,0.156,0.311
"P47","Muy buena",0.012,0.007,0.471,0.178,0.017,0.043
"P47","Buena",0.067,0.129,0.25,0.313,0.082,0.118
"P47","Ni buena ni mala",0.065,0.125,0.164,0.294,0.038,0.208
"P47","Mala",0.084,0.199,0.082,0.16,0.149,0.159
"P47","Muy mala",0.767,0.538,0.033,0.05,0.711,0.449
"P47","No sabe",0.005,0.002,0,0.005,0.003,0.023
"P48","Muy buena",0.012,0.004,0.438,0.685,0.003,0.035
"P48","Buena",0.002,0.034,0.109,0.193,0.01,0.051
"P48","Ni buena ni mala",0.025,0.03,0.236,0.075,0.018,0.125
"P48","Mala",0.044,0.123,0.141,0.035,0.08,0.167
"P48","Muy mala",0.909,0.787,0.063,0.012,0.885,0.596
"P48","No sabe",0.008,0.022,0.013,0,0.004,0.026
"P49","Muy buena",0.493,0.078,0.083,0.088,0.064,0.05
"P49","Buena",0.311,0.216,0,0.015,0.231,0.111
"P49","Ni buena ni mala",0.093,0.29,0.137,0.043,0.219,0.187
"P49","Mala",0.01,0.155,0.392,0.19,0.237,0.192
"P49","Muy mala",0.086,0.253,0.366,0.656,0.246,0.426
"P49","No sabe",0.007,0.008,0.022,0.008,0.003,0.034
"P50","Muy buena",0.288,0.382,0.037,0.015,0.061,0.081
"P50","Buena",0.376,0.403,0.09,0.038,0.197,0.117
"P50","Ni buena ni mala",0.239,0.114,0.244,0.117,0.301,0.293
"P50","Mala",0.045,0.048,0.343,0.229,0.182,0.17
"P50","Muy mala",0.051,0.034,0.251,0.58,0.25,0.263
"P50","No sabe",0.001,0.019,0.035,0.021,0.009,0.076
"P51","Muy buena",0.032,0.072,0.239,0.152,0.018,0.048
"P51","Buena",0.033,0.109,0.294,0.371,0.033,0.082
"P51","Ni buena ni mala",0.099,0.161,0.298,0.33,0.123,0.262
"P51","Mala",0.136,0.285,0.092,0.078,0.206,0.156
"P51","Muy mala",0.69,0.361,0.077,0.056,0.615,0.419
"P51","No sabe",0.01,0.012,0,0.013,0.005,0.033
"P52","Muy buena",0.622,0.256,0.048,0.024,0.265,0.184
"P52","Buena",0.218,0.305,0.063,0.053,0.301,0.145
"P52","Ni buena ni mala",0.062,0.233,0.218,0.059,0.228,0.183
"P52","Mala",0.011,0.116,0.314,0.157,0.085,0.106
"P52","Muy mala",0.087,0.078,0.322,0.695,0.109,0.309
"P52","No sabe",0,0.012,0.035,0.012,0.012,0.073
"P53","Muy buena",0.093,0.107,0.017,0.006,0.612,0.041
"P53","Buena",0.216,0.181,0.075,0.028,0.239,0.126
"P53","Ni buena ni mala",0.396,0.361,0.222,0.098,0.108,0.261
"P53","Mala",0.159,0.172,0.355,0.145,0.023,0.153
"P53","Muy mala",0.131,0.157,0.28,0.704,0.011,0.359
"P53","No sabe",0.005,0.022,0.051,0.019,0.007,0.06
"P54","Muy buena",0.431,0.21,0.009,0.009,0.115,0.071
"P54","Buena",0.354,0.313,0.023,0.013,0.197,0.176
"P54","Ni buena ni mala",0.133,0.252,0.239,0.056,0.269,0.224
"P54","Mala",0.037,0.09,0.364,0.171,0.164,0.187
"P54","Muy mala",0.044,0.12,0.359,0.738,0.247,0.302
"P54","No sabe",0.001,0.015,0.006,0.013,0.008,0.04
"P55","Muy buena",0.038,0.017,0.241,0.122,0.019,0.021
"P55","Buena",0.025,0.086,0.213,0.401,0.035,0.073
"P55","Ni buena ni mala",0.068,0.137,0.359,0.323,0.077,0.181
"P55","Mala",0.156,0.291,0.114,0.079,0.172,0.204
"P55","Muy mala",0.708,0.467,0.069,0.064,0.692,0.474
"P55","No sabe",0.005,0.002,0.004,0.011,0.005,0.047
"P56","Muy buena",0.122,0.168,0.006,0.024,0.1,0.136
"P56","Buena",0.239,0.346,0.067,0.079,0.204,0.154
"P56","Ni buena ni mala",0.33,0.278,0.508,0.372,0.305,0.291
"P56","Mala",0.134,0.056,0.18,0.228,0.134,0.134
"P56","Muy mala",0.16,0.099,0.14,0.224,0.214,0.197
"P56","No sabe",0.015,0.053,0.099,0.073,0.043,0.088
"P57","Muy buena",0.08,0.139,0.006,0.004,0.023,0.044
"P57","Buena",0.235,0.295,0.043,0.026,0.085,0.134
"P57","Ni buena ni mala",0.376,0.418,0.437,0.216,0.376,0.313
"P57","Mala",0.129,0.047,0.216,0.186,0.153,0.151
"P57","Muy mala",0.158,0.041,0.2,0.488,0.27,0.241
"P57","No sabe",0.022,0.06,0.098,0.08,0.093,0.117
