"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.03,0.811,0.393,0.183,0.38
"P39","No sabe",0.237,0.164,0.578,0.516,0.541
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.765,0.023,0.067,0.375,0.138
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.019,0.894,0.534,0.146,0.295
"P40","No sabe",0.216,0.083,0.399,0.479,0.567
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.928,0.025,0.029,0.417,0.077
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.012,0.795,0.459,0.175,0.406
"P41","No sabe",0.06,0.18,0.512,0.408,0.517
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.809,0.017,0.068,0.43,0.15
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.014,0.781,0.419,0.096,0.338
"P42","No sabe",0.177,0.202,0.513,0.474,0.512
"P43","Muy buena",0.152,0.015,0.008,0.008,0.023
"P43","Buena",0.336,0.052,0.048,0.078,0.057
"P43","Ni buena ni mala",0.313,0.053,0.063,0.294,0.172
"P43","Mala",0.138,0.075,0.096,0.396,0.204
"P43","Muy mala",0.042,0.797,0.77,0.219,0.523
"P43","No sabe",0.019,0.008,0.015,0.005,0.021
"P44","Muy de acuerdo",0.316,0.066,0.149,0.097,0.156
"P44","De acuerdo",0.302,0.113,0.121,0.083,0.136
"P44","Ni de acuerdo ni en desacuerdo",0.279,0.357,0.224,0.39,0.327
"P44","En desacuerdo",0.046,0.168,0.127,0.256,0.184
"P44","Muy en desacuerdo",0.015,0.25,0.284,0.149,0.096
"P44","No sabe",0.042,0.046,0.095,0.025,0.101
"P45","Muy de acuerdo",0.35,0.026,0.052,0.099,0.127
"P45","De acuerdo",0.364,0.049,0.065,0.109,0.11
"P45","Ni de acuerdo ni en desacuerdo",0.226,0.28,0.247,0.359,0.363
"P45","En desacuerdo",0.034,0.214,0.16,0.175,0.139
"P45","Muy en desacuerdo",0.015,0.405,0.431,0.25,0.199
"P45","No sabe",0.011,0.026,0.045,0.008,0.062
"P46","Si",0.628,0.047,0.069,0.274,0.199
"P46","No",0.099,0.772,0.76,0.336,0.496
"P46","No sabe",0.273,0.181,0.171,0.39,0.305
"P47","Muy buena",0.218,0.013,0.016,0.019,0.053
"P47","Buena",0.305,0.093,0.085,0.14,0.112
"P47","Ni buena ni mala",0.284,0.074,0.059,0.241,0.175
"P47","Mala",0.149,0.09,0.159,0.206,0.2
"P47","Muy mala",0.04,0.725,0.677,0.394,0.439
"P47","No sabe",0.004,0.005,0.004,0,0.021
"P48","Muy buena",0.67,0.017,0.005,0.097,0.023
"P48","Buena",0.184,0.004,0.021,0.155,0.037
"P48","Ni buena ni mala",0.091,0.027,0.028,0.16,0.102
"P48","Mala",0.04,0.046,0.089,0.294,0.181
"P48","Muy mala",0.013,0.899,0.853,0.278,0.616
"P48","No sabe",0.002,0.007,0.004,0.016,0.041
"P49","Muy buena",0.088,0.404,0.069,0,0.036
"P49","Buena",0.012,0.302,0.23,0.025,0.098
"P49","Ni buena ni mala",0.05,0.158,0.214,0.147,0.186
"P49","Mala",0.218,0.025,0.238,0.089,0.23
"P49","Muy mala",0.623,0.102,0.246,0.739,0.416
"P49","No sabe",0.009,0.009,0.003,0,0.034
"P50","Muy buena",0.015,0.32,0.082,0.007,0.135
"P50","Buena",0.039,0.37,0.223,0.055,0.194
"P50","Ni buena ni mala",0.136,0.222,0.278,0.2,0.238
"P50","Mala",0.24,0.04,0.179,0.238,0.155
"P50","Muy mala",0.545,0.046,0.229,0.419,0.211
"P50","No sabe",0.025,0.002,0.009,0.081,0.067
"P51","Muy buena",0.162,0.045,0.023,0.013,0.068
"P51","Buena",0.367,0.049,0.044,0.116,0.092
"P51","Ni buena ni mala",0.323,0.107,0.147,0.414,0.22
"P51","Mala",0.086,0.149,0.199,0.148,0.225
"P51","Muy mala",0.05,0.641,0.581,0.304,0.356
"P51","No sabe",0.012,0.009,0.006,0.005,0.039
"P52","Muy buena",0.022,0.565,0.273,0.023,0.132
"P52","Buena",0.056,0.242,0.299,0.027,0.165
"P52","Ni buena ni mala",0.078,0.094,0.226,0.094,0.221
"P52","Mala",0.179,0.02,0.086,0.114,0.149
"P52","Muy mala",0.65,0.074,0.104,0.657,0.279
"P52","No sabe",0.015,0.005,0.012,0.085,0.054
"P53","Muy buena",0.005,0.087,0.569,0,0.046
"P53","Buena",0.021,0.209,0.264,0.012,0.123
"P53","Ni buena ni mala",0.118,0.39,0.127,0.086,0.292
"P53","Mala",0.171,0.17,0.018,0.216,0.17
"P53","Muy mala",0.662,0.137,0.016,0.611,0.31
"P53","No sabe",0.023,0.007,0.006,0.075,0.059
"P54","Muy buena",0.01,0.389,0.125,0.017,0.063
"P54","Buena",0.006,0.357,0.217,0.037,0.178
"P54","Ni buena ni mala",0.08,0.155,0.261,0.254,0.231
"P54","Mala",0.189,0.041,0.156,0.26,0.203
"P54","Muy mala",0.703,0.053,0.232,0.432,0.283
"P54","No sabe",0.012,0.005,0.009,0,0.042
"P55","Muy buena",0.139,0.035,0.019,0.015,0.024
"P55","Buena",0.382,0.044,0.037,0.076,0.087
"P55","Ni buena ni mala",0.317,0.084,0.101,0.334,0.164
"P55","Mala",0.079,0.183,0.176,0.249,0.235
"P55","Muy mala",0.071,0.647,0.661,0.318,0.455
"P55","No sabe",0.012,0.007,0.006,0.008,0.035
"P56","Muy buena",0.025,0.118,0.118,0.031,0.16
"P56","Buena",0.079,0.279,0.206,0.063,0.171
"P56","Ni buena ni mala",0.381,0.332,0.311,0.255,0.28
"P56","Mala",0.216,0.113,0.123,0.323,0.123
"P56","Muy mala",0.219,0.142,0.203,0.227,0.167
"P56","No sabe",0.08,0.016,0.039,0.101,0.099
"P57","Muy buena",0.006,0.083,0.044,0.013,0.066
"P57","Buena",0.026,0.264,0.096,0.022,0.157
"P57","Ni buena ni mala",0.235,0.38,0.381,0.318,0.353
"P57","Mala",0.184,0.119,0.15,0.122,0.129
"P57","Muy mala",0.472,0.126,0.238,0.331,0.186
"P57","No sabe",0.077,0.028,0.091,0.194,0.109
