"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P15","Puede que lo vote",0.1,0.352,0.096,0.289,0.209
"P15","Nunca lo votaría",0.745,0.212,0.795,0.487,0.557
"P15","No sabe",0.059,0.108,0.058,0.112,0.123
"P16","Lo votaría",0.037,0.374,0.021,0.042,0.039
"P16","Puede que lo vote",0.073,0.393,0.037,0.273,0.151
"P16","Nunca lo votaría",0.857,0.172,0.896,0.597,0.679
"P16","No sabe",0.033,0.061,0.046,0.088,0.131
"P17","La votaría",0.086,0.734,0.05,0.335,0.286
"P17","Puede que la vote",0.04,0.113,0.026,0.181,0.078
"P17","Nunca la votaría",0.856,0.128,0.895,0.452,0.559
"P17","No sabe",0.018,0.025,0.029,0.032,0.077
"P18","Lo votaría",0.395,0.069,0.072,0.054,0.06
"P18","Puede que lo vote",0.405,0.079,0.277,0.109,0.224
"P18","Nunca lo votaría",0.16,0.794,0.589,0.775,0.582
"P18","No sabe",0.04,0.058,0.062,0.062,0.134
"P19","Lo votaría",0.188,0.027,0.064,0.053,0.073
"P19","Puede que lo vote",0.401,0.118,0.291,0.168,0.212
"P19","Nunca lo votaría",0.316,0.725,0.556,0.669,0.561
"P19","No sabe",0.095,0.13,0.089,0.11,0.154
"P20","La votaría",0.453,0.035,0.298,0.078,0.22
"P20","Puede que la vote",0.264,0.05,0.316,0.057,0.164
"P20","Nunca la votaría",0.237,0.881,0.338,0.796,0.554
"P20","No sabe",0.046,0.034,0.048,0.069,0.062
"P21","Lo votaría",0.077,0.036,0.654,0.061,0.03
"P21","Puede que lo vote",0.212,0.062,0.225,0.054,0.154
"P21","Nunca lo votaría",0.639,0.856,0.072,0.792,0.719
"P21","No sabe",0.072,0.046,0.049,0.093,0.097
"P22","La votaría",0.249,0.022,0.113,0.033,0.085
"P22","Puede que la vote",0.34,0.048,0.265,0.1,0.177
"P22","Nunca la votaría",0.321,0.851,0.546,0.792,0.638
"P22","No sabe",0.09,0.079,0.076,0.075,0.1
"P23","Lo votaría",0.042,0.244,0.026,0.02,0.046
"P23","Puede que lo vote",0.082,0.464,0.072,0.223,0.219
"P23","Nunca lo votaría",0.838,0.222,0.869,0.678,0.655
"P23","No sabe",0.038,0.07,0.033,0.079,0.08
"P24","Lo votaría",0.087,0.025,0.021,0.019,0.024
"P24","Puede que lo vote",0.307,0.09,0.113,0.11,0.103
"P24","Nunca lo votaría",0.502,0.76,0.761,0.675,0.697
"P24","No sabe",0.104,0.125,0.105,0.196,0.176
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.452,0.057,0.118,0.044,0.214
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.323,0.029,0.027,0.042,0.043
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.023,0.176,0.003,0.012,0.021
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.117,0.71,0.068,0.411,0.341
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.019,0.004,0.721,0.004,0.025
"P25","Otros candidatos",0.066,0.024,0.063,0.487,0.356
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.143,0.848,0.051,0.352,0.353
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.665,0.093,0.124,0.031,0.232
"P29","Javier Milei – José Luis Espert por los liberales",0.047,0.01,0.788,0.014,0.026
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.006,0.008,0.009,0.446,0.015
"P29","Otro candidato",0.139,0.041,0.028,0.157,0.374
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.161,0.757,0.037,0.205,0.225
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.681,0.086,0.206,0.019,0.267
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.04,0.011,0.715,0.013,0.022
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.014,0.015,0.014,0.644,0.006
"P33","Otro candidato",0.104,0.131,0.028,0.119,0.48
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.278,0.565,0.03,0.199,0.23
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.592,0.237,0.049,0.041,0.138
"P35","Javier Milei – José Luis Espert por los liberales",0.044,0.019,0.865,0.019,0.045
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.017,0.015,0.012,0.638,0.009
"P35","Otro candidato",0.069,0.164,0.044,0.103,0.578
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.423,0.496,0.036,0.205,0.252
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.455,0.424,0.055,0.14,0.205
"P37","Javier Milei – José Luis Espert por los liberales",0.04,0.012,0.85,0.046,0.04
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.004,0.009,0.025,0.548,0.005
"P37","Otro candidato",0.078,0.059,0.034,0.061,0.498
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.128,0.844,0.049,0.583,0.372
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.714,0.099,0.487,0.068,0.282
"P38","No sabe",0.158,0.057,0.464,0.349,0.346
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.08,0.82,0.051,0.369,0.183
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.813,0.09,0.394,0.144,0.206
"P39","No sabe",0.107,0.09,0.555,0.487,0.611
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.119,0.753,0.072,0.492,0.296
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.716,0.08,0.555,0.119,0.335
"P40","No sabe",0.165,0.167,0.373,0.389,0.369
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.123,0.851,0.064,0.569,0.381
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.8,0.068,0.454,0.11,0.22
"P41","No sabe",0.077,0.081,0.482,0.321,0.399
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.138,0.79,0.071,0.529,0.308
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.762,0.079,0.427,0.077,0.183
"P42","No sabe",0.1,0.131,0.502,0.394,0.509
"P43","Muy buena",0.028,0.172,0.011,0.038,0.042
"P43","Buena",0.067,0.392,0.052,0.154,0.094
"P43","Ni buena ni mala",0.08,0.258,0.082,0.344,0.234
"P43","Mala",0.132,0.096,0.084,0.254,0.174
"P43","Muy mala",0.679,0.068,0.754,0.21,0.439
"P43","No sabe",0.014,0.014,0.017,0,0.017
"P44","Muy de acuerdo",0.106,0.311,0.145,0.167,0.179
"P44","De acuerdo",0.156,0.315,0.112,0.126,0.155
"P44","Ni de acuerdo ni en desacuerdo",0.351,0.241,0.254,0.397,0.332
"P44","En desacuerdo",0.169,0.04,0.128,0.191,0.133
"P44","Muy en desacuerdo",0.17,0.059,0.277,0.092,0.113
"P44","No sabe",0.048,0.034,0.084,0.027,0.088
"P45","Muy de acuerdo",0.089,0.35,0.05,0.112,0.159
"P45","De acuerdo",0.098,0.343,0.056,0.229,0.187
"P45","Ni de acuerdo ni en desacuerdo",0.317,0.212,0.256,0.362,0.263
"P45","En desacuerdo",0.176,0.046,0.171,0.164,0.114
"P45","Muy en desacuerdo",0.302,0.031,0.43,0.122,0.23
"P45","No sabe",0.018,0.018,0.037,0.011,0.047
"P46","Si",0.136,0.607,0.073,0.275,0.311
"P46","No",0.638,0.141,0.747,0.286,0.452
"P46","No sabe",0.226,0.252,0.18,0.439,0.237
"P47","Muy buena",0.041,0.25,0.014,0.048,0.061
"P47","Buena",0.099,0.363,0.101,0.167,0.113
"P47","Ni buena ni mala",0.102,0.25,0.049,0.323,0.226
"P47","Mala",0.14,0.077,0.158,0.219,0.187
"P47","Muy mala",0.615,0.058,0.675,0.243,0.394
"P47","No sabe",0.003,0.002,0.003,0,0.019
"P48","Muy buena",0.063,0.628,0.014,0.33,0.276
"P48","Buena",0.029,0.163,0.03,0.194,0.077
"P48","Ni buena ni mala",0.036,0.088,0.027,0.107,0.094
"P48","Mala",0.091,0.036,0.077,0.174,0.085
"P48","Muy mala",0.776,0.078,0.848,0.184,0.448
"P48","No sabe",0.005,0.007,0.004,0.011,0.02
"P49","Muy buena",0.296,0.098,0.128,0.06,0.15
"P49","Buena",0.253,0.026,0.219,0.018,0.127
"P49","Ni buena ni mala",0.151,0.065,0.198,0.08,0.135
"P49","Mala",0.09,0.209,0.217,0.16,0.149
"P49","Muy mala",0.203,0.587,0.231,0.682,0.424
"P49","No sabe",0.007,0.015,0.007,0,0.015
"P50","Muy buena",0.347,0.035,0.076,0.052,0.06
"P50","Buena",0.389,0.064,0.211,0.029,0.114
"P50","Ni buena ni mala",0.134,0.153,0.311,0.096,0.249
"P50","Mala",0.042,0.231,0.17,0.335,0.176
"P50","Muy mala",0.079,0.497,0.219,0.438,0.359
"P50","No sabe",0.009,0.02,0.013,0.05,0.042
"P51","Muy buena",0.05,0.191,0.02,0.081,0.071
"P51","Buena",0.104,0.365,0.041,0.152,0.158
"P51","Ni buena ni mala",0.145,0.318,0.157,0.415,0.203
"P51","Mala",0.195,0.051,0.188,0.133,0.155
"P51","Muy mala",0.498,0.068,0.585,0.216,0.382
"P51","No sabe",0.008,0.007,0.009,0.003,0.031
"P52","Muy buena",0.429,0.058,0.311,0.042,0.202
"P52","Buena",0.261,0.051,0.275,0.017,0.126
"P52","Ni buena ni mala",0.108,0.102,0.205,0.121,0.117
"P52","Mala",0.078,0.163,0.087,0.17,0.096
"P52","Muy mala",0.118,0.611,0.109,0.6,0.424
"P52","No sabe",0.006,0.015,0.013,0.05,0.035
"P53","Muy buena",0.056,0.028,0.528,0.008,0.032
"P53","Buena",0.166,0.041,0.275,0,0.094
"P53","Ni buena ni mala",0.373,0.134,0.143,0.067,0.239
"P53","Mala",0.185,0.165,0.029,0.222,0.159
"P53","Muy mala",0.204,0.613,0.02,0.653,0.437
"P53","No sabe",0.016,0.019,0.005,0.05,0.039
"P54","Muy buena",0.328,0.041,0.141,0.039,0.092
"P54","Buena",0.294,0.032,0.24,0.009,0.15
"P54","Ni buena ni mala",0.15,0.095,0.239,0.161,0.172
"P54","Mala",0.082,0.188,0.152,0.27,0.133
"P54","Muy mala",0.137,0.639,0.215,0.521,0.426
"P54","No sabe",0.009,0.005,0.013,0,0.027
"P55","Muy buena",0.033,0.178,0.017,0.024,0.04
"P55","Buena",0.072,0.412,0.042,0.096,0.15
"P55","Ni buena ni mala",0.136,0.259,0.095,0.412,0.223
"P55","Mala",0.199,0.083,0.168,0.188,0.154
"P55","Muy mala",0.557,0.065,0.663,0.275,0.403
"P55","No sabe",0.003,0.003,0.015,0.005,0.03
"P56","Muy buena",0.152,0.024,0.1,0.032,0.082
"P56","Buena",0.293,0.102,0.205,0.051,0.106
"P56","Ni buena ni mala",0.334,0.366,0.308,0.287,0.346
"P56","Mala",0.1,0.205,0.139,0.301,0.168
"P56","Muy mala",0.096,0.216,0.204,0.274,0.23
"P56","No sabe",0.025,0.087,0.044,0.055,0.068
"P57","Muy buena",0.083,0.028,0.04,0.027,0.023
"P57","Buena",0.269,0.048,0.109,0.004,0.081
"P57","Ni buena ni mala",0.387,0.249,0.387,0.251,0.281
"P57","Mala",0.099,0.177,0.147,0.165,0.178
"P57","Muy mala",0.114,0.414,0.238,0.418,0.365
"P57","No sabe",0.048,0.084,0.079,0.135,0.072
