"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P17","No sabe",0.02,0.009,0.064
"P18","Lo votaría",0.057,0.319,0.044
"P18","Puede que lo vote",0.047,0.46,0.165
"P18","Nunca lo votaría",0.851,0.181,0.663
"P18","No sabe",0.045,0.04,0.128
"P19","Lo votaría",0.019,0.171,0.057
"P19","Puede que lo vote",0.094,0.406,0.221
"P19","Nunca lo votaría",0.773,0.344,0.574
"P19","No sabe",0.114,0.079,0.148
"P20","La votaría",0.011,0.501,0.198
"P20","Puede que la vote",0.028,0.284,0.229
"P20","Nunca la votaría",0.935,0.182,0.496
"P20","No sabe",0.026,0.033,0.077
"P21","Lo votaría",0.028,0.233,0.301
"P21","Puede que lo vote",0.051,0.241,0.138
"P21","Nunca lo votaría",0.878,0.473,0.463
"P21","No sabe",0.043,0.053,0.098
"P22","La votaría",0.016,0.227,0.075
"P22","Puede que la vote",0.034,0.388,0.149
"P22","Nunca la votaría",0.89,0.309,0.668
"P22","No sabe",0.06,0.076,0.108
"P23","Lo votaría",0.241,0.026,0.036
"P23","Puede que lo vote",0.479,0.063,0.154
"P23","Nunca lo votaría",0.21,0.883,0.744
"P23","No sabe",0.07,0.028,0.066
"P24","Lo votaría",0.024,0.076,0.018
"P24","Puede que lo vote",0.095,0.255,0.093
"P24","Nunca lo votaría",0.774,0.575,0.715
"P24","No sabe",0.107,0.094,0.174
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.01,0.45,0.125
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.015,0.24,0.043
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.148,0.011,0.019
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.78,0.023,0.246
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.012,0.182,0.337
"P25","Otros candidatos",0.035,0.094,0.23
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.894,0.028,0.255
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.024,0.611,0.139
"P29","Javier Milei – José Luis Espert por los liberales",0.021,0.219,0.359
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.027,0.013,0.041
"P29","Otro candidato",0.034,0.129,0.206
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.069,0.555,0.081
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.706,0.061,0.068
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.04,0.246,0.387
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.045,0.014,0.053
"P31","Otro candidato",0.14,0.124,0.411
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.749,0.07,0.163
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.046,0.641,0.178
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.018,0.183,0.324
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.041,0.012,0.058
"P33","Otro candidato",0.146,0.094,0.277
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.574,0.204,0.123
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.227,0.43,0.09
"P35","Javier Milei – José Luis Espert por los liberales",0.017,0.264,0.378
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.041,0.007,0.058
"P35","Otro candidato",0.141,0.095,0.351
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.487,0.295,0.174
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.418,0.333,0.123
"P37","Javier Milei – José Luis Espert por los liberales",0.011,0.256,0.365
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.035,0.009,0.045
"P37","Otro candidato",0.049,0.107,0.293
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.885,0.068,0.228
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.05,0.796,0.227
"P38","No sabe",0.065,0.136,0.545
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.855,0.055,0.146
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.03,0.839,0.268
"P40","No sabe",0.115,0.106,0.586
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.91,0.036,0.257
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.024,0.893,0.11
"P41","No sabe",0.066,0.071,0.633
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.874,0.043,0.194
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.015,0.855,0.093
"P42","No sabe",0.111,0.102,0.713
"P43","Muy buena",0.188,0.007,0.017
"P43","Buena",0.375,0.06,0.063
"P43","Ni buena ni mala",0.285,0.054,0.196
"P43","Mala",0.102,0.113,0.162
"P43","Muy mala",0.034,0.759,0.539
"P43","No sabe",0.016,0.007,0.023
"P44","Muy de acuerdo",0.342,0.101,0.141
"P44","De acuerdo",0.31,0.139,0.124
"P44","Ni de acuerdo ni en desacuerdo",0.261,0.326,0.299
"P44","En desacuerdo",0.031,0.158,0.155
"P44","Muy en desacuerdo",0.019,0.236,0.173
"P44","No sabe",0.037,0.04,0.108
"P45","Muy de acuerdo",0.367,0.06,0.094
"P45","De acuerdo",0.356,0.062,0.141
"P45","Ni de acuerdo ni en desacuerdo",0.203,0.292,0.291
"P45","En desacuerdo",0.033,0.201,0.129
"P45","Muy en desacuerdo",0.025,0.366,0.293
"P45","No sabe",0.016,0.019,0.052
"P46","Si",0.656,0.073,0.192
"P46","No",0.093,0.744,0.537
"P46","No sabe",0.251,0.183,0.271
"P47","Muy buena",0.25,0.011,0.042
"P47","Buena",0.368,0.088,0.09
"P47","Ni buena ni mala",0.246,0.072,0.193
"P47","Mala",0.107,0.139,0.177
"P47","Muy mala",0.028,0.688,0.482
"P47","No sabe",0.001,0.002,0.016
"P48","Muy buena",0.675,0.017,0.136
"P48","Buena",0.172,0.016,0.07
"P48","Ni buena ni mala",0.079,0.022,0.095
"P48","Mala",0.043,0.081,0.099
"P48","Muy mala",0.028,0.855,0.587
"P48","No sabe",0.003,0.009,0.013
"P49","Muy buena",0.095,0.273,0.105
"P49","Buena",0.014,0.268,0.141
"P49","Ni buena ni mala",0.04,0.201,0.141
"P49","Mala",0.218,0.09,0.206
"P49","Muy mala",0.622,0.163,0.39
"P49","No sabe",0.011,0.005,0.017
"P50","Muy buena",0.013,0.29,0.052
"P50","Buena",0.034,0.369,0.126
"P50","Ni buena ni mala",0.136,0.239,0.226
"P50","Mala",0.251,0.056,0.198
"P50","Muy mala",0.541,0.036,0.367
"P50","No sabe",0.025,0.01,0.031
"P51","Muy buena",0.171,0.038,0.059
"P51","Buena",0.364,0.059,0.118
"P51","Ni buena ni mala",0.331,0.13,0.205
"P51","Mala",0.069,0.183,0.174
"P51","Muy mala",0.057,0.585,0.418
"P51","No sabe",0.008,0.005,0.026
"P52","Muy buena",0.028,0.462,0.185
"P52","Buena",0.054,0.24,0.203
"P52","Ni buena ni mala",0.071,0.139,0.18
"P52","Mala",0.173,0.054,0.115
"P52","Muy mala",0.654,0.101,0.285
"P52","No sabe",0.02,0.004,0.032
"P53","Muy buena",0.006,0.17,0.269
"P53","Buena",0.026,0.229,0.134
"P53","Ni buena ni mala",0.13,0.312,0.189
"P53","Mala",0.163,0.155,0.097
"P53","Muy mala",0.651,0.126,0.278
"P53","No sabe",0.024,0.008,0.033
"P54","Muy buena",0.003,0.311,0.093
"P54","Buena",0.015,0.324,0.14
"P54","Ni buena ni mala",0.094,0.199,0.181
"P54","Mala",0.194,0.082,0.168
"P54","Muy mala",0.686,0.08,0.39
"P54","No sabe",0.008,0.004,0.028
"P55","Muy buena",0.161,0.028,0.027
"P55","Buena",0.416,0.038,0.096
"P55","Ni buena ni mala",0.277,0.091,0.215
"P55","Mala",0.067,0.212,0.16
"P55","Muy mala",0.072,0.63,0.473
"P55","No sabe",0.007,0.001,0.029
"P56","Muy buena",0.028,0.149,0.07
"P56","Buena",0.086,0.278,0.132
"P56","Ni buena ni mala",0.364,0.33,0.32
"P56","Mala",0.219,0.099,0.171
"P56","Muy mala",0.213,0.118,0.247
"P56","No sabe",0.09,0.026,0.06
"P57","Muy buena",0.01,0.093,0.016
"P57","Buena",0.026,0.249,0.068
"P57","Ni buena ni mala",0.232,0.413,0.302
"P57","Mala",0.196,0.108,0.157
"P57","Muy mala",0.45,0.087,0.37
"P57","No sabe",0.086,0.05,0.087
