"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","A Leonardo Grosso a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.097,0.226,0.498,0.675,0.038,0.026,0.115,0.049
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.026,0.089,0.115,0.109,0.773,0.027,0.052,0.018
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.024,0.002,0,0.01,0.72,0,0.033
"P25","En blanco",0.015,0.146,0.081,0.138,0.111,0.14,0.632,0.041
"P25","No sabe",0.067,0.006,0.139,0.038,0.041,0.07,0.045,0.724
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.854,0.451,0.086,0.096,0.018,0.157,0,0.075
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.082,0.175,0.843,0.681,0.032,0.026,0.085,0.084
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.026,0.212,0.036,0.071,0.783,0.256,0.039,0.048
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.025,0.013,0.014,0.019,0.353,0,0.015
"P26","En blanco",0.013,0.137,0.005,0.065,0.122,0,0.785,0.045
"P26","No sabe",0.017,0,0.017,0.073,0.026,0.208,0.091,0.733
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.842,0.441,0.077,0.077,0.01,0.165,0.019,0.076
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.077,0.262,0.581,0.785,0.032,0.054,0.088,0.05
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.031,0.111,0.148,0.072,0.79,0.233,0,0.006
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0.025,0.005,0.009,0.002,0.333,0.176,0.034
"P27","En blanco",0.011,0.122,0.063,0.045,0.118,0.144,0.502,0.078
"P27","No sabe",0.032,0.039,0.126,0.012,0.048,0.071,0.215,0.756
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.798,0.457,0.13,0.058,0.022,0.224,0.1,0.36
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.091,0.071,0.79,0.692,0.042,0.027,0.066,0.272
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.043,0.072,0.057,0.024,0.682,0.027,0,0.043
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.023,0.096,0,0.101,0.009,0.307,0,0
"P28","No sabe",0.045,0.304,0.023,0.125,0.245,0.415,0.834,0.325
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.781,0.476,0.141,0.059,0.012,0.348,0.101,0.264
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.095,0.216,0.753,0.835,0.079,0.053,0.066,0.138
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.049,0.049,0.059,0,0.678,0,0,0.125
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.025,0.04,0.001,0.085,0.009,0.599,0,0
"P29","No sabe",0.05,0.219,0.046,0.021,0.222,0,0.833,0.473
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.846,0.506,0.082,0.078,0.026,0.173,0.103,0.264
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.083,0.196,0.841,0.738,0.036,0.028,0.063,0.258
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.043,0.04,0.052,0.058,0.714,0.204,0,0.046
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.008,0.018,0.013,0.05,0.009,0.31,0,0.045
"P30","No sabe",0.02,0.24,0.012,0.076,0.215,0.285,0.834,0.387
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.867,0.689,0.061,0.083,0.012,0.177,0.102,0.31
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.096,0.07,0.806,0.828,0.029,0.058,0.064,0.119
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.027,0.035,0.084,0.01,0.769,0.169,0,0.012
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0,0.006,0.033,0.043,0.316,0.137,0.047
"P31","No sabe",0.005,0.206,0.043,0.046,0.147,0.28,0.697,0.512
"P32","Lo votaría",0.622,0.337,0.116,0.15,0.049,0.018,0.102,0.237
"P32","Puede que lo vote",0.195,0.436,0.216,0.472,0.205,0.086,0.085,0.347
"P32","Nunca lo votaría",0.091,0.083,0.576,0.265,0.566,0.113,0.508,0.072
"P32","No sabe",0.092,0.144,0.092,0.113,0.18,0.783,0.305,0.344
"P33","Lo votaría",0.205,0.701,0.091,0.13,0.014,0.204,0,0.04
"P33","Puede que lo vote",0.327,0.256,0.223,0.287,0.238,0,0.064,0.153
"P33","Nunca lo votaría",0.305,0.013,0.539,0.455,0.561,0.171,0.627,0.449
"P33","No sabe",0.163,0.03,0.147,0.128,0.187,0.625,0.309,0.358
"P34","Lo votaría",0.061,0.143,0.426,0.22,0.034,0.04,0,0.038
"P34","Puede que lo vote",0.223,0.36,0.27,0.367,0.353,0.065,0.175,0.242
"P34","Nunca lo votaría",0.541,0.451,0.169,0.326,0.404,0.374,0.437,0.222
"P34","No sabe",0.175,0.046,0.135,0.087,0.209,0.521,0.388,0.498
"P35","Lo votaría",0.053,0.015,0.487,0.588,0.123,0.04,0,0.185
"P35","Puede que lo vote",0.218,0.445,0.302,0.173,0.277,0.066,0.077,0.42
"P35","Nunca lo votaría",0.637,0.443,0.132,0.195,0.436,0.549,0.747,0.116
"P35","No sabe",0.092,0.097,0.079,0.044,0.164,0.345,0.176,0.279
"P36","Lo votaría",0.753,0.578,0.08,0.237,0.029,0.284,0.143,0.18
"P36","Puede que lo vote",0.113,0.067,0.167,0.2,0.292,0.162,0.099,0.257
"P36","Nunca lo votaría",0.127,0.295,0.75,0.545,0.585,0.312,0.532,0.326
"P36","No sabe",0.007,0.06,0.003,0.018,0.094,0.242,0.226,0.237
"P37","La votaría",0.24,0.126,0.031,0.118,0.061,0,0,0.039
"P37","Puede que la vote",0.414,0.402,0.283,0.28,0.253,0.575,0.022,0.202
"P37","Nunca la votaría",0.253,0.362,0.654,0.584,0.612,0.178,0.752,0.425
"P37","No sabe",0.093,0.11,0.032,0.018,0.074,0.247,0.226,0.334
"P38","Lo votaría",0.032,0.037,0.492,0.24,0.04,0.04,0,0.158
"P38","Puede que lo vote",0.163,0.357,0.267,0.489,0.313,0.302,0.245,0.385
"P38","Nunca lo votaría",0.653,0.544,0.169,0.215,0.503,0.37,0.579,0.177
"P38","No sabe",0.152,0.062,0.072,0.056,0.144,0.288,0.176,0.28
"P39","Lo votaría",0.122,0.099,0.578,0.61,0.125,0.04,0,0.026
"P39","Puede que lo vote",0.163,0.236,0.344,0.274,0.261,0.303,0.323,0.293
"P39","Nunca lo votaría",0.664,0.603,0.062,0.098,0.478,0.409,0.589,0.433
"P39","No sabe",0.051,0.062,0.016,0.018,0.136,0.248,0.088,0.248
"P40","Lo votaría",0.089,0.049,0.098,0.038,0.485,0,0,0
"P40","Puede que lo vote",0.224,0.265,0.406,0.509,0.14,0.303,0.139,0.192
"P40","Nunca lo votaría",0.631,0.594,0.358,0.381,0.232,0.236,0.773,0.372
"P40","No sabe",0.056,0.092,0.138,0.072,0.143,0.461,0.088,0.436
"P41","Lo votaría",0.478,0.343,0.052,0.065,0.054,0.257,0,0.235
"P41","Puede que lo vote",0.383,0.261,0.217,0.351,0.279,0.264,0.137,0.238
"P41","Nunca lo votaría",0.131,0.359,0.73,0.508,0.593,0.238,0.774,0.31
"P41","No sabe",0.008,0.037,0.001,0.076,0.074,0.241,0.089,0.217
"P42","Lo votaría",0.679,0.57,0.04,0.103,0.011,0.257,0,0.078
"P42","Puede que lo vote",0.213,0.143,0.207,0.313,0.334,0.162,0.137,0.289
"P42","Nunca lo votaría",0.098,0.287,0.735,0.522,0.592,0.206,0.774,0.416
"P42","No sabe",0.01,0,0.018,0.062,0.063,0.375,0.089,0.217
"P43","Lo votaría",0.304,0.235,0.083,0.026,0.041,0.256,0,0.048
"P43","Puede que lo vote",0.432,0.447,0.233,0.411,0.32,0.337,0.275,0.318
"P43","Nunca lo votaría",0.213,0.311,0.642,0.527,0.571,0.166,0.725,0.406
"P43","No sabe",0.051,0.007,0.042,0.036,0.068,0.241,0,0.228
"P44","La votaría",0.14,0.064,0.743,0.26,0.14,0.041,0,0.1
"P44","Puede que la vote",0.177,0.293,0.167,0.637,0.494,0.304,0.384,0.455
"P44","Nunca la votaría",0.658,0.589,0.082,0.085,0.245,0.414,0.527,0.149
"P44","No sabe",0.025,0.054,0.008,0.018,0.121,0.241,0.089,0.296
"P45","Lo votaría",0.098,0.125,0.391,0.677,0.088,0.04,0,0.038
"P45","Puede que lo vote",0.189,0.288,0.372,0.27,0.355,0.305,0.369,0.396
"P45","Nunca lo votaría",0.688,0.587,0.209,0.034,0.432,0.414,0.631,0.329
"P45","No sabe",0.025,0,0.028,0.019,0.125,0.241,0,0.237
"P46","Lo votaría",0.056,0.136,0.135,0.175,0.82,0.04,0,0.112
"P46","Puede que lo vote",0.225,0.264,0.347,0.482,0.074,0.303,0.261,0.212
"P46","Nunca lo votaría",0.685,0.6,0.468,0.285,0.064,0.409,0.649,0.381
"P46","No sabe",0.034,0,0.05,0.058,0.042,0.248,0.09,0.295
"P47","Si",0.508,0.428,0.579,0.358,0.455,0.2,0.39,0.456
"P47","No",0.492,0.572,0.421,0.642,0.545,0.8,0.61,0.544
