"var","categoria","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","No sabe"
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.783,0.079,0.068,0.165,0.136
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.09,0.02,0,0.23,0.048
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.028,0.644,0.107,0.044,0.133
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.008,0.186,0.013,0.036,0.033
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.048,0.767,0.055,0.332
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0,0.015,0.38,0
"P13","En blanco",0.015,0.003,0,0.09,0.145
"P13","No sabe",0.06,0.02,0.03,0,0.173
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.689,0.07,0.078,0.252,0.119
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.087,0.033,0.016,0.084,0.108
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.152,0.678,0.115,0.012,0.134
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.014,0.161,0,0.226,0.013
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.041,0.767,0.068,0.382
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.002,0,0.358,0
"P15","En blanco",0.005,0.003,0,0,0.107
"P15","No sabe",0.028,0.012,0.024,0,0.137
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.704,0.054,0.051,0.079,0.041
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.139,0.064,0.011,0.052,0.026
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.054,0.627,0.097,0.016,0.27
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.003,0.166,0.029,0.079,0.023
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.005,0.066,0.797,0.158,0.324
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.007,0,0.556,0
"P17","En blanco",0.004,0.003,0,0.036,0.188
"P17","No sabe",0.085,0.013,0.015,0.024,0.128
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.762,0.088,0.051,0.126,0.063
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.066,0.022,0,0.114,0.028
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.05,0.627,0.103,0.044,0.205
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.03,0.185,0,0.182,0.027
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.06,0.823,0.08,0.324
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.008,0.008,0.454,0
"P19","En blanco",0.024,0,0,0,0.167
"P19","No sabe",0.052,0.01,0.015,0,0.186
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.705,0.045,0.046,0.586,0.184
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.161,0.049,0,0.059,0.031
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.055,0.642,0.106,0.044,0.142
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.013,0.2,0,0.137,0.024
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.049,0.818,0.068,0.324
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.004,0.006,0.106,0
"P21","En blanco",0.014,0,0.015,0,0.169
"P21","No sabe",0.043,0.011,0.009,0,0.126
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.799,0.012,0.061,0.358,0.046
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.098,0.813,0.112,0.09,0.156
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.024,0.146,0.74,0.098,0.307
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.028,0.004,0,0.375,0
"P22","En blanco",0.009,0.009,0.075,0,0.266
"P22","No sabe",0.042,0.016,0.012,0.079,0.225
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.852,0.016,0.061,0.254,0.109
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.039,0.731,0.026,0.035,0.067
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.058,0.116,0.847,0.11,0.262
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0,0,0.546,0.009
"P23","En blanco",0.004,0.022,0.056,0,0.333
"P23","No sabe",0.042,0.115,0.01,0.055,0.22
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.906,0.031,0.054,0.233,0.081
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.024,0.822,0.102,0.09,0.158
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.095,0.781,0.055,0.257
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.011,0,0.578,0
"P24","En blanco",0.005,0.01,0.048,0,0.302
"P24","No sabe",0.045,0.031,0.015,0.044,0.202
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.922,0.04,0.053,0.131,0.079
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0,0.701,0.09,0.183,0.062
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.124,0.785,0.098,0.273
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0,0.007,0.486,0
"P25","En blanco",0.016,0.039,0.038,0.102,0.345
"P25","No sabe",0.045,0.096,0.027,0,0.241
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.841,0.025,0.053,0.53,0.115
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.082,0.838,0.138,0.044,0.147
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.029,0.089,0.754,0.055,0.249
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.001,0.01,0.281,0
"P26","En blanco",0.006,0.022,0.045,0,0.292
"P26","No sabe",0.031,0.025,0,0.09,0.197
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.844,0.01,0.009,0.518,0.119
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.039,0.75,0.063,0.055,0.049
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.058,0.108,0.835,0.055,0.221
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.001,0,0.282,0.029
"P27","En blanco",0.019,0.03,0.047,0.09,0.37
"P27","No sabe",0.034,0.101,0.046,0,0.212
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.965,0.011,0.053,0.159,0.024
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.008,0.885,0.054,0.012,0.143
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.051,0.893,0,0.003
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.006,0.004,0,0.739,0.009
"P28","No sabe",0.017,0.049,0,0.09,0.821
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.866,0.028,0.013,0.448,0.124
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.096,0.876,0.052,0,0.142
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.07,0.903,0.11,0.037
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.008,0.025,0.442,0
"P30","No sabe",0.036,0.018,0.007,0,0.697
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.882,0.031,0.008,0.481,0.108
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.099,0.896,0.013,0.038,0.014
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.055,0.968,0.1,0.106
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.004,0.011,0.381,0.08
"P31","No sabe",0.017,0.014,0,0,0.692
"P32","Lo votaría",0.599,0.121,0.057,0.15,0.063
"P32","Puede que lo vote",0.184,0.285,0.197,0.336,0.275
"P32","Nunca lo votaría",0.13,0.452,0.681,0.09,0.359
"P32","No sabe",0.087,0.142,0.065,0.424,0.303
"P33","Lo votaría",0.254,0.096,0.024,0.281,0.107
"P33","Puede que lo vote",0.287,0.282,0.236,0.082,0.127
"P33","Nunca lo votaría",0.319,0.47,0.554,0.322,0.516
"P33","No sabe",0.14,0.152,0.186,0.315,0.25
"P34","Lo votaría",0.058,0.407,0.073,0,0.067
"P34","Puede que lo vote",0.273,0.279,0.376,0.145,0.206
"P34","Nunca lo votaría",0.491,0.205,0.334,0.519,0.455
"P34","No sabe",0.178,0.109,0.217,0.336,0.272
"P35","Lo votaría",0.032,0.542,0.127,0.014,0.147
"P35","Puede que lo vote",0.286,0.261,0.3,0.126,0.235
"P35","Nunca lo votaría",0.594,0.118,0.445,0.589,0.4
"P35","No sabe",0.088,0.079,0.128,0.271,0.218
"P36","Lo votaría",0.77,0.069,0,0.486,0.107
"P36","Puede que lo vote",0.047,0.217,0.296,0.183,0.241
"P36","Nunca lo votaría",0.172,0.701,0.664,0.159,0.457
"P36","No sabe",0.011,0.013,0.04,0.172,0.195
"P37","La votaría",0.258,0.027,0.06,0.058,0.007
"P37","Puede que la vote",0.46,0.246,0.242,0.6,0.182
"P37","Nunca la votaría",0.191,0.68,0.674,0.182,0.614
"P37","No sabe",0.091,0.047,0.024,0.16,0.197
"P38","Lo votaría",0.025,0.446,0.096,0,0.119
"P38","Puede que lo vote",0.296,0.247,0.337,0.462,0.152
"P38","Nunca lo votaría",0.555,0.206,0.478,0.363,0.532
"P38","No sabe",0.124,0.101,0.089,0.175,0.197
"P39","Lo votaría",0.038,0.702,0.115,0.056,0.032
"P39","Puede que lo vote",0.26,0.219,0.353,0.427,0.258
"P39","Nunca lo votaría",0.654,0.052,0.436,0.356,0.535
"P39","No sabe",0.048,0.027,0.096,0.161,0.175
"P40","Lo votaría",0.028,0.127,0.489,0.065,0.207
"P40","Puede que lo vote",0.282,0.382,0.152,0.376,0.172
"P40","Nunca lo votaría",0.627,0.353,0.251,0.295,0.387
"P40","No sabe",0.063,0.138,0.108,0.264,0.234
"P41","Lo votaría",0.53,0.022,0.034,0.328,0.056
"P41","Puede que lo vote",0.309,0.296,0.277,0.35,0.199
"P41","Nunca lo votaría",0.157,0.66,0.663,0.164,0.569
"P41","No sabe",0.004,0.022,0.026,0.158,0.176
"P42","Lo votaría",0.669,0.02,0.006,0.614,0.11
"P42","Puede que lo vote",0.176,0.277,0.346,0.143,0.162
"P42","Nunca lo votaría",0.135,0.69,0.632,0.048,0.541
"P42","No sabe",0.02,0.013,0.016,0.195,0.187
"P43","Lo votaría",0.368,0.023,0.055,0.153,0.02
"P43","Puede que lo vote",0.419,0.309,0.293,0.524,0.204
"P43","Nunca lo votaría",0.151,0.65,0.612,0.166,0.605
"P43","No sabe",0.062,0.018,0.04,0.157,0.171
"P44","La votaría",0.047,0.698,0.2,0,0.209
"P44","Puede que la vote",0.276,0.21,0.453,0.468,0.341
"P44","Nunca la votaría",0.637,0.08,0.261,0.416,0.278
"P44","No sabe",0.04,0.012,0.086,0.116,0.172
"P45","Lo votaría",0.01,0.54,0.081,0.106,0.04
"P45","Puede que lo vote",0.222,0.317,0.409,0.39,0.327
"P45","Nunca lo votaría",0.737,0.129,0.418,0.373,0.449
"P45","No sabe",0.031,0.014,0.092,0.131,0.184
"P46","Lo votaría",0.012,0.195,0.777,0.08,0.388
"P46","Puede que lo vote",0.224,0.359,0.14,0.42,0.12
"P46","Nunca lo votaría",0.755,0.369,0.083,0.381,0.336
"P46","No sabe",0.009,0.077,0,0.119,0.156
"P47","Si",0.547,0.49,0.493,0.5,0.4
"P47","No",0.453,0.51,0.507,0.5,0.6
