"var","categoria","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","No sabe"
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.745,0.072,0.037,0.061,0.014
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.121,0.011,0.01,0,0.125
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.062,0.725,0.137,0.083,0.152
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.018,0.159,0.003,0.1,0.035
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.017,0.798,0.383,0.329
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.002,0.013,0.217,0.048
"P15","En blanco",0.005,0.003,0,0.089,0.115
"P15","No sabe",0.032,0.011,0.002,0.067,0.182
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.691,0.066,0.007,0.083,0.073
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.09,0.115,0.011,0.02,0.034
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.048,0.599,0.117,0.083,0.32
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.001,0.168,0.016,0.1,0.049
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.037,0.847,0.383,0.25
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.039,0.003,0,0.175,0
"P17","En blanco",0.018,0.003,0,0.089,0.194
"P17","No sabe",0.105,0.009,0.002,0.067,0.08
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.741,0.157,0.004,0.067,0
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.046,0.025,0.025,0,0.037
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.054,0.584,0.123,0.139,0.237
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.047,0.19,0.003,0.045,0.06
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.014,0.032,0.83,0.382,0.242
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.02,0.006,0.013,0.211,0
"P19","En blanco",0.026,0,0,0.089,0.194
"P19","No sabe",0.052,0.006,0.002,0.067,0.23
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.777,0.045,0.01,0.148,0.103
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.064,0.129,0.003,0,0.048
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.065,0.621,0.129,0.139,0.144
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.034,0.166,0.017,0.045,0.049
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.029,0.831,0.382,0.242
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.004,0,0.13,0
"P21","En blanco",0.016,0.003,0.008,0.089,0.202
"P21","No sabe",0.037,0.003,0.002,0.067,0.212
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.831,0.009,0.023,0,0.018
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.019,0.887,0.136,0.15,0.175
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.028,0.079,0.772,0.438,0.266
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.041,0.005,0,0.256,0
"P22","En blanco",0.024,0.004,0.064,0,0.342
"P22","No sabe",0.057,0.016,0.005,0.156,0.199
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.867,0.014,0.026,0,0.098
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.029,0.738,0.07,0.201,0.085
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.01,0.12,0.855,0.438,0.212
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.031,0.003,0,0.211,0.011
"P23","En blanco",0.015,0.023,0.046,0.083,0.407
"P23","No sabe",0.048,0.102,0.003,0.067,0.187
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.891,0.105,0,0,0.007
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.015,0.806,0.125,0.067,0.183
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.025,0.042,0.814,0.383,0.149
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0.007,0.016,0.323,0.048
"P24","En blanco",0.006,0.006,0.037,0.083,0.42
"P24","No sabe",0.04,0.034,0.008,0.144,0.193
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.89,0.109,0.006,0,0
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.043,0.675,0.123,0.045,0.067
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.101,0.811,0.211,0.233
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.019,0.003,0,0.278,0.048
"P25","En blanco",0.009,0.03,0.052,0.067,0.462
"P25","No sabe",0.037,0.082,0.008,0.399,0.19
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.925,0.004,0.017,0.064,0
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.005,0.905,0.149,0.122,0.175
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.038,0.04,0.784,0.067,0.266
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.011,0,0.342,0
"P26","En blanco",0.004,0.016,0.037,0.089,0.39
"P26","No sabe",0.027,0.024,0.013,0.316,0.169
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.921,0.016,0,0.064,0
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.028,0.765,0.061,0.139,0.071
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.005,0.101,0.856,0.067,0.269
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.004,0,0.347,0.028
"P27","En blanco",0.014,0.031,0.054,0,0.477
"P27","No sabe",0.031,0.083,0.029,0.383,0.155
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.886,0.087,0.015,0,0.011
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.015,0.861,0.054,0.067,0.197
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.013,0.858,0.083,0.011
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.028,0.007,0,0.445,0.011
"P28","No sabe",0.067,0.032,0.073,0.405,0.77
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.88,0.087,0.003,0,0.059
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.035,0.899,0.1,0.067,0.054
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.006,0.82,0.083,0
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.041,0.003,0.014,0.445,0
"P29","No sabe",0.04,0.005,0.063,0.405,0.887
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.942,0.009,0.014,0,0.011
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.031,0.931,0.075,0,0.188
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.001,0.042,0.859,0,0
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.007,0.013,0.595,0
"P30","No sabe",0.023,0.011,0.039,0.405,0.801
"P32","Lo votaría",0.64,0.094,0.065,0.134,0.011
"P32","Puede que lo vote",0.217,0.274,0.176,0.059,0.349
"P32","Nunca lo votaría",0.055,0.512,0.632,0.061,0.383
"P32","No sabe",0.088,0.12,0.127,0.746,0.257
"P33","Lo votaría",0.301,0.082,0.02,0.021,0.106
"P33","Puede que lo vote",0.304,0.266,0.214,0.104,0.134
"P33","Nunca lo votaría",0.257,0.519,0.568,0.533,0.434
"P33","No sabe",0.138,0.133,0.198,0.342,0.326
"P34","Lo votaría",0.059,0.397,0.072,0,0.108
"P34","Puede que lo vote",0.221,0.328,0.339,0.171,0.198
"P34","Nunca lo votaría",0.535,0.196,0.347,0.455,0.359
"P34","No sabe",0.185,0.079,0.242,0.374,0.335
"P35","Lo votaría",0.035,0.519,0.137,0.368,0.137
"P35","Puede que lo vote",0.236,0.301,0.289,0.128,0.242
"P35","Nunca lo votaría",0.639,0.12,0.422,0.317,0.314
"P35","No sabe",0.09,0.06,0.152,0.187,0.307
"P36","Lo votaría",0.822,0.07,0,0.023,0.038
"P36","Puede que lo vote",0.046,0.198,0.31,0.221,0.269
"P36","Nunca lo votaría",0.119,0.727,0.629,0.599,0.441
"P36","No sabe",0.013,0.005,0.061,0.157,0.252
"P37","La votaría",0.261,0.026,0.05,0.019,0.004
"P37","Puede que la vote",0.402,0.299,0.241,0.298,0.227
"P37","Nunca la votaría",0.25,0.636,0.655,0.526,0.518
"P37","No sabe",0.087,0.039,0.054,0.157,0.251
"P38","Lo votaría",0.03,0.438,0.081,0,0.194
"P38","Puede que lo vote",0.216,0.315,0.294,0.492,0.183
"P38","Nunca lo votaría",0.629,0.173,0.488,0.458,0.341
"P38","No sabe",0.125,0.074,0.137,0.05,0.282
"P39","Lo votaría",0.037,0.678,0.135,0.05,0.08
"P39","Puede que lo vote",0.192,0.266,0.34,0.4,0.315
"P39","Nunca lo votaría",0.719,0.041,0.417,0.5,0.354
"P39","No sabe",0.052,0.015,0.108,0.05,0.251
"P40","Lo votaría",0.03,0.106,0.502,0.077,0.141
"P40","Puede que lo vote",0.224,0.427,0.156,0.295,0.219
"P40","Nunca lo votaría",0.666,0.359,0.201,0.578,0.3
"P40","No sabe",0.08,0.108,0.141,0.05,0.34
"P41","Lo votaría",0.522,0.029,0.06,0.024,0.023
"P41","Puede que lo vote",0.333,0.283,0.246,0.395,0.202
"P41","Nunca lo votaría",0.141,0.669,0.658,0.531,0.519
"P41","No sabe",0.004,0.019,0.036,0.05,0.256
"P42","Lo votaría",0.716,0.02,0.005,0.144,0.021
"P42","Puede que lo vote",0.181,0.264,0.304,0.281,0.204
"P42","Nunca lo votaría",0.091,0.695,0.662,0.497,0.516
"P42","No sabe",0.012,0.021,0.029,0.078,0.259
"P43","Lo votaría",0.322,0.068,0.042,0.024,0.004
"P43","Puede que lo vote",0.42,0.296,0.296,0.409,0.242
"P43","Nunca lo votaría",0.199,0.617,0.614,0.517,0.514
"P43","No sabe",0.059,0.019,0.048,0.05,0.24
"P44","La votaría",0.05,0.69,0.199,0,0.312
"P44","Puede que la vote",0.221,0.237,0.47,0.814,0.256
"P44","Nunca la votaría",0.686,0.066,0.242,0.186,0.189
"P44","No sabe",0.043,0.007,0.089,0,0.243
"P45","Lo votaría",0.014,0.532,0.087,0.128,0.084
"P45","Puede que lo vote",0.232,0.312,0.407,0.686,0.223
"P45","Nunca lo votaría",0.721,0.141,0.415,0.186,0.44
"P45","No sabe",0.033,0.015,0.091,0,0.253
"P46","Lo votaría",0.021,0.164,0.749,0.468,0.308
"P46","Puede que lo vote",0.243,0.337,0.166,0.295,0.139
"P46","Nunca lo votaría",0.727,0.423,0.07,0.237,0.318
"P46","No sabe",0.009,0.076,0.015,0,0.235
"P47","Si",0.523,0.523,0.492,0.14,0.393
"P47","No",0.477,0.477,0.508,0.86,0.607
