"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P13","No sabe",0.087,0.016,0.024,0.047,0.07,0.569
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.781,0.064,0.039,0.126,0.058,0.072
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.077,0.026,0.06,0.072,0.116,0
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.087,0.733,0.061,0.218,0.024,0.08
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.023,0.14,0.028,0.058,0.076,0.081
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.011,0.017,0.773,0.199,0.361,0.072
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0.001,0.02,0.28,0,0.045
"P15","En blanco",0,0.006,0.005,0,0.325,0.036
"P15","No sabe",0.014,0.013,0.014,0.047,0.04,0.614
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.682,0.051,0.046,0.08,0.133,0.149
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.078,0.099,0.037,0.03,0.04,0.031
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.053,0.652,0.099,0.328,0.024,0.164
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.006,0.153,0.026,0.058,0.041,0.084
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.032,0.782,0.199,0.351,0.106
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.033,0,0,0.258,0.036,0
"P17","En blanco",0.019,0.006,0,0,0.343,0.028
"P17","No sabe",0.12,0.007,0.01,0.047,0.032,0.438
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.699,0.126,0.019,0.187,0.076,0.107
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.063,0.021,0.018,0.134,0.023,0.061
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.077,0.647,0.08,0.115,0.086,0.031
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.022,0.166,0.049,0.24,0.05,0.145
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.018,0.027,0.808,0.016,0.342,0.072
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.027,0.005,0.002,0.308,0.044,0.015
"P19","En blanco",0.025,0.004,0,0,0.317,0.018
"P19","No sabe",0.069,0.004,0.024,0,0.062,0.551
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.798,0.038,0.044,0.11,0.026,0.08
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.072,0.092,0.032,0.176,0.08,0.025
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.088,0.661,0.044,0.085,0.09,0.046
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.011,0.163,0.05,0.167,0.028,0.14
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.027,0.796,0.017,0.318,0.076
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.006,0,0.445,0,0.015
"P21","En blanco",0.007,0.002,0.009,0,0.441,0.017
"P21","No sabe",0.015,0.011,0.025,0,0.017,0.601
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.799,0.014,0.022,0.085,0.145,0.177
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.022,0.884,0.053,0.194,0.112,0.078
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.069,0.886,0.104,0.049,0.124
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.039,0.001,0.003,0.341,0,0
"P22","En blanco",0.018,0.01,0.032,0,0.585,0.017
"P22","No sabe",0.106,0.022,0.004,0.276,0.109,0.604
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.834,0.014,0.05,0.147,0.145,0.162
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.034,0.666,0.052,0.167,0.129,0.116
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.127,0.882,0.182,0.045,0.104
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.028,0,0,0.355,0.013,0
"P23","En blanco",0.018,0.062,0.014,0.085,0.589,0.033
"P23","No sabe",0.08,0.131,0.002,0.064,0.079,0.585
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.875,0.083,0.027,0.123,0.078,0.081
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.037,0.843,0.059,0.286,0.108,0.065
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.005,0.043,0.845,0,0.013,0.087
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.024,0.013,0.029,0.506,0,0
"P24","En blanco",0.006,0.007,0.034,0.085,0.725,0.031
"P24","No sabe",0.053,0.011,0.006,0,0.076,0.736
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.881,0.079,0.022,0.196,0.057,0.099
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.042,0.645,0.05,0.058,0.048,0.082
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0,0.094,0.891,0.11,0.033,0.011
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0,0.023,0.448,0.024,0
"P25","En blanco",0.012,0.074,0.008,0.104,0.801,0.039
"P25","No sabe",0.048,0.108,0.006,0.084,0.037,0.769
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.944,0.003,0.004,0.186,0,0.036
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.012,0.715,0.066,0.262,0.031,0.123
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.01,0.119,0.879,0,0.051,0.005
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.003,0.005,0.552,0.074,0
"P27","En blanco",0.007,0.048,0.014,0,0.764,0.077
"P27","No sabe",0.022,0.112,0.032,0,0.08,0.759
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.879,0.065,0.032,0.237,0.033,0.221
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.026,0.85,0.072,0,0.094,0.199
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.02,0.054,0.694,0.136,0.141,0
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.038,0.009,0.007,0.627,0.016,0
"P28","No sabe",0.037,0.022,0.195,0,0.716,0.58
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.85,0.067,0.044,0.261,0.038,0.219
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.03,0.822,0.164,0.024,0.158,0.212
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.03,0.063,0.644,0.135,0.151,0
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.047,0.003,0.007,0.58,0,0.055
"P29","No sabe",0.043,0.045,0.141,0,0.653,0.514
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.973,0.003,0.008,0.301,0.006,0.188
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.004,0.911,0.102,0,0.13,0.189
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.005,0.051,0.715,0,0.171,0.169
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.011,0.014,0.007,0.699,0,0
"P30","No sabe",0.007,0.021,0.168,0,0.693,0.454
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.979,0.004,0.058,0.024,0.025,0.201
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.005,0.867,0.069,0.321,0.109,0.201
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.011,0.079,0.748,0,0.14,0.063
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0.007,0.008,0.655,0.04,0.172
"P31","No sabe",0,0.043,0.117,0,0.686,0.363
"P32","Lo votaría",0.629,0.09,0.084,0.475,0.047,0.142
"P32","Puede que lo vote",0.23,0.23,0.232,0.156,0.313,0.322
"P32","Nunca lo votaría",0.048,0.558,0.545,0.138,0.41,0.099
"P32","No sabe",0.093,0.122,0.139,0.231,0.23,0.437
"P33","Lo votaría",0.281,0.076,0.068,0.109,0.189,0.03
"P33","Puede que lo vote",0.318,0.241,0.253,0.397,0.073,0.055
"P33","Nunca lo votaría",0.261,0.543,0.479,0.262,0.436,0.595
"P33","No sabe",0.14,0.14,0.2,0.232,0.302,0.32
"P34","Lo votaría",0.063,0.416,0.049,0,0,0.017
"P34","Puede que lo vote",0.207,0.338,0.343,0.515,0.127,0.129
"P34","Nunca lo votaría",0.542,0.151,0.4,0.21,0.544,0.446
"P34","No sabe",0.188,0.095,0.208,0.275,0.329,0.408
"P35","Lo votaría",0.036,0.497,0.127,0,0.042,0.433
"P35","Puede que lo vote",0.222,0.328,0.275,0.512,0.119,0.141
"P35","Nunca lo votaría",0.657,0.106,0.444,0.37,0.556,0.155
"P35","No sabe",0.085,0.069,0.154,0.118,0.283,0.271
"P36","Lo votaría",0.851,0.046,0.018,0.378,0.085,0.183
"P36","Puede que lo vote",0.05,0.211,0.312,0.319,0.106,0.166
"P36","Nunca lo votaría",0.092,0.737,0.599,0.303,0.55,0.414
"P36","No sabe",0.007,0.006,0.071,0,0.259,0.237
"P37","La votaría",0.276,0.025,0.054,0.038,0,0.007
"P37","Puede que la vote",0.43,0.283,0.27,0.568,0.143,0.134
"P37","Nunca la votaría",0.213,0.66,0.605,0.147,0.599,0.613
"P37","No sabe",0.081,0.032,0.071,0.247,0.258,0.246
"P38","Lo votaría",0.03,0.456,0.057,0,0.046,0.109
"P38","Puede que lo vote",0.225,0.307,0.277,0.786,0.146,0.268
"P38","Nunca lo votaría",0.62,0.159,0.528,0.214,0.566,0.369
"P38","No sabe",0.125,0.078,0.138,0,0.242,0.254
"P39","Lo votaría",0.041,0.622,0.154,0.345,0.115,0.118
"P39","Puede que lo vote",0.192,0.324,0.276,0.437,0.114,0.277
"P39","Nunca lo votaría",0.718,0.037,0.456,0.218,0.561,0.366
"P39","No sabe",0.049,0.017,0.114,0,0.21,0.239
"P40","Lo votaría",0.032,0.107,0.505,0,0.108,0.045
"P40","Puede que lo vote",0.244,0.406,0.178,0.748,0.141,0.094
"P40","Nunca lo votaría",0.658,0.368,0.177,0.252,0.541,0.456
"P40","No sabe",0.066,0.119,0.14,0,0.21,0.405
"P41","Lo votaría",0.536,0.016,0.061,0.346,0.074,0.122
"P41","Puede que lo vote",0.347,0.258,0.311,0.439,0.189,0.095
"P41","Nunca lo votaría",0.109,0.707,0.59,0.215,0.531,0.549
"P41","No sabe",0.008,0.019,0.038,0,0.206,0.234
"P42","Lo votaría",0.771,0.011,0.01,0.235,0.062,0
"P42","Puede que lo vote",0.177,0.26,0.327,0.186,0.151,0.206
"P42","Nunca lo votaría",0.039,0.713,0.636,0.178,0.581,0.56
"P42","No sabe",0.013,0.016,0.027,0.401,0.206,0.234
"P43","Lo votaría",0.337,0.084,0.019,0,0,0.007
"P43","Puede que lo vote",0.445,0.263,0.354,0.535,0.212,0.173
"P43","Nunca lo votaría",0.156,0.632,0.582,0.465,0.616,0.553
"P43","No sabe",0.062,0.021,0.045,0,0.172,0.267
"P44","La votaría",0.049,0.721,0.187,0,0.046,0.078
"P44","Puede que la vote",0.232,0.212,0.475,0.746,0.207,0.527
"P44","Nunca la votaría",0.678,0.044,0.282,0.254,0.513,0.161
"P44","No sabe",0.041,0.023,0.056,0,0.234,0.234
"P45","Lo votaría",0.017,0.496,0.124,0.098,0.054,0.081
"P45","Puede que lo vote",0.243,0.313,0.375,0.683,0.167,0.404
"P45","Nunca lo votaría",0.707,0.152,0.452,0.219,0.587,0.265
"P45","No sabe",0.033,0.039,0.049,0,0.192,0.25
"P46","Lo votaría",0.006,0.157,0.828,0.038,0.097,0.196
"P46","Puede que lo vote",0.264,0.345,0.102,0.502,0.132,0.232
"P46","Nunca lo votaría",0.721,0.423,0.07,0.46,0.543,0.307
"P46","No sabe",0.009,0.075,0,0,0.228,0.265
"P47","Si",0.536,0.56,0.445,0.404,0.208,0.296
"P47","No",0.464,0.44,0.555,0.596,0.792,0.704
