"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.739,0.285,0.124,0.017,0.003,0.11,0.067,0.164
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.024,0.275,0.013,0.108,0.017,0.027,0.029,0.035
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.14,0.13,0.778,0.077,0.011,0.131,0.006,0.007
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.019,0.261,0.033,0.758,0.048,0.09,0.004,0.006
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.013,0.024,0.028,0.885,0.192,0,0.01
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.004,0.003,0.006,0.007,0.45,0.052,0.068
"P19","En blanco",0.017,0.003,0.002,0,0.004,0,0.645,0.03
"P19","No sabe",0.045,0.029,0.023,0.006,0.025,0,0.197,0.68
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.734,0.177,0.126,0.018,0.013,0.412,0.157,0.295
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.057,0.496,0.022,0.114,0.003,0.123,0.125,0.024
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.132,0.087,0.753,0.082,0.046,0,0.01,0.057
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.002,0.21,0.043,0.726,0.012,0.02,0,0.004
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.015,0.023,0.026,0.899,0.211,0,0.006
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0,0.004,0.013,0.011,0.234,0.104,0.042
"P21","En blanco",0.017,0.003,0.002,0.011,0.014,0,0.523,0.071
"P21","No sabe",0.048,0.012,0.027,0.01,0.002,0,0.081,0.501
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.85,0.291,0.052,0.04,0.012,0.366,0.103,0.175
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.076,0.433,0.811,0.52,0.07,0,0.049,0.118
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.085,0.092,0.203,0.76,0.137,0,0.062
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.02,0.015,0.003,0.043,0.001,0.439,0,0.014
"P22","En blanco",0.006,0.031,0.011,0.076,0.135,0,0.638,0.043
"P22","No sabe",0.032,0.145,0.031,0.118,0.022,0.058,0.21,0.588
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.873,0.279,0.078,0.041,0.016,0.164,0.107,0.186
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.051,0.371,0.555,0.776,0.039,0,0.13,0.064
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.025,0.159,0.107,0.084,0.812,0.14,0,0.09
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.016,0.005,0.011,0.003,0.652,0,0.015
"P23","En blanco",0.007,0.036,0.08,0.049,0.126,0,0.632,0.014
"P23","No sabe",0.043,0.139,0.175,0.039,0.004,0.044,0.131,0.631
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.848,0.582,0.058,0.061,0.01,0.265,0.148,0.332
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.066,0.206,0.833,0.517,0.088,0.138,0.064,0.093
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.104,0.043,0.116,0.774,0,0,0.013
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.028,0.016,0.003,0.087,0.013,0.567,0,0.011
"P24","En blanco",0.01,0.043,0.024,0.109,0.101,0,0.659,0.018
"P24","No sabe",0.041,0.049,0.039,0.11,0.014,0.03,0.129,0.533
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.86,0.551,0.063,0.036,0.023,0.152,0.136,0.351
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.062,0.302,0.527,0.683,0.064,0.163,0.066,0.056
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.011,0.024,0.145,0.125,0.746,0,0.044,0.022
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.012,0.003,0,0.009,0.517,0,0.025
"P25","En blanco",0.016,0.031,0.082,0.126,0.12,0.137,0.685,0.04
"P25","No sabe",0.034,0.08,0.18,0.03,0.038,0.031,0.069,0.506
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.818,0.336,0.057,0.028,0.015,0.594,0.189,0.504
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.071,0.496,0.815,0.776,0.059,0,0.07,0.036
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.034,0.096,0.064,0.067,0.758,0,0,0.026
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.008,0.021,0.015,0.019,0.275,0,0.012
"P26","En blanco",0.032,0.035,0.005,0.036,0.113,0.131,0.681,0.027
"P26","No sabe",0.039,0.029,0.038,0.078,0.036,0,0.06,0.395
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.822,0.319,0.055,0.03,0.007,0.557,0.171,0.505
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.052,0.409,0.579,0.864,0.055,0,0.065,0.028
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.025,0.205,0.138,0.061,0.761,0.134,0,0.013
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.014,0.021,0.004,0.013,0.002,0.295,0.092,0.013
"P27","En blanco",0.02,0.021,0.069,0.019,0.123,0,0.504,0.073
"P27","No sabe",0.067,0.025,0.155,0.013,0.052,0.014,0.168,0.368
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.867,0.556,0.055,0.01,0.018,0.286,0.052,0.566
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.083,0.277,0.805,0.718,0.074,0.142,0.039,0.14
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0,0.026,0.056,0.082,0.684,0,0,0.132
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.011,0.027,0.009,0.051,0.009,0.572,0.04,0.019
"P28","No sabe",0.039,0.114,0.075,0.139,0.215,0,0.869,0.143
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.859,0.59,0.056,0.014,0.008,0.096,0.053,0.534
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.079,0.324,0.783,0.851,0.119,0.141,0.039,0.101
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.035,0.026,0.056,0.068,0.672,0,0,0.055
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.009,0.019,0.002,0.03,0.021,0.763,0.039,0.013
"P29","No sabe",0.018,0.041,0.103,0.037,0.18,0,0.869,0.297
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.842,0.276,0.074,0.004,0.029,0.609,0.177,0.7
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.098,0.666,0.8,0.732,0.045,0.149,0.035,0.133
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.025,0.056,0.083,0.741,0,0,0.047
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.008,0.006,0.006,0.085,0.009,0.242,0.036,0.031
"P30","No sabe",0.05,0.027,0.064,0.096,0.176,0,0.752,0.089
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.866,0.376,0.054,0.004,0.012,0.706,0.217,0.726
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.094,0.55,0.755,0.855,0.061,0.06,0.036,0.071
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.027,0.081,0.045,0.78,0,0,0.008
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.008,0.006,0.007,0.033,0.041,0.234,0.078,0.034
"P31","No sabe",0.026,0.041,0.103,0.063,0.106,0,0.669,0.161
"P32","Lo votaría",0.639,0.288,0.125,0.164,0.045,0.143,0.084,0.225
"P32","Puede que lo vote",0.188,0.107,0.247,0.398,0.21,0.465,0.418,0.369
"P32","Nunca lo votaría",0.102,0.508,0.504,0.285,0.557,0.116,0.325,0.091
"P32","No sabe",0.071,0.097,0.124,0.153,0.188,0.276,0.173,0.315
"P33","Lo votaría",0.242,0.221,0.072,0.166,0.013,0.372,0.341,0.236
"P33","Puede que lo vote",0.297,0.114,0.276,0.28,0.247,0.055,0.136,0.217
"P33","Nunca lo votaría",0.29,0.61,0.457,0.392,0.551,0.442,0.347,0.425
"P33","No sabe",0.171,0.055,0.195,0.162,0.189,0.131,0.176,0.122
"P34","Lo votaría",0.085,0.073,0.46,0.206,0.04,0,0,0.125
"P34","Puede que lo vote",0.199,0.655,0.19,0.379,0.366,0.103,0.148,0.274
"P34","Nunca lo votaría",0.526,0.186,0.207,0.234,0.381,0.754,0.631,0.382
"P34","No sabe",0.19,0.086,0.143,0.181,0.213,0.143,0.221,0.219
"P35","Lo votaría",0.039,0.07,0.546,0.608,0.132,0,0,0.086
"P35","Puede que lo vote",0.242,0.638,0.195,0.173,0.293,0.084,0.11,0.431
"P35","Nunca lo votaría",0.622,0.272,0.161,0.109,0.406,0.774,0.753,0.369
"P35","No sabe",0.097,0.02,0.098,0.11,0.169,0.142,0.137,0.114
"P36","Lo votaría",0.756,0.307,0.072,0.161,0.028,0.722,0.295,0.515
"P36","Puede que lo vote",0.066,0.034,0.205,0.211,0.319,0.12,0.077,0.198
"P36","Nunca lo votaría",0.166,0.638,0.695,0.628,0.55,0.093,0.452,0.262
"P36","No sabe",0.012,0.021,0.028,0,0.103,0.065,0.176,0.025
"P37","La votaría",0.223,0.186,0.026,0.111,0.052,0,0.052,0.119
"P37","Puede que la vote",0.41,0.629,0.194,0.238,0.261,0.777,0.068,0.374
"P37","Nunca la votaría",0.303,0.168,0.686,0.651,0.603,0.158,0.701,0.336
"P37","No sabe",0.064,0.017,0.094,0,0.084,0.065,0.179,0.171
"P38","Lo votaría",0.058,0.073,0.501,0.306,0.047,0,0,0.118
"P38","Puede que lo vote",0.177,0.604,0.172,0.447,0.314,0.463,0.195,0.406
"P38","Nunca lo votaría",0.638,0.297,0.2,0.214,0.483,0.472,0.665,0.335
"P38","No sabe",0.127,0.026,0.127,0.033,0.156,0.065,0.14,0.141
"P39","Lo votaría",0.109,0.066,0.639,0.634,0.153,0,0,0.036
"P39","Puede que lo vote",0.168,0.57,0.222,0.288,0.287,0.464,0.324,0.333
"P39","Nunca lo votaría",0.68,0.327,0.081,0.078,0.417,0.471,0.602,0.631
"P39","No sabe",0.043,0.037,0.058,0,0.143,0.065,0.074,0
"P40","Lo votaría",0.035,0,0.186,0.048,0.437,0,0,0
"P40","Puede que lo vote",0.233,0.531,0.304,0.457,0.187,0.463,0.116,0.33
"P40","Nunca lo votaría",0.66,0.433,0.349,0.374,0.223,0.311,0.81,0.525
"P40","No sabe",0.072,0.036,0.161,0.121,0.153,0.226,0.074,0.145
"P41","Lo votaría",0.528,0.223,0.037,0,0.056,0.492,0,0.235
"P41","Puede que lo vote",0.34,0.138,0.26,0.363,0.292,0.235,0.194,0.31
"P41","Nunca lo votaría",0.128,0.62,0.675,0.565,0.568,0.207,0.732,0.448
"P41","No sabe",0.004,0.019,0.028,0.072,0.084,0.066,0.074,0.007
"P42","Lo votaría",0.617,0.282,0.062,0.042,0.007,0.779,0.228,0.544
"P42","Puede que lo vote",0.215,0.101,0.215,0.333,0.352,0.125,0.114,0.177
"P42","Nunca lo votaría",0.148,0.592,0.678,0.6,0.567,0.096,0.584,0.279
"P42","No sabe",0.02,0.025,0.045,0.025,0.074,0,0.074,0
"P43","Lo votaría",0.277,0.549,0.034,0.03,0.039,0.166,0,0.147
"P43","Puede que lo vote",0.439,0.162,0.234,0.353,0.354,0.586,0.284,0.437
"P43","Nunca lo votaría",0.231,0.27,0.664,0.599,0.528,0.182,0.716,0.389
"P43","No sabe",0.053,0.019,0.068,0.018,0.079,0.066,0,0.027
"P44","La votaría",0.124,0.138,0.786,0.388,0.142,0,0,0.078
"P44","Puede que la vote",0.167,0.52,0.09,0.533,0.502,0.471,0.375,0.5
"P44","Nunca la votaría",0.666,0.322,0.098,0.079,0.227,0.529,0.551,0.338
"P44","No sabe",0.043,0.02,0.026,0,0.129,0,0.074,0.084
"P45","Lo votaría",0.068,0.02,0.433,0.771,0.118,0,0,0.019
"P45","Puede que lo vote",0.2,0.376,0.319,0.191,0.375,0.517,0.362,0.461
"P45","Nunca lo votaría",0.699,0.579,0.202,0.038,0.378,0.483,0.638,0.466
"P45","No sabe",0.033,0.025,0.046,0,0.129,0,0,0.054
"P46","Lo votaría",0.031,0.005,0.174,0.185,0.814,0,0,0.04
"P46","Puede que lo vote",0.227,0.131,0.352,0.473,0.069,0.52,0.271,0.405
"P46","Nunca lo votaría",0.719,0.845,0.387,0.278,0.063,0.48,0.654,0.503
"P46","No sabe",0.023,0.019,0.087,0.064,0.054,0,0.075,0.052
"P47","Si",0.49,0.679,0.543,0.311,0.456,0.579,0.574,0.41
"P47","No",0.51,0.321,0.457,0.689,0.544,0.421,0.426,0.59
