"var","categoria","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.062,0.148,0.035,0.272,0.094,0.07
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.011,0.027,0.729,0.009,0.388,0.074
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.002,0.004,0.198,0,0.01
"P11","En blanco",0.011,0.014,0,0.017,0.238,0.028
"P11","No sabe",0.059,0.043,0.022,0.155,0.048,0.475
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.763,0.064,0.02,0.204,0.083,0.126
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.088,0.017,0.004,0.13,0.041,0.031
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.062,0.694,0.089,0,0.077,0.076
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.024,0.153,0.058,0.234,0.131,0.085
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.031,0.798,0.078,0.333,0.028
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0,0.009,0.223,0.04,0.014
"P13","En blanco",0,0.009,0,0.103,0.277,0.046
"P13","No sabe",0.045,0.032,0.022,0.028,0.018,0.594
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.729,0.085,0.019,0.121,0.024,0.221
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.074,0.021,0.05,0.041,0.117,0.031
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.13,0.718,0.083,0.129,0.054,0.073
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.014,0.122,0.038,0.323,0.145,0.096
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.026,0.8,0.088,0.376,0.028
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.005,0.004,0.27,0,0.011
"P15","En blanco",0.013,0.007,0,0,0.263,0.046
"P15","No sabe",0.028,0.016,0.006,0.028,0.021,0.494
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.694,0.051,0.01,0.261,0.042,0.132
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.127,0.042,0.041,0.039,0.048,0.042
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.053,0.711,0.071,0.029,0.114,0.141
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.015,0.115,0.05,0.234,0.135,0.104
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.048,0.822,0.088,0.306,0.031
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0.006,0,0.321,0,0.006
"P17","En blanco",0.014,0.006,0,0,0.333,0.05
"P17","No sabe",0.078,0.021,0.006,0.028,0.022,0.494
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.76,0.077,0.006,0.157,0.009,0.09
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.053,0.036,0.013,0.017,0.044,0.039
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.083,0.688,0.069,0.025,0.129,0.051
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.032,0.138,0.065,0.323,0.135,0.115
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.04,0.826,0.097,0.302,0.013
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0.008,0.006,0.278,0.04,0.011
"P19","En blanco",0.013,0.004,0.006,0,0.313,0.064
"P19","No sabe",0.041,0.009,0.009,0.103,0.028,0.617
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.704,0.062,0.015,0.268,0.106,0.223
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.149,0.035,0.009,0.065,0.048,0.066
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.08,0.699,0.06,0,0.059,0.072
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.009,0.149,0.066,0.227,0.135,0.107
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.005,0.025,0.832,0.088,0.302,0
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.012,0.004,0.146,0,0.011
"P21","En blanco",0.019,0.005,0.006,0,0.334,0.066
"P21","No sabe",0.032,0.013,0.008,0.206,0.016,0.455
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.796,0.018,0,0.25,0.068,0.168
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.091,0.863,0.07,0.152,0.068,0.096
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.074,0.897,0.181,0.096,0.065
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0,0.004,0.362,0,0
"P22","En blanco",0.019,0.016,0.02,0,0.656,0.013
"P22","No sabe",0.069,0.029,0.009,0.055,0.112,0.658
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.831,0.03,0,0.12,0.146,0.123
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.051,0.657,0.08,0.21,0.122,0.129
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.033,0.107,0.909,0.198,0,0.041
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0.002,0.004,0.435,0,0
"P23","En blanco",0.011,0.066,0.004,0,0.687,0.038
"P23","No sabe",0.067,0.138,0.003,0.037,0.045,0.669
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.943,0.03,0.008,0.12,0.01,0.055
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.019,0.643,0.115,0.174,0.087,0.103
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.111,0.85,0.076,0.07,0.03
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.005,0,0.468,0,0
"P25","En blanco",0.01,0.085,0,0.162,0.789,0.021
"P25","No sabe",0.011,0.126,0.027,0,0.044,0.791
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.851,0.033,0.009,0.275,0.034,0.218
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.094,0.887,0.084,0.177,0.044,0.055
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.032,0.871,0.206,0.106,0.015
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0.015,0,0.342,0.025,0
"P26","En blanco",0.015,0.02,0.004,0,0.757,0.063
"P26","No sabe",0.017,0.013,0.032,0,0.034,0.649
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.838,0.025,0.005,0.274,0.018,0.242
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.065,0.676,0.097,0.202,0.087,0.137
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.041,0.102,0.85,0.205,0.089,0.016
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.003,0,0.319,0.018,0.045
"P27","En blanco",0.018,0.068,0,0,0.727,0.025
"P27","No sabe",0.032,0.126,0.048,0,0.061,0.535
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.907,0.023,0.005,0.111,0.02,0.369
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.04,0.896,0.075,0.013,0.005,0.191
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.046,0.728,0.11,0.152,0.045
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.017,0.007,0.012,0.596,0,0.021
"P28","No sabe",0.033,0.028,0.18,0.17,0.823,0.374
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.885,0.021,0.003,0.217,0.03,0.269
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.037,0.87,0.174,0.162,0.078,0.219
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.029,0.051,0.67,0,0.173,0.05
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.02,0.007,0.007,0.621,0,0.023
"P29","No sabe",0.029,0.051,0.146,0,0.719,0.439
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.852,0.039,0.008,0.323,0.014,0.319
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.118,0.875,0.114,0.115,0.049,0.212
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.05,0.742,0.012,0.144,0.134
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.012,0.007,0.379,0.034,0.025
"P30","No sabe",0.024,0.024,0.129,0.171,0.759,0.31
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.88,0.014,0.038,0.291,0.037,0.264
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.118,0.858,0.074,0.097,0.044,0.259
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0,0.074,0.779,0.129,0.141,0.033
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.005,0.043,0.303,0.037,0.07
"P31","No sabe",0.002,0.049,0.066,0.18,0.741,0.374
"P32","Lo votaría",0.574,0.115,0.061,0.232,0.07,0.193
"P32","Puede que lo vote",0.19,0.257,0.23,0.282,0.274,0.399
"P32","Nunca lo votaría",0.155,0.502,0.536,0.095,0.508,0.103
"P32","No sabe",0.081,0.126,0.173,0.391,0.148,0.305
"P33","Lo votaría",0.247,0.097,0.043,0.124,0.187,0.117
"P33","Puede que lo vote",0.287,0.278,0.259,0.034,0.119,0.065
"P33","Nunca lo votaría",0.331,0.476,0.504,0.465,0.52,0.486
"P33","No sabe",0.135,0.149,0.194,0.377,0.174,0.332
"P34","Lo votaría",0.044,0.475,0.04,0,0,0.06
"P34","Puede que lo vote",0.293,0.26,0.385,0.229,0.129,0.077
"P34","Nunca lo votaría",0.49,0.171,0.334,0.565,0.689,0.415
"P34","No sabe",0.173,0.094,0.241,0.206,0.182,0.448
"P35","Lo votaría",0.025,0.533,0.17,0.245,0.051,0.294
"P35","Puede que lo vote",0.294,0.253,0.322,0.128,0.077,0.21
"P35","Nunca lo votaría",0.586,0.134,0.367,0.508,0.647,0.293
"P35","No sabe",0.095,0.08,0.141,0.119,0.225,0.203
"P36","Lo votaría",0.752,0.071,0.02,0.334,0.056,0.218
"P36","Puede que lo vote",0.041,0.233,0.299,0.401,0.09,0.171
"P36","Nunca lo votaría",0.198,0.681,0.624,0.191,0.673,0.363
"P36","No sabe",0.009,0.015,0.057,0.074,0.181,0.248
"P37","La votaría",0.253,0.03,0.047,0.021,0,0.013
"P37","Puede que la vote",0.465,0.211,0.271,0.774,0.119,0.216
"P37","Nunca la votaría",0.204,0.707,0.633,0.15,0.7,0.488
"P37","No sabe",0.078,0.052,0.049,0.055,0.181,0.283
"P38","Lo votaría",0.025,0.506,0.063,0,0.028,0.127
"P38","Puede que lo vote",0.301,0.227,0.305,0.614,0.081,0.299
"P38","Nunca lo votaría",0.555,0.188,0.49,0.313,0.665,0.337
"P38","No sabe",0.119,0.079,0.142,0.073,0.226,0.237
"P39","Lo votaría",0.037,0.683,0.156,0.298,0.111,0.151
"P39","Puede que lo vote",0.272,0.239,0.314,0.477,0.026,0.301
"P39","Nunca lo votaría",0.645,0.046,0.438,0.17,0.68,0.325
"P39","No sabe",0.046,0.032,0.092,0.055,0.183,0.223
"P40","Lo votaría",0.031,0.11,0.484,0,0.278,0.033
"P40","Puede que lo vote",0.284,0.396,0.157,0.586,0.073,0.163
"P40","Nunca lo votaría",0.615,0.348,0.269,0.189,0.456,0.438
"P40","No sabe",0.07,0.146,0.09,0.225,0.193,0.366
"P41","Lo votaría",0.487,0.025,0.059,0.294,0.02,0.168
"P41","Puede que lo vote",0.313,0.299,0.28,0.316,0.143,0.185
"P41","Nunca lo votaría",0.197,0.651,0.631,0.336,0.657,0.395
"P41","No sabe",0.003,0.025,0.03,0.054,0.18,0.252
"P42","Lo votaría",0.672,0.016,0.003,0.54,0.059,0.149
"P42","Puede que lo vote",0.175,0.271,0.339,0.102,0.074,0.239
"P42","Nunca lo votaría",0.142,0.683,0.631,0.254,0.687,0.4
"P42","No sabe",0.011,0.03,0.027,0.104,0.18,0.212
"P43","Lo votaría",0.37,0.024,0.041,0.045,0,0.013
"P43","Puede que lo vote",0.418,0.271,0.32,0.772,0.137,0.292
"P43","Nunca lo votaría",0.156,0.681,0.587,0.129,0.683,0.491
"P43","No sabe",0.056,0.024,0.052,0.054,0.18,0.204
"P44","La votaría",0.054,0.754,0.189,0,0.256,0.074
"P44","Puede que la vote",0.277,0.17,0.509,0.563,0.138,0.385
"P44","Nunca la votaría",0.626,0.064,0.233,0.265,0.392,0.36
"P44","No sabe",0.043,0.012,0.069,0.172,0.214,0.181
"P45","Lo votaría",0.02,0.52,0.119,0.28,0.057,0.134
"P45","Puede que lo vote",0.226,0.346,0.39,0.475,0.069,0.319
"P45","Nunca lo votaría",0.724,0.102,0.414,0.226,0.685,0.359
"P45","No sabe",0.03,0.032,0.077,0.019,0.189,0.188
"P46","Lo votaría",0.02,0.171,0.811,0.191,0.285,0.026
"P46","Puede que lo vote",0.22,0.362,0.125,0.588,0.023,0.338
"P46","Nunca lo votaría",0.75,0.377,0.064,0.221,0.507,0.427
"P46","No sabe",0.01,0.09,0,0,0.185,0.209
"P47","Si",0.561,0.479,0.5,0.726,0.184,0.405
"P47","No",0.439,0.521,0.5,0.274,0.816,0.595
