"var","categoria","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","No sabe"
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.886,0.105,0.007,0.049,0.047
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.026,0.629,0.13,0.245,0.078
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.108,0.789,0.144,0.283
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.021,0,0,0.391,0.056
"P25","En blanco",0.01,0.048,0.056,0.079,0.355
"P25","No sabe",0.049,0.11,0.018,0.092,0.181
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.95,0.003,0.008,0.174,0.02
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.004,0.901,0.102,0.27,0.076
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.056,0.802,0.079,0.345
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0,0,0.477,0
"P26","En blanco",0.001,0.019,0.05,0,0.371
"P26","No sabe",0.026,0.021,0.038,0,0.188
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.937,0.007,0,0.174,0.02
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.016,0.707,0.106,0.3,0.076
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.126,0.808,0.079,0.306
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.002,0,0.368,0.042
"P27","En blanco",0.005,0.052,0.054,0,0.37
"P27","No sabe",0.025,0.106,0.032,0.079,0.186
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.889,0.08,0.005,0,0.078
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.029,0.864,0.055,0.079,0.048
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.018,0.88,0.218,0.003
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.031,0.002,0,0.703,0
"P28","No sabe",0.042,0.036,0.06,0,0.871
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.871,0.078,0.003,0,0.109
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.034,0.854,0.139,0.146,0.064
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.023,0.818,0.219,0.012
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.04,0,0.016,0.635,0
"P29","No sabe",0.048,0.045,0.024,0,0.815
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.977,0.026,0.002,0.049,0.073
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.011,0.889,0.082,0.122,0.039
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.04,0.916,0.128,0.075
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0,0.701,0.092
"P31","No sabe",0.003,0.045,0,0,0.721
"P32","Lo votaría",0.641,0.114,0.027,0.296,0.041
"P32","Puede que lo vote",0.231,0.256,0.216,0.127,0.25
"P32","Nunca lo votaría",0.044,0.515,0.657,0.144,0.305
"P32","No sabe",0.084,0.115,0.1,0.433,0.404
"P33","Lo votaría",0.279,0.095,0.008,0.217,0.121
"P33","Puede que lo vote",0.328,0.239,0.222,0.178,0.141
"P33","Nunca lo votaría",0.252,0.523,0.577,0.256,0.457
"P33","No sabe",0.141,0.143,0.193,0.349,0.281
"P34","Lo votaría",0.062,0.419,0.035,0,0.02
"P34","Puede que lo vote",0.216,0.317,0.348,0.333,0.209
"P34","Nunca lo votaría",0.539,0.177,0.366,0.189,0.479
"P34","No sabe",0.183,0.087,0.251,0.478,0.292
"P35","Lo votaría",0.03,0.498,0.145,0.062,0.209
"P35","Puede que lo vote",0.233,0.318,0.281,0.299,0.152
"P35","Nunca lo votaría",0.661,0.122,0.424,0.257,0.335
"P35","No sabe",0.076,0.062,0.15,0.382,0.304
"P36","Lo votaría",0.848,0.053,0.011,0.151,0.068
"P36","Puede que lo vote",0.057,0.209,0.297,0.352,0.18
"P36","Nunca lo votaría",0.093,0.732,0.625,0.435,0.483
"P36","No sabe",0.002,0.006,0.067,0.062,0.269
"P37","La votaría",0.266,0.027,0.054,0.085,0.003
"P37","Puede que la vote",0.426,0.285,0.235,0.488,0.198
"P37","Nunca la votaría",0.223,0.656,0.654,0.366,0.515
"P37","No sabe",0.085,0.032,0.057,0.061,0.284
"P38","Lo votaría",0.028,0.457,0.056,0.152,0.048
"P38","Puede que lo vote",0.234,0.272,0.339,0.594,0.203
"P38","Nunca lo votaría",0.624,0.2,0.458,0.193,0.452
"P38","No sabe",0.114,0.071,0.147,0.061,0.297
"P39","Lo votaría",0.045,0.621,0.167,0.123,0.104
"P39","Puede que lo vote",0.206,0.284,0.321,0.654,0.186
"P39","Nunca lo votaría",0.712,0.079,0.398,0.162,0.44
"P39","No sabe",0.037,0.016,0.114,0.061,0.27
"P40","Lo votaría",0.031,0.11,0.478,0.095,0.206
"P40","Puede que lo vote",0.244,0.389,0.165,0.352,0.245
"P40","Nunca lo votaría",0.657,0.368,0.243,0.34,0.284
"P40","No sabe",0.068,0.133,0.114,0.213,0.265
"P41","Lo votaría",0.541,0.019,0.062,0.089,0.056
"P41","Puede que lo vote",0.339,0.254,0.29,0.47,0.216
"P41","Nunca lo votaría",0.112,0.708,0.61,0.38,0.517
"P41","No sabe",0.008,0.019,0.038,0.061,0.211
"P42","Lo votaría",0.735,0.016,0.006,0.357,0.03
"P42","Puede que lo vote",0.193,0.233,0.351,0.209,0.214
"P42","Nunca lo votaría",0.059,0.735,0.612,0.339,0.516
"P42","No sabe",0.013,0.016,0.031,0.095,0.24
"P43","Lo votaría",0.314,0.066,0.049,0.029,0.061
"P43","Puede que lo vote",0.446,0.271,0.313,0.548,0.227
"P43","Nunca lo votaría",0.178,0.642,0.587,0.363,0.517
"P43","No sabe",0.062,0.021,0.051,0.06,0.195
"P44","La votaría",0.047,0.694,0.188,0.153,0.167
"P44","Puede que la vote",0.243,0.212,0.466,0.601,0.385
"P44","Nunca la votaría",0.677,0.082,0.262,0.246,0.197
"P44","No sabe",0.033,0.012,0.084,0,0.251
"P45","Lo votaría",0.013,0.5,0.105,0.216,0.083
"P45","Puede que lo vote",0.247,0.296,0.357,0.56,0.398
"P45","Nunca lo votaría",0.709,0.185,0.437,0.224,0.32
"P45","No sabe",0.031,0.019,0.101,0,0.199
"P46","Lo votaría",0.01,0.154,0.75,0.118,0.504
"P46","Puede que lo vote",0.249,0.325,0.155,0.567,0.125
"P46","Nunca lo votaría",0.732,0.449,0.073,0.315,0.178
"P46","No sabe",0.009,0.072,0.022,0,0.193
"P47","Si",0.536,0.526,0.487,0.381,0.303
"P47","No",0.464,0.474,0.513,0.619,0.697
