"var","categoria","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.009,0.2,0.048,0,0.108,0.02
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.013,0.045,0.704,0.098,0.253,0.062
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.01,0,0.464,0.025,0.005
"P17","En blanco",0.013,0.008,0.007,0,0.244,0.019
"P17","No sabe",0.079,0.016,0.008,0.098,0.033,0.32
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.763,0.063,0.025,0.062,0.03,0.103
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.055,0.035,0.012,0.028,0.057,0.035
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.062,0.611,0.19,0.028,0.284,0.329
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.045,0.237,0.039,0,0.116,0.02
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.021,0.038,0.707,0.098,0.219,0.049
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.008,0.006,0.566,0.03,0.008
"P19","En blanco",0.019,0.005,0.013,0,0.23,0.01
"P19","No sabe",0.03,0.003,0.008,0.218,0.034,0.446
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.699,0.069,0.045,0.377,0.047,0.155
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.148,0.036,0.008,0.068,0.078,0.026
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.082,0.602,0.165,0.082,0.257,0.347
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.007,0.237,0.047,0,0.132,0.038
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.037,0.714,0.016,0.216,0.039
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0.01,0,0.239,0,0.008
"P21","En blanco",0.018,0.006,0.013,0,0.254,0.031
"P21","No sabe",0.03,0.003,0.008,0.218,0.016,0.356
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.777,0.038,0.009,0.165,0.068,0.119
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.088,0.778,0.184,0.082,0.359,0.397
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.015,0.108,0.775,0.166,0.045,0.06
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.013,0.002,0.445,0,0
"P22","En blanco",0.015,0.017,0.019,0.052,0.469,0.003
"P22","No sabe",0.083,0.046,0.011,0.09,0.059,0.421
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.841,0.007,0.023,0.125,0.113,0.093
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.031,0.872,0.076,0.082,0.114,0.113
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.043,0.053,0.882,0.218,0.035,0.061
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.016,0,0.513,0,0
"P23","En blanco",0.015,0.015,0.005,0,0.654,0.05
"P23","No sabe",0.062,0.037,0.014,0.062,0.084,0.683
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.938,0.023,0.012,0.162,0.036,0.031
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.032,0.828,0.189,0.082,0.323,0.371
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.078,0.754,0,0,0.041
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.02,0.011,0.756,0.053,0
"P24","En blanco",0.002,0.021,0.022,0,0.569,0.025
"P24","No sabe",0.013,0.03,0.012,0,0.019,0.532
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.855,0.05,0,0.27,0.042,0.135
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.089,0.878,0.164,0,0.308,0.356
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.013,0.036,0.812,0.225,0.017,0.01
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.004,0.01,0.425,0.022,0.014
"P26","En blanco",0.011,0.011,0.01,0.08,0.581,0.021
"P26","No sabe",0.021,0.021,0.004,0,0.03,0.464
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.843,0.046,0.004,0.241,0.051,0.151
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.074,0.858,0.076,0,0.097,0.075
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.038,0.049,0.891,0.173,0.038,0.014
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.008,0.007,0.454,0.02,0.008
"P27","En blanco",0.011,0.008,0.002,0.132,0.739,0.043
"P27","No sabe",0.03,0.031,0.02,0,0.055,0.709
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.894,0.014,0.003,0.276,0.074,0.215
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.05,0.812,0.191,0.085,0.259,0.543
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.082,0.648,0,0.086,0.045
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.016,0.032,0.012,0.436,0,0
"P28","No sabe",0.033,0.06,0.146,0.203,0.581,0.197
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.887,0,0.003,0.252,0.071,0.169
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.045,0.905,0.214,0,0.213,0.437
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.029,0.054,0.627,0.062,0.097,0.058
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.011,0.017,0.012,0.686,0.04,0
"P29","No sabe",0.028,0.024,0.144,0,0.579,0.336
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.853,0.028,0.011,0.324,0.044,0.187
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.125,0.841,0.185,0,0.261,0.52
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.086,0.662,0,0.151,0.042
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.017,0.012,0.385,0.022,0.022
"P30","No sabe",0.015,0.028,0.13,0.291,0.522,0.229
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.874,0.047,0.003,0.338,0.04,0.169
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.122,0.844,0.163,0.058,0.157,0.425
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.084,0.717,0,0.153,0.022
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.004,0.022,0.357,0.023,0.133
"P31","No sabe",0,0.021,0.095,0.247,0.627,0.251
"P32","Lo votaría",0.567,0.117,0.079,0.102,0.076,0.188
"P32","Puede que lo vote",0.192,0.312,0.24,0.155,0.224,0.177
"P32","Nunca lo votaría",0.17,0.431,0.555,0.074,0.465,0.396
"P32","No sabe",0.071,0.14,0.126,0.669,0.235,0.239
"P33","Lo votaría",0.252,0.093,0.047,0.308,0.156,0.066
"P33","Puede que lo vote",0.285,0.286,0.266,0.063,0.111,0.104
"P33","Nunca lo votaría",0.339,0.479,0.492,0.172,0.469,0.582
"P33","No sabe",0.124,0.142,0.195,0.457,0.264,0.248
"P34","Lo votaría",0.055,0.369,0.165,0,0.091,0.281
"P34","Puede que lo vote",0.29,0.312,0.297,0.289,0.214,0.127
"P34","Nunca lo votaría",0.488,0.2,0.331,0.395,0.473,0.332
"P34","No sabe",0.167,0.119,0.207,0.316,0.222,0.26
"P35","Lo votaría",0.032,0.544,0.209,0.113,0.11,0.335
"P35","Puede que lo vote",0.298,0.29,0.237,0.084,0.213,0.237
"P35","Nunca lo votaría",0.583,0.104,0.419,0.62,0.426,0.219
"P35","No sabe",0.087,0.062,0.135,0.183,0.251,0.209
"P36","Lo votaría",0.75,0.039,0.064,0.331,0.109,0.162
"P36","Puede que lo vote",0.048,0.248,0.291,0.155,0.129,0.168
"P36","Nunca lo votaría",0.193,0.706,0.583,0.43,0.559,0.545
"P36","No sabe",0.009,0.007,0.062,0.084,0.203,0.125
"P37","La votaría",0.258,0.009,0.073,0.032,0,0.004
"P37","Puede que la vote",0.47,0.237,0.261,0.574,0.138,0.212
"P37","Nunca la votaría",0.194,0.723,0.611,0.197,0.621,0.618
"P37","No sabe",0.078,0.031,0.055,0.197,0.241,0.166
"P38","Lo votaría",0.028,0.411,0.162,0,0.196,0.351
"P38","Puede que lo vote",0.3,0.283,0.262,0.496,0.193,0.167
"P38","Nunca lo votaría",0.554,0.208,0.468,0.421,0.374,0.33
"P38","No sabe",0.118,0.098,0.108,0.083,0.237,0.152
"P39","Lo votaría",0.036,0.699,0.223,0,0.147,0.3
"P39","Puede que lo vote",0.278,0.222,0.317,0.312,0.255,0.21
"P39","Nunca lo votaría",0.642,0.062,0.374,0.605,0.398,0.314
"P39","No sabe",0.044,0.017,0.086,0.083,0.2,0.176
"P40","Lo votaría",0.032,0.111,0.486,0,0.078,0.053
"P40","Puede que lo vote",0.291,0.397,0.246,0.312,0.148,0.072
"P40","Nunca lo votaría",0.622,0.387,0.155,0.284,0.524,0.496
"P40","No sabe",0.055,0.105,0.113,0.404,0.25,0.379
"P41","Lo votaría",0.481,0.028,0.049,0.328,0.085,0.14
"P41","Puede que lo vote",0.309,0.282,0.34,0.375,0.144,0.153
"P41","Nunca lo votaría",0.207,0.666,0.583,0.215,0.576,0.574
"P41","No sabe",0.003,0.024,0.028,0.082,0.195,0.133
"P42","Lo votaría",0.675,0.041,0,0.507,0.051,0.085
"P42","Puede que lo vote",0.164,0.264,0.362,0.27,0.096,0.215
"P42","Nunca lo votaría",0.15,0.682,0.609,0.095,0.588,0.595
"P42","No sabe",0.011,0.013,0.029,0.128,0.265,0.105
"P43","Lo votaría",0.373,0.042,0.003,0.246,0.023,0.016
"P43","Puede que lo vote",0.427,0.249,0.393,0.366,0.146,0.239
"P43","Nunca lo votaría",0.144,0.691,0.557,0.306,0.639,0.624
"P43","No sabe",0.056,0.018,0.047,0.082,0.192,0.121
"P44","La votaría",0.048,0.694,0.281,0,0.303,0.424
"P44","Puede que la vote",0.289,0.183,0.475,0.31,0.173,0.283
"P44","Nunca la votaría",0.624,0.093,0.199,0.575,0.329,0.17
"P44","No sabe",0.039,0.03,0.045,0.115,0.195,0.123
"P45","Lo votaría",0.016,0.582,0.156,0,0.076,0.129
"P45","Puede que lo vote",0.233,0.3,0.402,0.425,0.227,0.395
"P45","Nunca lo votaría",0.721,0.084,0.399,0.575,0.52,0.281
"P45","No sabe",0.03,0.034,0.043,0,0.177,0.195
"P46","Lo votaría",0.015,0.174,0.773,0.149,0.07,0.115
"P46","Puede que lo vote",0.218,0.395,0.181,0.312,0.114,0.209
"P46","Nunca lo votaría",0.758,0.349,0.042,0.539,0.596,0.515
"P46","No sabe",0.009,0.082,0.004,0,0.22,0.161
"P47","Si",0.57,0.494,0.488,0.303,0.272,0.462
"P47","No",0.43,0.506,0.512,0.697,0.728,0.538
