"var","categoria","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.078,0.008,0.095,0.918,0.064,0.022,0.052
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.011,0.009,0.016,0.018,0.372,0,0
"P17","En blanco",0.01,0.025,0.001,0.001,0,0.09,0.746,0.077
"P17","No sabe",0.063,0.075,0.002,0.006,0.005,0.299,0.089,0.671
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.682,0.203,0.159,0.061,0.003,0.265,0.157,0.222
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.087,0.462,0.02,0.133,0.011,0.023,0.047,0.067
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.171,0.016,0.772,0.087,0.049,0.057,0,0.012
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.014,0.226,0.031,0.668,0.006,0,0,0.004
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.005,0.042,0.008,0.002,0.924,0.012,0,0
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.007,0.003,0.031,0,0.403,0.108,0.013
"P21","En blanco",0.017,0.016,0,0.009,0.007,0.083,0.637,0.04
"P21","No sabe",0.023,0.028,0.007,0.009,0,0.157,0.051,0.642
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.725,0.46,0.091,0.067,0.014,0.21,0.245,0.183
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.17,0.235,0.826,0.444,0.049,0.036,0.025,0.103
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.124,0.074,0.201,0.792,0.042,0.033,0.093
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.019,0.002,0.033,0.003,0.385,0,0.006
"P22","En blanco",0.017,0.07,0.005,0.071,0.138,0,0.576,0.022
"P22","No sabe",0.069,0.092,0.002,0.184,0.004,0.327,0.121,0.593
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.772,0.536,0.095,0.047,0.029,0.14,0.254,0.16
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.093,0.214,0.563,0.741,0.023,0.057,0.084,0.048
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.025,0.07,0.111,0.115,0.812,0.085,0.035,0.135
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0,0.004,0.034,0.002,0.424,0,0.009
"P23","En blanco",0.01,0.081,0.082,0.044,0.13,0,0.551,0.01
"P23","No sabe",0.096,0.099,0.145,0.019,0.004,0.294,0.076,0.638
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.859,0.447,0.092,0.106,0.015,0.174,0.138,0.181
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.093,0.326,0.821,0.495,0.074,0.142,0.041,0.043
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.059,0.042,0.119,0.789,0.057,0.034,0.023
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0.013,0.003,0.096,0.015,0.437,0,0.04
"P24","En blanco",0.002,0.072,0.028,0.087,0.101,0.139,0.62,0.024
"P24","No sabe",0.026,0.083,0.014,0.097,0.006,0.051,0.167,0.689
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.869,0.458,0.071,0.149,0.037,0.084,0.194,0.136
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.058,0.235,0.568,0.64,0.055,0.112,0.042,0.011
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.018,0.061,0.134,0.08,0.762,0.069,0.079,0.023
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.013,0.002,0,0.01,0.544,0,0.056
"P25","En blanco",0.009,0.13,0.09,0.107,0.106,0.141,0.647,0.043
"P25","No sabe",0.042,0.103,0.135,0.024,0.03,0.05,0.038,0.731
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.771,0.507,0.085,0.073,0.029,0.419,0.257,0.314
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.162,0.194,0.828,0.644,0.051,0.089,0.046,0.022
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.013,0.091,0.054,0.099,0.783,0.019,0,0.068
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.012,0.064,0.007,0.046,0.002,0.283,0,0
"P26","En blanco",0.017,0.038,0.019,0.034,0.111,0.139,0.657,0.058
"P26","No sabe",0.025,0.106,0.007,0.104,0.024,0.051,0.04,0.538
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.777,0.48,0.076,0.077,0.005,0.305,0.273,0.316
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.121,0.179,0.572,0.789,0.069,0,0.036,0.031
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.029,0.071,0.145,0.097,0.757,0.186,0,0.063
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.043,0.005,0.011,0.002,0.306,0.099,0.013
"P27","En blanco",0.013,0.154,0.075,0.016,0.111,0,0.541,0.051
"P27","No sabe",0.051,0.073,0.127,0.01,0.056,0.203,0.051,0.526
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.816,0.528,0.058,0.105,0.019,0.41,0.266,0.428
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.134,0.167,0.818,0.617,0.079,0.068,0,0.14
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.144,0.06,0.007,0.692,0.077,0,0.045
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.017,0.016,0.012,0.073,0.009,0.445,0,0.02
"P28","No sabe",0.029,0.145,0.052,0.198,0.201,0,0.734,0.367
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.82,0.585,0.054,0.109,0.018,0.066,0.281,0.369
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.113,0.233,0.8,0.799,0.108,0.169,0,0.086
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.03,0,0.061,0,0.686,0.078,0,0.061
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.012,0.089,0.004,0.057,0.01,0.687,0,0
"P29","No sabe",0.025,0.093,0.081,0.035,0.178,0,0.719,0.484
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.78,0.541,0.061,0.073,0.034,0.543,0.285,0.41
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.2,0.2,0.823,0.77,0.039,0.079,0,0.122
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.001,0.154,0.054,0.046,0.738,0.027,0,0.051
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.009,0,0.019,0.025,0.009,0.351,0,0.034
"P30","No sabe",0.01,0.105,0.043,0.086,0.18,0,0.715,0.383
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.8,0.457,0.061,0.163,0.02,0.4,0.294,0.396
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.192,0.281,0.76,0.758,0.055,0.143,0,0.048
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.154,0.088,0.007,0.778,0.156,0,0.009
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0,0.012,0.011,0.042,0.301,0.073,0.038
"P31","No sabe",0,0.108,0.079,0.061,0.105,0,0.633,0.509
"P32","Lo votaría",0.521,0.407,0.141,0.195,0.042,0.385,0.137,0.32
"P32","Puede que lo vote",0.206,0.286,0.247,0.371,0.204,0.212,0.269,0.237
"P32","Nunca lo votaría",0.175,0.179,0.515,0.334,0.578,0.11,0.274,0.056
"P32","No sabe",0.098,0.128,0.097,0.1,0.176,0.293,0.32,0.387
"P33","Lo votaría",0.204,0.212,0.097,0.186,0.026,0.381,0.374,0.158
"P33","Puede que lo vote",0.287,0.412,0.276,0.213,0.236,0.2,0.046,0.062
"P33","Nunca lo votaría",0.352,0.234,0.468,0.471,0.562,0.28,0.413,0.36
"P33","No sabe",0.157,0.142,0.159,0.13,0.176,0.139,0.167,0.42
"P34","Lo votaría",0.124,0,0.438,0.2,0.039,0.09,0,0.056
"P34","Puede que lo vote",0.271,0.419,0.195,0.433,0.357,0.29,0.073,0.242
"P34","Nunca lo votaría",0.453,0.253,0.227,0.301,0.4,0.468,0.671,0.19
"P34","No sabe",0.152,0.328,0.14,0.066,0.204,0.152,0.256,0.512
"P35","Lo votaría",0.1,0.118,0.504,0.463,0.129,0.092,0,0.097
"P35","Puede que lo vote",0.284,0.202,0.237,0.311,0.287,0.212,0.074,0.382
"P35","Nunca lo votaría",0.544,0.51,0.175,0.174,0.413,0.547,0.734,0.221
"P35","No sabe",0.072,0.17,0.084,0.052,0.171,0.149,0.192,0.3
"P36","Lo votaría",0.678,0.588,0.076,0.2,0.023,0.384,0.39,0.327
"P36","Puede que lo vote",0.059,0.049,0.211,0.165,0.314,0.302,0.072,0.259
"P36","Nunca lo votaría",0.261,0.235,0.711,0.635,0.556,0.246,0.374,0.198
"P36","No sabe",0.002,0.128,0.002,0,0.107,0.068,0.164,0.216
"P37","La votaría",0.207,0.39,0.018,0.106,0.054,0.026,0.047,0.043
"P37","Puede que la vote",0.436,0.206,0.243,0.313,0.253,0.576,0.197,0.295
"P37","Nunca la votaría",0.279,0.188,0.71,0.581,0.607,0.33,0.5,0.327
"P37","No sabe",0.078,0.216,0.029,0,0.086,0.068,0.256,0.335
"P38","Lo votaría",0.081,0,0.508,0.252,0.038,0.093,0,0.122
"P38","Puede que lo vote",0.275,0.429,0.166,0.444,0.307,0.351,0.15,0.342
"P38","Nunca lo votaría",0.515,0.39,0.243,0.289,0.491,0.488,0.722,0.257
"P38","No sabe",0.129,0.181,0.083,0.015,0.164,0.068,0.128,0.279
"P39","Lo votaría",0.101,0.213,0.625,0.551,0.157,0.093,0,0.031
"P39","Puede que lo vote",0.273,0.265,0.243,0.271,0.273,0.296,0.189,0.315
"P39","Nunca lo votaría",0.588,0.386,0.108,0.178,0.423,0.543,0.747,0.428
"P39","No sabe",0.038,0.136,0.024,0,0.147,0.068,0.064,0.226
"P40","Lo votaría",0.052,0.052,0.17,0.047,0.435,0.031,0,0
"P40","Puede que lo vote",0.263,0.259,0.362,0.468,0.18,0.296,0.102,0.234
"P40","Nunca lo votaría",0.63,0.474,0.329,0.426,0.232,0.345,0.834,0.362
"P40","No sabe",0.055,0.215,0.139,0.059,0.153,0.328,0.064,0.404
"P41","Lo votaría",0.43,0.491,0.03,0.086,0.051,0.267,0.217,0.291
"P41","Puede que lo vote",0.317,0.133,0.279,0.314,0.292,0.366,0.099,0.245
"P41","Nunca lo votaría",0.249,0.23,0.691,0.541,0.584,0.3,0.601,0.258
"P41","No sabe",0.004,0.146,0,0.059,0.073,0.067,0.083,0.206
"P42","Lo votaría",0.585,0.474,0.054,0.103,0.005,0.528,0.259,0.316
"P42","Puede que lo vote",0.16,0.044,0.254,0.298,0.353,0.27,0.216,0.19
"P42","Nunca lo votaría",0.236,0.253,0.684,0.578,0.578,0.202,0.46,0.297
"P42","No sabe",0.019,0.229,0.008,0.021,0.064,0,0.065,0.197
"P43","Lo votaría",0.296,0.477,0.034,0.028,0.057,0.224,0.065,0.104
"P43","Puede que lo vote",0.425,0.086,0.262,0.363,0.331,0.383,0.456,0.225
"P43","Nunca lo votaría",0.23,0.291,0.667,0.594,0.545,0.326,0.461,0.441
"P43","No sabe",0.049,0.146,0.037,0.015,0.067,0.067,0.018,0.23
"P44","La votaría",0.118,0.042,0.839,0.35,0.131,0.093,0,0.046
"P44","Puede que la vote",0.275,0.47,0.076,0.481,0.492,0.323,0.277,0.359
"P44","Nunca la votaría",0.579,0.355,0.076,0.169,0.259,0.584,0.659,0.293
"P44","No sabe",0.028,0.133,0.009,0,0.118,0,0.064,0.302
"P45","Lo votaría",0.072,0.134,0.422,0.631,0.123,0.094,0,0.011
"P45","Puede que lo vote",0.247,0.386,0.34,0.237,0.362,0.338,0.22,0.345
"P45","Nunca lo votaría",0.662,0.347,0.207,0.132,0.395,0.568,0.78,0.381
"P45","No sabe",0.019,0.133,0.031,0,0.12,0,0,0.263
"P46","Lo votaría",0.026,0.074,0.158,0.154,0.847,0.152,0,0.049
"P46","Puede que lo vote",0.218,0.181,0.407,0.42,0.053,0.298,0.191,0.245
"P46","Nunca lo votaría",0.726,0.596,0.381,0.378,0.062,0.55,0.744,0.436
"P46","No sabe",0.03,0.149,0.054,0.048,0.038,0,0.065,0.27
"P47","Si",0.553,0.462,0.525,0.328,0.46,0.413,0.522,0.517
"P47","No",0.447,0.538,0.475,0.672,0.54,0.587,0.478,0.483
