"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.308,0.372,0.25,0.215
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.338,0.429,0.343,0.41
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.215,0.117,0.274,0.194
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.006,0.021,0.029,0.03
"P30","No sabe",0.133,0.061,0.104,0.151
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.326,0.38,0.22,0.283
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.305,0.402,0.377,0.367
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.24,0.134,0.27,0.196
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.006,0.026,0.038,0.03
"P31","No sabe",0.123,0.058,0.095,0.124
"P32","Lo votaría",0.261,0.308,0.217,0.165
"P32","Puede que lo vote",0.225,0.261,0.253,0.165
"P32","Nunca lo votaría",0.338,0.35,0.341,0.541
"P32","No sabe",0.176,0.081,0.189,0.129
"P33","Lo votaría",0.114,0.144,0.119,0.24
"P33","Puede que lo vote",0.274,0.258,0.25,0.184
"P33","Nunca lo votaría",0.431,0.468,0.386,0.44
"P33","No sabe",0.181,0.13,0.245,0.136
"P34","Lo votaría",0.169,0.241,0.198,0.056
"P34","Puede que lo vote",0.244,0.245,0.265,0.529
"P34","Nunca lo votaría",0.398,0.366,0.346,0.22
"P34","No sabe",0.189,0.148,0.191,0.195
"P35","Lo votaría",0.274,0.278,0.278,0.043
"P35","Puede que lo vote",0.231,0.25,0.261,0.458
"P35","Nunca lo votaría",0.385,0.399,0.34,0.272
"P35","No sabe",0.11,0.073,0.121,0.227
"P36","Lo votaría",0.281,0.353,0.268,0.186
"P36","Puede que lo vote",0.231,0.179,0.166,0.053
"P36","Nunca lo votaría",0.451,0.461,0.486,0.658
"P36","No sabe",0.037,0.007,0.08,0.103
"P37","La votaría",0.124,0.13,0.06,0.041
"P37","Puede que la vote",0.303,0.287,0.3,0.472
"P37","Nunca la votaría",0.518,0.555,0.487,0.325
