"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.011,0.223,0.031,0.055,0.053,0.024
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.01,0.026,0.697,0.034,0.31,0.006
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0,0.01,0.654,0,0.005
"P17","En blanco",0.01,0.014,0,0,0.25,0.029
"P17","No sabe",0.052,0.019,0.035,0.078,0.016,0.397
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.733,0.094,0.032,0.071,0.039,0.205
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.067,0.029,0.012,0,0.04,0.027
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.091,0.579,0.149,0.075,0.316,0.314
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.015,0.256,0.052,0.207,0.057,0.014
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.018,0.015,0.693,0.017,0.32,0.005
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0.005,0.009,0.584,0,0.048
"P19","En blanco",0.025,0.009,0.005,0,0.217,0.017
"P19","No sabe",0.041,0.013,0.048,0.046,0.011,0.37
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.735,0.059,0.021,0.57,0.082,0.209
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.088,0.072,0.056,0.082,0.029,0.078
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.094,0.567,0.135,0.062,0.309,0.346
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.013,0.264,0.017,0,0.049,0.024
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.007,0.698,0.017,0.32,0.004
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.006,0.016,0.269,0,0
"P21","En blanco",0.025,0.014,0.009,0,0.188,0.038
"P21","No sabe",0.038,0.011,0.048,0,0.023,0.301
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.894,0.022,0.01,0.207,0.016,0.058
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.026,0.827,0.155,0.091,0.335,0.41
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.028,0.065,0.787,0,0.009,0.019
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0.008,0.002,0.625,0,0
"P22","En blanco",0.002,0.02,0.024,0,0.63,0.013
"P22","No sabe",0.034,0.058,0.022,0.077,0.01,0.5
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.891,0.058,0.049,0.132,0.049,0.167
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.034,0.806,0.17,0.046,0.311,0.373
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0,0.05,0.74,0.046,0.009,0.004
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.021,0.026,0.776,0,0.008
"P24","En blanco",0.031,0.027,0,0,0.589,0.022
"P24","No sabe",0.033,0.038,0.015,0,0.042,0.426
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.903,0.036,0.064,0.156,0.067,0.168
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.006,0.821,0.065,0.26,0.052,0.082
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.015,0.054,0.807,0,0.015,0.023
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0.005,0.018,0.584,0,0.009
"P25","En blanco",0.033,0.037,0.014,0,0.789,0.062
"P25","No sabe",0.036,0.047,0.032,0,0.077,0.656
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.874,0.037,0.008,0.545,0.08,0.212
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.018,0.861,0.202,0,0.312,0.402
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.032,0.035,0.732,0,0.037,0.003
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.011,0.015,0.404,0.021,0.01
"P26","En blanco",0.031,0.029,0.012,0.051,0.519,0.042
"P26","No sabe",0.036,0.027,0.031,0,0.031,0.331
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.865,0.033,0.004,0.517,0.074,0.215
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.031,0.844,0.073,0.053,0.066,0.119
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.018,0.044,0.872,0,0.014,0.024
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.009,0,0.43,0.027,0.019
"P27","En blanco",0.03,0.026,0.011,0,0.797,0.043
"P27","No sabe",0.047,0.044,0.04,0,0.022,0.58
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.902,0.052,0.062,0.162,0.02,0.188
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.024,0.829,0.145,0,0.225,0.619
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.035,0.634,0,0.144,0.026
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.011,0.015,0.011,0.838,0,0.015
"P28","No sabe",0.055,0.069,0.148,0,0.611,0.152
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.881,0.041,0.075,0.091,0.023,0.155
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.019,0.915,0.18,0,0.142,0.507
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.035,0.015,0.609,0,0.17,0.021
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.023,0.003,0.012,0.853,0,0.018
"P29","No sabe",0.042,0.026,0.124,0.056,0.665,0.299
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.916,0.013,0.01,0.603,0.075,0.228
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.011,0.89,0.191,0.053,0.241,0.615
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.042,0.65,0,0.14,0.022
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.012,0.013,0.011,0.344,0.03,0.019
"P30","No sabe",0.052,0.042,0.138,0,0.514,0.116
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.935,0.031,0.013,0.587,0.076,0.213
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.017,0.881,0.176,0.062,0.134,0.515
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.018,0.046,0.691,0,0.149,0.009
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.016,0.041,0.293,0.032,0.022
"P31","No sabe",0.03,0.026,0.079,0.058,0.609,0.241
"P32","Lo votaría",0.642,0.127,0.042,0.16,0.069,0.14
"P32","Puede que lo vote",0.191,0.274,0.242,0.569,0.28,0.161
"P32","Nunca lo votaría",0.078,0.449,0.556,0.127,0.519,0.493
"P32","No sabe",0.089,0.15,0.16,0.144,0.132,0.206
"P33","Lo votaría",0.27,0.104,0.016,0.321,0.197,0.1
"P33","Puede que lo vote",0.31,0.281,0.252,0.072,0.1,0.069
"P33","Nunca lo votaría",0.263,0.459,0.561,0.463,0.501,0.579
"P33","No sabe",0.157,0.156,0.171,0.144,0.202,0.252
"P34","Lo votaría",0.053,0.377,0.096,0,0.103,0.379
"P34","Puede que lo vote",0.189,0.324,0.413,0.153,0.137,0.186
"P34","Nunca lo votaría",0.546,0.188,0.308,0.688,0.582,0.178
"P34","No sabe",0.212,0.111,0.183,0.159,0.178,0.257
"P35","Lo votaría",0.03,0.567,0.186,0,0.1,0.202
"P35","Puede que lo vote",0.211,0.273,0.335,0.093,0.151,0.389
"P35","Nunca lo votaría",0.641,0.107,0.353,0.749,0.543,0.214
"P35","No sabe",0.118,0.053,0.126,0.158,0.206,0.195
"P36","Lo votaría",0.798,0.05,0.036,0.631,0.12,0.214
"P36","Puede que lo vote",0.051,0.238,0.292,0.134,0.108,0.118
"P36","Nunca lo votaría",0.131,0.699,0.622,0.163,0.624,0.531
"P36","No sabe",0.02,0.013,0.05,0.072,0.148,0.137
"P37","La votaría",0.269,0.034,0.04,0.028,0,0.042
"P37","Puede que la vote",0.387,0.275,0.32,0.61,0.14,0.241
"P37","Nunca la votaría",0.244,0.654,0.592,0.29,0.711,0.523
"P37","No sabe",0.1,0.037,0.048,0.072,0.149,0.194
"P38","Lo votaría",0.037,0.427,0.101,0,0.191,0.351
"P38","Puede que lo vote",0.196,0.281,0.379,0.553,0.058,0.283
"P38","Nunca lo votaría",0.624,0.196,0.414,0.375,0.573,0.235
"P38","No sabe",0.143,0.096,0.106,0.072,0.178,0.131
"P39","Lo votaría",0.046,0.694,0.185,0,0.099,0.263
"P39","Puede que lo vote",0.178,0.225,0.38,0.492,0.216,0.374
"P39","Nunca lo votaría",0.715,0.064,0.348,0.436,0.531,0.213
"P39","No sabe",0.061,0.017,0.087,0.072,0.154,0.15
"P40","Lo votaría",0.061,0.122,0.408,0,0.1,0.028
"P40","Puede que lo vote",0.204,0.418,0.253,0.513,0.089,0.28
"P40","Nunca lo votaría",0.639,0.348,0.219,0.415,0.612,0.447
"P40","No sabe",0.096,0.112,0.12,0.072,0.199,0.245
"P41","Lo votaría",0.557,0.019,0.053,0.388,0,0.027
"P41","Puede que lo vote",0.311,0.307,0.296,0.283,0.117,0.2
"P41","Nunca lo votaría",0.118,0.655,0.618,0.258,0.734,0.633
"P41","No sabe",0.014,0.019,0.033,0.071,0.149,0.14
"P42","Lo votaría",0.69,0.024,0.005,0.782,0.098,0.155
"P42","Puede que lo vote",0.18,0.27,0.365,0.135,0.084,0.095
"P42","Nunca lo votaría",0.099,0.698,0.602,0.083,0.644,0.588
"P42","No sabe",0.031,0.008,0.028,0,0.174,0.162
"P43","Lo votaría",0.333,0.053,0.073,0.056,0.021,0.028
"P43","Puede que lo vote",0.404,0.28,0.348,0.587,0.131,0.323
"P43","Nunca lo votaría",0.189,0.654,0.533,0.286,0.674,0.533
"P43","No sabe",0.074,0.013,0.046,0.071,0.174,0.116
"P44","La votaría",0.087,0.667,0.222,0.022,0.343,0.393
"P44","Puede que la vote",0.205,0.243,0.498,0.489,0.089,0.297
"P44","Nunca la votaría",0.662,0.086,0.199,0.489,0.39,0.174
"P44","No sabe",0.046,0.004,0.081,0,0.178,0.136
"P45","Lo votaría",0.014,0.582,0.129,0,0.073,0.096
"P45","Puede que lo vote",0.224,0.275,0.421,0.538,0.152,0.452
"P45","Nunca lo votaría",0.723,0.134,0.369,0.462,0.594,0.302
"P45","No sabe",0.039,0.009,0.081,0,0.181,0.15
"P46","Lo votaría",0.04,0.161,0.78,0.028,0.074,0.009
"P46","Puede que lo vote",0.234,0.373,0.156,0.495,0.106,0.211
"P46","Nunca lo votaría",0.706,0.387,0.059,0.477,0.665,0.608
"P46","No sabe",0.02,0.079,0.005,0,0.155,0.172
"P47","Si",0.497,0.486,0.526,0.707,0.359,0.516
"P47","No",0.503,0.514,0.474,0.293,0.641,0.484
