"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Wado de Pedro","Neutra",0.162,0.148,0.176,0.159,0.161,0.189,0.127,0.178,0.166,0.143,0.153,0.207,0.159,0.153,0.173,0.141,0.248
"Wado de Pedro","Negativa",0.506,0.527,0.484,0.473,0.504,0.514,0.535,0.475,0.513,0.525,0.488,0.483,0.475,0.535,0.25,0.711,0.469
"Wado de Pedro","No sabe",0.058,0.051,0.065,0.088,0.061,0.034,0.054,0.076,0.06,0.039,0.06,0.077,0.044,0.051,0.048,0.037,0.09
"Facundo Manes","Positiva",0.254,0.257,0.251,0.184,0.235,0.253,0.359,0.251,0.246,0.267,0.237,0.313,0.263,0.245,0.14,0.336,0.401
"Facundo Manes","Neutra",0.34,0.308,0.373,0.25,0.34,0.398,0.345,0.321,0.355,0.338,0.331,0.341,0.346,0.347,0.367,0.346,0.298
"Facundo Manes","Negativa",0.354,0.382,0.325,0.509,0.37,0.297,0.255,0.341,0.346,0.374,0.379,0.267,0.341,0.367,0.438,0.276,0.201
"Facundo Manes","No sabe",0.052,0.053,0.051,0.057,0.055,0.052,0.041,0.087,0.053,0.021,0.053,0.079,0.05,0.041,0.055,0.042,0.1
"Daniel Scioli","Positiva",0.23,0.219,0.24,0.207,0.219,0.258,0.234,0.254,0.212,0.232,0.226,0.161,0.272,0.252,0.519,0.055,0.189
"Daniel Scioli","Neutra",0.166,0.153,0.179,0.191,0.181,0.152,0.132,0.159,0.179,0.155,0.154,0.211,0.152,0.162,0.238,0.094,0.277
"Daniel Scioli","Negativa",0.587,0.611,0.564,0.588,0.585,0.571,0.613,0.556,0.593,0.606,0.599,0.608,0.547,0.575,0.223,0.845,0.521
"Daniel Scioli","No sabe",0.017,0.017,0.017,0.014,0.015,0.019,0.021,0.031,0.016,0.007,0.021,0.02,0.029,0.011,0.02,0.006,0.013
"Alberto Fernandez","Positiva",0.221,0.197,0.245,0.222,0.215,0.237,0.212,0.276,0.219,0.176,0.223,0.252,0.208,0.209,0.394,0.114,0.102
"Alberto Fernandez","Neutra",0.16,0.142,0.179,0.157,0.159,0.15,0.18,0.167,0.161,0.155,0.144,0.145,0.169,0.179,0.282,0.064,0.151
"Alberto Fernandez","Negativa",0.611,0.651,0.57,0.614,0.619,0.605,0.597,0.546,0.613,0.663,0.624,0.597,0.621,0.604,0.318,0.82,0.728
"Alberto Fernandez","No sabe",0.008,0.01,0.006,0.007,0.007,0.008,0.011,0.011,0.007,0.006,0.009,0.006,0.002,0.008,0.006,0.002,0.019
"Sergio Massa","Positiva",0.218,0.19,0.245,0.201,0.193,0.245,0.246,0.234,0.216,0.206,0.211,0.212,0.252,0.22,0.413,0.095,0.248
"Sergio Massa","Neutra",0.174,0.169,0.18,0.183,0.18,0.167,0.164,0.179,0.186,0.157,0.162,0.179,0.121,0.19,0.273,0.102,0.205
"Sergio Massa","Negativa",0.597,0.635,0.559,0.616,0.607,0.579,0.585,0.567,0.588,0.633,0.622,0.59,0.603,0.579,0.303,0.8,0.521
"Sergio Massa","No sabe",0.011,0.006,0.016,0,0.02,0.009,0.005,0.02,0.01,0.004,0.005,0.019,0.024,0.011,0.011,0.003,0.026
