"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P39","Javier Milei presidente y su candidato a vice",0.05,0.294,0.387
"P39","A los candidatos de la izquierda",0.104,0.011,0.069
"P39","No sabe",0.141,0.048,0.351
"P40","Sergio Massa por el Frente de Todos",0.833,0.037,0.21
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.682,0.119
"P40","No sabe",0.132,0.281,0.671
"P41","Alberto Fernández por el Frente de Todos",0.788,0.027,0.21
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.038,0.732,0.13
"P41","No sabe",0.174,0.241,0.66
"P42","Sergio Massa por el Frente de Todos",0.864,0.012,0.213
"P42","Patricia Bullrich por Juntos por el Cambio",0.029,0.942,0.091
"P42","No sabe",0.107,0.046,0.696
"P43","Alberto Fernández por el Frente de Todos",0.831,0.009,0.207
"P43","Patricia Bullrich por Juntos por el Cambio",0.026,0.958,0.091
"P43","No sabe",0.143,0.033,0.702
"P44","Wado de Pedro por el Frente de Todos",0.914,0.018,0.047
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.053,0.754,0.153
"P44","No sabe",0.033,0.228,0.8
"P45","Daniel Scioli por el Frente de Todos",0.873,0.028,0.142
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.75,0.119
"P45","No sabe",0.093,0.222,0.739
"P47","Daniel Scioli por el Frente de Todos",0.881,0.005,0.163
"P47","Patricia Bullrich por Juntos por el Cambio",0.013,0.975,0.087
"P47","No sabe",0.106,0.02,0.75
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.24,0.421,0.129
"P48","Javier Milei por los liberales libertarios",0.072,0.492,0.322
"P48","No sabe",0.688,0.087,0.549
"P49","Patricia Bullrich por Juntos por el Cambio",0.076,0.656,0.066
"P49","Javier Milei por los liberales libertarios",0.094,0.312,0.37
"P49","No sabe",0.83,0.032,0.564
"P50","Alberto Fernández por el Frente de Todos",0.726,0.102,0.196
"P50","Javier Milei por los liberales libertarios",0.065,0.611,0.382
"P50","No sabe",0.209,0.287,0.422
"P51","Sergio Massa por el Frente de Todos",0.852,0.027,0.192
"P51","Javier Milei por los liberales libertarios",0.043,0.686,0.385
"P51","No sabe",0.105,0.287,0.423
"P52","Muy buena",0.191,0.006,0.078
"P52","Buena",0.266,0.079,0.143
"P52","Ni buena ni mala",0.322,0.053,0.192
"P52","Mala",0.154,0.068,0.125
"P52","Muy mala",0.065,0.79,0.438
"P52","No sabe",0.002,0.004,0.024
"P53","Muy buena",0.673,0.003,0.138
"P53","Buena",0.153,0.017,0.078
"P53","Ni buena ni mala",0.086,0.011,0.141
"P53","Mala",0.05,0.046,0.09
"P53","Muy mala",0.036,0.92,0.532
"P53","No sabe",0.002,0.003,0.021
"P54","Muy buena",0.092,0.3,0.066
"P54","Buena",0.016,0.277,0.057
"P54","Ni buena ni mala",0.032,0.203,0.21
"P54","Mala",0.121,0.086,0.205
"P54","Muy mala",0.733,0.133,0.443
"P54","No sabe",0.006,0.001,0.019
"P55","Muy buena",0.031,0.186,0.063
"P55","Buena",0.023,0.318,0.087
"P55","Ni buena ni mala",0.084,0.259,0.253
"P55","Mala",0.221,0.119,0.156
"P55","Muy mala",0.639,0.115,0.399
"P55","No sabe",0.002,0.003,0.042
"P56","Muy buena",0.153,0.027,0.067
"P56","Buena",0.341,0.051,0.104
"P56","Ni buena ni mala",0.295,0.086,0.217
"P56","Mala",0.116,0.14,0.146
"P56","Muy mala",0.09,0.695,0.426
"P56","No sabe",0.005,0.001,0.04
"P57","Muy buena",0.047,0.478,0.061
"P57","Buena",0.046,0.24,0.085
"P57","Ni buena ni mala",0.084,0.128,0.235
"P57","Mala",0.087,0.047,0.175
"P57","Muy mala",0.732,0.105,0.402
"P57","No sabe",0.004,0.002,0.042
"P58","Muy buena",0.043,0.279,0.296
"P58","Buena",0.015,0.23,0.103
"P58","Ni buena ni mala",0.054,0.282,0.132
"P58","Mala",0.099,0.114,0.134
"P58","Muy mala",0.782,0.088,0.273
"P58","No sabe",0.007,0.007,0.062
"P59","Muy buena",0.417,0.037,0.073
"P59","Buena",0.311,0.044,0.042
"P59","Ni buena ni mala",0.122,0.139,0.267
"P59","Mala",0.034,0.174,0.138
"P59","Muy mala",0.102,0.554,0.349
"P59","No sabe",0.014,0.052,0.131
"P60","Muy buena",0.258,0.009,0.071
"P60","Buena",0.387,0.011,0.086
"P60","Ni buena ni mala",0.26,0.084,0.231
"P60","Mala",0.055,0.194,0.15
"P60","Muy mala",0.036,0.689,0.419
"P60","No sabe",0.004,0.013,0.043
"P61","Muy buena",0.063,0.231,0.058
"P61","Buena",0.05,0.273,0.108
"P61","Ni buena ni mala",0.07,0.237,0.203
"P61","Mala",0.131,0.103,0.174
"P61","Muy mala",0.681,0.151,0.421
"P61","No sabe",0.005,0.005,0.036
"P62","Muy buena",0.056,0.133,0.086
"P62","Buena",0.086,0.225,0.076
"P62","Ni buena ni mala",0.326,0.352,0.333
"P62","Mala",0.237,0.125,0.122
"P62","Muy mala",0.257,0.137,0.258
"P62","No sabe",0.038,0.028,0.125
"P63","Siempre",0.328,0.302,0.247
"P63","Casi siempre",0.374,0.408,0.341
"P63","Casi nunca",0.215,0.206,0.252
"P63","Nunca, pero esta es una excepción",0.083,0.084,0.16
"P64","Si",0.627,0.632,0.579
"P64","No",0.373,0.368,0.421
