"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P15","Nunca lo votaría",0.826,0.148,0.688,0.71,0.637
"P15","No sabe",0.037,0.038,0.059,0.106,0.151
"P16","Lo votaría",0.04,0.159,0.064,0.122,0.046
"P16","Puede que lo vote",0.135,0.374,0.196,0.181,0.172
"P16","Nunca lo votaría",0.711,0.365,0.645,0.524,0.571
"P16","No sabe",0.114,0.102,0.095,0.173,0.211
"P17","La votaría",0.028,0.562,0.317,0.099,0.244
"P17","Puede que la vote",0.027,0.224,0.305,0.118,0.104
"P17","Nunca la votaría",0.91,0.179,0.319,0.732,0.529
"P17","No sabe",0.035,0.035,0.059,0.051,0.123
"P18","Lo votaría",0.025,0.126,0.708,0.123,0.056
"P18","Puede que lo vote",0.041,0.262,0.208,0.079,0.134
"P18","Nunca lo votaría",0.904,0.563,0.064,0.735,0.684
"P18","No sabe",0.03,0.049,0.02,0.063,0.126
"P19","La votaría",0.04,0.296,0.147,0.055,0.053
"P19","Puede que la vote",0.049,0.356,0.27,0.128,0.181
"P19","Nunca la votaría",0.865,0.294,0.522,0.714,0.609
"P19","No sabe",0.046,0.054,0.061,0.103,0.157
"P20","Lo votaría",0.329,0.052,0.024,0.226,0.104
"P20","Puede que lo vote",0.314,0.104,0.066,0.231,0.143
"P20","Nunca lo votaría",0.275,0.775,0.818,0.383,0.586
"P20","No sabe",0.082,0.069,0.092,0.16,0.167
"P21","Lo votaría",0.327,0.024,0.024,0.128,0.068
"P21","Puede que lo vote",0.435,0.05,0.048,0.259,0.192
"P21","Nunca lo votaría",0.172,0.906,0.894,0.47,0.583
"P21","No sabe",0.066,0.02,0.034,0.143,0.157
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.284,0.013,0.022,0.014
"P22","Patricia Bullrich por Juntos por el Cambio",0.018,0.541,0.236,0.046,0.284
"P22","Facundo Manes por Juntos por el Cambio",0.015,0.082,0.025,0.066,0.061
"P22","Alberto Fernández por el Frente de Todos",0.123,0.021,0.014,0.085,0.087
"P22","Sergio Massa por el Frente de Todos",0.259,0.012,0.017,0.012,0.027
"P22","Wado de Pedro por el Frente de Todos",0.313,0.012,0.012,0.241,0.151
"P22","Daniel Scioli por el Frente de Todos",0.198,0.009,0.014,0.074,0.073
"P22","Javier Milei por los liberales libertarios",0.001,0.011,0.655,0.059,0.033
"P22","Al candidato del Frente de Izquierda",0.01,0.003,0.002,0.343,0.005
"P22","No sabe",0.052,0.025,0.012,0.052,0.265
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.242,0.01,0.013,0.017
"P23","Patricia Bullrich por Juntos por el Cambio",0.016,0.499,0.224,0.026,0.281
"P23","María Eugenia Vidal por Juntos por el Cambio",0.016,0.141,0.028,0.048,0.031
"P23","Facundo Manes por Juntos por el Cambio",0.017,0.056,0.022,0.111,0.063
"P23","Sergio Massa por el Frente de Todos",0.314,0.015,0.017,0.032,0.048
"P23","Wado de Pedro por el Frente de Todos",0.333,0.016,0.011,0.259,0.15
"P23","Daniel Scioli por el Frente de Todos",0.208,0.009,0.015,0.099,0.094
"P23","Javier Milei por los liberales libertarios",0.007,0.007,0.659,0.043,0.031
"P23","Al candidato del Frente de Izquierda",0.014,0.002,0.005,0.324,0.004
"P23","No sabe",0.061,0.013,0.009,0.045,0.281
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.253,0.009,0.008,0.018
"P24","Patricia Bullrich por Juntos por el Cambio",0.016,0.489,0.23,0.045,0.288
"P24","María Eugenia Vidal por Juntos por el Cambio",0.011,0.137,0.026,0.048,0.028
"P24","Facundo Manes por Juntos por el Cambio",0.015,0.062,0.016,0.107,0.075
"P24","Sergio Massa por el Frente de Todos",0.344,0.01,0.011,0.046,0.044
"P24","Wado de Pedro por el Frente de Todos",0.372,0.006,0.008,0.269,0.167
"P24","Alberto Fernández por el Frente de Todos",0.177,0.024,0.024,0.087,0.096
"P24","Javier Milei por los liberales libertarios",0.005,0.006,0.664,0.043,0.03
"P24","Al candidato del Frente de Izquierda",0.004,0.002,0.003,0.313,0.004
"P24","No sabe",0.043,0.011,0.009,0.034,0.25
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.262,0.012,0.042,0.028
"P25","Patricia Bullrich por Juntos por el Cambio",0.013,0.454,0.188,0.075,0.236
"P25","Facundo Manes por Juntos por el Cambio",0.012,0.153,0.061,0.053,0.116
"P25","Sergio Massa por el Frente de Todos",0.303,0.02,0.011,0.075,0.051
"P25","Wado de Pedro por el Frente de Todos",0.35,0.013,0.015,0.237,0.141
"P25","Daniel Scioli por el Frente de Todos",0.247,0.01,0.012,0.105,0.123
"P25","Javier Milei por los liberales libertario",0.02,0.065,0.346,0.021,0.026
"P25","Al candidato del Frente de Izquierda",0.007,0.002,0.344,0.183,0.024
"P25","No sabe",0.034,0.021,0.011,0.209,0.255
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.348,0.018,0.014,0.036
"P26","Patricia Bulrich por Juntos por el Cambio",0.037,0.525,0.21,0.054,0.288
"P26","Alberto Fernández por el Frente de Todos",0.222,0.019,0.021,0.118,0.13
"P26","Sergio Massa por el Frente de Todos",0.561,0.021,0.012,0.086,0.078
"P26","Javier Milei por los liberales libertarios",0.035,0.03,0.661,0.051,0.06
"P26","Al candidato del Frente de Izquierda",0.042,0.022,0.019,0.584,0.03
"P26","No sabe",0.081,0.035,0.059,0.093,0.378
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.367,0.011,0.034,0.016
"P27","Patricia Bullrich por Juntos por el Cambio",0.016,0.551,0.221,0.06,0.311
"P27","Wado de Pedro por el Frente de Todos",0.392,0.019,0.011,0.23,0.148
"P27","Sergio Massa por el Frente de Todos",0.468,0.016,0.018,0.11,0.083
"P27","Javier Milei por los liberales libertarios",0.029,0.018,0.701,0.047,0.051
"P27","Al candidato del Frente de Izquierda",0.023,0.003,0.012,0.47,0.019
"P27","No sabe",0.058,0.026,0.026,0.049,0.372
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.358,0.014,0.032,0.025
"P28","Patricia Bullrich por Juntos por el Cambio",0.016,0.564,0.218,0.059,0.309
"P28","Wado de Pedro por el Frente de Todos",0.421,0.012,0.013,0.233,0.154
"P28","Daniel Scioli por el Frente de Todos",0.375,0.018,0.018,0.143,0.114
"P28","Javier Milei por los liberales libertarios",0.029,0.013,0.716,0.062,0.043
"P28","Al candidato del Frente de Izquierda",0.022,0.004,0.01,0.417,0.02
"P28","No sabe",0.11,0.031,0.011,0.054,0.335
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.023,0.411,0.053,0.055,0.066
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.01,0.492,0.185,0.041,0.235
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.397,0.026,0.018,0.09,0.075
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.457,0.017,0.02,0.279,0.17
"P29","Javier Milei presidente y su candidato a vice",0.015,0.009,0.709,0.094,0.059
"P29","A los candidatos de la izquierda",0.021,0.001,0.002,0.383,0.011
"P29","No sabe",0.077,0.044,0.013,0.058,0.384
"P30","Alberto Fernández por el Frente de Todos",0.753,0.046,0.012,0.139,0.155
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.863,0.025,0.012,0.029
"P30","Javier Milei por los liberales libertarios",0.019,0.022,0.917,0.061,0.027
"P30","Al candidato del Frente de Izquierda",0.037,0.012,0.007,0.702,0.02
"P30","No sabe",0.15,0.057,0.039,0.086,0.769
"P32","Wado de Pedro por el Frente de Todos",0.775,0.021,0.017,0.313,0.175
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.92,0.033,0.021,0.067
"P32","Javier Milei por los liberales libertarios",0.017,0.027,0.927,0.094,0.022
"P32","Al candidato del Frente de Izquierda",0.023,0.002,0.007,0.541,0.005
"P32","No sabe",0.152,0.03,0.016,0.031,0.731
"P33","Daniel Scioli por el Frente de Todos",0.788,0.02,0.02,0.205,0.186
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.04,0.92,0.029,0.02,0.077
"P33","Javier Milei por los liberales libertarios",0.008,0.027,0.921,0.065,0.024
"P33","Al candidato del Frente de Izquierda",0.028,0.006,0.003,0.652,0.011
"P33","No sabe",0.136,0.027,0.027,0.058,0.702
"P34","Sergio Massa por el Frente de Todos",0.897,0.035,0.01,0.112,0.102
"P34","Patricia Bullrich por Juntos por el Cambio",0.029,0.834,0.24,0.048,0.292
"P34","Javier Milei por los liberales libertarios",0.004,0.033,0.733,0.055,0.015
"P34","Al candidato del Frente de Izquierda",0.021,0.017,0,0.705,0.021
"P34","No sabe",0.049,0.081,0.017,0.08,0.57
"P35","Alberto Fernández por el Frente de Todos",0.795,0.038,0.01,0.246,0.187
"P35","Patricia Bullrich por Juntos por el Cambio",0.017,0.823,0.246,0.055,0.304
"P35","Javier Milei por los liberales libertarios",0.019,0.039,0.723,0.016,0.038
"P35","Al candidato del Frente de Izquierda",0.051,0.019,0.005,0.629,0.025
"P35","No sabe",0.118,0.081,0.016,0.054,0.446
"P36","Wado de Pedro por el Frente de Todos",0.776,0.031,0.005,0.349,0.198
"P36","Patricia Bullrich por Juntos por el Cambio",0.018,0.821,0.247,0.074,0.328
"P36","Javier Milei por los liberales libertarios",0.029,0.043,0.721,0.041,0.016
"P36","Al candidato del Frente de Izquierda",0.026,0.017,0.008,0.476,0.021
"P36","No sabe",0.151,0.088,0.019,0.06,0.437
"P37","Daniel Scioli por el Frente de Todos",0.823,0.032,0.007,0.216,0.195
"P37","Patricia Bullrich por Juntos por el Cambio",0.017,0.83,0.262,0.082,0.332
"P37","Javier Milei por los liberales libertarios",0.017,0.046,0.711,0.058,0.022
"P37","Al candidato del Frente de Izquierda",0.029,0.015,0.007,0.597,0.011
"P37","No sabe",0.114,0.077,0.013,0.047,0.44
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.121,0.711,0.04,0.087,0.097
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.722,0.173,0.029,0.098,0.145
"P38","Javier Milei presidente y su candidato a vice",0.018,0.034,0.886,0.046,0.031
"P38","A los candidatos de la izquierda",0.033,0.009,0.009,0.697,0.016
"P38","No sabe",0.106,0.073,0.036,0.072,0.711
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.049,0.789,0.22,0.044,0.272
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.794,0.068,0.017,0.089,0.117
"P39","Javier Milei presidente y su candidato a vice",0.009,0.029,0.744,0.096,0.022
"P39","A los candidatos de la izquierda",0.039,0.011,0.003,0.672,0.018
"P39","No sabe",0.109,0.103,0.016,0.099,0.571
"P40","Sergio Massa por el Frente de Todos",0.94,0.022,0.056,0.317,0.208
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.922,0.345,0.144,0.161
"P40","No sabe",0.034,0.056,0.599,0.539,0.631
"P41","Alberto Fernández por el Frente de Todos",0.831,0.031,0.048,0.416,0.24
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.04,0.93,0.405,0.132,0.196
"P41","No sabe",0.129,0.039,0.547,0.452,0.564
"P42","Sergio Massa por el Frente de Todos",0.938,0.033,0.033,0.387,0.189
"P42","Patricia Bullrich por Juntos por el Cambio",0.025,0.879,0.668,0.12,0.365
"P42","No sabe",0.037,0.088,0.299,0.493,0.446
"P43","Alberto Fernández por el Frente de Todos",0.86,0.026,0.03,0.438,0.252
"P43","Patricia Bullrich por Juntos por el Cambio",0.021,0.874,0.698,0.079,0.376
"P43","No sabe",0.119,0.1,0.272,0.483,0.372
"P44","Wado de Pedro por el Frente de Todos",0.829,0.017,0.032,0.521,0.22
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.04,0.933,0.446,0.18,0.223
"P44","No sabe",0.131,0.05,0.522,0.299,0.557
"P45","Daniel Scioli por el Frente de Todos",0.853,0.021,0.065,0.461,0.233
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.039,0.942,0.412,0.108,0.202
"P45","No sabe",0.108,0.037,0.523,0.431,0.565
"P46","Wado de Pedro por el Frente de Todos",0.837,0.029,0.033,0.548,0.222
"P46","Patricia Bullrich por Juntos por el Cambio",0.025,0.875,0.676,0.1,0.365
"P46","No sabe",0.138,0.096,0.291,0.352,0.413
"P47","Daniel Scioli por el Frente de Todos",0.878,0.026,0.031,0.425,0.249
"P47","Patricia Bullrich por Juntos por el Cambio",0.02,0.882,0.706,0.091,0.382
"P47","No sabe",0.102,0.092,0.263,0.484,0.369
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.244,0.787,0.054,0.228,0.17
"P48","Javier Milei por los liberales libertarios",0.037,0.166,0.849,0.104,0.106
"P48","No sabe",0.719,0.047,0.097,0.668,0.724
"P49","Patricia Bullrich por Juntos por el Cambio",0.068,0.852,0.228,0.142,0.378
"P49","Javier Milei por los liberales libertarios",0.07,0.061,0.713,0.082,0.039
"P49","No sabe",0.862,0.087,0.059,0.776,0.583
"P50","Alberto Fernández por el Frente de Todos",0.768,0.149,0.045,0.504,0.254
"P50","Javier Milei por los liberales libertarios",0.036,0.391,0.901,0.051,0.119
"P50","No sabe",0.196,0.46,0.054,0.445,0.627
"P51","Sergio Massa por el Frente de Todos",0.93,0.065,0.013,0.464,0.195
"P51","Javier Milei por los liberales libertarios",0.028,0.48,0.931,0.064,0.14
"P51","No sabe",0.042,0.455,0.056,0.472,0.665
"P52","Muy buena",0.201,0.015,0.01,0.196,0.057
"P52","Buena",0.316,0.07,0.112,0.104,0.081
"P52","Ni buena ni mala",0.319,0.102,0.056,0.199,0.199
"P52","Mala",0.116,0.087,0.05,0.188,0.198
"P52","Muy mala",0.047,0.722,0.768,0.281,0.44
"P52","No sabe",0.001,0.004,0.004,0.032,0.025
"P53","Muy buena",0.658,0.012,0.021,0.429,0.216
"P53","Buena",0.173,0.018,0.024,0.091,0.067
"P53","Ni buena ni mala",0.089,0.015,0.044,0.097,0.112
"P53","Mala",0.047,0.056,0.041,0.103,0.091
"P53","Muy mala",0.03,0.895,0.868,0.28,0.486
"P53","No sabe",0.003,0.004,0.002,0,0.028
"P54","Muy buena",0.072,0.363,0.14,0.203,0.193
"P54","Buena",0.014,0.28,0.215,0.03,0.095
"P54","Ni buena ni mala",0.044,0.141,0.28,0.04,0.146
"P54","Mala",0.135,0.071,0.14,0.116,0.149
"P54","Muy mala",0.732,0.142,0.223,0.6,0.39
"P54","No sabe",0.003,0.003,0.002,0.011,0.027
"P55","Muy buena",0.016,0.313,0.063,0.086,0.071
"P55","Buena",0.032,0.456,0.141,0.043,0.118
"P55","Ni buena ni mala",0.102,0.189,0.29,0.075,0.283
"P55","Mala",0.236,0.029,0.192,0.215,0.142
"P55","Muy mala",0.606,0.013,0.308,0.572,0.342
"P55","No sabe",0.008,0,0.006,0.009,0.044
"P56","Muy buena",0.192,0.047,0.019,0.084,0.021
"P56","Buena",0.414,0.084,0.031,0.068,0.072
"P56","Ni buena ni mala",0.289,0.081,0.106,0.23,0.259
"P56","Mala",0.056,0.159,0.126,0.275,0.187
"P56","Muy mala",0.048,0.627,0.713,0.342,0.407
"P56","No sabe",0.001,0.002,0.005,0.001,0.054
"P57","Muy buena",0.045,0.465,0.316,0.138,0.232
"P57","Buena",0.053,0.214,0.222,0.033,0.104
"P57","Ni buena ni mala",0.08,0.116,0.206,0.078,0.156
"P57","Mala",0.109,0.055,0.081,0.081,0.11
"P57","Muy mala",0.701,0.149,0.173,0.669,0.352
"P57","No sabe",0.012,0.001,0.002,0.001,0.046
"P58","Muy buena",0.019,0.083,0.577,0.101,0.045
"P58","Buena",0.012,0.185,0.269,0.03,0.055
"P58","Ni buena ni mala",0.073,0.361,0.108,0.079,0.269
"P58","Mala",0.107,0.197,0.024,0.06,0.194
"P58","Muy mala",0.771,0.159,0.021,0.7,0.378
"P58","No sabe",0.018,0.015,0.001,0.03,0.059
"P59","Muy buena",0.353,0.022,0.1,0.274,0.116
"P59","Buena",0.298,0.039,0.056,0.166,0.077
"P59","Ni buena ni mala",0.156,0.178,0.134,0.17,0.2
"P59","Mala",0.042,0.195,0.139,0.07,0.141
"P59","Muy mala",0.119,0.513,0.5,0.272,0.382
"P59","No sabe",0.032,0.053,0.071,0.048,0.084
"P60","Muy buena",0.255,0.013,0.023,0.133,0.093
"P60","Buena",0.405,0.024,0.018,0.095,0.129
"P60","Ni buena ni mala",0.261,0.092,0.125,0.309,0.167
"P60","Mala",0.046,0.22,0.162,0.177,0.137
"P60","Muy mala",0.023,0.642,0.657,0.284,0.423
"P60","No sabe",0.01,0.009,0.015,0.002,0.051
"P61","Muy buena",0.041,0.355,0.08,0.154,0.107
"P61","Buena",0.056,0.295,0.181,0.074,0.183
"P61","Ni buena ni mala",0.078,0.167,0.284,0.076,0.201
"P61","Mala",0.139,0.079,0.157,0.132,0.121
"P61","Muy mala",0.675,0.101,0.289,0.56,0.352
"P61","No sabe",0.011,0.003,0.009,0.004,0.036
"P62","Muy buena",0.038,0.184,0.088,0.146,0.078
"P62","Buena",0.079,0.257,0.149,0.11,0.127
"P62","Ni buena ni mala",0.362,0.357,0.334,0.22,0.33
"P62","Mala",0.231,0.11,0.144,0.175,0.131
"P62","Muy mala",0.245,0.055,0.234,0.335,0.232
"P62","No sabe",0.045,0.037,0.051,0.014,0.102
"P63","Siempre",0.316,0.33,0.258,0.319,0.289
"P63","Casi siempre",0.398,0.413,0.377,0.318,0.349
"P63","Casi nunca",0.194,0.198,0.237,0.309,0.222
"P63","Nunca, pero esta es una excepción",0.092,0.059,0.128,0.054,0.14
"P64","Si",0.649,0.636,0.614,0.55,0.578
"P64","No",0.351,0.364,0.386,0.45,0.422
