"var","categoria","Alberto Fernández por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P28","Daniel Scioli por el Frente de Todos",0.359,0.002,0.114
"P28","Javier Milei por los liberales libertarios",0.043,0.28,0.369
"P28","Al candidato del Frente de Izquierda",0.047,0.001,0.075
"P28","No sabe",0.087,0.025,0.185
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.018,0.212,0.107
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.009,0.456,0.024
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.34,0.011,0.112
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.464,0.006,0.135
"P29","Javier Milei presidente y su candidato a vice",0.043,0.28,0.359
"P29","A los candidatos de la izquierda",0.045,0.001,0.057
"P29","No sabe",0.081,0.034,0.206
"P30","Alberto Fernández por el Frente de Todos",0.738,0.019,0.067
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.4,0.113
"P30","Javier Milei por los liberales libertarios",0.048,0.418,0.367
"P30","Al candidato del Frente de Izquierda",0.068,0.008,0.12
"P30","No sabe",0.122,0.155,0.333
"P31","Sergio Massa por el Frente de Todos",0.735,0.01,0.135
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.426,0.109
"P31","Javier Milei por los liberales libertarios",0.032,0.435,0.379
"P31","Al candidato del Frente de Izquierda",0.074,0.008,0.109
"P31","No sabe",0.137,0.121,0.268
"P32","Wado de Pedro por el Frente de Todos",0.736,0.007,0.174
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.443,0.118
"P32","Javier Milei por los liberales libertarios",0.042,0.429,0.362
"P32","Al candidato del Frente de Izquierda",0.046,0.006,0.08
"P32","No sabe",0.145,0.115,0.266
"P33","Daniel Scioli por el Frente de Todos",0.744,0.013,0.136
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.456,0.115
"P33","Javier Milei por los liberales libertarios",0.036,0.419,0.368
"P33","Al candidato del Frente de Izquierda",0.065,0.004,0.104
"P33","No sabe",0.13,0.108,0.277
"P34","Sergio Massa por el Frente de Todos",0.75,0.01,0.15
"P34","Patricia Bullrich por Juntos por el Cambio",0.02,0.666,0.053
"P34","Javier Milei por los liberales libertarios",0.036,0.29,0.377
"P34","Al candidato del Frente de Izquierda",0.08,0.002,0.106
"P34","No sabe",0.114,0.032,0.314
"P35","Alberto Fernández por el Frente de Todos",0.782,0.006,0.08
"P35","Patricia Bullrich por Juntos por el Cambio",0.012,0.683,0.037
"P35","Javier Milei por los liberales libertarios",0.04,0.284,0.381
"P35","Al candidato del Frente de Izquierda",0.078,0.003,0.132
"P35","No sabe",0.088,0.024,0.37
"P36","Wado de Pedro por el Frente de Todos",0.728,0.007,0.143
"P36","Patricia Bullrich por Juntos por el Cambio",0.013,0.689,0.041
"P36","Javier Milei por los liberales libertarios",0.048,0.281,0.383
"P36","Al candidato del Frente de Izquierda",0.053,0.005,0.101
"P36","No sabe",0.158,0.018,0.332
"P37","Daniel Scioli por el Frente de Todos",0.76,0.005,0.14
"P37","Patricia Bullrich por Juntos por el Cambio",0.01,0.695,0.031
"P37","Javier Milei por los liberales libertarios",0.046,0.28,0.385
"P37","Al candidato del Frente de Izquierda",0.063,0.002,0.118
"P37","No sabe",0.121,0.018,0.326
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.117,0.357,0.107
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.614,0.109,0.128
"P38","Javier Milei presidente y su candidato a vice",0.045,0.401,0.374
"P38","A los candidatos de la izquierda",0.085,0.007,0.106
"P38","No sabe",0.139,0.126,0.285
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.032,0.612,0.035
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.682,0.029,0.134
"P39","Javier Milei presidente y su candidato a vice",0.042,0.307,0.377
"P39","A los candidatos de la izquierda",0.086,0.003,0.107
"P39","No sabe",0.158,0.049,0.347
"P40","Sergio Massa por el Frente de Todos",0.87,0.032,0.16
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.669,0.144
"P40","No sabe",0.105,0.299,0.696
"P41","Alberto Fernández por el Frente de Todos",0.893,0.026,0.064
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.712,0.159
"P41","No sabe",0.073,0.262,0.777
"P42","Sergio Massa por el Frente de Todos",0.882,0.011,0.175
"P42","Patricia Bullrich por Juntos por el Cambio",0.028,0.947,0.051
"P42","No sabe",0.09,0.042,0.774
"P44","Wado de Pedro por el Frente de Todos",0.811,0.016,0.165
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.045,0.75,0.147
"P44","No sabe",0.144,0.234,0.688
"P45","Daniel Scioli por el Frente de Todos",0.832,0.029,0.18
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.729,0.146
"P45","No sabe",0.137,0.242,0.674
"P46","Wado de Pedro por el Frente de Todos",0.822,0.015,0.19
"P46","Patricia Bullrich por Juntos por el Cambio",0.015,0.943,0.072
"P46","No sabe",0.163,0.042,0.738
"P47","Daniel Scioli por el Frente de Todos",0.866,0.007,0.179
"P47","Patricia Bullrich por Juntos por el Cambio",0.015,0.968,0.071
"P47","No sabe",0.119,0.025,0.75
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.245,0.409,0.139
"P48","Javier Milei por los liberales libertarios",0.061,0.5,0.31
"P48","No sabe",0.694,0.091,0.551
"P49","Patricia Bullrich por Juntos por el Cambio",0.073,0.651,0.057
"P49","Javier Milei por los liberales libertarios",0.088,0.321,0.358
"P49","No sabe",0.839,0.028,0.585
"P50","Alberto Fernández por el Frente de Todos",0.821,0.1,0.085
"P50","Javier Milei por los liberales libertarios",0.044,0.62,0.376
"P50","No sabe",0.135,0.28,0.539
"P51","Sergio Massa por el Frente de Todos",0.868,0.028,0.181
"P51","Javier Milei por los liberales libertarios",0.043,0.688,0.365
"P51","No sabe",0.089,0.284,0.454
"P52","Muy buena",0.228,0.009,0.026
"P52","Buena",0.308,0.084,0.078
"P52","Ni buena ni mala",0.322,0.052,0.203
"P52","Mala",0.12,0.066,0.176
"P52","Muy mala",0.021,0.786,0.489
"P52","No sabe",0.001,0.003,0.028
"P53","Muy buena",0.619,0.006,0.215
"P53","Buena",0.174,0.016,0.054
"P53","Ni buena ni mala",0.116,0.01,0.107
"P53","Mala",0.061,0.046,0.078
"P53","Muy mala",0.026,0.919,0.526
"P53","No sabe",0.004,0.003,0.02
"P54","Muy buena",0.097,0.298,0.055
"P54","Buena",0.016,0.272,0.061
"P54","Ni buena ni mala",0.038,0.205,0.195
"P54","Mala",0.138,0.09,0.177
"P54","Muy mala",0.706,0.133,0.491
"P54","No sabe",0.005,0.002,0.021
"P55","Muy buena",0.035,0.183,0.061
"P55","Buena",0.019,0.314,0.091
"P55","Ni buena ni mala",0.104,0.257,0.23
"P55","Mala",0.222,0.122,0.149
"P55","Muy mala",0.609,0.121,0.439
"P55","No sabe",0.011,0.003,0.03
"P56","Muy buena",0.158,0.031,0.053
"P56","Buena",0.343,0.047,0.116
"P56","Ni buena ni mala",0.308,0.085,0.209
"P56","Mala",0.111,0.133,0.166
"P56","Muy mala",0.066,0.703,0.427
"P56","No sabe",0.014,0.001,0.029
"P57","Muy buena",0.043,0.479,0.045
"P57","Buena",0.052,0.237,0.079
"P57","Ni buena ni mala",0.095,0.127,0.228
"P57","Mala",0.113,0.04,0.161
"P57","Muy mala",0.683,0.115,0.458
"P57","No sabe",0.014,0.002,0.029
"P58","Muy buena",0.039,0.282,0.292
"P58","Buena",0.017,0.237,0.08
"P58","Ni buena ni mala",0.057,0.275,0.138
"P58","Mala",0.116,0.113,0.113
"P58","Muy mala",0.745,0.086,0.338
"P58","No sabe",0.026,0.007,0.039
"P59","Muy buena",0.35,0.049,0.143
"P59","Buena",0.274,0.046,0.089
"P59","Ni buena ni mala",0.153,0.136,0.235
"P59","Mala",0.049,0.172,0.12
"P59","Muy mala",0.126,0.546,0.325
"P59","No sabe",0.048,0.051,0.088
"P60","Muy buena",0.264,0.01,0.065
"P60","Buena",0.371,0.012,0.114
"P60","Ni buena ni mala",0.26,0.083,0.238
"P60","Mala",0.053,0.197,0.142
"P60","Muy mala",0.032,0.685,0.418
"P60","No sabe",0.02,0.013,0.023
"P61","Muy buena",0.064,0.23,0.054
"P61","Buena",0.06,0.268,0.098
"P61","Ni buena ni mala",0.076,0.239,0.186
"P61","Mala",0.14,0.105,0.16
"P61","Muy mala",0.65,0.153,0.471
"P61","No sabe",0.01,0.005,0.031
"P62","Muy buena",0.047,0.132,0.101
"P62","Buena",0.079,0.225,0.079
"P62","Ni buena ni mala",0.353,0.353,0.291
"P62","Mala",0.21,0.128,0.152
"P62","Muy mala",0.252,0.136,0.272
"P62","No sabe",0.059,0.026,0.105
"P63","Siempre",0.316,0.306,0.252
"P63","Casi siempre",0.372,0.401,0.359
"P63","Casi nunca",0.209,0.209,0.255
"P63","Nunca, pero esta es una excepción",0.103,0.084,0.134
"P64","Si",0.623,0.631,0.586
"P64","No",0.377,0.369,0.414
