"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P27","Wado de Pedro por el Frente de Todos",0.403,0.008,0.091
"P27","Sergio Massa por el Frente de Todos",0.363,0.017,0.089
"P27","Javier Milei por los liberales libertarios",0.051,0.181,0.435
"P27","Al candidato del Frente de Izquierda",0.044,0.014,0.054
"P27","No sabe",0.073,0.035,0.133
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.216,0.007
"P28","Patricia Bullrich por Juntos por el Cambio",0.037,0.531,0.199
"P28","Wado de Pedro por el Frente de Todos",0.427,0.011,0.083
"P28","Daniel Scioli por el Frente de Todos",0.345,0.015,0.081
"P28","Javier Milei por los liberales libertarios",0.05,0.18,0.448
"P28","Al candidato del Frente de Izquierda",0.039,0.012,0.05
"P28","No sabe",0.076,0.035,0.132
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.025,0.289,0.037
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.024,0.454,0.153
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.333,0.023,0.076
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.45,0.016,0.1
"P29","Javier Milei presidente y su candidato a vice",0.048,0.178,0.444
"P29","A los candidatos de la izquierda",0.036,0.005,0.043
"P29","No sabe",0.084,0.035,0.147
"P30","Alberto Fernández por el Frente de Todos",0.737,0.034,0.046
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.538,0.033
"P30","Javier Milei por los liberales libertarios",0.059,0.298,0.509
"P30","Al candidato del Frente de Izquierda",0.062,0.016,0.081
"P30","No sabe",0.12,0.114,0.331
"P31","Sergio Massa por el Frente de Todos",0.718,0.025,0.1
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.568,0.03
"P31","Javier Milei por los liberales libertarios",0.052,0.312,0.522
"P31","Al candidato del Frente de Izquierda",0.071,0.017,0.069
"P31","No sabe",0.133,0.078,0.279
"P32","Wado de Pedro por el Frente de Todos",0.727,0.018,0.123
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.592,0.032
"P32","Javier Milei por los liberales libertarios",0.06,0.308,0.508
"P32","Al candidato del Frente de Izquierda",0.039,0.016,0.05
"P32","No sabe",0.139,0.066,0.287
"P33","Daniel Scioli por el Frente de Todos",0.734,0.02,0.105
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.61,0.023
"P33","Javier Milei por los liberales libertarios",0.043,0.302,0.515
"P33","Al candidato del Frente de Izquierda",0.064,0.011,0.064
"P33","No sabe",0.125,0.057,0.293
"P34","Sergio Massa por el Frente de Todos",0.733,0.03,0.106
"P34","Patricia Bullrich por Juntos por el Cambio",0.044,0.69,0.191
"P34","Javier Milei por los liberales libertarios",0.042,0.198,0.447
"P34","Al candidato del Frente de Izquierda",0.067,0.018,0.065
"P34","No sabe",0.114,0.064,0.191
"P35","Alberto Fernández por el Frente de Todos",0.791,0.017,0.046
"P35","Patricia Bullrich por Juntos por el Cambio",0.028,0.698,0.202
"P35","Javier Milei por los liberales libertarios",0.043,0.202,0.445
"P35","Al candidato del Frente de Izquierda",0.063,0.023,0.079
"P35","No sabe",0.075,0.06,0.228
"P36","Wado de Pedro por el Frente de Todos",0.719,0.015,0.107
"P36","Patricia Bullrich por Juntos por el Cambio",0.031,0.702,0.207
"P36","Javier Milei por los liberales libertarios",0.048,0.198,0.448
"P36","Al candidato del Frente de Izquierda",0.044,0.024,0.054
"P36","No sabe",0.158,0.061,0.184
"P37","Daniel Scioli por el Frente de Todos",0.744,0.021,0.104
"P37","Patricia Bullrich por Juntos por el Cambio",0.038,0.7,0.203
"P37","Javier Milei por los liberales libertarios",0.045,0.2,0.446
"P37","Al candidato del Frente de Izquierda",0.054,0.021,0.065
"P37","No sabe",0.119,0.058,0.182
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.114,0.483,0.034
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.612,0.13,0.106
"P38","Javier Milei presidente y su candidato a vice",0.059,0.288,0.5
"P38","A los candidatos de la izquierda",0.077,0.015,0.073
"P38","No sabe",0.138,0.084,0.287
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.052,0.638,0.158
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.665,0.059,0.096
"P39","Javier Milei presidente y su candidato a vice",0.048,0.214,0.457
"P39","A los candidatos de la izquierda",0.079,0.017,0.064
"P39","No sabe",0.156,0.072,0.225
"P40","Sergio Massa por el Frente de Todos",0.868,0.038,0.126
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.891,0.022
"P40","No sabe",0.101,0.071,0.852
"P42","Sergio Massa por el Frente de Todos",0.868,0.033,0.122
"P42","Patricia Bullrich por Juntos por el Cambio",0.055,0.89,0.368
"P42","No sabe",0.077,0.077,0.51
"P43","Alberto Fernández por el Frente de Todos",0.906,0.025,0.066
"P43","Patricia Bullrich por Juntos por el Cambio",0.045,0.887,0.401
"P43","No sabe",0.049,0.088,0.533
"P44","Wado de Pedro por el Frente de Todos",0.785,0.021,0.144
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.054,0.936,0.092
"P44","No sabe",0.161,0.043,0.764
"P45","Daniel Scioli por el Frente de Todos",0.834,0.024,0.146
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.938,0.057
"P45","No sabe",0.131,0.038,0.797
"P46","Wado de Pedro por el Frente de Todos",0.788,0.028,0.157
"P46","Patricia Bullrich por Juntos por el Cambio",0.046,0.897,0.367
"P46","No sabe",0.166,0.075,0.476
"P47","Daniel Scioli por el Frente de Todos",0.829,0.032,0.137
"P47","Patricia Bullrich por Juntos por el Cambio",0.05,0.891,0.41
"P47","No sabe",0.121,0.077,0.453
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.227,0.563,0.047
"P48","Javier Milei por los liberales libertarios",0.09,0.39,0.478
"P48","No sabe",0.683,0.047,0.475
"P49","Patricia Bullrich por Juntos por el Cambio",0.086,0.685,0.187
"P49","Javier Milei por los liberales libertarios",0.094,0.245,0.433
"P49","No sabe",0.82,0.07,0.38
"P50","Alberto Fernández por el Frente de Todos",0.794,0.123,0.095
"P50","Javier Milei por los liberales libertarios",0.069,0.555,0.509
"P50","No sabe",0.137,0.322,0.396
"P51","Sergio Massa por el Frente de Todos",0.841,0.053,0.134
"P51","Javier Milei por los liberales libertarios",0.068,0.628,0.517
"P51","No sabe",0.091,0.319,0.349
"P52","Muy buena",0.224,0.011,0.022
"P52","Buena",0.308,0.077,0.091
"P52","Ni buena ni mala",0.309,0.071,0.143
"P52","Mala",0.107,0.083,0.131
"P52","Muy mala",0.05,0.755,0.594
"P52","No sabe",0.002,0.003,0.019
"P53","Muy buena",0.605,0.012,0.157
"P53","Buena",0.167,0.016,0.05
"P53","Ni buena ni mala",0.104,0.017,0.078
"P53","Mala",0.06,0.059,0.052
"P53","Muy mala",0.064,0.892,0.647
"P53","No sabe",0,0.004,0.016
"P54","Muy buena",0.11,0.309,0.108
"P54","Buena",0.028,0.277,0.109
"P54","Ni buena ni mala",0.037,0.184,0.224
"P54","Mala",0.131,0.088,0.158
"P54","Muy mala",0.688,0.14,0.387
"P54","No sabe",0.006,0.002,0.014
"P55","Muy buena",0.031,0.242,0.028
"P55","Buena",0.021,0.384,0.071
"P55","Ni buena ni mala",0.096,0.257,0.244
"P55","Mala",0.217,0.077,0.203
"P55","Muy mala",0.624,0.039,0.43
"P55","No sabe",0.011,0.001,0.024
"P56","Muy buena",0.161,0.04,0.033
"P56","Buena",0.346,0.064,0.071
"P56","Ni buena ni mala",0.282,0.092,0.184
"P56","Mala",0.108,0.151,0.136
"P56","Muy mala",0.089,0.651,0.557
"P56","No sabe",0.014,0.002,0.019
"P57","Muy buena",0.062,0.477,0.172
"P57","Buena",0.06,0.199,0.171
"P57","Ni buena ni mala",0.098,0.128,0.188
"P57","Mala",0.103,0.066,0.096
"P57","Muy mala",0.667,0.128,0.349
"P57","No sabe",0.01,0.002,0.024
"P58","Muy buena",0.044,0.22,0.36
"P58","Buena",0.027,0.227,0.132
"P58","Ni buena ni mala",0.067,0.286,0.157
"P58","Mala",0.114,0.138,0.084
"P58","Muy mala",0.729,0.121,0.234
"P58","No sabe",0.019,0.008,0.033
"P59","Muy buena",0.355,0.041,0.12
"P59","Buena",0.258,0.04,0.101
"P59","Ni buena ni mala",0.142,0.159,0.183
"P59","Mala",0.061,0.189,0.103
"P59","Muy mala",0.138,0.516,0.421
"P59","No sabe",0.046,0.055,0.072
"P60","Muy buena",0.25,0.022,0.047
"P60","Buena",0.38,0.014,0.074
"P60","Ni buena ni mala",0.245,0.086,0.199
"P60","Mala",0.059,0.199,0.15
"P60","Muy mala",0.051,0.67,0.5
"P60","No sabe",0.015,0.009,0.03
"P61","Muy buena",0.073,0.275,0.044
"P61","Buena",0.067,0.291,0.117
"P61","Ni buena ni mala",0.075,0.212,0.237
"P61","Mala",0.133,0.106,0.147
"P61","Muy mala",0.643,0.111,0.433
"P61","No sabe",0.009,0.005,0.022
"P62","Muy buena",0.054,0.169,0.056
"P62","Buena",0.076,0.246,0.102
"P62","Ni buena ni mala",0.34,0.351,0.326
"P62","Mala",0.217,0.114,0.157
"P62","Muy mala",0.264,0.088,0.279
"P62","No sabe",0.049,0.032,0.08
"P63","Siempre",0.316,0.309,0.267
"P63","Casi siempre",0.374,0.423,0.342
"P63","Casi nunca",0.202,0.197,0.261
"P63","Nunca, pero esta es una excepción",0.108,0.071,0.13
"P64","Si",0.608,0.628,0.618
"P64","No",0.392,0.372,0.382
