"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P28","Wado de Pedro por el Frente de Todos",0.415,0.017,0.011,0.094,0.054
"P28","Daniel Scioli por el Frente de Todos",0.315,0.014,0.03,0.082,0.116
"P28","Javier Milei por los liberales libertarios",0.046,0.056,0.801,0.134,0.166
"P28","Al candidato del Frente de Izquierda",0.032,0.006,0.011,0.51,0.041
"P28","No sabe",0.128,0.05,0.016,0.043,0.364
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.029,0.319,0.037,0.063,0.114
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.026,0.538,0.088,0.051,0.121
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.311,0.021,0.02,0.064,0.114
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.454,0.017,0.017,0.09,0.054
"P29","Javier Milei presidente y su candidato a vice",0.031,0.057,0.811,0.141,0.159
"P29","A los candidatos de la izquierda",0.024,0.003,0.007,0.458,0.037
"P29","No sabe",0.125,0.045,0.02,0.133,0.401
"P30","Alberto Fernández por el Frente de Todos",0.628,0.056,0.013,0.034,0.12
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.05,0.577,0.047,0.042,0.151
"P30","Javier Milei por los liberales libertarios",0.047,0.166,0.862,0.188,0.2
"P30","Al candidato del Frente de Izquierda",0.069,0.02,0.016,0.613,0.031
"P30","No sabe",0.206,0.181,0.062,0.123,0.498
"P31","Sergio Massa por el Frente de Todos",0.667,0.032,0.016,0.05,0.161
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.621,0.036,0.066,0.141
"P31","Javier Milei por los liberales libertarios",0.045,0.186,0.882,0.217,0.203
"P31","Al candidato del Frente de Izquierda",0.06,0.013,0.027,0.564,0.05
"P31","No sabe",0.181,0.148,0.039,0.103,0.445
"P32","Wado de Pedro por el Frente de Todos",0.69,0.03,0.023,0.155,0.092
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.048,0.642,0.037,0.134,0.16
"P32","Javier Milei por los liberales libertarios",0.042,0.178,0.885,0.1,0.222
"P32","Al candidato del Frente de Izquierda",0.039,0.01,0.015,0.52,0.03
"P32","No sabe",0.181,0.14,0.04,0.091,0.496
"P33","Daniel Scioli por el Frente de Todos",0.675,0.035,0.025,0.09,0.112
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.044,0.655,0.037,0.086,0.172
"P33","Javier Milei por los liberales libertarios",0.042,0.172,0.888,0.079,0.208
"P33","Al candidato del Frente de Izquierda",0.053,0.012,0.016,0.638,0.036
"P33","No sabe",0.186,0.126,0.034,0.107,0.472
"P34","Sergio Massa por el Frente de Todos",0.688,0.038,0.019,0.098,0.139
"P34","Patricia Bullrich por Juntos por el Cambio",0.043,0.802,0.139,0.078,0.224
"P34","Javier Milei por los liberales libertarios",0.038,0.073,0.806,0.089,0.159
