"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.233,0.024
"P26","Patricia Bulrich por Juntos por el Cambio",0.052,0.514,0.196
"P26","Alberto Fernández por el Frente de Todos",0.201,0.012,0.069
"P26","Sergio Massa por el Frente de Todos",0.528,0.013,0.025
"P26","Javier Milei por los liberales libertarios",0.047,0.164,0.43
"P26","Al candidato del Frente de Izquierda",0.075,0.017,0.076
"P26","No sabe",0.088,0.047,0.18
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.234,0.015
"P27","Patricia Bullrich por Juntos por el Cambio",0.04,0.546,0.208
"P27","Wado de Pedro por el Frente de Todos",0.389,0.007,0.085
"P27","Sergio Massa por el Frente de Todos",0.413,0.012,0.026
"P27","Javier Milei por los liberales libertarios",0.05,0.158,0.458
"P27","Al candidato del Frente de Izquierda",0.035,0.015,0.058
"P27","No sabe",0.057,0.028,0.15
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.231,0.015
"P28","Patricia Bullrich por Juntos por el Cambio",0.039,0.545,0.214
"P28","Wado de Pedro por el Frente de Todos",0.418,0.008,0.069
"P28","Daniel Scioli por el Frente de Todos",0.35,0.014,0.062
"P28","Javier Milei por los liberales libertarios",0.046,0.162,0.467
"P28","Al candidato del Frente de Izquierda",0.037,0.013,0.049
"P28","No sabe",0.09,0.027,0.124
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.016,0.31,0.046
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.038,0.459,0.166
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.36,0.018,0.041
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.446,0.011,0.084
"P29","Javier Milei presidente y su candidato a vice",0.037,0.162,0.467
"P29","A los candidatos de la izquierda",0.033,0.006,0.041
"P29","No sabe",0.07,0.034,0.155
"P30","Alberto Fernández por el Frente de Todos",0.654,0.04,0.081
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.564,0.038
"P30","Javier Milei por los liberales libertarios",0.066,0.274,0.53
"P30","Al candidato del Frente de Izquierda",0.06,0.019,0.074
"P30","No sabe",0.186,0.103,0.277
"P31","Sergio Massa por el Frente de Todos",0.767,0.018,0.026
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.609,0.041
"P31","Javier Milei por los liberales libertarios",0.056,0.285,0.551
"P31","Al candidato del Frente de Izquierda",0.051,0.019,0.08
"P31","No sabe",0.108,0.069,0.302
"P32","Wado de Pedro por el Frente de Todos",0.714,0.013,0.099
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.036,0.626,0.043
"P32","Javier Milei por los liberales libertarios",0.06,0.287,0.534
"P32","Al candidato del Frente de Izquierda",0.035,0.017,0.05
"P32","No sabe",0.155,0.057,0.274
"P33","Daniel Scioli por el Frente de Todos",0.726,0.012,0.082
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.644,0.032
"P33","Javier Milei por los liberales libertarios",0.047,0.279,0.541
"P33","Al candidato del Frente de Izquierda",0.051,0.017,0.066
"P33","No sabe",0.141,0.048,0.279
"P34","Sergio Massa por el Frente de Todos",0.79,0.02,0.028
"P34","Patricia Bullrich por Juntos por el Cambio",0.045,0.722,0.204
"P34","Javier Milei por los liberales libertarios",0.039,0.178,0.472
"P34","Al candidato del Frente de Izquierda",0.053,0.022,0.069
"P34","No sabe",0.073,0.058,0.227
"P35","Alberto Fernández por el Frente de Todos",0.71,0.018,0.078
"P35","Patricia Bullrich por Juntos por el Cambio",0.04,0.721,0.217
"P35","Javier Milei por los liberales libertarios",0.05,0.177,0.467
"P35","Al candidato del Frente de Izquierda",0.075,0.024,0.063
"P35","No sabe",0.125,0.06,0.175
"P36","Wado de Pedro por el Frente de Todos",0.703,0.016,0.084
"P36","Patricia Bullrich por Juntos por el Cambio",0.045,0.718,0.225
"P36","Javier Milei por los liberales libertarios",0.056,0.178,0.463
"P36","Al candidato del Frente de Izquierda",0.04,0.026,0.053
"P36","No sabe",0.156,0.062,0.175
"P37","Daniel Scioli por el Frente de Todos",0.746,0.017,0.068
"P37","Patricia Bullrich por Juntos por el Cambio",0.044,0.723,0.223
"P37","Javier Milei por los liberales libertarios",0.044,0.18,0.466
"P37","Al candidato del Frente de Izquierda",0.05,0.022,0.065
"P37","No sabe",0.116,0.058,0.178
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.113,0.512,0.039
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.653,0.133,0.042
"P38","Javier Milei presidente y su candidato a vice",0.049,0.266,0.537
"P38","A los candidatos de la izquierda",0.064,0.013,0.081
"P38","No sabe",0.121,0.076,0.301
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.065,0.654,0.175
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.712,0.048,0.033
"P39","Javier Milei presidente y su candidato a vice",0.037,0.2,0.481
"P39","A los candidatos de la izquierda",0.066,0.019,0.069
"P39","No sabe",0.12,0.079,0.242
"P41","Alberto Fernández por el Frente de Todos",0.818,0.024,0.088
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.957,0.085
"P41","No sabe",0.133,0.019,0.827
"P42","Sergio Massa por el Frente de Todos",0.911,0.027,0.042
"P42","Patricia Bullrich por Juntos por el Cambio",0.054,0.893,0.425
"P42","No sabe",0.035,0.08,0.533
"P43","Alberto Fernández por el Frente de Todos",0.833,0.02,0.092
"P43","Patricia Bullrich por Juntos por el Cambio",0.051,0.894,0.445
"P43","No sabe",0.116,0.086,0.463
"P44","Wado de Pedro por el Frente de Todos",0.783,0.025,0.099
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.057,0.933,0.163
"P44","No sabe",0.16,0.042,0.738
"P45","Daniel Scioli por el Frente de Todos",0.826,0.02,0.113
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.044,0.949,0.112
"P45","No sabe",0.13,0.031,0.775
"P46","Wado de Pedro por el Frente de Todos",0.784,0.028,0.116
"P46","Patricia Bullrich por Juntos por el Cambio",0.059,0.898,0.416
"P46","No sabe",0.157,0.074,0.468
"P47","Daniel Scioli por el Frente de Todos",0.837,0.026,0.089
"P47","Patricia Bullrich por Juntos por el Cambio",0.053,0.894,0.464
"P47","No sabe",0.11,0.08,0.447
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.236,0.585,0.048
"P48","Javier Milei por los liberales libertarios",0.091,0.364,0.521
"P48","No sabe",0.673,0.051,0.431
"P49","Patricia Bullrich por Juntos por el Cambio",0.084,0.712,0.206
"P49","Javier Milei por los liberales libertarios",0.102,0.216,0.463
"P49","No sabe",0.814,0.072,0.331
"P50","Alberto Fernández por el Frente de Todos",0.737,0.121,0.114
"P50","Javier Milei por los liberales libertarios",0.077,0.542,0.543
"P50","No sabe",0.186,0.337,0.343
"P51","Sergio Massa por el Frente de Todos",0.881,0.053,0.054
"P51","Javier Milei por los liberales libertarios",0.075,0.617,0.556
"P51","No sabe",0.044,0.33,0.39
"P52","Muy buena",0.197,0.014,0.034
"P52","Buena",0.284,0.079,0.099
"P52","Ni buena ni mala",0.301,0.071,0.135
"P52","Mala",0.132,0.086,0.101
"P52","Muy mala",0.084,0.745,0.614
"P52","No sabe",0.002,0.005,0.017
"P53","Muy buena",0.609,0.01,0.124
"P53","Buena",0.157,0.021,0.045
"P53","Ni buena ni mala",0.103,0.012,0.078
"P53","Mala",0.058,0.062,0.049
"P53","Muy mala",0.07,0.891,0.69
"P53","No sabe",0.003,0.004,0.014
"P54","Muy buena",0.095,0.322,0.121
"P54","Buena",0.035,0.272,0.127
"P54","Ni buena ni mala",0.052,0.172,0.23
"P54","Mala",0.131,0.085,0.157
"P54","Muy mala",0.685,0.147,0.349
"P54","No sabe",0.002,0.002,0.016
"P55","Muy buena",0.025,0.25,0.041
"P55","Buena",0.032,0.397,0.074
"P55","Ni buena ni mala",0.118,0.235,0.258
"P55","Mala",0.219,0.077,0.191
"P55","Muy mala",0.6,0.038,0.411
"P55","No sabe",0.006,0.003,0.025
"P56","Muy buena",0.173,0.043,0.013
"P56","Buena",0.362,0.061,0.046
"P56","Ni buena ni mala",0.298,0.088,0.162
"P56","Mala",0.092,0.161,0.14
"P56","Muy mala",0.073,0.645,0.61
"P56","No sabe",0.002,0.002,0.029
"P57","Muy buena",0.064,0.481,0.196
"P57","Buena",0.061,0.198,0.179
"P57","Ni buena ni mala",0.095,0.12,0.2
"P57","Mala",0.11,0.06,0.094
"P57","Muy mala",0.656,0.139,0.312
"P57","No sabe",0.014,0.002,0.019
"P58","Muy buena",0.037,0.207,0.387
"P58","Buena",0.028,0.228,0.144
"P58","Ni buena ni mala",0.076,0.301,0.147
"P58","Mala",0.115,0.135,0.089
"P58","Muy mala",0.723,0.12,0.204
"P58","No sabe",0.021,0.009,0.029
"P59","Muy buena",0.34,0.037,0.119
"P59","Buena",0.275,0.04,0.071
"P59","Ni buena ni mala",0.148,0.163,0.173
"P59","Mala",0.048,0.191,0.121
"P59","Muy mala",0.146,0.514,0.44
"P59","No sabe",0.043,0.055,0.076
"P60","Muy buena",0.25,0.016,0.042
"P60","Buena",0.363,0.017,0.063
"P60","Ni buena ni mala",0.263,0.094,0.161
"P60","Mala",0.059,0.207,0.15
"P60","Muy mala",0.051,0.655,0.557
"P60","No sabe",0.014,0.011,0.027
"P61","Muy buena",0.054,0.285,0.067
"P61","Buena",0.074,0.287,0.132
"P61","Ni buena ni mala",0.085,0.203,0.246
"P61","Mala",0.139,0.108,0.136
"P61","Muy mala",0.638,0.111,0.399
"P61","No sabe",0.01,0.006,0.02
"P62","Muy buena",0.052,0.171,0.063
"P62","Buena",0.077,0.253,0.105
"P62","Ni buena ni mala",0.354,0.344,0.324
"P62","Mala",0.217,0.115,0.148
"P62","Muy mala",0.249,0.082,0.287
"P62","No sabe",0.051,0.035,0.073
"P63","Siempre",0.316,0.307,0.27
"P63","Casi siempre",0.401,0.414,0.332
"P63","Casi nunca",0.197,0.206,0.253
"P63","Nunca, pero esta es una excepción",0.086,0.073,0.145
"P64","Si",0.647,0.622,0.591
"P64","No",0.353,0.378,0.409
