"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P19","Nunca la votaría",0.342,0.323,0.865,0.811,0.586,0.745,0.611
"P19","No sabe",0.08,0.077,0.06,0.079,0.065,0.069,0.206
"P20","Lo votaría",0.05,0.037,0.497,0.163,0.016,0.171,0.066
"P20","Puede que lo vote",0.111,0.079,0.3,0.296,0.066,0.273,0.123
"P20","Nunca lo votaría",0.719,0.835,0.158,0.395,0.81,0.455,0.531
"P20","No sabe",0.12,0.049,0.045,0.146,0.108,0.101,0.28
"P21","Lo votaría",0.035,0.01,0.277,0.288,0.026,0.1,0.109
"P21","Puede que lo vote",0.051,0.034,0.445,0.377,0.051,0.29,0.206
"P21","Nunca lo votaría",0.856,0.93,0.198,0.226,0.88,0.511,0.478
"P21","No sabe",0.058,0.026,0.08,0.109,0.043,0.099,0.207
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.645,0.031,0.003,0.01,0.012,0.005,0.053
"P22","Patricia Bullrich por Juntos por el Cambio",0.112,0.843,0.009,0.011,0.071,0.019,0.029
"P22","Facundo Manes por Juntos por el Cambio",0.084,0.035,0.017,0.042,0.023,0.072,0.088
"P22","Alberto Fernández por el Frente de Todos",0.042,0.007,0.092,0.162,0.018,0.044,0.162
"P22","Sergio Massa por el Frente de Todos",0.011,0.012,0.047,0.401,0.018,0.037,0.033
"P22","Wado de Pedro por el Frente de Todos",0.008,0.008,0.614,0.084,0.01,0.252,0.052
"P22","Daniel Scioli por el Frente de Todos",0.017,0.005,0.149,0.194,0.013,0.051,0.114
"P22","Javier Milei por los liberales libertarios",0.036,0.032,0.011,0.012,0.804,0.064,0.027
"P22","Al candidato del Frente de Izquierda",0.004,0.005,0.029,0.005,0.003,0.411,0.015
"P22","No sabe",0.041,0.022,0.029,0.079,0.028,0.045,0.427
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.586,0.026,0.002,0.004,0.011,0,0.045
"P23","Patricia Bullrich por Juntos por el Cambio",0.079,0.819,0.01,0.013,0.058,0.011,0.039
"P23","María Eugenia Vidal por Juntos por el Cambio",0.169,0.067,0.017,0.031,0.03,0.015,0.052
"P23","Facundo Manes por Juntos por el Cambio",0.068,0.023,0.019,0.038,0.023,0.073,0.098
"P23","Sergio Massa por el Frente de Todos",0.022,0.012,0.071,0.497,0.021,0.033,0.051
"P23","Wado de Pedro por el Frente de Todos",0.012,0.004,0.653,0.088,0.011,0.259,0.044
"P23","Daniel Scioli por el Frente de Todos",0.005,0.01,0.162,0.234,0.008,0.065,0.126
"P23","Javier Milei por los liberales libertarios",0.026,0.022,0.012,0.013,0.82,0.062,0.035
"P23","Al candidato del Frente de Izquierda",0.004,0.002,0.024,0.004,0.001,0.419,0.022
"P23","No sabe",0.029,0.015,0.03,0.078,0.017,0.063,0.488
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.589,0.029,0.002,0.005,0.015,0.017,0.053
"P24","Patricia Bullrich por Juntos por el Cambio",0.076,0.823,0.006,0.009,0.065,0.018,0.036
"P24","María Eugenia Vidal por Juntos por el Cambio",0.155,0.068,0.011,0.025,0.023,0.032,0.043
"P24","Facundo Manes por Juntos por el Cambio",0.074,0.023,0.013,0.033,0.017,0.088,0.097
"P24","Sergio Massa por el Frente de Todos",0.014,0.007,0.045,0.53,0.021,0.034,0.051
"P24","Wado de Pedro por el Frente de Todos",0.007,0.004,0.719,0.104,0.01,0.242,0.049
"P24","Alberto Fernández por el Frente de Todos",0.029,0.011,0.162,0.202,0.014,0.048,0.208
"P24","Javier Milei por los liberales libertarios",0.024,0.023,0.013,0.017,0.819,0.078,0.03
"P24","Al candidato del Frente de Izquierda",0.002,0.001,0.012,0.006,0.001,0.395,0.013
"P24","No sabe",0.03,0.011,0.017,0.069,0.015,0.048,0.42
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.599,0.026,0.004,0.007,0.015,0.051,0.04
"P25","Patricia Bullrich por Juntos por el Cambio",0.109,0.72,0.005,0.013,0.041,0.033,0.044
"P25","Facundo Manes por Juntos por el Cambio",0.09,0.181,0.011,0.021,0.041,0.044,0.072
"P25","Sergio Massa por el Frente de Todos",0.02,0.015,0.049,0.513,0.007,0.038,0.056
"P25","Wado de Pedro por el Frente de Todos",0.011,0.008,0.635,0.15,0.027,0.06,0.051
"P25","Daniel Scioli por el Frente de Todos",0.016,0.006,0.24,0.219,0.014,0.229,0.122
"P25","Javier Milei por los liberales libertario",0.117,0.024,0.022,0.018,0.39,0.033,0.102
"P25","Al candidato del Frente de Izquierda",0.011,0.01,0.005,0.022,0.454,0.252,0.019
"P25","No sabe",0.027,0.01,0.029,0.037,0.011,0.26,0.494
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.79,0.056,0.011,0.001,0.012,0.006,0.021
"P26","Patricia Bulrich por Juntos por el Cambio",0.065,0.872,0.017,0.045,0.025,0.026,0.025
"P26","Alberto Fernández por el Frente de Todos",0.034,0.01,0.297,0.196,0.011,0.028,0.191
"P26","Sergio Massa por el Frente de Todos",0.012,0.004,0.404,0.669,0.011,0.023,0.019
"P26","Javier Milei por los liberales libertarios",0.021,0.041,0.025,0.021,0.878,0.038,0.025
"P26","Al candidato del Frente de Izquierda",0.043,0.006,0.082,0.019,0.011,0.82,0.026
"P26","No sabe",0.035,0.011,0.164,0.049,0.052,0.059,0.693
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.834,0.027,0.011,0.037,0.011,0.01,0.02
"P28","Patricia Bullrich por Juntos por el Cambio",0.078,0.92,0.015,0.016,0.033,0.013,0.018
"P28","Wado de Pedro por el Frente de Todos",0.013,0.006,0.75,0.21,0.004,0.076,0.049
"P28","Daniel Scioli por el Frente de Todos",0.019,0.003,0.184,0.535,0.01,0.066,0.158
"P28","Javier Milei por los liberales libertarios",0.013,0.026,0.007,0.039,0.932,0.029,0.035
"P28","Al candidato del Frente de Izquierda",0.007,0.001,0.005,0.015,0.003,0.755,0.032
"P28","No sabe",0.036,0.017,0.028,0.148,0.007,0.051,0.688
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.736,0.175,0.015,0.015,0.02,0.053,0.049
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.142,0.73,0.011,0.018,0.032,0.028,0.022
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.025,0.013,0.136,0.591,0.01,0.062,0.094
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.024,0.006,0.738,0.234,0.024,0.138,0.084
"P29","Javier Milei presidente y su candidato a vice",0.012,0.036,0.014,0.036,0.89,0.09,0.052
"P29","A los candidatos de la izquierda",0.002,0.002,0.017,0.013,0.005,0.545,0.029
"P29","No sabe",0.059,0.038,0.069,0.093,0.019,0.084,0.67
"P30","Alberto Fernández por el Frente de Todos",0.078,0.031,0.662,0.613,0.021,0.136,0.269
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.819,0.469,0.038,0.049,0.028,0.019,0.076
"P30","Javier Milei por los liberales libertarios",0.023,0.239,0.02,0.066,0.875,0.121,0.065
"P30","Al candidato del Frente de Izquierda",0.015,0.016,0.094,0.056,0.011,0.599,0.022
"P30","No sabe",0.065,0.245,0.186,0.216,0.065,0.125,0.568
"P31","Sergio Massa por el Frente de Todos",0.033,0.015,0.675,0.793,0.03,0.144,0.149
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.887,0.512,0.033,0.027,0.018,0.021,0.067
"P31","Javier Milei por los liberales libertarios",0.035,0.26,0.025,0.04,0.906,0.102,0.085
"P31","Al candidato del Frente de Izquierda",0.018,0.012,0.086,0.04,0.01,0.647,0.027
"P31","No sabe",0.027,0.201,0.181,0.1,0.036,0.086,0.672
"P32","Wado de Pedro por el Frente de Todos",0.035,0.011,0.877,0.608,0.027,0.235,0.135
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.898,0.528,0.02,0.042,0.03,0.026,0.08
"P32","Javier Milei por los liberales libertarios",0.026,0.262,0.018,0.057,0.901,0.095,0.068
"P32","Al candidato del Frente de Izquierda",0.011,0.009,0.022,0.044,0.01,0.555,0.013
"P32","No sabe",0.03,0.19,0.063,0.249,0.032,0.089,0.704
"P33","Daniel Scioli por el Frente de Todos",0.03,0.02,0.694,0.693,0.027,0.246,0.243
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.906,0.55,0.021,0.044,0.022,0.012,0.065
"P33","Javier Milei por los liberales libertarios",0.018,0.254,0.027,0.048,0.912,0.072,0.057
"P33","Al candidato del Frente de Izquierda",0.015,0.009,0.086,0.033,0.002,0.575,0.017
"P33","No sabe",0.031,0.167,0.172,0.182,0.037,0.095,0.618
"P34","Sergio Massa por el Frente de Todos",0.071,0.007,0.669,0.846,0.024,0.177,0.163
"P34","Patricia Bullrich por Juntos por el Cambio",0.642,0.898,0.027,0.022,0.073,0.047,0.07
"P34","Javier Milei por los liberales libertarios",0.072,0.051,0.022,0.033,0.875,0.104,0.056
"P34","Al candidato del Frente de Izquierda",0.041,0.002,0.111,0.03,0.001,0.584,0.022
"P34","No sabe",0.174,0.042,0.171,0.069,0.027,0.088,0.689
"P35","Alberto Fernández por el Frente de Todos",0.076,0.014,0.677,0.72,0.023,0.234,0.267
"P35","Patricia Bullrich por Juntos por el Cambio",0.613,0.919,0.02,0.018,0.064,0.045,0.063
"P35","Javier Milei por los liberales libertarios",0.1,0.043,0.03,0.052,0.876,0.074,0.055
"P35","Al candidato del Frente de Izquierda",0.051,0.001,0.104,0.062,0.008,0.568,0.031
"P35","No sabe",0.16,0.023,0.169,0.148,0.029,0.079,0.584
"P36","Wado de Pedro por el Frente de Todos",0.054,0.009,0.879,0.604,0.021,0.298,0.138
"P36","Patricia Bullrich por Juntos por el Cambio",0.621,0.921,0.017,0.02,0.059,0.047,0.082
"P36","Javier Milei por los liberales libertarios",0.093,0.042,0.023,0.078,0.877,0.077,0.055
"P36","Al candidato del Frente de Izquierda",0.056,0.006,0.016,0.042,0.016,0.529,0.02
"P36","No sabe",0.176,0.022,0.065,0.256,0.027,0.049,0.705
"P37","Daniel Scioli por el Frente de Todos",0.063,0.006,0.746,0.72,0.027,0.249,0.227
"P37","Patricia Bullrich por Juntos por el Cambio",0.64,0.932,0.022,0.02,0.065,0.05,0.07
"P37","Javier Milei por los liberales libertarios",0.098,0.034,0.026,0.06,0.88,0.105,0.055
"P37","Al candidato del Frente de Izquierda",0.045,0.003,0.075,0.036,0.004,0.55,0.032
"P37","No sabe",0.154,0.025,0.131,0.164,0.024,0.046,0.616
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.754,0.414,0.112,0.084,0.026,0.132,0.108
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.128,0.155,0.523,0.738,0.024,0.066,0.158
"P38","Javier Milei presidente y su candidato a vice",0.027,0.219,0.03,0.049,0.915,0.092,0.075
"P38","A los candidatos de la izquierda",0.019,0.008,0.113,0.022,0.003,0.633,0.042
"P38","No sabe",0.072,0.204,0.222,0.107,0.032,0.077,0.617
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.65,0.8,0.054,0.014,0.064,0.063,0.072
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.079,0.048,0.605,0.801,0.018,0.083,0.144
"P39","Javier Milei presidente y su candidato a vice",0.052,0.077,0.014,0.035,0.89,0.117,0.067
"P39","A los candidatos de la izquierda",0.031,0.004,0.115,0.022,0.003,0.64,0.034
"P39","No sabe",0.188,0.071,0.212,0.128,0.025,0.097,0.683
"P40","Sergio Massa por el Frente de Todos",0.051,0.043,0.793,0.906,0.067,0.304,0.224
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.898,0.713,0.018,0.033,0.259,0.152,0.135
"P40","No sabe",0.051,0.244,0.189,0.061,0.674,0.544,0.641
"P41","Alberto Fernández por el Frente de Todos",0.074,0.042,0.781,0.748,0.064,0.357,0.268
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.903,0.742,0.021,0.048,0.319,0.154,0.183
"P41","No sabe",0.023,0.216,0.198,0.204,0.617,0.489,0.549
"P42","Sergio Massa por el Frente de Todos",0.078,0.015,0.804,0.902,0.058,0.359,0.235
"P42","Patricia Bullrich por Juntos por el Cambio",0.709,0.948,0.043,0.015,0.573,0.086,0.136
"P42","No sabe",0.213,0.037,0.153,0.083,0.369,0.555,0.629
"P43","Alberto Fernández por el Frente de Todos",0.07,0.015,0.802,0.783,0.063,0.427,0.295
"P43","Patricia Bullrich por Juntos por el Cambio",0.693,0.961,0.031,0.016,0.604,0.026,0.147
"P43","No sabe",0.237,0.024,0.167,0.201,0.333,0.547,0.558
"P44","Wado de Pedro por el Frente de Todos",0.037,0.022,0.921,0.69,0.045,0.394,0.186
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.893,0.775,0.034,0.029,0.366,0.15,0.204
"P44","No sabe",0.07,0.203,0.045,0.281,0.589,0.456,0.61
"P45","Daniel Scioli por el Frente de Todos",0.05,0.025,0.813,0.796,0.077,0.363,0.289
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.903,0.764,0.034,0.032,0.329,0.139,0.152
"P45","No sabe",0.047,0.211,0.153,0.172,0.594,0.498,0.559
"P46","Wado de Pedro por el Frente de Todos",0.065,0.024,0.904,0.707,0.055,0.455,0.176
"P46","Patricia Bullrich por Juntos por el Cambio",0.723,0.933,0.037,0.019,0.586,0.079,0.141
"P46","No sabe",0.212,0.043,0.059,0.274,0.359,0.466,0.683
"P47","Daniel Scioli por el Frente de Todos",0.061,0.013,0.843,0.808,0.056,0.34,0.291
"P47","Patricia Bullrich por Juntos por el Cambio",0.704,0.961,0.036,0.013,0.612,0.071,0.16
"P47","No sabe",0.235,0.026,0.121,0.179,0.332,0.589,0.549
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.828,0.484,0.181,0.238,0.043,0.22,0.192
"P48","Javier Milei por los liberales libertarios",0.097,0.374,0.034,0.064,0.843,0.08,0.103
"P48","No sabe",0.075,0.142,0.785,0.698,0.114,0.7,0.705
"P49","Patricia Bullrich por Juntos por el Cambio",0.686,0.863,0.064,0.07,0.075,0.083,0.134
"P49","Javier Milei por los liberales libertarios",0.109,0.099,0.048,0.086,0.842,0.102,0.114
"P49","No sabe",0.205,0.038,0.888,0.844,0.083,0.815,0.752
"P50","Alberto Fernández por el Frente de Todos",0.129,0.14,0.76,0.68,0.043,0.481,0.272
"P50","Javier Milei por los liberales libertarios",0.372,0.493,0.039,0.048,0.889,0.085,0.113
"P50","No sabe",0.499,0.367,0.201,0.272,0.068,0.434,0.615
"P51","Sergio Massa por el Frente de Todos",0.136,0.035,0.815,0.866,0.032,0.479,0.247
"P51","Javier Milei por los liberales libertarios",0.412,0.583,0.035,0.032,0.906,0.058,0.122
"P51","No sabe",0.452,0.382,0.15,0.102,0.062,0.463,0.631
"P52","Muy buena",0.027,0.014,0.139,0.222,0.013,0.218,0.095
"P52","Buena",0.059,0.083,0.289,0.284,0.116,0.084,0.096
"P52","Ni buena ni mala",0.107,0.063,0.338,0.301,0.079,0.172,0.251
"P52","Mala",0.136,0.076,0.178,0.125,0.046,0.165,0.155
"P52","Muy mala",0.663,0.761,0.055,0.056,0.743,0.355,0.36
"P52","No sabe",0.008,0.003,0.001,0.012,0.003,0.006,0.043
"P53","Muy buena",0.033,0.009,0.754,0.554,0.025,0.296,0.258
"P53","Buena",0.016,0.021,0.112,0.183,0.036,0.102,0.117
"P53","Ni buena ni mala",0.023,0.013,0.077,0.147,0.047,0.142,0.113
"P53","Mala",0.099,0.051,0.031,0.069,0.041,0.123,0.073
"P53","Muy mala",0.821,0.903,0.026,0.041,0.847,0.337,0.395
"P53","No sabe",0.008,0.003,0,0.006,0.004,0,0.044
"P54","Muy buena",0.23,0.415,0.069,0.084,0.076,0.15,0.059
"P54","Buena",0.26,0.283,0.034,0.013,0.157,0.034,0.063
"P54","Ni buena ni mala",0.198,0.133,0.028,0.054,0.317,0.056,0.169
"P54","Mala",0.115,0.052,0.086,0.203,0.167,0.111,0.189
"P54","Muy mala",0.194,0.111,0.781,0.643,0.281,0.635,0.479
"P54","No sabe",0.003,0.006,0.002,0.003,0.002,0.014,0.041
"P55","Muy buena",0.422,0.195,0.004,0.02,0.04,0.055,0.076
"P55","Buena",0.336,0.387,0.023,0.037,0.099,0.035,0.104
"P55","Ni buena ni mala",0.169,0.253,0.066,0.138,0.292,0.136,0.247
"P55","Mala",0.041,0.089,0.172,0.286,0.2,0.197,0.144
"P55","Muy mala",0.032,0.074,0.734,0.504,0.361,0.563,0.353
"P55","No sabe",0,0.002,0.001,0.015,0.008,0.014,0.076
"P56","Muy buena",0.051,0.032,0.067,0.286,0.015,0.017,0.07
"P56","Buena",0.101,0.061,0.315,0.415,0.034,0.09,0.087
"P56","Ni buena ni mala",0.14,0.078,0.38,0.191,0.126,0.266,0.272
"P56","Mala",0.204,0.127,0.142,0.055,0.145,0.201,0.142
"P56","Muy mala",0.501,0.7,0.087,0.05,0.669,0.426,0.353
"P56","No sabe",0.003,0.002,0.009,0.003,0.011,0,0.076
"P57","Muy buena",0.189,0.642,0.035,0.055,0.184,0.05,0.054
"P57","Buena",0.26,0.184,0.044,0.057,0.24,0.029,0.044
"P57","Ni buena ni mala",0.246,0.046,0.084,0.068,0.268,0.172,0.187
"P57","Mala",0.125,0.021,0.044,0.166,0.103,0.091,0.167
"P57","Muy mala",0.18,0.106,0.786,0.631,0.199,0.658,0.476
"P57","No sabe",0,0.001,0.007,0.023,0.006,0,0.072
"P58","Muy buena",0.056,0.146,0.022,0.024,0.671,0.04,0.048
"P58","Buena",0.16,0.246,0.016,0.027,0.193,0.014,0.055
"P58","Ni buena ni mala",0.296,0.354,0.025,0.106,0.078,0.119,0.194
"P58","Mala",0.243,0.141,0.081,0.12,0.014,0.103,0.22
"P58","Muy mala",0.225,0.103,0.835,0.683,0.041,0.72,0.414
"P58","No sabe",0.02,0.01,0.021,0.04,0.003,0.004,0.069
"P59","Muy buena",0.023,0.024,0.57,0.188,0.119,0.098,0.09
"P59","Buena",0.048,0.046,0.23,0.321,0.043,0.199,0.124
"P59","Ni buena ni mala",0.213,0.145,0.066,0.221,0.169,0.184,0.206
"P59","Mala",0.226,0.153,0.02,0.079,0.139,0.08,0.168
"P59","Muy mala",0.419,0.598,0.095,0.125,0.442,0.405,0.297
"P59","No sabe",0.071,0.034,0.019,0.066,0.088,0.034,0.115
"P60","Muy buena",0.015,0.011,0.245,0.252,0.027,0.076,0.15
"P60","Buena",0.05,0.013,0.391,0.372,0.023,0.093,0.157
"P60","Ni buena ni mala",0.138,0.072,0.274,0.271,0.146,0.292,0.176
"P60","Mala",0.274,0.171,0.058,0.055,0.171,0.183,0.111
"P60","Muy mala",0.516,0.717,0.031,0.025,0.618,0.356,0.341
"P60","No sabe",0.007,0.016,0.001,0.025,0.015,0,0.065
"P61","Muy buena",0.338,0.268,0.046,0.061,0.055,0.106,0.076
"P61","Buena",0.255,0.322,0.034,0.063,0.155,0.062,0.068
"P61","Ni buena ni mala",0.183,0.21,0.057,0.094,0.281,0.088,0.204
"P61","Mala",0.123,0.072,0.099,0.177,0.173,0.179,0.136
"P61","Muy mala",0.098,0.125,0.757,0.591,0.327,0.561,0.443
"P61","No sabe",0.003,0.003,0.007,0.014,0.009,0.004,0.073
"P62","Muy buena",0.237,0.125,0.031,0.076,0.071,0.081,0.116
"P62","Buena",0.228,0.236,0.054,0.097,0.131,0.096,0.124
"P62","Ni buena ni mala",0.342,0.349,0.352,0.342,0.344,0.269,0.301
"P62","Mala",0.08,0.133,0.253,0.201,0.141,0.162,0.121
"P62","Muy mala",0.059,0.132,0.281,0.216,0.238,0.373,0.226
"P62","No sabe",0.054,0.025,0.029,0.068,0.075,0.019,0.112
"P63","Siempre",0.316,0.317,0.321,0.316,0.242,0.307,0.285
"P63","Casi siempre",0.41,0.411,0.377,0.407,0.346,0.332,0.357
"P63","Casi nunca",0.222,0.199,0.213,0.188,0.248,0.316,0.224
"P63","Nunca, pero esta es una excepción",0.052,0.073,0.089,0.089,0.164,0.045,0.134
"P64","Si",0.639,0.653,0.618,0.677,0.59,0.528,0.491
"P64","No",0.361,0.347,0.382,0.323,0.41,0.472,0.509
