"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos","Javier Milei presidente y su candidato a vice","A los candidatos de la izquierda","No sabe"
"P10","A algún candidato del kirchnerismo",0.297,0.453,0.161,0.789,0.497
"P11","A Alberto Fernández",0.153,0.08,0.217,0.023,0.152
"P11","A Sergio Massa",0.121,0.173,0.354,0.029,0.044
"P11","A algún candidato del peronismo",0.208,0.103,0.149,0.107,0.15
"P11","A Cristina Fernández de Kirchner",0.518,0.644,0.28,0.841,0.654
"P12","A Horacio Rodriguez Larreta",0.327,0.281,0.136,0.481,0.157
"P12","A Patricia Bullrich",0.54,0.517,0.791,0.269,0.766
"P12","A Facundo Manes",0.058,0.089,0.061,0.225,0.044
"P12","A Gerardo Morales",0.075,0.113,0.012,0.025,0.033
"P13","Lo votaría",0.098,0.346,0.027,0.061,0.072
"P13","Puede que lo vote",0.124,0.385,0.097,0.236,0.194
"P13","Nunca lo votaría",0.719,0.186,0.821,0.467,0.541
"P13","No sabe",0.059,0.083,0.055,0.236,0.193
"P14","Lo votaría",0.076,0.21,0.027,0.091,0.088
"P14","Puede que lo vote",0.07,0.356,0.035,0.268,0.14
"P14","Nunca lo votaría",0.823,0.347,0.917,0.576,0.624
"P14","No sabe",0.031,0.087,0.021,0.065,0.148
"P15","Lo votaría",0.375,0.069,0.028,0.063,0.038
"P15","Puede que lo vote",0.384,0.158,0.223,0.096,0.213
"P15","Nunca lo votaría",0.198,0.733,0.693,0.784,0.619
"P15","No sabe",0.043,0.04,0.056,0.057,0.13
"P16","Lo votaría",0.15,0.061,0.065,0.076,0.036
"P16","Puede que lo vote",0.378,0.191,0.188,0.142,0.149
"P16","Nunca lo votaría",0.364,0.626,0.659,0.667,0.643
"P16","No sabe",0.108,0.122,0.088,0.115,0.172
"P17","La votaría",0.5,0.148,0.317,0.08,0.246
"P17","Puede que la vote",0.209,0.063,0.312,0.092,0.105
"P17","Nunca la votaría",0.248,0.746,0.334,0.789,0.542
"P17","No sabe",0.043,0.043,0.037,0.039,0.107
"P18","Lo votaría",0.118,0.065,0.705,0.059,0.043
"P18","Puede que lo vote",0.253,0.078,0.208,0.084,0.138
"P18","Nunca lo votaría",0.57,0.824,0.072,0.849,0.708
"P18","No sabe",0.059,0.033,0.015,0.008,0.111
"P19","La votaría",0.268,0.087,0.149,0.053,0.051
"P19","Puede que la vote",0.326,0.118,0.262,0.1,0.186
"P19","Nunca la votaría",0.345,0.739,0.541,0.8,0.632
"P19","No sabe",0.061,0.056,0.048,0.047,0.131
"P20","Lo votaría",0.101,0.271,0.019,0.292,0.121
"P20","Puede que lo vote",0.095,0.295,0.068,0.255,0.187
"P20","Nunca lo votaría",0.738,0.347,0.835,0.379,0.557
"P20","No sabe",0.066,0.087,0.078,0.074,0.135
"P21","Lo votaría",0.079,0.271,0.02,0.145,0.072
"P21","Puede que lo vote",0.087,0.385,0.048,0.276,0.214
"P21","Nunca lo votaría",0.807,0.29,0.906,0.504,0.586
"P21","No sabe",0.027,0.054,0.026,0.075,0.128
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.246,0.042,0.01,0.05,0.027
"P22","Patricia Bullrich por Juntos por el Cambio",0.463,0.155,0.225,0.032,0.296
"P22","Facundo Manes por Juntos por el Cambio",0.085,0.028,0.027,0.066,0.043
"P22","Alberto Fernández por el Frente de Todos",0.026,0.097,0.017,0.048,0.092
"P22","Sergio Massa por el Frente de Todos",0.028,0.213,0.015,0.031,0.049
"P22","Wado de Pedro por el Frente de Todos",0.057,0.229,0.01,0.342,0.166
"P22","Daniel Scioli por el Frente de Todos",0.032,0.172,0.019,0.071,0.07
"P22","Javier Milei por los liberales libertarios",0.016,0.004,0.659,0.01,0.033
"P22","Al candidato del Frente de Izquierda",0.007,0.014,0.002,0.305,0
"P22","No sabe",0.04,0.046,0.016,0.045,0.224
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.223,0.033,0.007,0.013,0.035
"P23","Patricia Bullrich por Juntos por el Cambio",0.421,0.146,0.213,0.026,0.297
"P23","María Eugenia Vidal por Juntos por el Cambio",0.109,0.035,0.02,0.05,0.048
"P23","Facundo Manes por Juntos por el Cambio",0.063,0.039,0.028,0.049,0.037
"P23","Sergio Massa por el Frente de Todos",0.031,0.276,0.017,0.025,0.068
"P23","Wado de Pedro por el Frente de Todos",0.06,0.259,0.009,0.37,0.162
"P23","Daniel Scioli por el Frente de Todos",0.041,0.164,0.014,0.091,0.107
"P23","Javier Milei por los liberales libertarios",0.008,0.007,0.678,0.006,0.02
"P23","Al candidato del Frente de Izquierda",0.012,0.006,0.001,0.317,0.005
"P23","No sabe",0.032,0.035,0.013,0.053,0.221
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.225,0.034,0.005,0.021,0.025
"P24","Patricia Bullrich por Juntos por el Cambio",0.416,0.149,0.224,0.041,0.296
"P24","María Eugenia Vidal por Juntos por el Cambio",0.112,0.037,0.018,0.053,0.036
"P24","Facundo Manes por Juntos por el Cambio",0.066,0.035,0.02,0.067,0.048
"P24","Sergio Massa por el Frente de Todos",0.035,0.281,0.007,0.056,0.059
"P24","Wado de Pedro por el Frente de Todos",0.055,0.288,0.011,0.374,0.185
"P24","Alberto Fernández por el Frente de Todos",0.041,0.141,0.027,0.037,0.11
"P24","Javier Milei por los liberales libertarios",0.019,0.006,0.679,0.011,0.022
"P24","Al candidato del Frente de Izquierda",0.005,0.003,0.002,0.289,0.006
"P24","No sabe",0.026,0.026,0.007,0.051,0.213
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.237,0.032,0.01,0.072,0.034
"P25","Patricia Bullrich por Juntos por el Cambio",0.391,0.131,0.17,0.077,0.256
"P25","Facundo Manes por Juntos por el Cambio",0.134,0.053,0.067,0.028,0.102
"P25","Sergio Massa por el Frente de Todos",0.04,0.252,0.011,0.036,0.065
"P25","Wado de Pedro por el Frente de Todos",0.046,0.276,0.017,0.339,0.161
"P25","Daniel Scioli por el Frente de Todos",0.051,0.195,0.023,0.08,0.122
"P25","Javier Milei por los liberales libertario",0.05,0.038,0.364,0.018,0.033
"P25","Al candidato del Frente de Izquierda",0.013,0.004,0.328,0.185,0.01
"P25","No sabe",0.038,0.019,0.01,0.165,0.217
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.32,0.05,0.016,0.034,0.047
"P26","Patricia Bulrich por Juntos por el Cambio",0.445,0.17,0.207,0.06,0.307
"P26","Alberto Fernández por el Frente de Todos",0.041,0.172,0.024,0.109,0.124
"P26","Sergio Massa por el Frente de Todos",0.064,0.478,0.019,0.127,0.109
"P26","Javier Milei por los liberales libertarios",0.04,0.028,0.667,0.017,0.05
"P26","Al candidato del Frente de Izquierda",0.042,0.03,0.011,0.576,0.021
"P26","No sabe",0.048,0.072,0.056,0.077,0.342
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.323,0.051,0.01,0.038,0.043
"P27","Patricia Bullrich por Juntos por el Cambio",0.477,0.165,0.208,0.044,0.325
"P27","Wado de Pedro por el Frente de Todos",0.069,0.299,0.015,0.331,0.189
"P27","Sergio Massa por el Frente de Todos",0.049,0.403,0.024,0.061,0.087
"P27","Javier Milei por los liberales libertarios",0.025,0.022,0.711,0.012,0.041
"P27","Al candidato del Frente de Izquierda",0.019,0.009,0.011,0.444,0.016
"P27","No sabe",0.038,0.051,0.021,0.07,0.299
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.314,0.056,0.011,0.045,0.039
"P28","Patricia Bullrich por Juntos por el Cambio",0.488,0.164,0.208,0.039,0.33
"P28","Wado de Pedro por el Frente de Todos",0.079,0.334,0.008,0.341,0.176
"P28","Daniel Scioli por el Frente de Todos",0.051,0.318,0.022,0.122,0.13
"P28","Javier Milei por los liberales libertarios",0.019,0.015,0.733,0.024,0.04
"P28","Al candidato del Frente de Izquierda",0.018,0.014,0.008,0.399,0.013
"P28","No sabe",0.031,0.099,0.01,0.03,0.272
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.381,0.073,0.044,0.041,0.077
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.411,0.139,0.172,0.037,0.257
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.054,0.372,0.02,0.074,0.058
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.093,0.343,0.024,0.334,0.197
"P29","Javier Milei presidente y su candidato a vice",0.015,0.016,0.728,0.038,0.034
"P29","A los candidatos de la izquierda",0.006,0.009,0.001,0.415,0.006
"P29","No sabe",0.04,0.048,0.011,0.061,0.371
"P30","Alberto Fernández por el Frente de Todos",0.144,0.594,0.023,0.19,0.211
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.678,0.168,0.034,0.04,0.104
"P30","Javier Milei por los liberales libertarios",0.051,0.042,0.898,0.047,0.058
"P30","Al candidato del Frente de Izquierda",0.031,0.028,0.005,0.65,0.013
"P30","No sabe",0.096,0.168,0.04,0.073,0.614
"P31","Sergio Massa por el Frente de Todos",0.125,0.689,0.015,0.163,0.15
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.74,0.167,0.029,0.045,0.105
"P31","Javier Milei por los liberales libertarios",0.051,0.035,0.931,0.051,0.064
"P31","Al candidato del Frente de Izquierda",0.018,0.019,0.008,0.69,0.021
"P31","No sabe",0.066,0.09,0.017,0.051,0.66
"P32","Wado de Pedro por el Frente de Todos",0.141,0.606,0.02,0.4,0.219
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.756,0.188,0.024,0.055,0.112
"P32","Javier Milei por los liberales libertarios",0.037,0.039,0.93,0.045,0.055
"P32","Al candidato del Frente de Izquierda",0.013,0.015,0.006,0.473,0.011
"P32","No sabe",0.053,0.152,0.02,0.027,0.603
"P33","Daniel Scioli por el Frente de Todos",0.141,0.638,0.025,0.24,0.18
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.766,0.185,0.024,0.044,0.13
"P33","Javier Milei por los liberales libertarios",0.039,0.029,0.929,0.025,0.053
"P33","Al candidato del Frente de Izquierda",0.013,0.023,0.003,0.644,0.014
"P33","No sabe",0.041,0.125,0.019,0.047,0.623
"P34","Sergio Massa por el Frente de Todos",0.135,0.719,0.015,0.163,0.135
"P34","Patricia Bullrich por Juntos por el Cambio",0.703,0.209,0.221,0.062,0.324
"P34","Javier Milei por los liberales libertarios",0.042,0.019,0.745,0.034,0.024
"P34","Al candidato del Frente de Izquierda",0.028,0.012,0.005,0.693,0.014
"P34","No sabe",0.092,0.041,0.014,0.048,0.503
"P35","Alberto Fernández por el Frente de Todos",0.138,0.647,0.016,0.236,0.188
"P35","Patricia Bullrich por Juntos por el Cambio",0.705,0.212,0.23,0.044,0.319
"P35","Javier Milei por los liberales libertarios",0.058,0.018,0.742,0.014,0.019
"P35","Al candidato del Frente de Izquierda",0.02,0.037,0.006,0.669,0.022
"P35","No sabe",0.079,0.086,0.006,0.037,0.452
"P36","Wado de Pedro por el Frente de Todos",0.144,0.597,0.014,0.374,0.21
"P36","Patricia Bullrich por Juntos por el Cambio",0.703,0.218,0.223,0.086,0.326
"P36","Javier Milei por los liberales libertarios",0.048,0.025,0.749,0.013,0.015
"P36","Al candidato del Frente de Izquierda",0.021,0.02,0.004,0.495,0.022
"P36","No sabe",0.084,0.14,0.01,0.032,0.427
"P37","Daniel Scioli por el Frente de Todos",0.15,0.647,0.016,0.219,0.208
"P37","Patricia Bullrich por Juntos por el Cambio",0.71,0.224,0.22,0.059,0.324
"P37","Javier Milei por los liberales libertarios",0.047,0.014,0.753,0.03,0.014
"P37","Al candidato del Frente de Izquierda",0.013,0.017,0,0.671,0.017
"P37","No sabe",0.08,0.098,0.011,0.021,0.437
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.753,0.164,0.173,0.048,0.259
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.103,0.776,0.017,0.072,0.051
"P39","Javier Milei presidente y su candidato a vice",0.032,0.009,0.792,0.034,0.011
"P39","A los candidatos de la izquierda",0.015,0.005,0.004,0.81,0.016
"P39","No sabe",0.097,0.046,0.014,0.036,0.663
"P40","Sergio Massa por el Frente de Todos",0.146,0.76,0.051,0.38,0.224
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.8,0.187,0.338,0.091,0.171
"P40","No sabe",0.054,0.053,0.611,0.529,0.605
"P41","Alberto Fernández por el Frente de Todos",0.139,0.672,0.058,0.43,0.24
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.814,0.198,0.392,0.113,0.203
"P41","No sabe",0.047,0.13,0.55,0.457,0.557
"P42","Sergio Massa por el Frente de Todos",0.141,0.751,0.049,0.444,0.209
"P42","Patricia Bullrich por Juntos por el Cambio",0.769,0.208,0.639,0.095,0.368
"P42","No sabe",0.09,0.041,0.312,0.461,0.423
"P43","Alberto Fernández por el Frente de Todos",0.146,0.686,0.045,0.484,0.245
"P43","Patricia Bullrich por Juntos por el Cambio",0.753,0.206,0.674,0.064,0.375
"P43","No sabe",0.101,0.108,0.281,0.452,0.38
"P44","Wado de Pedro por el Frente de Todos",0.142,0.635,0.045,0.553,0.247
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.82,0.206,0.431,0.135,0.218
"P44","No sabe",0.038,0.159,0.524,0.312,0.535
"P45","Daniel Scioli por el Frente de Todos",0.134,0.69,0.072,0.453,0.249
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.825,0.196,0.4,0.086,0.206
"P45","No sabe",0.041,0.114,0.528,0.461,0.545
"P46","Wado de Pedro por el Frente de Todos",0.151,0.64,0.05,0.603,0.244
"P46","Patricia Bullrich por Juntos por el Cambio",0.757,0.202,0.652,0.077,0.372
"P46","No sabe",0.092,0.158,0.298,0.32,0.384
"P47","Daniel Scioli por el Frente de Todos",0.142,0.703,0.044,0.45,0.261
"P47","Patricia Bullrich por Juntos por el Cambio",0.76,0.208,0.683,0.103,0.366
"P47","No sabe",0.098,0.089,0.273,0.447,0.373
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.76,0.289,0.046,0.187,0.171
"P48","Javier Milei por los liberales libertarios",0.132,0.106,0.856,0.074,0.12
"P48","No sabe",0.108,0.605,0.098,0.739,0.709
"P49","Patricia Bullrich por Juntos por el Cambio",0.763,0.217,0.209,0.069,0.354
"P49","Javier Milei por los liberales libertarios",0.061,0.082,0.722,0.13,0.05
"P49","No sabe",0.176,0.701,0.069,0.801,0.596
"P50","Alberto Fernández por el Frente de Todos",0.2,0.655,0.04,0.549,0.287
"P50","Javier Milei por los liberales libertarios",0.375,0.094,0.898,0.059,0.145
"P50","No sabe",0.425,0.251,0.062,0.392,0.568
"P51","Sergio Massa por el Frente de Todos",0.168,0.738,0.02,0.505,0.238
"P51","Javier Milei por los liberales libertarios",0.445,0.123,0.926,0.052,0.146
"P51","No sabe",0.387,0.139,0.054,0.443,0.616
"P52","Muy buena",0.058,0.154,0.017,0.128,0.059
"P52","Buena",0.084,0.286,0.11,0.113,0.092
"P52","Ni buena ni mala",0.077,0.296,0.057,0.266,0.222
"P52","Mala",0.124,0.1,0.054,0.21,0.144
"P52","Muy mala",0.653,0.16,0.759,0.25,0.463
"P52","No sabe",0.004,0.004,0.003,0.033,0.02
"P53","Muy buena",0.085,0.513,0.028,0.423,0.265
"P53","Buena",0.038,0.138,0.028,0.135,0.06
"P53","Ni buena ni mala",0.019,0.091,0.046,0.106,0.087
"P53","Mala",0.057,0.054,0.038,0.099,0.082
"P53","Muy mala",0.796,0.2,0.857,0.237,0.484
"P53","No sabe",0.005,0.004,0.003,0,0.022
"P54","Muy buena",0.342,0.15,0.123,0.118,0.171
"P54","Buena",0.264,0.053,0.199,0.034,0.11
"P54","Ni buena ni mala",0.141,0.066,0.288,0.032,0.117
"P54","Mala",0.065,0.14,0.145,0.115,0.136
"P54","Muy mala",0.18,0.588,0.243,0.691,0.445
"P54","No sabe",0.008,0.003,0.002,0.01,0.021
"P55","Muy buena",0.303,0.069,0.049,0.058,0.051
"P55","Buena",0.398,0.103,0.136,0.045,0.125
"P55","Ni buena ni mala",0.163,0.157,0.297,0.071,0.234
"P55","Mala",0.046,0.202,0.192,0.232,0.156
"P55","Muy mala",0.088,0.461,0.32,0.583,0.395
"P55","No sabe",0.002,0.008,0.006,0.011,0.039
"P56","Muy buena",0.056,0.178,0.021,0.032,0.03
"P56","Buena",0.106,0.353,0.037,0.08,0.09
"P56","Ni buena ni mala",0.119,0.243,0.111,0.28,0.228
"P56","Mala",0.137,0.078,0.121,0.303,0.19
"P56","Muy mala",0.575,0.145,0.703,0.305,0.422
"P56","No sabe",0.007,0.003,0.007,0,0.04
"P57","Muy buena",0.426,0.152,0.286,0.065,0.229
"P57","Buena",0.206,0.068,0.227,0.042,0.098
"P57","Ni buena ni mala",0.132,0.081,0.207,0.082,0.135
"P57","Mala",0.062,0.105,0.081,0.097,0.096
"P57","Muy mala",0.168,0.578,0.194,0.714,0.418
"P57","No sabe",0.006,0.016,0.005,0,0.024
"P58","Muy buena",0.086,0.054,0.583,0.046,0.036
"P58","Buena",0.188,0.048,0.252,0.024,0.054
"P58","Ni buena ni mala",0.321,0.119,0.116,0.078,0.246
"P58","Mala",0.178,0.134,0.019,0.062,0.179
"P58","Muy mala",0.214,0.621,0.029,0.76,0.436
"P58","No sabe",0.013,0.024,0.001,0.03,0.049
"P59","Muy buena",0.058,0.271,0.108,0.31,0.143
"P59","Buena",0.066,0.26,0.051,0.156,0.09
"P59","Ni buena ni mala",0.153,0.161,0.149,0.16,0.201
"P59","Mala",0.181,0.087,0.134,0.056,0.114
"P59","Muy mala",0.495,0.178,0.48,0.27,0.388
"P59","No sabe",0.047,0.043,0.078,0.048,0.064
"P60","Muy buena",0.051,0.21,0.026,0.111,0.09
"P60","Buena",0.056,0.33,0.027,0.13,0.141
"P60","Ni buena ni mala",0.11,0.222,0.129,0.288,0.188
"P60","Mala",0.206,0.075,0.153,0.216,0.129
"P60","Muy mala",0.567,0.147,0.649,0.253,0.417
"P60","No sabe",0.01,0.016,0.016,0.002,0.035
"P61","Muy buena",0.327,0.114,0.071,0.102,0.078
"P61","Buena",0.283,0.091,0.175,0.055,0.177
"P61","Ni buena ni mala",0.17,0.087,0.283,0.085,0.194
"P61","Mala",0.082,0.142,0.16,0.106,0.113
"P61","Muy mala",0.13,0.555,0.302,0.649,0.409
"P61","No sabe",0.008,0.011,0.009,0.003,0.029
"P62","Muy buena",0.19,0.082,0.076,0.067,0.055
"P62","Buena",0.258,0.107,0.147,0.074,0.105
"P62","Ni buena ni mala",0.347,0.354,0.341,0.251,0.337
"P62","Mala",0.103,0.21,0.149,0.226,0.141
"P62","Muy mala",0.061,0.195,0.234,0.366,0.286
"P62","No sabe",0.041,0.052,0.053,0.016,0.076
"P63","Siempre",0.327,0.31,0.25,0.303,0.318
"P63","Casi siempre",0.414,0.396,0.385,0.387,0.317
"P63","Casi nunca",0.192,0.211,0.234,0.261,0.227
"P63","Nunca, pero esta es una excepción",0.067,0.083,0.131,0.049,0.138
"P64","Si",0.641,0.65,0.61,0.51,0.591
"P64","No",0.359,0.35,0.39,0.49,0.409
