"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"CFK","Mala",0.057,0.06,0.053,0.087,0.043,0.053,0.062,0.086,0.046,0.045,0.041,0.064,0.058,0.068,0.051,0.047,0.08
"CFK","Muy mala",0.582,0.625,0.54,0.558,0.587,0.565,0.618,0.542,0.606,0.586,0.597,0.59,0.605,0.562,0.165,0.859,0.7
"CFK","No sabe",0.007,0.006,0.008,0,0.006,0.013,0.006,0.006,0.009,0.005,0.008,0.017,0.002,0.003,0.008,0.003,0.006
"Daniel Scioli","Muy buena",0.094,0.091,0.097,0.12,0.08,0.1,0.09,0.116,0.086,0.086,0.095,0.085,0.09,0.097,0.2,0.025,0.112
"Daniel Scioli","Buena",0.136,0.128,0.143,0.087,0.139,0.158,0.144,0.138,0.126,0.146,0.131,0.076,0.182,0.155,0.319,0.03,0.077
"Daniel Scioli","Ni buena ni mala",0.166,0.153,0.179,0.191,0.181,0.152,0.132,0.159,0.179,0.155,0.154,0.211,0.152,0.162,0.238,0.094,0.277
"Daniel Scioli","Mala",0.144,0.15,0.139,0.139,0.126,0.139,0.196,0.146,0.142,0.146,0.143,0.195,0.117,0.131,0.089,0.173,0.154
"Daniel Scioli","Muy mala",0.443,0.461,0.425,0.449,0.459,0.432,0.417,0.41,0.451,0.46,0.456,0.413,0.43,0.444,0.134,0.672,0.367
"Daniel Scioli","No sabe",0.017,0.017,0.017,0.014,0.015,0.019,0.021,0.031,0.016,0.007,0.021,0.02,0.029,0.011,0.02,0.006,0.013
"Sergio Massa","Muy buena",0.072,0.058,0.086,0.081,0.062,0.083,0.068,0.098,0.071,0.051,0.069,0.087,0.066,0.069,0.127,0.032,0.099
"Sergio Massa","Buena",0.146,0.132,0.159,0.12,0.131,0.162,0.178,0.136,0.145,0.155,0.142,0.125,0.186,0.151,0.286,0.063,0.149
"Sergio Massa","Ni buena ni mala",0.174,0.169,0.18,0.183,0.18,0.167,0.164,0.179,0.186,0.157,0.162,0.179,0.121,0.19,0.273,0.102,0.205
"Sergio Massa","Mala",0.134,0.144,0.124,0.172,0.133,0.117,0.124,0.124,0.11,0.171,0.155,0.105,0.116,0.13,0.125,0.132,0.117
"Sergio Massa","Muy mala",0.463,0.491,0.435,0.444,0.474,0.462,0.461,0.443,0.478,0.462,0.467,0.485,0.487,0.449,0.178,0.668,0.404
"Sergio Massa","No sabe",0.011,0.006,0.016,0,0.02,0.009,0.005,0.02,0.01,0.004,0.005,0.019,0.024,0.011,0.011,0.003,0.026
"Alberto Fernandez","Muy buena",0.075,0.058,0.091,0.088,0.071,0.075,0.069,0.117,0.065,0.05,0.078,0.105,0.045,0.064,0.148,0.032,0.049
"Alberto Fernandez","Buena",0.146,0.139,0.154,0.134,0.144,0.162,0.143,0.159,0.154,0.126,0.145,0.147,0.163,0.145,0.246,0.082,0.053
"Alberto Fernandez","Ni buena ni mala",0.16,0.142,0.179,0.157,0.159,0.15,0.18,0.167,0.161,0.155,0.144,0.145,0.169,0.179,0.282,0.064,0.151
"Alberto Fernandez","Mala",0.105,0.105,0.104,0.112,0.099,0.109,0.104,0.095,0.097,0.122,0.1,0.097,0.112,0.111,0.135,0.073,0.18
"Alberto Fernandez","Muy mala",0.506,0.546,0.466,0.502,0.52,0.496,0.493,0.451,0.516,0.541,0.524,0.5,0.509,0.493,0.183,0.747,0.548
"Alberto Fernandez","No sabe",0.008,0.01,0.006,0.007,0.007,0.008,0.011,0.011,0.007,0.006,0.009,0.006,0.002,0.008,0.006,0.002,0.019
