"var","categoria","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos","Javier Milei presidente y su candidato a vice","A los candidatos de la izquierda","No sabe"
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.132,0.828,0.01,0.027,0.076
"P38","Javier Milei presidente y su candidato a vice",0.157,0.02,0.944,0.024,0.026
"P38","A los candidatos de la izquierda",0.008,0.015,0.007,0.821,0.012
"P38","No sabe",0.138,0.035,0.007,0.055,0.734
"P40","Sergio Massa por el Frente de Todos",0.062,0.883,0.046,0.403,0.251
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.756,0.072,0.302,0.143,0.199
"P40","No sabe",0.182,0.045,0.652,0.454,0.55
"P41","Alberto Fernández por el Frente de Todos",0.047,0.779,0.056,0.453,0.308
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.794,0.096,0.347,0.136,0.197
"P41","No sabe",0.159,0.125,0.597,0.411,0.495
"P42","Sergio Massa por el Frente de Todos",0.026,0.898,0.054,0.448,0.26
"P42","Patricia Bullrich por Juntos por el Cambio",0.952,0.069,0.575,0.032,0.162
"P42","No sabe",0.022,0.033,0.371,0.52,0.578
"P43","Alberto Fernández por el Frente de Todos",0.03,0.82,0.05,0.498,0.315
"P43","Patricia Bullrich por Juntos por el Cambio",0.946,0.059,0.613,0.032,0.164
"P43","No sabe",0.024,0.121,0.337,0.47,0.521
"P44","Wado de Pedro por el Frente de Todos",0.039,0.774,0.039,0.586,0.286
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.814,0.084,0.397,0.141,0.207
"P44","No sabe",0.147,0.142,0.564,0.273,0.507
"P45","Daniel Scioli por el Frente de Todos",0.04,0.821,0.081,0.424,0.298
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.812,0.073,0.353,0.147,0.203
"P45","No sabe",0.148,0.106,0.566,0.429,0.499
"P46","Wado de Pedro por el Frente de Todos",0.03,0.798,0.059,0.589,0.282
"P46","Patricia Bullrich por Juntos por el Cambio",0.941,0.059,0.581,0.1,0.161
"P46","No sabe",0.029,0.143,0.36,0.311,0.557
"P47","Daniel Scioli por el Frente de Todos",0.027,0.847,0.046,0.467,0.322
"P47","Patricia Bullrich por Juntos por el Cambio",0.948,0.067,0.611,0.067,0.167
"P47","No sabe",0.025,0.086,0.343,0.466,0.511
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.589,0.243,0.048,0.284,0.212
"P48","Javier Milei por los liberales libertarios",0.299,0.064,0.85,0.026,0.064
"P48","No sabe",0.112,0.693,0.102,0.69,0.724
"P49","Patricia Bullrich por Juntos por el Cambio",0.894,0.087,0.078,0.077,0.175
"P49","Javier Milei por los liberales libertarios",0.071,0.077,0.852,0.058,0.048
"P49","No sabe",0.035,0.836,0.07,0.865,0.777
"P50","Alberto Fernández por el Frente de Todos",0.134,0.741,0.035,0.493,0.349
"P50","Javier Milei por los liberales libertarios",0.476,0.052,0.902,0.029,0.078
"P50","No sabe",0.39,0.207,0.063,0.478,0.573
"P51","Sergio Massa por el Frente de Todos",0.054,0.888,0.027,0.5,0.285
"P51","Javier Milei por los liberales libertarios",0.561,0.048,0.916,0.051,0.081
"P51","No sabe",0.385,0.064,0.057,0.449,0.634
"P52","Muy buena",0.013,0.196,0.028,0.121,0.076
"P52","Buena",0.065,0.314,0.116,0.103,0.122
"P52","Ni buena ni mala",0.078,0.306,0.058,0.255,0.256
"P52","Mala",0.078,0.121,0.054,0.206,0.195
"P52","Muy mala",0.762,0.06,0.74,0.311,0.318
"P52","No sabe",0.004,0.003,0.004,0.004,0.033
"P53","Muy buena",0.014,0.615,0.037,0.38,0.332
"P53","Buena",0.012,0.17,0.025,0.121,0.09
"P53","Ni buena ni mala",0.013,0.107,0.051,0.109,0.094
"P53","Mala",0.057,0.043,0.048,0.105,0.079
"P53","Muy mala",0.899,0.065,0.835,0.285,0.373
"P53","No sabe",0.005,0,0.004,0,0.032
"P54","Muy buena",0.39,0.1,0.099,0.056,0.082
"P54","Buena",0.291,0.028,0.161,0.052,0.072
"P54","Ni buena ni mala",0.147,0.054,0.308,0.024,0.125
"P54","Mala",0.055,0.148,0.157,0.087,0.183
"P54","Muy mala",0.115,0.661,0.274,0.771,0.515
"P54","No sabe",0.002,0.009,0.001,0.01,0.023
"P55","Muy buena",0.234,0.042,0.057,0.033,0.093
"P55","Buena",0.386,0.042,0.126,0.082,0.083
"P55","Ni buena ni mala",0.235,0.128,0.277,0.061,0.211
"P55","Mala",0.077,0.23,0.19,0.213,0.134
"P55","Muy mala",0.065,0.556,0.343,0.6,0.425
"P55","No sabe",0.003,0.002,0.007,0.011,0.054
"P56","Muy buena",0.038,0.199,0.026,0.03,0.03
"P56","Buena",0.059,0.404,0.041,0.082,0.119
"P56","Ni buena ni mala",0.089,0.27,0.117,0.28,0.278
"P56","Mala",0.131,0.056,0.131,0.298,0.218
"P56","Muy mala",0.681,0.069,0.677,0.31,0.298
"P56","No sabe",0.002,0.002,0.008,0,0.057
"P57","Muy buena",0.582,0.065,0.198,0.027,0.06
"P57","Buena",0.208,0.068,0.228,0.035,0.062
"P57","Ni buena ni mala",0.075,0.085,0.257,0.107,0.183
"P57","Mala",0.032,0.113,0.101,0.104,0.134
"P57","Muy mala",0.102,0.657,0.211,0.727,0.512
"P57","No sabe",0.001,0.012,0.005,0,0.049
"P58","Muy buena",0.129,0.027,0.646,0.007,0.031
"P58","Buena",0.226,0.023,0.228,0.011,0.032
"P58","Ni buena ni mala",0.358,0.083,0.085,0.079,0.167
"P58","Mala",0.156,0.121,0.012,0.12,0.189
"P58","Muy mala",0.122,0.726,0.028,0.78,0.5
"P58","No sabe",0.009,0.02,0.001,0.003,0.081
"P59","Muy buena",0.02,0.334,0.134,0.247,0.163
"P59","Buena",0.04,0.295,0.055,0.17,0.104
"P59","Ni buena ni mala",0.141,0.152,0.165,0.161,0.225
"P59","Mala",0.165,0.065,0.14,0.113,0.118
"P59","Muy mala",0.594,0.122,0.423,0.29,0.275
"P59","No sabe",0.04,0.032,0.083,0.019,0.115
"P60","Muy buena",0.013,0.256,0.033,0.086,0.119
"P60","Buena",0.022,0.382,0.024,0.155,0.173
"P60","Ni buena ni mala",0.074,0.253,0.136,0.26,0.258
"P60","Mala",0.196,0.049,0.159,0.219,0.133
"P60","Muy mala",0.686,0.044,0.632,0.278,0.273
"P60","No sabe",0.009,0.016,0.016,0.002,0.044
"P61","Muy buena",0.295,0.076,0.078,0.045,0.068
"P61","Buena",0.322,0.054,0.142,0.069,0.123
"P61","Ni buena ni mala",0.199,0.087,0.282,0.046,0.174
"P61","Mala",0.078,0.157,0.156,0.135,0.131
"P61","Muy mala",0.104,0.622,0.331,0.703,0.45
"P61","No sabe",0.002,0.004,0.011,0.002,0.054
"P62","Muy buena",0.149,0.059,0.096,0.064,0.081
"P62","Buena",0.242,0.097,0.137,0.072,0.094
"P62","Ni buena ni mala",0.347,0.371,0.344,0.222,0.308
"P62","Mala",0.127,0.229,0.127,0.217,0.13
"P62","Muy mala",0.11,0.203,0.233,0.41,0.256
"P62","No sabe",0.025,0.041,0.063,0.015,0.131
"P63","Siempre",0.339,0.319,0.249,0.238,0.273
"P63","Casi siempre",0.42,0.389,0.356,0.379,0.339
"P63","Casi nunca",0.178,0.212,0.246,0.319,0.24
"P63","Nunca, pero esta es una excepción",0.063,0.08,0.149,0.064,0.148
"P64","Si",0.664,0.658,0.587,0.534,0.536
"P64","No",0.336,0.342,0.413,0.466,0.464
