"var","categoria","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P26","Sergio Massa por el Frente de Todos",0.526,0.01,0.022,0.104,0.164
"P26","Javier Milei por los liberales libertarios",0.033,0.049,0.778,0.019,0.052
"P26","Al candidato del Frente de Izquierda",0.066,0.018,0.018,0.589,0.018
"P26","No sabe",0.11,0.028,0.064,0.095,0.435
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.189,0.042,0.102,0.127
"P27","Patricia Bullrich por Juntos por el Cambio",0.006,0.73,0.039,0.018,0.054
"P27","Wado de Pedro por el Frente de Todos",0.429,0.009,0.016,0.239,0.153
"P27","Sergio Massa por el Frente de Todos",0.402,0.008,0.035,0.113,0.185
"P27","Javier Milei por los liberales libertarios",0.024,0.042,0.832,0.02,0.044
"P27","Al candidato del Frente de Izquierda",0.036,0.005,0.016,0.447,0.013
"P27","No sabe",0.077,0.017,0.02,0.061,0.424
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.184,0.046,0.106,0.119
"P28","Patricia Bullrich por Juntos por el Cambio",0.009,0.74,0.032,0.016,0.06
"P28","Wado de Pedro por el Frente de Todos",0.467,0.005,0.015,0.269,0.148
"P28","Daniel Scioli por el Frente de Todos",0.4,0.011,0.022,0.078,0.115
"P28","Javier Milei por los liberales libertarios",0.019,0.034,0.861,0.029,0.049
"P28","Al candidato del Frente de Izquierda",0.021,0.005,0.013,0.46,0.017
"P28","No sabe",0.055,0.021,0.011,0.042,0.492
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.017,0.288,0.051,0.103,0.139
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.009,0.618,0.026,0.023,0.029
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.34,0.019,0.028,0.129,0.176
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.522,0.006,0.025,0.202,0.143
"P29","Javier Milei presidente y su candidato a vice",0.018,0.035,0.852,0.038,0.053
"P29","A los candidatos de la izquierda",0.018,0,0.001,0.447,0.008
"P29","No sabe",0.076,0.034,0.017,0.058,0.452
"P30","Alberto Fernández por el Frente de Todos",0.738,0.035,0.017,0.118,0.231
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.044,0.548,0.047,0.094,0.144
"P30","Javier Milei por los liberales libertarios",0.014,0.211,0.905,0.013,0.025
"P30","Al candidato del Frente de Izquierda",0.05,0.009,0.006,0.685,0.027
"P30","No sabe",0.154,0.197,0.025,0.09,0.573
"P31","Sergio Massa por el Frente de Todos",0.791,0.012,0.017,0.152,0.222
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.594,0.048,0.08,0.155
"P31","Javier Milei por los liberales libertarios",0.008,0.228,0.907,0.049,0.032
"P31","Al candidato del Frente de Izquierda",0.044,0.012,0.013,0.68,0.02
"P31","No sabe",0.125,0.154,0.015,0.039,0.571
"P32","Wado de Pedro por el Frente de Todos",0.816,0.008,0.02,0.304,0.2
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.036,0.611,0.052,0.105,0.144
"P32","Javier Milei por los liberales libertarios",0.011,0.224,0.905,0.012,0.028
"P32","Al candidato del Frente de Izquierda",0.021,0.01,0.002,0.549,0.01
"P32","No sabe",0.116,0.147,0.021,0.03,0.618
"P33","Daniel Scioli por el Frente de Todos",0.883,0.012,0.021,0.076,0.093
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.627,0.054,0.104,0.15
"P33","Javier Milei por los liberales libertarios",0.008,0.214,0.904,0.005,0.027
"P33","Al candidato del Frente de Izquierda",0.014,0.01,0.006,0.762,0.013
"P33","No sabe",0.064,0.137,0.015,0.053,0.717
"P34","Sergio Massa por el Frente de Todos",0.834,0.01,0.021,0.141,0.223
"P34","Patricia Bullrich por Juntos por el Cambio",0.013,0.917,0.048,0.037,0.066
"P34","Javier Milei por los liberales libertarios",0.011,0.036,0.911,0.004,0.018
"P34","Al candidato del Frente de Izquierda",0.036,0.004,0.004,0.754,0.022
"P34","No sabe",0.106,0.033,0.016,0.064,0.671
"P35","Alberto Fernández por el Frente de Todos",0.811,0.01,0.024,0.138,0.231
"P35","Patricia Bullrich por Juntos por el Cambio",0.012,0.931,0.038,0.008,0.044
"P35","Javier Milei por los liberales libertarios",0.015,0.034,0.924,0.007,0.021
"P35","Al candidato del Frente de Izquierda",0.053,0.003,0.007,0.787,0.016
"P35","No sabe",0.109,0.022,0.007,0.06,0.688
"P36","Wado de Pedro por el Frente de Todos",0.838,0.008,0.019,0.245,0.146
"P36","Patricia Bullrich por Juntos por el Cambio",0.005,0.959,0.024,0.024,0.017
"P36","Javier Milei por los liberales libertarios",0.024,0.024,0.942,0.002,0.006
"P36","Al candidato del Frente de Izquierda",0.017,0.001,0.011,0.683,0.022
"P36","No sabe",0.116,0.008,0.004,0.046,0.809
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.141,0.485,0.047,0.071,0.153
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.656,0.165,0.015,0.102,0.203
"P38","Javier Milei presidente y su candidato a vice",0.018,0.182,0.921,0,0.027
"P38","A los candidatos de la izquierda",0.043,0.008,0.007,0.76,0.009
"P38","No sabe",0.142,0.16,0.01,0.067,0.608
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.04,0.827,0.047,0.017,0.056
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.74,0.047,0.017,0.146,0.211
"P39","Javier Milei presidente y su candidato a vice",0.012,0.062,0.919,0.002,0.017
"P39","A los candidatos de la izquierda",0.05,0.003,0.003,0.776,0.008
"P39","No sabe",0.158,0.061,0.014,0.059,0.708
"P40","Sergio Massa por el Frente de Todos",0.887,0.038,0.058,0.338,0.307
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.754,0.283,0.179,0.184
"P40","No sabe",0.088,0.208,0.659,0.483,0.509
"P41","Alberto Fernández por el Frente de Todos",0.836,0.03,0.055,0.347,0.294
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.786,0.337,0.19,0.201
"P41","No sabe",0.13,0.184,0.608,0.463,0.505
"P42","Sergio Massa por el Frente de Todos",0.9,0.015,0.048,0.421,0.307
"P42","Patricia Bullrich por Juntos por el Cambio",0.013,0.956,0.56,0.03,0.109
"P42","No sabe",0.087,0.029,0.392,0.549,0.584
"P43","Alberto Fernández por el Frente de Todos",0.869,0.008,0.057,0.404,0.305
"P43","Patricia Bullrich por Juntos por el Cambio",0.01,0.972,0.583,0.026,0.075
"P43","No sabe",0.121,0.02,0.36,0.57,0.62
"P44","Wado de Pedro por el Frente de Todos",0.856,0.021,0.034,0.476,0.221
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.809,0.384,0.178,0.197
"P44","No sabe",0.111,0.17,0.582,0.346,0.582
"P45","Daniel Scioli por el Frente de Todos",0.927,0.025,0.07,0.318,0.174
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.803,0.347,0.16,0.187
"P45","No sabe",0.048,0.172,0.583,0.522,0.639
"P46","Wado de Pedro por el Frente de Todos",0.863,0.016,0.055,0.485,0.232
"P46","Patricia Bullrich por Juntos por el Cambio",0.014,0.948,0.564,0.086,0.091
"P46","No sabe",0.123,0.036,0.381,0.429,0.677
"P47","Daniel Scioli por el Frente de Todos",0.955,0.006,0.047,0.353,0.179
"P47","Patricia Bullrich por Juntos por el Cambio",0.008,0.975,0.589,0.08,0.082
"P47","No sabe",0.037,0.019,0.364,0.567,0.739
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.243,0.543,0.073,0.271,0.18
"P48","Javier Milei por los liberales libertarios",0.037,0.341,0.828,0.012,0.045
"P48","No sabe",0.72,0.116,0.099,0.717,0.775
"P49","Patricia Bullrich por Juntos por el Cambio",0.056,0.889,0.052,0.083,0.103
"P49","Javier Milei por los liberales libertarios",0.053,0.083,0.881,0.055,0.063
"P49","No sabe",0.891,0.028,0.067,0.862,0.834
"P50","Alberto Fernández por el Frente de Todos",0.78,0.141,0.027,0.481,0.235
"P50","Javier Milei por los liberales libertarios",0.019,0.474,0.915,0.027,0.091
"P50","No sabe",0.201,0.385,0.058,0.492,0.674
"P51","Sergio Massa por el Frente de Todos",0.889,0.041,0.028,0.449,0.305
"P51","Javier Milei por los liberales libertarios",0.024,0.57,0.914,0.024,0.062
"P51","No sabe",0.087,0.389,0.058,0.527,0.633
"P52","Muy buena",0.198,0.014,0.023,0.121,0.081
"P52","Buena",0.301,0.073,0.107,0.087,0.134
"P52","Ni buena ni mala",0.317,0.073,0.067,0.213,0.274
"P52","Mala",0.132,0.073,0.06,0.252,0.185
"P52","Muy mala",0.05,0.764,0.738,0.296,0.292
"P52","No sabe",0.002,0.003,0.005,0.031,0.034
"P53","Muy buena",0.689,0.01,0.032,0.315,0.23
"P53","Buena",0.145,0.013,0.03,0.146,0.131
"P53","Ni buena ni mala",0.096,0.012,0.049,0.114,0.149
"P53","Mala",0.044,0.049,0.058,0.127,0.083
"P53","Muy mala",0.025,0.912,0.825,0.285,0.375
"P53","No sabe",0.001,0.004,0.006,0.013,0.032
"P54","Muy buena",0.086,0.391,0.073,0.085,0.055
"P54","Buena",0.009,0.296,0.155,0.03,0.07
"P54","Ni buena ni mala",0.033,0.142,0.328,0.035,0.163
"P54","Mala",0.138,0.054,0.169,0.126,0.209
"P54","Muy mala",0.731,0.115,0.273,0.714,0.461
"P54","No sabe",0.003,0.002,0.002,0.01,0.042
"P55","Muy buena",0.016,0.239,0.052,0.089,0.085
"P55","Buena",0.022,0.385,0.112,0.051,0.096
"P55","Ni buena ni mala",0.097,0.236,0.285,0.091,0.256
"P55","Mala",0.228,0.075,0.196,0.246,0.132
"P55","Muy mala",0.635,0.061,0.348,0.513,0.361
"P55","No sabe",0.002,0.004,0.007,0.01,0.07
"P56","Muy buena",0.158,0.042,0.017,0.066,0.09
"P56","Buena",0.375,0.059,0.039,0.074,0.158
"P56","Ni buena ni mala",0.303,0.082,0.131,0.264,0.239
"P56","Mala",0.093,0.125,0.133,0.281,0.205
"P56","Muy mala",0.065,0.69,0.67,0.315,0.247
"P56","No sabe",0.006,0.002,0.01,0,0.061
"P57","Muy buena",0.036,0.575,0.174,0.074,0.034
"P57","Buena",0.052,0.215,0.241,0.002,0.029
"P57","Ni buena ni mala",0.092,0.075,0.266,0.081,0.215
"P57","Mala",0.101,0.029,0.11,0.122,0.177
"P57","Muy mala",0.714,0.106,0.203,0.721,0.464
"P57","No sabe",0.005,0,0.006,0,0.081
"P58","Muy buena",0.016,0.137,0.654,0.054,0.027
"P58","Buena",0.013,0.228,0.226,0.01,0.015
"P58","Ni buena ni mala",0.06,0.361,0.081,0.082,0.159
"P58","Mala",0.122,0.153,0.014,0.094,0.205
"P58","Muy mala",0.772,0.112,0.022,0.732,0.501
"P58","No sabe",0.017,0.009,0.003,0.028,0.093
"P59","Muy buena",0.369,0.024,0.127,0.214,0.113
"P59","Buena",0.301,0.045,0.049,0.144,0.091
"P59","Ni buena ni mala",0.15,0.145,0.171,0.181,0.219
"P59","Mala",0.044,0.167,0.142,0.112,0.154
"P59","Muy mala",0.114,0.581,0.421,0.293,0.276
"P59","No sabe",0.022,0.038,0.09,0.056,0.147
"P60","Muy buena",0.292,0.013,0.022,0.06,0.07
"P60","Buena",0.449,0.017,0.02,0.056,0.079
"P60","Ni buena ni mala",0.227,0.071,0.148,0.324,0.323
"P60","Mala",0.019,0.195,0.17,0.265,0.164
"P60","Muy mala",0.012,0.694,0.624,0.293,0.273
"P60","No sabe",0.001,0.01,0.016,0.002,0.091
"P61","Muy buena",0.046,0.287,0.078,0.093,0.074
"P61","Buena",0.063,0.313,0.141,0.049,0.086
"P61","Ni buena ni mala",0.066,0.201,0.285,0.061,0.217
"P61","Mala",0.138,0.08,0.162,0.188,0.152
"P61","Muy mala",0.682,0.115,0.325,0.606,0.403
"P61","No sabe",0.005,0.004,0.009,0.003,0.068
"P62","Muy buena",0.04,0.149,0.089,0.153,0.085
"P62","Buena",0.079,0.237,0.132,0.064,0.131
"P62","Ni buena ni mala",0.355,0.341,0.357,0.266,0.297
"P62","Mala",0.224,0.127,0.126,0.202,0.14
"P62","Muy mala",0.262,0.119,0.228,0.298,0.195
"P62","No sabe",0.04,0.027,0.068,0.017,0.152
"P63","Siempre",0.32,0.332,0.253,0.305,0.22
"P63","Casi siempre",0.398,0.414,0.346,0.318,0.36
"P63","Casi nunca",0.184,0.188,0.251,0.321,0.289
"P63","Nunca, pero esta es una excepción",0.098,0.066,0.15,0.056,0.131
"P64","Si",0.644,0.646,0.591,0.582,0.549
"P64","No",0.356,0.354,0.409,0.418,0.451
