"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P29","No sabe",0.034,0.04,0.063,0.116,0.013,0.12,0.662
"P30","Alberto Fernández por el Frente de Todos",0.084,0.033,0.651,0.65,0.022,0.137,0.262
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.804,0.478,0.038,0.029,0.024,0.02,0.073
"P30","Javier Milei por los liberales libertarios",0.03,0.236,0.019,0.054,0.884,0.103,0.045
"P30","Al candidato del Frente de Izquierda",0.02,0.017,0.083,0.064,0.012,0.627,0.023
"P30","No sabe",0.062,0.236,0.209,0.203,0.058,0.113,0.597
"P31","Sergio Massa por el Frente de Todos",0.062,0.014,0.689,0.71,0.029,0.157,0.272
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.839,0.52,0.021,0.035,0.013,0.026,0.078
"P31","Javier Milei por los liberales libertarios",0.043,0.255,0.028,0.043,0.914,0.088,0.034
"P31","Al candidato del Frente de Izquierda",0.016,0.012,0.083,0.059,0.013,0.63,0.029
"P31","No sabe",0.04,0.199,0.179,0.153,0.031,0.099,0.587
"P32","Wado de Pedro por el Frente de Todos",0.032,0.008,0.919,0.648,0.019,0.177,0.108
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.897,0.537,0.006,0.024,0.023,0.033,0.085
"P32","Javier Milei por los liberales libertarios",0.03,0.258,0.012,0.042,0.915,0.087,0.039
"P32","Al candidato del Frente de Izquierda",0.008,0.009,0.016,0.046,0.009,0.593,0.034
"P32","No sabe",0.033,0.188,0.047,0.24,0.034,0.11,0.734
"P33","Daniel Scioli por el Frente de Todos",0.043,0.015,0.718,0.817,0.018,0.173,0.127
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.889,0.562,0.025,0.018,0.014,0.005,0.08
"P33","Javier Milei por los liberales libertarios",0.024,0.251,0.011,0.027,0.932,0.074,0.027
"P33","Al candidato del Frente de Izquierda",0.009,0.008,0.086,0.036,0.003,0.648,0.014
"P33","No sabe",0.035,0.164,0.16,0.102,0.033,0.1,0.752
"P34","Sergio Massa por el Frente de Todos",0.086,0.006,0.719,0.751,0.024,0.198,0.249
"P34","Patricia Bullrich por Juntos por el Cambio",0.615,0.912,0.009,0.035,0.064,0.041,0.074
"P34","Javier Milei por los liberales libertarios",0.089,0.045,0.016,0.027,0.881,0.086,0.029
"P34","Al candidato del Frente de Izquierda",0.052,0.002,0.101,0.053,0.002,0.587,0.011
"P34","No sabe",0.158,0.035,0.155,0.134,0.029,0.088,0.637
"P35","Alberto Fernández por el Frente de Todos",0.079,0.009,0.708,0.717,0.025,0.219,0.268
"P35","Patricia Bullrich por Juntos por el Cambio",0.599,0.925,0.008,0.016,0.061,0.027,0.071
"P35","Javier Milei por los liberales libertarios",0.094,0.037,0.037,0.044,0.883,0.071,0.036
"P35","Al candidato del Frente de Izquierda",0.064,0.002,0.095,0.062,0.01,0.621,0.027
"P35","No sabe",0.164,0.027,0.152,0.161,0.021,0.062,0.598
"P36","Wado de Pedro por el Frente de Todos",0.047,0.004,0.905,0.623,0.021,0.239,0.116
"P36","Patricia Bullrich por Juntos por el Cambio",0.608,0.926,0.012,0.022,0.051,0.039,0.087
"P36","Javier Milei por los liberales libertarios",0.115,0.036,0.023,0.051,0.89,0.071,0.023
"P36","Al candidato del Frente de Izquierda",0.057,0.008,0.017,0.041,0.014,0.585,0.021
"P36","No sabe",0.173,0.026,0.043,0.263,0.024,0.066,0.753
"P37","Daniel Scioli por el Frente de Todos",0.072,0.008,0.766,0.789,0.021,0.161,0.159
"P37","Patricia Bullrich por Juntos por el Cambio",0.628,0.934,0.012,0.03,0.052,0.052,0.083
"P37","Javier Milei por los liberales libertarios",0.108,0.028,0.023,0.041,0.894,0.094,0.03
"P37","Al candidato del Frente de Izquierda",0.047,0.003,0.079,0.028,0.006,0.631,0.022
"P37","No sabe",0.145,0.027,0.12,0.112,0.027,0.062,0.706
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.737,0.419,0.122,0.093,0.02,0.133,0.088
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.143,0.152,0.556,0.634,0.017,0.113,0.301
"P38","Javier Milei presidente y su candidato a vice",0.031,0.217,0.015,0.05,0.928,0.067,0.036
"P38","A los candidatos de la izquierda",0.022,0.007,0.111,0.048,0.005,0.618,0.018
"P38","No sabe",0.067,0.205,0.196,0.175,0.03,0.069,0.557
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.627,0.81,0.037,0.035,0.052,0.072,0.074
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.093,0.046,0.639,0.695,0.019,0.096,0.278
"P39","Javier Milei presidente y su candidato a vice",0.074,0.067,0.015,0.033,0.902,0.104,0.017
"P39","A los candidatos de la izquierda",0.033,0.002,0.108,0.038,0.007,0.635,0.025
"P39","No sabe",0.173,0.075,0.201,0.199,0.02,0.093,0.606
"P40","Sergio Massa por el Frente de Todos",0.065,0.041,0.833,0.805,0.062,0.348,0.348
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.884,0.709,0.019,0.04,0.262,0.145,0.126
"P40","No sabe",0.051,0.25,0.148,0.155,0.676,0.507,0.526
"P41","Alberto Fernández por el Frente de Todos",0.079,0.037,0.798,0.756,0.062,0.353,0.28
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.898,0.739,0.029,0.046,0.313,0.15,0.177
"P41","No sabe",0.023,0.224,0.173,0.198,0.625,0.497,0.543
"P42","Sergio Massa por el Frente de Todos",0.092,0.009,0.848,0.821,0.062,0.396,0.321
"P42","Patricia Bullrich por Juntos por el Cambio",0.709,0.951,0.021,0.023,0.558,0.059,0.144
"P42","No sabe",0.199,0.04,0.131,0.156,0.38,0.545,0.535
"P43","Alberto Fernández por el Frente de Todos",0.066,0.014,0.813,0.801,0.054,0.452,0.322
"P43","Patricia Bullrich por Juntos por el Cambio",0.7,0.954,0.021,0.006,0.596,0.009,0.159
"P43","No sabe",0.234,0.032,0.166,0.193,0.35,0.539,0.519
"P44","Wado de Pedro por el Frente de Todos",0.037,0.018,0.959,0.704,0.04,0.387,0.145
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.903,0.776,0.018,0.039,0.358,0.143,0.181
"P44","No sabe",0.06,0.206,0.023,0.257,0.602,0.47,0.674
"P45","Daniel Scioli por el Frente de Todos",0.034,0.02,0.844,0.869,0.074,0.341,0.2
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.926,0.766,0.015,0.022,0.325,0.124,0.15
"P45","No sabe",0.04,0.214,0.141,0.109,0.601,0.535,0.65
"P46","Wado de Pedro por el Frente de Todos",0.062,0.014,0.944,0.718,0.055,0.423,0.162
"P46","Patricia Bullrich por Juntos por el Cambio",0.723,0.94,0.013,0.015,0.576,0.075,0.135
"P46","No sabe",0.215,0.046,0.043,0.267,0.369,0.502,0.703
"P47","Daniel Scioli por el Frente de Todos",0.056,0.006,0.851,0.883,0.051,0.339,0.217
"P47","Patricia Bullrich por Juntos por el Cambio",0.705,0.97,0.023,0.011,0.597,0.059,0.142
"P47","No sabe",0.239,0.024,0.126,0.106,0.352,0.602,0.641
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.813,0.485,0.193,0.216,0.047,0.254,0.189
"P48","Javier Milei por los liberales libertarios",0.114,0.373,0.04,0.048,0.836,0.084,0.075
"P48","No sabe",0.073,0.142,0.767,0.736,0.117,0.662,0.736
"P49","Patricia Bullrich por Juntos por el Cambio",0.695,0.864,0.051,0.057,0.067,0.086,0.185
"P49","Javier Milei por los liberales libertarios",0.118,0.095,0.064,0.067,0.849,0.101,0.05
"P49","No sabe",0.187,0.041,0.885,0.876,0.084,0.813,0.765
"P50","Alberto Fernández por el Frente de Todos",0.155,0.133,0.744,0.704,0.031,0.491,0.311
"P50","Javier Milei por los liberales libertarios",0.346,0.498,0.029,0.04,0.901,0.06,0.07
"P50","No sabe",0.499,0.369,0.227,0.256,0.068,0.449,0.619
"P51","Sergio Massa por el Frente de Todos",0.141,0.029,0.843,0.817,0.022,0.51,0.333
"P51","Javier Milei por los liberales libertarios",0.405,0.591,0.014,0.028,0.913,0.057,0.079
"P51","No sabe",0.454,0.38,0.143,0.155,0.065,0.433,0.588
"P52","Muy buena",0.038,0.009,0.147,0.227,0.014,0.215,0.095
"P52","Buena",0.044,0.087,0.26,0.304,0.107,0.085,0.153
"P52","Ni buena ni mala",0.109,0.059,0.353,0.272,0.082,0.205,0.27
"P52","Mala",0.137,0.074,0.184,0.122,0.052,0.175,0.132
"P52","Muy mala",0.663,0.768,0.056,0.064,0.74,0.314,0.304
"P52","No sabe",0.009,0.003,0,0.011,0.005,0.006,0.046
"P53","Muy buena",0.036,0.006,0.727,0.607,0.03,0.299,0.218
"P53","Buena",0.014,0.02,0.135,0.164,0.035,0.098,0.128
"P53","Ni buena ni mala",0.018,0.013,0.076,0.133,0.046,0.147,0.161
"P53","Mala",0.089,0.047,0.046,0.055,0.052,0.143,0.057
"P53","Muy mala",0.834,0.911,0.016,0.041,0.834,0.313,0.377
"P53","No sabe",0.009,0.003,0,0,0.003,0,0.059
"P54","Muy buena",0.213,0.417,0.098,0.085,0.071,0.122,0.032
"P54","Buena",0.258,0.274,0.019,0.029,0.162,0.041,0.07
"P54","Ni buena ni mala",0.213,0.138,0.008,0.053,0.309,0.064,0.181
"P54","Mala",0.097,0.054,0.086,0.19,0.169,0.077,0.247
"P54","Muy mala",0.213,0.111,0.786,0.642,0.286,0.687,0.428
"P54","No sabe",0.006,0.006,0.003,0.001,0.003,0.009,0.042
"P55","Muy buena",0.419,0.189,0.015,0.023,0.04,0.05,0.071
"P55","Buena",0.358,0.385,0.013,0.03,0.103,0.032,0.097
"P55","Ni buena ni mala",0.165,0.259,0.043,0.121,0.29,0.146,0.312
"P55","Mala",0.036,0.087,0.189,0.275,0.199,0.165,0.166
"P55","Muy mala",0.022,0.078,0.739,0.533,0.358,0.598,0.274
"P55","No sabe",0,0.002,0.001,0.018,0.01,0.009,0.08
"P56","Muy buena",0.078,0.031,0.11,0.209,0.021,0.039,0.087
"P56","Buena",0.087,0.061,0.308,0.4,0.034,0.11,0.148
"P56","Ni buena ni mala",0.141,0.075,0.354,0.24,0.126,0.211,0.265
"P56","Mala",0.188,0.131,0.143,0.077,0.136,0.196,0.124
"P56","Muy mala",0.499,0.7,0.083,0.074,0.673,0.444,0.277
"P56","No sabe",0.007,0.002,0.002,0,0.01,0,0.099
"P57","Muy buena",0.198,0.643,0.03,0.064,0.175,0.07,0.041
"P57","Buena",0.258,0.186,0.056,0.038,0.239,0,0.045
"P57","Ni buena ni mala",0.247,0.042,0.086,0.078,0.26,0.093,0.23
"P57","Mala",0.124,0.025,0.072,0.142,0.104,0.1,0.148
"P57","Muy mala",0.172,0.103,0.753,0.664,0.216,0.737,0.44
"P57","No sabe",0.001,0.001,0.003,0.014,0.006,0,0.096
"P58","Muy buena",0.08,0.139,0.018,0.035,0.665,0.034,0.013
"P58","Buena",0.155,0.252,0.013,0.008,0.2,0.012,0.039
"P58","Ni buena ni mala",0.3,0.353,0.023,0.107,0.081,0.125,0.195
"P58","Mala",0.234,0.147,0.091,0.133,0.011,0.046,0.211
"P58","Muy mala",0.215,0.1,0.848,0.682,0.042,0.778,0.418
"P58","No sabe",0.016,0.009,0.007,0.035,0.001,0.005,0.124
"P59","Muy buena",0.037,0.019,0.571,0.202,0.119,0.09,0.033
"P59","Buena",0.034,0.049,0.251,0.331,0.047,0.166,0.093
"P59","Ni buena ni mala",0.202,0.147,0.059,0.223,0.164,0.151,0.276
"P59","Mala",0.23,0.155,0.02,0.065,0.143,0.082,0.166
"P59","Muy mala",0.433,0.595,0.098,0.133,0.437,0.465,0.248
"P59","No sabe",0.064,0.035,0.001,0.046,0.09,0.046,0.184
"P60","Muy buena",0.023,0.012,0.186,0.364,0.023,0.057,0.096
"P60","Buena",0.036,0.009,0.394,0.423,0.025,0.097,0.105
"P60","Ni buena ni mala",0.133,0.071,0.337,0.163,0.148,0.256,0.263
"P60","Mala",0.277,0.172,0.053,0.032,0.167,0.199,0.156
"P60","Muy mala",0.522,0.721,0.029,0.008,0.623,0.391,0.282
"P60","No sabe",0.009,0.015,0.001,0.01,0.014,0,0.098
"P61","Muy buena",0.334,0.269,0.032,0.097,0.057,0.106,0.034
"P61","Buena",0.258,0.321,0.042,0.061,0.149,0.024,0.08
"P61","Ni buena ni mala",0.189,0.209,0.066,0.07,0.286,0.085,0.201
"P61","Mala",0.1,0.081,0.107,0.15,0.165,0.222,0.178
"P61","Muy mala",0.112,0.118,0.746,0.606,0.334,0.559,0.434
"P61","No sabe",0.007,0.002,0.007,0.016,0.009,0.004,0.073
"P62","Muy buena",0.239,0.13,0.027,0.063,0.085,0.105,0.077
"P62","Buena",0.215,0.234,0.066,0.099,0.132,0.039,0.138
"P62","Ni buena ni mala",0.35,0.344,0.307,0.366,0.345,0.316,0.334
"P62","Mala",0.092,0.134,0.281,0.188,0.129,0.17,0.097
"P62","Muy mala",0.051,0.131,0.291,0.235,0.238,0.349,0.197
"P62","No sabe",0.053,0.027,0.028,0.049,0.071,0.021,0.157
"P63","Siempre",0.329,0.313,0.291,0.359,0.253,0.308,0.242
"P63","Casi siempre",0.419,0.404,0.394,0.354,0.351,0.315,0.425
"P63","Casi nunca",0.192,0.208,0.216,0.197,0.242,0.338,0.209
"P63","Nunca, pero esta es una excepción",0.06,0.075,0.099,0.09,0.154,0.039,0.124
"P64","Si",0.661,0.654,0.604,0.647,0.594,0.494,0.543
"P64","No",0.339,0.346,0.396,0.353,0.406,0.506,0.457
