"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.344,0.017,0.059,0.047
"P26","Patricia Bulrich por Juntos por el Cambio",0.043,0.5,0.205,0.051,0.308
"P26","Alberto Fernández por el Frente de Todos",0.342,0.012,0.021,0.041,0.021
"P26","Sergio Massa por el Frente de Todos",0.442,0.035,0.02,0.175,0.17
"P26","Javier Milei por los liberales libertarios",0.028,0.041,0.666,0.063,0.081
"P26","Al candidato del Frente de Izquierda",0.041,0.027,0.014,0.526,0.042
"P26","No sabe",0.078,0.041,0.057,0.085,0.331
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.359,0.008,0.029,0.033
"P27","Patricia Bullrich por Juntos por el Cambio",0.036,0.525,0.209,0.077,0.315
"P27","Wado de Pedro por el Frente de Todos",0.396,0.023,0.009,0.24,0.127
"P27","Sergio Massa por el Frente de Todos",0.377,0.03,0.031,0.149,0.152
"P27","Javier Milei por los liberales libertarios",0.022,0.028,0.707,0.05,0.077
"P27","Al candidato del Frente de Izquierda",0.022,0.003,0.015,0.416,0.023
"P27","No sabe",0.113,0.032,0.021,0.039,0.273
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.038,0.362,0.011,0.039,0.032
"P28","Patricia Bullrich por Juntos por el Cambio",0.038,0.539,0.208,0.086,0.306
"P28","Wado de Pedro por el Frente de Todos",0.41,0.024,0.009,0.226,0.151
"P28","Daniel Scioli por el Frente de Todos",0.357,0.016,0.023,0.15,0.128
"P28","Javier Milei por los liberales libertarios",0.023,0.025,0.722,0.056,0.07
"P28","Al candidato del Frente de Izquierda",0.021,0.003,0.012,0.401,0.019
"P28","No sabe",0.113,0.031,0.015,0.042,0.294
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.037,0.412,0.053,0.054,0.069
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.028,0.473,0.169,0.061,0.248
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.334,0.031,0.023,0.135,0.125
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.46,0.023,0.019,0.26,0.155
"P29","Javier Milei presidente y su candidato a vice",0.018,0.013,0.721,0.062,0.075
"P29","A los candidatos de la izquierda",0.016,0.001,0.001,0.38,0.013
"P29","No sabe",0.107,0.047,0.014,0.048,0.315
"P31","Sergio Massa por el Frente de Todos",0.788,0.042,0.015,0.166,0.182
