"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P09","Del Frente de Todos y el peronismo",0.065,0.031,0.123,0.156,0.735,0.851,0.732,0.034,0.282,0.267
"P09","De Juntos por el cambio",0.724,0.77,0.568,0.4,0.042,0.036,0.054,0.066,0.029,0.075
"P09","De los Liberales libertarios",0.067,0.125,0.084,0.136,0.033,0.032,0.035,0.757,0.015,0.041
"P09","De la Izquierda",0.015,0.008,0.018,0.078,0.02,0.024,0.019,0.024,0.629,0.036
"P09","No sabe",0.129,0.066,0.207,0.23,0.17,0.057,0.16,0.119,0.045,0.581
"P10","A Alberto Fernández",0.406,0.272,0.279,0.492,0.146,0.071,0.129,0.191,0.091,0.376
"P10","A Sergio Massa",0.324,0.072,0.202,0.115,0.509,0.077,0.202,0.145,0.036,0.076
"P10","A algún candidato del peronismo",0.27,0.446,0.325,0.127,0.112,0.123,0.316,0.526,0.333,0.279
"P10","A algún candidato del kirchnerismo",0,0.21,0.194,0.266,0.233,0.729,0.353,0.138,0.54,0.269
"P11","A Alberto Fernández",0.404,0.182,0.378,0.429,0.089,0.019,0.108,0.126,0.149,0.296
"P11","A Sergio Massa",0.215,0.08,0.052,0.11,0.384,0.029,0.096,0.184,0,0.045
"P11","A algún candidato del peronismo",0.355,0.53,0.346,0.088,0.063,0.074,0.231,0.389,0.243,0.236
"P11","A Cristina Fernández de Kirchner",0.026,0.208,0.224,0.373,0.464,0.878,0.565,0.301,0.608,0.423
"P12","A Horacio Rodriguez Larreta",0.818,0.087,0.291,0.237,0.26,0.109,0.527,0.175,0.784,0.303
"P12","A Patricia Bullrich",0.086,0.882,0.427,0.153,0.127,0.25,0.13,0.616,0.04,0.35
"P12","A Facundo Manes",0.018,0.007,0.139,0.412,0.202,0.474,0.281,0.151,0.08,0.061
"P12","A Gerardo Morales",0.078,0.024,0.143,0.198,0.411,0.167,0.062,0.058,0.096,0.286
"P13","Lo votaría",0.115,0.024,0.067,0.1,0.55,0.205,0.265,0.022,0.046,0.079
"P13","Puede que lo vote",0.082,0.114,0.149,0.137,0.301,0.406,0.382,0.071,0.158,0.174
"P13","Nunca lo votaría",0.728,0.823,0.677,0.629,0.045,0.182,0.166,0.837,0.574,0.42
"P13","No sabe",0.075,0.039,0.107,0.134,0.104,0.207,0.187,0.07,0.222,0.327
"P14","Lo votaría",0.064,0.014,0.055,0.144,0.317,0.146,0.274,0.025,0.052,0.126
"P14","Puede que lo vote",0.03,0.017,0.107,0.112,0.335,0.377,0.322,0.04,0.194,0.135
"P14","Nunca lo votaría",0.872,0.95,0.768,0.686,0.254,0.3,0.287,0.893,0.62,0.476
"P14","No sabe",0.034,0.019,0.07,0.058,0.094,0.177,0.117,0.042,0.134,0.263
"P15","Lo votaría",0.634,0.169,0.234,0.125,0.049,0.03,0.041,0.026,0.04,0.024
"P15","Puede que lo vote",0.244,0.427,0.386,0.341,0.134,0.051,0.139,0.174,0.036,0.101
"P15","Nunca lo votaría",0.095,0.343,0.257,0.427,0.751,0.883,0.744,0.735,0.825,0.576
"P15","No sabe",0.027,0.061,0.123,0.107,0.066,0.036,0.076,0.065,0.099,0.299
"P16","Lo votaría",0.154,0.082,0.106,0.486,0.052,0.022,0.061,0.038,0.035,0.013
"P16","Puede que lo vote",0.328,0.309,0.365,0.232,0.153,0.105,0.158,0.174,0.069,0.129
"P16","Nunca lo votaría",0.382,0.518,0.294,0.19,0.594,0.789,0.622,0.681,0.72,0.496
"P16","No sabe",0.136,0.091,0.235,0.092,0.201,0.084,0.159,0.107,0.176,0.362
"P17","La votaría",0.23,0.77,0.305,0.173,0.034,0.033,0.047,0.156,0.061,0.033
"P17","Puede que la vote",0.378,0.124,0.303,0.269,0.064,0.022,0.062,0.316,0.064,0.091
"P17","Nunca la votaría",0.317,0.082,0.25,0.481,0.842,0.914,0.834,0.464,0.819,0.599
"P17","No sabe",0.075,0.024,0.142,0.077,0.06,0.031,0.057,0.064,0.056,0.277
"P18","Lo votaría",0.136,0.209,0.146,0.119,0.042,0.038,0.042,0.817,0.046,0.031
"P18","Puede que lo vote",0.278,0.316,0.231,0.184,0.067,0.029,0.056,0.114,0.085,0.121
"P18","Nunca lo votaría",0.515,0.424,0.493,0.638,0.816,0.919,0.827,0.055,0.786,0.614
"P18","No sabe",0.071,0.051,0.13,0.059,0.075,0.014,0.075,0.014,0.083,0.234
"P19","La votaría",0.211,0.178,0.439,0.086,0.062,0.037,0.048,0.13,0.068,0.015
"P19","Puede que la vote",0.339,0.403,0.25,0.285,0.058,0.025,0.06,0.189,0.061,0.103
"P19","Nunca la votaría",0.361,0.344,0.224,0.526,0.793,0.885,0.798,0.611,0.808,0.601
"P19","No sabe",0.089,0.075,0.087,0.103,0.087,0.053,0.094,0.07,0.063,0.281
"P20","Lo votaría",0.041,0.044,0.042,0.042,0.118,0.576,0.177,0.015,0.077,0.015
"P20","Puede que lo vote",0.106,0.067,0.113,0.119,0.295,0.298,0.349,0.046,0.179,0.098
"P20","Nunca lo votaría",0.752,0.841,0.638,0.731,0.415,0.1,0.345,0.828,0.612,0.529
"P20","No sabe",0.101,0.048,0.207,0.108,0.172,0.026,0.129,0.111,0.132,0.358
"P21","Lo votaría",0.035,0.013,0.044,0.101,0.177,0.26,0.5,0.014,0.043,0.025
"P21","Puede que lo vote",0.063,0.028,0.087,0.095,0.419,0.478,0.377,0.05,0.2,0.14
"P21","Nunca lo votaría",0.851,0.933,0.756,0.716,0.287,0.185,0.064,0.886,0.618,0.543
"P21","No sabe",0.051,0.026,0.113,0.088,0.117,0.077,0.059,0.05,0.139,0.292
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.84,0.022,0.203,0.019,0.008,0.003,0.007,0.008,0,0.016
"P22","Patricia Bullrich por Juntos por el Cambio",0.056,0.906,0.306,0.051,0.011,0.002,0.003,0.031,0.014,0.02
"P22","Facundo Manes por Juntos por el Cambio",0.026,0.007,0.171,0.619,0.013,0.011,0.006,0.008,0.029,0.017
"P22","Alberto Fernández por el Frente de Todos",0.025,0.007,0.144,0.177,0.176,0.043,0.107,0.014,0.059,0.149
"P22","Sergio Massa por el Frente de Todos",0.005,0.003,0.009,0.01,0.663,0.017,0.046,0.004,0.012,0.023
"P22","Wado de Pedro por el Frente de Todos",0,0.005,0.013,0.014,0.027,0.833,0.064,0.001,0.044,0.016
"P22","Daniel Scioli por el Frente de Todos",0.01,0.005,0.014,0.003,0.037,0.053,0.684,0.007,0.007,0.014
"P22","Javier Milei por los liberales libertarios",0.018,0.029,0.074,0.043,0.005,0.002,0.008,0.908,0.02,0.023
"P22","Al candidato del Frente de Izquierda",0,0.005,0.006,0.022,0.004,0.013,0.006,0.001,0.771,0.018
"P22","No sabe",0.02,0.011,0.06,0.042,0.056,0.023,0.069,0.018,0.044,0.704
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.83,0.021,0.078,0.033,0.005,0.001,0.001,0.01,0.061,0.01
"P24","Patricia Bullrich por Juntos por el Cambio",0.038,0.907,0.101,0.058,0.008,0.014,0.005,0.023,0.009,0.025
"P24","María Eugenia Vidal por Juntos por el Cambio",0.045,0.018,0.597,0.025,0.016,0.013,0.017,0.01,0,0.015
"P24","Facundo Manes por Juntos por el Cambio",0.011,0.005,0.076,0.656,0.011,0.002,0.023,0.001,0.017,0.01
"P24","Sergio Massa por el Frente de Todos",0.006,0.001,0.008,0.012,0.746,0.029,0.185,0.003,0.074,0.033
"P24","Wado de Pedro por el Frente de Todos",0.002,0.004,0.016,0.018,0.034,0.874,0.191,0.005,0.058,0.023
"P24","Alberto Fernández por el Frente de Todos",0.019,0.005,0.084,0.108,0.155,0.051,0.427,0.013,0.047,0.141
"P24","Javier Milei por los liberales libertarios",0.029,0.032,0.021,0.048,0.011,0.001,0.016,0.917,0.006,0.017
"P24","Al candidato del Frente de Izquierda",0.002,0.001,0.001,0.01,0,0.005,0.011,0.004,0.68,0.01
"P24","No sabe",0.018,0.006,0.018,0.032,0.014,0.01,0.124,0.014,0.048,0.716
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.653,0.017,0.182,0.186,0.012,0,0.01,0.015,0.052,0.041
"P25","Patricia Bullrich por Juntos por el Cambio",0.073,0.73,0.366,0.04,0.007,0.014,0.005,0.016,0.01,0.046
"P25","Facundo Manes por Juntos por el Cambio",0.026,0.185,0.151,0.385,0.018,0.01,0.003,0.02,0.01,0.018
"P25","Sergio Massa por el Frente de Todos",0.007,0.003,0.044,0.137,0.653,0.025,0.107,0.002,0.053,0.085
"P25","Wado de Pedro por el Frente de Todos",0.003,0.005,0.017,0.027,0.166,0.749,0.08,0.005,0.099,0.053
"P25","Daniel Scioli por el Frente de Todos",0.009,0.003,0.075,0.045,0.069,0.173,0.669,0.01,0.05,0.049
"P25","Javier Milei por los liberales libertario",0.168,0.033,0.069,0.068,0.023,0.009,0.086,0.355,0.027,0.041
"P25","Al candidato del Frente de Izquierda",0.022,0.012,0.02,0.04,0.009,0.006,0.013,0.565,0.266,0.017
"P25","No sabe",0.039,0.012,0.076,0.072,0.043,0.014,0.027,0.012,0.433,0.65
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.76,0.057,0.295,0.154,0.02,0.013,0.006,0.007,0.012,0.038
"P26","Patricia Bulrich por Juntos por el Cambio",0.086,0.831,0.304,0.128,0.076,0.013,0.024,0.03,0.009,0.056
"P26","Alberto Fernández por el Frente de Todos",0.029,0.01,0.131,0.16,0.179,0.164,0.333,0.019,0.088,0.189
"P26","Sergio Massa por el Frente de Todos",0.008,0.003,0.032,0.113,0.59,0.442,0.349,0.019,0.056,0.077
"P26","Javier Milei por los liberales libertarios",0.02,0.069,0.119,0.161,0.078,0.044,0.034,0.834,0.029,0.041
"P26","Al candidato del Frente de Izquierda",0.03,0.003,0.037,0.079,0.008,0.144,0.088,0.02,0.769,0.022
"P26","No sabe",0.067,0.027,0.082,0.205,0.049,0.18,0.166,0.071,0.037,0.577
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.808,0.035,0.323,0.181,0.024,0.011,0.007,0.013,0.016,0.039
"P27","Patricia Bullrich por Juntos por el Cambio",0.086,0.875,0.316,0.149,0.031,0.009,0.033,0.026,0.02,0.049
"P27","Wado de Pedro por el Frente de Todos",0.003,0.006,0.041,0.062,0.097,0.729,0.286,0.008,0.138,0.05
"P27","Sergio Massa por el Frente de Todos",0.008,0.007,0.082,0.136,0.729,0.105,0.441,0.009,0.028,0.139
"P27","Javier Milei por los liberales libertarios",0.033,0.058,0.129,0.141,0.051,0.023,0.026,0.916,0.01,0.05
"P27","Al candidato del Frente de Izquierda",0,0.002,0.011,0.072,0.013,0.084,0.033,0.011,0.691,0.031
"P27","No sabe",0.062,0.017,0.098,0.259,0.055,0.039,0.174,0.017,0.097,0.642
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.82,0.032,0.32,0.182,0.043,0.005,0.026,0.016,0.019,0.039
"P28","Patricia Bullrich por Juntos por el Cambio",0.093,0.875,0.344,0.176,0.038,0.013,0.02,0.021,0.017,0.057
"P28","Wado de Pedro por el Frente de Todos",0.006,0.005,0.044,0.046,0.238,0.791,0.108,0.003,0.199,0.064
"P28","Daniel Scioli por el Frente de Todos",0.015,0.006,0.036,0.141,0.362,0.099,0.743,0.005,0.042,0.105
"P28","Javier Milei por los liberales libertarios",0.015,0.053,0.133,0.158,0.088,0.014,0.018,0.934,0.028,0.047
"P28","Al candidato del Frente de Izquierda",0.003,0.002,0.007,0.099,0.027,0.058,0.011,0.008,0.639,0.043
"P28","No sabe",0.048,0.027,0.116,0.198,0.204,0.02,0.074,0.013,0.056,0.645
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.734,0.16,0.311,0.274,0.038,0.011,0.035,0.021,0.039,0.06
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.119,0.73,0.318,0.132,0.022,0.009,0.02,0.014,0.022,0.043
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.033,0.01,0.043,0.092,0.577,0.124,0.37,0.005,0.112,0.12
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.008,0.01,0.088,0.105,0.185,0.732,0.361,0.009,0.09,0.075
"P29","Javier Milei presidente y su candidato a vice",0.028,0.053,0.103,0.112,0.068,0.026,0.02,0.935,0.006,0.039
"P29","A los candidatos de la izquierda",0.003,0,0.008,0.058,0.007,0.047,0.014,0.005,0.608,0.047
"P29","No sabe",0.075,0.037,0.129,0.227,0.103,0.051,0.18,0.011,0.123,0.616
"P30","Alberto Fernández por el Frente de Todos",0.051,0.027,0.137,0.167,0.598,0.591,0.65,0.004,0.15,0.288
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.814,0.454,0.586,0.318,0.068,0.037,0.017,0.014,0.015,0.061
"P30","Javier Milei por los liberales libertarios",0.034,0.262,0.143,0.153,0.06,0.032,0.064,0.925,0.05,0.037
"P30","Al candidato del Frente de Izquierda",0.026,0.01,0.042,0.1,0.041,0.113,0.06,0.011,0.72,0.024
"P30","No sabe",0.075,0.247,0.092,0.262,0.233,0.227,0.209,0.046,0.065,0.59
"P31","Sergio Massa por el Frente de Todos",0.049,0.016,0.069,0.097,0.8,0.633,0.642,0.008,0.149,0.206
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.856,0.498,0.633,0.334,0.04,0.031,0.028,0.008,0.024,0.044
"P31","Javier Milei por los liberales libertarios",0.043,0.284,0.157,0.167,0.057,0.028,0.058,0.949,0.065,0.04
"P31","Al candidato del Frente de Izquierda",0.01,0.006,0.045,0.14,0.017,0.107,0.066,0.01,0.733,0.033
"P31","No sabe",0.042,0.196,0.096,0.262,0.086,0.201,0.206,0.025,0.029,0.677
"P32","Wado de Pedro por el Frente de Todos",0.018,0.006,0.06,0.14,0.559,0.898,0.642,0.01,0.21,0.126
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.899,0.518,0.614,0.333,0.057,0.013,0.017,0.026,0.034,0.071
"P32","Javier Milei por los liberales libertarios",0.035,0.287,0.152,0.182,0.051,0.026,0.063,0.938,0.03,0.038
"P32","Al candidato del Frente de Izquierda",0.001,0.007,0.061,0.088,0.045,0.021,0.037,0.003,0.7,0.026
"P32","No sabe",0.047,0.182,0.113,0.257,0.288,0.042,0.241,0.023,0.026,0.739
"P33","Daniel Scioli por el Frente de Todos",0.046,0.011,0.048,0.149,0.607,0.701,0.82,0.009,0.244,0.14
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.895,0.535,0.647,0.363,0.047,0.013,0.03,0.018,0.015,0.066
"P33","Javier Milei por los liberales libertarios",0.029,0.276,0.137,0.173,0.054,0.017,0.044,0.951,0.028,0.034
"P33","Al candidato del Frente de Izquierda",0.005,0.007,0.031,0.08,0.029,0.114,0.027,0.003,0.667,0.031
"P33","No sabe",0.025,0.171,0.137,0.235,0.263,0.155,0.079,0.019,0.046,0.729
"P34","Sergio Massa por el Frente de Todos",0.079,0.008,0.046,0.19,0.837,0.647,0.66,0.006,0.268,0.166
"P34","Patricia Bullrich por Juntos por el Cambio",0.638,0.9,0.616,0.316,0.03,0.033,0.031,0.05,0.012,0.076
"P34","Javier Milei por los liberales libertarios",0.093,0.059,0.118,0.14,0.029,0.026,0.046,0.927,0.003,0.031
"P34","Al candidato del Frente de Izquierda",0.022,0,0.075,0.12,0.004,0.127,0.047,0.002,0.666,0.034
"P34","No sabe",0.168,0.033,0.145,0.234,0.1,0.167,0.216,0.015,0.051,0.693
"P35","Alberto Fernández por el Frente de Todos",0.059,0.005,0.062,0.177,0.684,0.661,0.698,0.009,0.263,0.273
"P35","Patricia Bullrich por Juntos por el Cambio",0.628,0.919,0.615,0.325,0.032,0.016,0.016,0.037,0.029,0.074
"P35","Javier Milei por los liberales libertarios",0.107,0.048,0.131,0.143,0.046,0.031,0.045,0.938,0.023,0.044
"P35","Al candidato del Frente de Izquierda",0.056,0.001,0.042,0.116,0.047,0.129,0.057,0.005,0.642,0.041
"P35","No sabe",0.15,0.027,0.15,0.239,0.191,0.163,0.184,0.011,0.043,0.568
"P36","Wado de Pedro por el Frente de Todos",0.031,0.008,0.061,0.132,0.55,0.9,0.678,0.003,0.256,0.097
"P36","Patricia Bullrich por Juntos por el Cambio",0.625,0.92,0.598,0.341,0.032,0.011,0.02,0.039,0.07,0.089
"P36","Javier Milei por los liberales libertarios",0.101,0.05,0.144,0.164,0.057,0.023,0.066,0.931,0.022,0.037
"P36","Al candidato del Frente de Izquierda",0.081,0.001,0.039,0.091,0.046,0.03,0.041,0.008,0.601,0.039
"P36","No sabe",0.162,0.021,0.158,0.272,0.315,0.036,0.195,0.019,0.051,0.738
"P37","Daniel Scioli por el Frente de Todos",0.075,0.003,0.055,0.154,0.65,0.743,0.805,0.002,0.254,0.136
"P37","Patricia Bullrich por Juntos por el Cambio",0.616,0.934,0.589,0.344,0.029,0.028,0.031,0.051,0.027,0.091
"P37","Javier Milei por los liberales libertarios",0.108,0.045,0.174,0.154,0.043,0.019,0.056,0.929,0.004,0.05
"P37","Al candidato del Frente de Izquierda",0.052,0.002,0.03,0.11,0.034,0.091,0.029,0,0.684,0.033
"P37","No sabe",0.149,0.016,0.152,0.238,0.244,0.119,0.079,0.018,0.031,0.69
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.757,0.398,0.503,0.361,0.077,0.11,0.123,0.01,0.129,0.123
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.12,0.149,0.176,0.236,0.737,0.512,0.534,0.009,0.068,0.146
"P38","Javier Milei presidente y su candidato a vice",0.028,0.245,0.111,0.193,0.052,0.021,0.052,0.963,0.013,0.061
"P38","A los candidatos de la izquierda",0.009,0.005,0.049,0.058,0.013,0.143,0.058,0.001,0.749,0.044
"P38","No sabe",0.086,0.203,0.161,0.152,0.121,0.214,0.233,0.017,0.041,0.626
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.588,0.81,0.653,0.305,0.036,0.054,0.03,0.032,0.091,0.095
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.094,0.042,0.057,0.231,0.785,0.578,0.631,0.004,0.134,0.115
"P39","Javier Milei presidente y su candidato a vice",0.078,0.081,0.093,0.168,0.017,0.027,0.062,0.949,0.007,0.044
"P39","A los candidatos de la izquierda",0.043,0.001,0.022,0.094,0.018,0.138,0.055,0.002,0.697,0.038
"P39","No sabe",0.197,0.066,0.175,0.202,0.144,0.203,0.222,0.013,0.071,0.708
"P40","Sergio Massa por el Frente de Todos",0.035,0.037,0.112,0.232,0.893,0.788,0.733,0.047,0.388,0.242
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.881,0.706,0.693,0.557,0.041,0.024,0.026,0.248,0.055,0.143
"P40","No sabe",0.084,0.257,0.195,0.211,0.066,0.188,0.241,0.705,0.557,0.615
"P41","Alberto Fernández por el Frente de Todos",0.077,0.019,0.086,0.241,0.723,0.763,0.73,0.05,0.428,0.313
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.901,0.75,0.72,0.543,0.059,0.02,0.034,0.299,0.138,0.158
"P41","No sabe",0.022,0.231,0.194,0.216,0.218,0.217,0.236,0.651,0.434,0.529
"P42","Sergio Massa por el Frente de Todos",0.046,0.005,0.044,0.317,0.905,0.801,0.766,0.044,0.451,0.218
"P42","Patricia Bullrich por Juntos por el Cambio",0.72,0.964,0.739,0.394,0.023,0.048,0.021,0.561,0.048,0.17
"P42","No sabe",0.234,0.031,0.217,0.289,0.072,0.151,0.213,0.395,0.501,0.612
"P43","Alberto Fernández por el Frente de Todos",0.094,0.006,0.088,0.245,0.744,0.777,0.778,0.039,0.466,0.337
"P43","Patricia Bullrich por Juntos por el Cambio",0.688,0.977,0.739,0.415,0.023,0.027,0.028,0.601,0.053,0.133
"P43","No sabe",0.218,0.017,0.173,0.34,0.233,0.196,0.194,0.36,0.481,0.53
"P44","Wado de Pedro por el Frente de Todos",0.032,0.009,0.08,0.223,0.632,0.91,0.761,0.03,0.413,0.184
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.887,0.781,0.731,0.52,0.054,0.04,0.033,0.351,0.136,0.152
"P44","No sabe",0.081,0.21,0.189,0.257,0.314,0.05,0.206,0.619,0.451,0.664
"P45","Daniel Scioli por el Frente de Todos",0.028,0.012,0.084,0.268,0.712,0.816,0.871,0.057,0.453,0.234
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.89,0.771,0.754,0.517,0.048,0.023,0.023,0.311,0.072,0.155
"P45","No sabe",0.082,0.217,0.162,0.215,0.24,0.161,0.106,0.632,0.475,0.611
"P46","Wado de Pedro por el Frente de Todos",0.061,0.008,0.057,0.214,0.648,0.928,0.788,0.039,0.419,0.156
"P46","Patricia Bullrich por Juntos por el Cambio",0.722,0.953,0.76,0.412,0.022,0.034,0.018,0.579,0.053,0.162
"P46","No sabe",0.217,0.039,0.183,0.374,0.33,0.038,0.194,0.382,0.528,0.682
"P47","Daniel Scioli por el Frente de Todos",0.04,0.007,0.067,0.254,0.749,0.816,0.887,0.031,0.38,0.26
"P47","Patricia Bullrich por Juntos por el Cambio",0.729,0.976,0.741,0.417,0.023,0.034,0.013,0.608,0.122,0.159
"P47","No sabe",0.231,0.017,0.192,0.329,0.228,0.15,0.1,0.361,0.498,0.581
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.798,0.476,0.604,0.481,0.218,0.193,0.185,0.018,0.284,0.174
"P48","Javier Milei por los liberales libertarios",0.094,0.387,0.255,0.211,0.05,0.056,0.069,0.867,0.057,0.101
"P48","No sabe",0.108,0.137,0.141,0.308,0.732,0.751,0.746,0.115,0.659,0.725
"P49","Patricia Bullrich por Juntos por el Cambio",0.674,0.853,0.677,0.407,0.079,0.071,0.062,0.043,0.031,0.167
"P49","Javier Milei por los liberales libertarios",0.124,0.109,0.175,0.167,0.074,0.058,0.065,0.881,0.163,0.075
"P49","No sabe",0.202,0.038,0.148,0.426,0.847,0.871,0.873,0.076,0.806,0.758
"P50","Alberto Fernández por el Frente de Todos",0.149,0.128,0.126,0.302,0.684,0.72,0.71,0.015,0.523,0.312
"P50","Javier Milei por los liberales libertarios",0.403,0.512,0.365,0.278,0.034,0.051,0.033,0.925,0.104,0.094
"P50","No sabe",0.448,0.36,0.509,0.42,0.282,0.229,0.257,0.06,0.373,0.594
"P51","Sergio Massa por el Frente de Todos",0.1,0.016,0.117,0.311,0.868,0.834,0.777,0.008,0.468,0.269
"P51","Javier Milei por los liberales libertarios",0.471,0.614,0.416,0.29,0.024,0.022,0.031,0.934,0.09,0.094
"P51","No sabe",0.429,0.37,0.467,0.399,0.108,0.144,0.192,0.058,0.442,0.637
"P52","Muy buena",0.031,0.005,0.02,0.112,0.22,0.144,0.205,0.01,0.224,0.092
"P52","Buena",0.026,0.086,0.075,0.15,0.325,0.241,0.279,0.113,0.049,0.103
"P52","Ni buena ni mala",0.109,0.056,0.134,0.138,0.286,0.361,0.285,0.066,0.261,0.248
"P52","Mala",0.14,0.064,0.093,0.145,0.119,0.178,0.144,0.042,0.197,0.197
"P52","Muy mala",0.693,0.786,0.639,0.45,0.048,0.076,0.083,0.765,0.259,0.301
"P52","No sabe",0.001,0.003,0.039,0.005,0.002,0,0.004,0.004,0.01,0.059
"P53","Muy buena",0.017,0.004,0.05,0.134,0.477,0.775,0.691,0.025,0.26,0.187
"P53","Buena",0.019,0.018,0.034,0.079,0.215,0.095,0.146,0.022,0.178,0.125
"P53","Ni buena ni mala",0.037,0.008,0.025,0.084,0.176,0.067,0.074,0.051,0.101,0.153
"P53","Mala",0.07,0.044,0.125,0.059,0.073,0.038,0.035,0.04,0.166,0.115
"P53","Muy mala",0.849,0.923,0.766,0.623,0.051,0.025,0.052,0.857,0.295,0.374
"P53","No sabe",0.008,0.003,0,0.021,0.008,0,0.002,0.005,0,0.046
"P54","Muy buena",0.245,0.417,0.283,0.126,0.069,0.091,0.105,0.061,0.066,0.067
