"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","No sabe"
"P14","Lo votaría",0.024,0.465,0.092
"P14","Puede que lo vote",0.026,0.308,0.151
"P14","Nunca lo votaría",0.873,0.156,0.59
"P14","No sabe",0.077,0.071,0.167
"P15","Lo votaría",0.271,0.077,0.063
"P15","Puede que lo vote",0.415,0.067,0.18
"P15","Nunca lo votaría",0.226,0.823,0.635
"P15","No sabe",0.088,0.033,0.122
"P16","Lo votaría",0.26,0.011,0.07
"P16","Puede que lo vote",0.485,0.019,0.151
"P16","Nunca lo votaría",0.15,0.957,0.68
"P16","No sabe",0.105,0.013,0.099
"P17","La votaría",0.751,0.009,0.25
"P17","Puede que la vote",0.154,0.014,0.085
"P17","Nunca la votaría",0.068,0.974,0.604
"P17","No sabe",0.027,0.003,0.061
"P18","Lo votaría",0.1,0.282,0.095
"P18","Puede que lo vote",0.046,0.381,0.181
"P18","Nunca lo votaría",0.82,0.286,0.606
"P18","No sabe",0.034,0.051,0.118
"P19","Lo votaría",0.018,0.17,0.096
"P19","Puede que lo vote",0.129,0.336,0.204
"P19","Nunca lo votaría",0.751,0.422,0.522
"P19","No sabe",0.102,0.072,0.178
"P20","La votaría",0.005,0.516,0.075
"P20","Puede que la vote",0.037,0.319,0.182
"P20","Nunca la votaría",0.932,0.124,0.613
"P20","No sabe",0.026,0.041,0.13
"P21","Lo votaría",0.008,0.293,0.242
"P21","Puede que lo vote",0.043,0.311,0.142
"P21","Nunca lo votaría",0.913,0.352,0.501
"P21","No sabe",0.036,0.044,0.115
"P22","La votaría",0.01,0.273,0.068
"P22","Puede que la vote",0.037,0.37,0.133
"P22","Nunca la votaría",0.899,0.288,0.662
"P22","No sabe",0.054,0.069,0.137
"P23","Lo votaría",0.209,0.046,0.042
"P23","Puede que lo vote",0.409,0.067,0.17
"P23","Nunca lo votaría",0.291,0.87,0.673
"P23","No sabe",0.091,0.017,0.115
"P24","Lo votaría",0.027,0.066,0.023
"P24","Puede que lo vote",0.101,0.254,0.121
"P24","Nunca lo votaría",0.796,0.582,0.678
"P24","No sabe",0.076,0.098,0.178
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.007,0.449,0.07
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.008,0.233,0.109
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.044,0.013,0.046
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.86,0.007,0.252
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.01,0.229,0.283
"P25","Nicolás del Caño – Myriam Bregman",0.024,0.005,0.072
"P25","Otros candidatos",0.047,0.064,0.168
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.893,0.013,0.254
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.005,0.6,0.093
"P29","Javier Milei – José Luis Espert por los liberales",0.027,0.265,0.314
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.025,0.008,0.068
"P29","Otro candidato",0.05,0.114,0.271
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.077,0.489,0.136
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.648,0.082,0.145
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.023,0.293,0.305
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.052,0.009,0.094
"P31","Otro candidato",0.2,0.127,0.32
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.768,0.035,0.079
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.042,0.642,0.067
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.016,0.239,0.332
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.048,0.007,0.092
"P33","Otro candidato",0.126,0.077,0.43
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.74,0.055,0.058
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.096,0.517,0.132
"P35","Javier Milei – José Luis Espert por los liberales",0.018,0.31,0.308
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.053,0.007,0.099
"P35","Otro candidato",0.093,0.111,0.403
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.86,0.04,0.25
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.052,0.524,0.128
"P37","Javier Milei – José Luis Espert por los liberales",0.022,0.308,0.306
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.022,0.004,0.065
"P37","Otro candidato",0.044,0.124,0.251
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.833,0.008,0.073
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.018,0.606,0.106
"P38","Javier Milei – José Luis Espert por los liberales",0.017,0.272,0.314
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.046,0.014,0.083
"P38","Otro candidato",0.086,0.1,0.424
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.919,0.037,0.293
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.03,0.821,0.137
"P39","No sabe",0.051,0.142,0.57
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.853,0.012,0.14
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.025,0.825,0.169
"P40","No sabe",0.122,0.163,0.691
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.943,0.01,0.247
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.019,0.849,0.159
"P42","No sabe",0.038,0.141,0.594
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.916,0.016,0.07
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.021,0.813,0.193
"P43","No sabe",0.063,0.171,0.737
"P44","Mauricio Macri – María Eugenia Vidal",0.164,0.736,0.141
"P44","Sergio Massa – Wado de Pedro",0.764,0.133,0.138
"P44","No sabe",0.072,0.131,0.721
"P45","Sergio Massa – Wado de Pedro",0.838,0.106,0.106
"P45","Javier Milei – José Luis Espert",0.099,0.521,0.298
"P45","No sabe",0.063,0.373,0.596
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.178,0.497,0.128
"P46","Javier Milei – José Luis Espert",0.044,0.379,0.308
"P46","No sabe",0.778,0.124,0.564
"P47","Muy buena",0.167,0.072,0.052
"P47","Buena",0.342,0.056,0.115
"P47","Ni buena ni mala",0.362,0.02,0.217
"P47","Mala",0.097,0.09,0.12
"P47","Muy mala",0.028,0.76,0.476
"P47","No sabe",0.004,0.002,0.02
"P48","Muy buena",0.153,0.007,0.047
"P48","Buena",0.362,0.012,0.104
"P48","Ni buena ni mala",0.344,0.022,0.219
"P48","Mala",0.111,0.114,0.118
"P48","Muy mala",0.025,0.842,0.493
"P48","No sabe",0.005,0.003,0.019
"P49","Muy buena",0.692,0.006,0.185
"P49","Buena",0.14,0.014,0.064
"P49","Ni buena ni mala",0.108,0.021,0.138
"P49","Mala",0.024,0.064,0.058
"P49","Muy mala",0.036,0.893,0.537
"P49","No sabe",0,0.002,0.018
"P50","Muy buena",0.086,0.26,0.073
"P50","Buena",0.018,0.297,0.074
"P50","Ni buena ni mala",0.046,0.211,0.19
"P50","Mala",0.167,0.071,0.195
"P50","Muy mala",0.681,0.16,0.454
"P50","No sabe",0.002,0.001,0.014
"P51","Muy buena",0.015,0.253,0.077
"P51","Buena",0.012,0.367,0.139
"P51","Ni buena ni mala",0.093,0.242,0.293
"P51","Mala",0.213,0.08,0.137
"P51","Muy mala",0.655,0.056,0.321
"P51","No sabe",0.012,0.002,0.033
"P52","Muy buena",0.178,0.041,0.036
"P52","Buena",0.32,0.078,0.098
"P52","Ni buena ni mala",0.322,0.073,0.236
"P52","Mala",0.076,0.143,0.168
"P52","Muy mala",0.1,0.66,0.439
"P52","No sabe",0.004,0.005,0.023
"P53","Muy buena",0.026,0.484,0.053
"P53","Buena",0.051,0.265,0.118
"P53","Ni buena ni mala",0.076,0.11,0.253
"P53","Mala",0.133,0.052,0.174
"P53","Muy mala",0.709,0.085,0.384
"P53","No sabe",0.005,0.004,0.018
"P54","Muy buena",0.004,0.247,0.208
"P54","Buena",0.022,0.233,0.097
"P54","Ni buena ni mala",0.08,0.336,0.228
"P54","Mala",0.132,0.108,0.093
"P54","Muy mala",0.752,0.068,0.332
"P54","No sabe",0.01,0.008,0.042
"P55","Muy buena",0.006,0.316,0.096
"P55","Buena",0.015,0.337,0.099
"P55","Ni buena ni mala",0.048,0.206,0.212
"P55","Mala",0.165,0.082,0.139
"P55","Muy mala",0.754,0.055,0.438
"P55","No sabe",0.012,0.004,0.016
"P56","Muy buena",0.138,0.056,0.03
"P56","Buena",0.362,0.067,0.125
"P56","Ni buena ni mala",0.302,0.09,0.231
"P56","Mala",0.069,0.143,0.162
"P56","Muy mala",0.126,0.634,0.441
"P56","No sabe",0.003,0.01,0.011
"P57","Muy buena",0.038,0.125,0.075
"P57","Buena",0.129,0.174,0.131
"P57","Ni buena ni mala",0.387,0.346,0.35
"P57","Mala",0.196,0.13,0.124
"P57","Muy mala",0.207,0.204,0.226
"P57","No sabe",0.043,0.021,0.094
"P58","Muy buena",0.011,0.082,0.038
"P58","Buena",0.038,0.248,0.109
"P58","Ni buena ni mala",0.174,0.403,0.302
"P58","Mala",0.198,0.098,0.096
"P58","Muy mala",0.529,0.124,0.336
"P58","No sabe",0.05,0.045,0.119
"P59","Siempre",0.351,0.322,0.269
"P59","Casi siempre",0.351,0.409,0.355
"P59","Casi nunca",0.181,0.195,0.272
"P59","Nunca, pero esta es una excepción",0.117,0.074,0.104
"P60","Si",0.573,0.592,0.544
"P60","No",0.427,0.408,0.456
