"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos ","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.008,0.005,0.005,0.511,0.014
"P29","Otro candidato",0.037,0.059,0.058,0.12,0.503
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.085,0.633,0.103,0.107,0.188
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.708,0.116,0.034,0.099,0.172
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.013,0.115,0.809,0.007,0.046
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.028,0.002,0.008,0.674,0.034
"P31","Otro candidato",0.166,0.134,0.046,0.113,0.56
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.831,0.052,0.02,0.11,0.095
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.045,0.772,0.129,0.055,0.178
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.004,0.065,0.818,0.012,0.023
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.026,0.004,0.009,0.673,0.021
"P33","Otro candidato",0.094,0.107,0.024,0.15,0.683
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.812,0.073,0.017,0.075,0.072
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.098,0.686,0.095,0.113,0.177
"P35","Javier Milei – José Luis Espert por los liberales",0.006,0.114,0.854,0.008,0.036
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.024,0.003,0.008,0.726,0.028
"P35","Otro candidato",0.06,0.124,0.026,0.078,0.687
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.91,0.056,0.015,0.339,0.344
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.05,0.732,0.075,0.106,0.153
"P37","Javier Milei – José Luis Espert por los liberales",0.01,0.106,0.884,0.012,0.013
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.001,0.001,0.001,0.534,0.013
"P37","Otro candidato",0.029,0.105,0.025,0.009,0.477
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.916,0.075,0.044,0.538,0.378
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.038,0.893,0.418,0.129,0.165
"P39","No sabe",0.046,0.032,0.538,0.333,0.457
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.853,0.018,0.033,0.336,0.223
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.019,0.853,0.462,0.165,0.254
"P40","No sabe",0.128,0.129,0.505,0.499,0.523
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.916,0.019,0.025,0.328,0.141
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.012,0.884,0.566,0.144,0.235
"P41","No sabe",0.072,0.097,0.409,0.528,0.624
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.929,0.016,0.029,0.498,0.373
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.014,0.862,0.5,0.145,0.258
"P42","No sabe",0.057,0.122,0.471,0.357,0.369
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.898,0.02,0.038,0.355,0.151
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.017,0.862,0.485,0.18,0.238
"P43","No sabe",0.085,0.118,0.477,0.465,0.611
"P44","Mauricio Macri – María Eugenia Vidal",0.172,0.798,0.431,0.177,0.148
"P44","Sergio Massa – Wado de Pedro",0.75,0.148,0.117,0.303,0.215
"P44","No sabe",0.078,0.054,0.452,0.52,0.637
"P45","Sergio Massa – Wado de Pedro",0.832,0.119,0.06,0.408,0.185
"P45","Javier Milei – José Luis Espert",0.097,0.383,0.819,0.125,0.132
"P45","No sabe",0.071,0.498,0.121,0.467,0.683
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.187,0.643,0.08,0.231,0.201
"P46","Javier Milei – José Luis Espert",0.034,0.191,0.847,0.07,0.102
"P46","No sabe",0.779,0.166,0.073,0.699,0.697
"P47","Muy buena",0.195,0.092,0.012,0.042,0.058
"P47","Buena",0.332,0.037,0.085,0.154,0.172
"P47","Ni buena ni mala",0.372,0.04,0.045,0.393,0.183
"P47","Mala",0.076,0.092,0.077,0.218,0.144
"P47","Muy mala",0.019,0.737,0.779,0.193,0.417
"P47","No sabe",0.006,0.002,0.002,0,0.026
"P48","Muy buena",0.173,0.006,0.008,0.044,0.047
"P48","Buena",0.358,0.014,0.013,0.171,0.159
"P48","Ni buena ni mala",0.341,0.034,0.046,0.373,0.219
"P48","Mala",0.102,0.127,0.09,0.196,0.117
"P48","Muy mala",0.021,0.812,0.84,0.216,0.44
"P48","No sabe",0.005,0.007,0.003,0,0.018
"P49","Muy buena",0.708,0.005,0.015,0.279,0.257
"P49","Buena",0.148,0.016,0.004,0.119,0.073
"P49","Ni buena ni mala",0.093,0.029,0.051,0.261,0.116
"P49","Mala",0.024,0.069,0.062,0.036,0.051
"P49","Muy mala",0.027,0.874,0.867,0.302,0.484
"P49","No sabe",0,0.007,0.001,0.003,0.019
"P50","Muy buena",0.105,0.346,0.071,0.058,0.058
"P50","Buena",0.031,0.31,0.178,0.021,0.1
"P50","Ni buena ni mala",0.042,0.139,0.322,0.152,0.171
"P50","Mala",0.175,0.043,0.151,0.183,0.178
"P50","Muy mala",0.645,0.16,0.274,0.586,0.478
"P50","No sabe",0.002,0.002,0.004,0,0.015
"P51","Muy buena",0.023,0.327,0.081,0.08,0.071
"P51","Buena",0.014,0.422,0.211,0.037,0.156
"P51","Ni buena ni mala",0.079,0.188,0.358,0.207,0.281
"P51","Mala",0.221,0.03,0.155,0.212,0.135
"P51","Muy mala",0.652,0.032,0.184,0.464,0.318
"P51","No sabe",0.011,0.001,0.011,0,0.039
"P52","Muy buena",0.195,0.048,0.027,0.066,0.022
"P52","Buena",0.326,0.089,0.066,0.13,0.111
"P52","Ni buena ni mala",0.308,0.071,0.093,0.304,0.289
"P52","Mala",0.06,0.13,0.179,0.222,0.157
"P52","Muy mala",0.105,0.658,0.63,0.278,0.389
"P52","No sabe",0.006,0.004,0.005,0,0.032
"P53","Muy buena",0.029,0.492,0.282,0.074,0.116
"P53","Buena",0.048,0.26,0.237,0.048,0.122
"P53","Ni buena ni mala",0.09,0.117,0.207,0.16,0.152
"P53","Mala",0.137,0.053,0.115,0.114,0.142
"P53","Muy mala",0.69,0.078,0.154,0.589,0.443
"P53","No sabe",0.006,0,0.005,0.015,0.025
"P54","Muy buena",0.008,0.127,0.568,0.015,0.039
"P54","Buena",0.017,0.21,0.262,0.01,0.072
"P54","Ni buena ni mala",0.084,0.423,0.139,0.247,0.24
"P54","Mala",0.134,0.132,0.021,0.132,0.141
"P54","Muy mala",0.744,0.093,0.008,0.572,0.463
"P54","No sabe",0.013,0.015,0.002,0.024,0.045
"P55","Muy buena",0.005,0.389,0.159,0.069,0.074
"P55","Buena",0.01,0.348,0.245,0.097,0.102
"P55","Ni buena ni mala",0.066,0.172,0.245,0.112,0.197
"P55","Mala",0.169,0.058,0.137,0.089,0.147
"P55","Muy mala",0.74,0.028,0.212,0.603,0.459
"P55","No sabe",0.01,0.005,0.002,0.03,0.021
"P56","Muy buena",0.138,0.062,0.033,0.021,0.056
"P56","Buena",0.385,0.07,0.059,0.089,0.153
"P56","Ni buena ni mala",0.27,0.085,0.132,0.353,0.27
"P56","Mala",0.063,0.156,0.152,0.144,0.136
"P56","Muy mala",0.141,0.619,0.613,0.382,0.373
"P56","No sabe",0.003,0.008,0.011,0.011,0.012
"P57","Muy buena",0.037,0.131,0.107,0.038,0.075
"P57","Buena",0.133,0.187,0.116,0.241,0.129
"P57","Ni buena ni mala",0.388,0.346,0.352,0.273,0.368
"P57","Mala",0.177,0.134,0.114,0.257,0.139
"P57","Muy mala",0.219,0.179,0.257,0.114,0.22
"P57","No sabe",0.046,0.023,0.054,0.077,0.069
"P58","Muy buena",0.013,0.09,0.043,0.075,0.038
"P58","Buena",0.041,0.31,0.1,0.084,0.122
"P58","Ni buena ni mala",0.187,0.387,0.388,0.204,0.297
"P58","Mala",0.191,0.087,0.1,0.147,0.125
"P58","Muy mala",0.518,0.082,0.295,0.403,0.309
"P58","No sabe",0.05,0.044,0.074,0.087,0.109
"P59","Siempre",0.365,0.331,0.247,0.347,0.293
"P59","Casi siempre",0.353,0.413,0.372,0.389,0.363
"P59","Casi nunca",0.17,0.19,0.276,0.193,0.233
"P59","Nunca, pero esta es una excepción",0.112,0.066,0.105,0.071,0.111
"P60","Si",0.578,0.569,0.579,0.526,0.58
"P60","No",0.422,0.431,0.421,0.474,0.42
