"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","Javier Milei presidente – José Luis Espert vice por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P14","Nunca lo votaría",0.809,0.15,0.405,0.803,0.595
"P14","No sabe",0.08,0.064,0.118,0.144,0.163
"P15","Lo votaría",0.276,0.109,0.074,0.108,0.043
"P15","Puede que lo vote",0.424,0.076,0.093,0.185,0.228
"P15","Nunca lo votaría",0.218,0.776,0.793,0.504,0.572
"P15","No sabe",0.082,0.039,0.04,0.203,0.157
"P16","Lo votaría",0.271,0.039,0.017,0.063,0.093
"P16","Puede que lo vote",0.467,0.031,0.031,0.339,0.207
"P16","Nunca lo votaría",0.156,0.907,0.938,0.45,0.569
"P16","No sabe",0.106,0.023,0.014,0.148,0.131
"P17","La votaría",0.736,0.045,0.035,0.363,0.368
"P17","Puede que la vote",0.149,0.02,0.019,0.185,0.093
"P17","Nunca la votaría",0.086,0.929,0.936,0.305,0.481
"P17","No sabe",0.029,0.006,0.01,0.147,0.058
"P18","Lo votaría",0.11,0.329,0.109,0.116,0.107
"P18","Puede que lo vote",0.065,0.397,0.258,0.067,0.18
"P18","Nunca lo votaría",0.802,0.22,0.547,0.727,0.58
"P18","No sabe",0.023,0.054,0.086,0.09,0.133
"P19","Lo votaría",0.033,0.175,0.094,0.067,0.112
"P19","Puede que lo vote",0.131,0.343,0.24,0.145,0.192
"P19","Nunca lo votaría",0.747,0.388,0.547,0.719,0.503
"P19","No sabe",0.089,0.094,0.119,0.069,0.193
"P20","La votaría",0.034,0.578,0.213,0.043,0.067
"P20","Puede que la vote",0.045,0.247,0.346,0.034,0.167
"P20","Nunca la votaría",0.895,0.135,0.373,0.852,0.62
"P20","No sabe",0.026,0.04,0.068,0.071,0.146
"P21","Lo votaría",0.02,0.177,0.659,0.052,0.038
"P21","Puede que lo vote",0.059,0.313,0.235,0.042,0.116
"P21","Nunca lo votaría",0.879,0.445,0.076,0.769,0.714
"P21","No sabe",0.042,0.065,0.03,0.137,0.132
"P22","La votaría",0.024,0.298,0.136,0.008,0.068
"P22","Puede que la vote",0.041,0.374,0.231,0.056,0.159
"P22","Nunca la votaría",0.874,0.251,0.536,0.871,0.653
"P22","No sabe",0.061,0.077,0.097,0.065,0.12
"P23","Lo votaría",0.197,0.061,0.031,0.045,0.046
"P23","Puede que lo vote",0.407,0.083,0.066,0.164,0.217
"P23","Nunca lo votaría",0.309,0.829,0.856,0.633,0.602
"P23","No sabe",0.087,0.027,0.047,0.158,0.135
"P24","Lo votaría",0.032,0.074,0.011,0,0.049
"P24","Puede que lo vote",0.113,0.305,0.104,0.059,0.109
"P24","Nunca lo votaría",0.77,0.523,0.767,0.83,0.631
"P24","No sabe",0.085,0.098,0.118,0.111,0.211
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.041,0.537,0.102,0.003,0.108
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.032,0.26,0.065,0.078,0.129
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.065,0.015,0.007,0.024,0.046
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.818,0.045,0.032,0.384,0.403
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.004,0.067,0.753,0.011,0.033
"P25","Nicolás del Caño – Myriam Bregman",0.007,0.012,0.004,0.401,0.01
"P25","Otros candidatos",0.033,0.064,0.037,0.099,0.271
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.877,0.055,0.023,0.369,0.38
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.042,0.732,0.093,0.02,0.136
"P29","Javier Milei – José Luis Espert por los liberales",0.029,0.098,0.838,0.07,0.036
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.01,0.005,0.003,0.453,0.018
"P29","Otro candidato",0.042,0.11,0.043,0.088,0.43
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.111,0.597,0.081,0.095,0.169
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.684,0.144,0.03,0.144,0.173
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.023,0.125,0.848,0.061,0.038
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.033,0.007,0.004,0.631,0.018
"P31","Otro candidato",0.149,0.127,0.037,0.069,0.602
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.771,0.113,0.007,0.101,0.086
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.15,0.65,0.065,0.071,0.15
"P35","Javier Milei – José Luis Espert por los liberales",0.009,0.124,0.91,0.018,0.031
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.017,0.004,0,0.751,0.02
"P35","Otro candidato",0.053,0.109,0.018,0.059,0.713
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.845,0.09,0.007,0.418,0.382
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.09,0.64,0.076,0.08,0.201
"P37","Javier Milei – José Luis Espert por los liberales",0.009,0.13,0.886,0.017,0.032
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.004,0.003,0,0.455,0.016
"P37","Otro candidato",0.052,0.137,0.031,0.03,0.369
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.842,0.04,0.005,0.165,0.127
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.057,0.75,0.099,0.03,0.157
"P38","Javier Milei – José Luis Espert por los liberales",0.015,0.088,0.871,0.045,0.024
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.017,0.008,0.002,0.666,0.032
"P38","Otro candidato",0.069,0.114,0.023,0.094,0.66
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.873,0.082,0.054,0.558,0.416
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.069,0.828,0.407,0.117,0.222
"P39","No sabe",0.058,0.09,0.539,0.325,0.362
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.8,0.045,0.031,0.367,0.267
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.065,0.817,0.453,0.093,0.248
"P40","No sabe",0.135,0.138,0.516,0.54,0.485
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.864,0.041,0.024,0.345,0.204
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.056,0.9,0.521,0.072,0.178
"P41","No sabe",0.08,0.059,0.455,0.583,0.618
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.896,0.046,0.024,0.554,0.392
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.055,0.83,0.487,0.079,0.243
"P42","No sabe",0.049,0.124,0.489,0.367,0.365
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.855,0.054,0.029,0.403,0.2
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.05,0.813,0.47,0.097,0.258
"P43","No sabe",0.095,0.133,0.501,0.5,0.542
"P44","Mauricio Macri – María Eugenia Vidal",0.167,0.758,0.421,0.147,0.204
"P44","Sergio Massa – Wado de Pedro",0.754,0.144,0.107,0.33,0.25
"P44","No sabe",0.079,0.098,0.472,0.523,0.546
"P45","Sergio Massa – Wado de Pedro",0.795,0.13,0.061,0.394,0.258
"P45","Javier Milei – José Luis Espert",0.112,0.406,0.814,0.105,0.101
"P45","No sabe",0.093,0.464,0.125,0.501,0.641
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.185,0.629,0.055,0.135,0.23
"P46","Javier Milei – José Luis Espert",0.043,0.208,0.864,0.061,0.079
"P46","No sabe",0.772,0.163,0.081,0.804,0.691
"P47","Muy buena",0.179,0.096,0.012,0.015,0.083
"P47","Buena",0.341,0.043,0.096,0.151,0.156
"P47","Ni buena ni mala",0.353,0.038,0.054,0.433,0.21
"P47","Mala",0.083,0.086,0.081,0.184,0.145
"P47","Muy mala",0.042,0.734,0.757,0.217,0.376
"P47","No sabe",0.002,0.003,0,0,0.03
"P48","Muy buena",0.165,0.018,0.005,0.023,0.056
"P48","Buena",0.373,0.025,0.016,0.232,0.121
"P48","Ni buena ni mala",0.322,0.036,0.052,0.316,0.266
"P48","Mala",0.1,0.114,0.087,0.217,0.136
"P48","Muy mala",0.035,0.803,0.837,0.212,0.397
"P48","No sabe",0.005,0.004,0.003,0,0.024
"P49","Muy buena",0.687,0.029,0.01,0.342,0.277
"P49","Buena",0.14,0.019,0.02,0.119,0.069
"P49","Ni buena ni mala",0.088,0.022,0.059,0.273,0.127
"P49","Mala",0.027,0.057,0.062,0.04,0.063
"P49","Muy mala",0.054,0.87,0.845,0.223,0.449
"P49","No sabe",0.004,0.003,0.004,0.003,0.015
"P50","Muy buena",0.095,0.327,0.083,0.058,0.072
"P50","Buena",0.045,0.273,0.193,0.023,0.104
"P50","Ni buena ni mala",0.047,0.175,0.287,0.097,0.156
"P50","Mala",0.172,0.05,0.15,0.185,0.183
"P50","Muy mala",0.636,0.174,0.285,0.637,0.472
"P50","No sabe",0.005,0.001,0.002,0,0.013
"P51","Muy buena",0.023,0.307,0.091,0.006,0.086
"P51","Buena",0.036,0.385,0.204,0.051,0.16
"P51","Ni buena ni mala",0.092,0.215,0.346,0.189,0.232
"P51","Mala",0.206,0.045,0.152,0.202,0.152
"P51","Muy mala",0.631,0.044,0.197,0.552,0.336
"P51","No sabe",0.012,0.004,0.01,0,0.034
"P52","Muy buena",0.177,0.057,0.019,0.071,0.051
"P52","Buena",0.335,0.08,0.062,0.112,0.141
"P52","Ni buena ni mala",0.304,0.08,0.103,0.309,0.278
"P52","Mala",0.061,0.134,0.176,0.193,0.154
"P52","Muy mala",0.115,0.645,0.64,0.315,0.346
"P52","No sabe",0.008,0.004,0,0,0.03
"P53","Muy buena",0.039,0.527,0.227,0.021,0.082
"P53","Buena",0.068,0.246,0.244,0.034,0.101
"P53","Ni buena ni mala",0.078,0.084,0.231,0.109,0.213
"P53","Mala",0.128,0.048,0.119,0.078,0.175
"P53","Muy mala",0.681,0.091,0.176,0.758,0.405
"P53","No sabe",0.006,0.004,0.003,0,0.024
"P54","Muy buena",0.011,0.142,0.571,0.016,0.028
"P54","Buena",0.035,0.195,0.282,0.006,0.048
"P54","Ni buena ni mala",0.094,0.422,0.111,0.198,0.232
"P54","Mala",0.125,0.136,0.021,0.123,0.142
"P54","Muy mala",0.72,0.095,0.011,0.657,0.499
"P54","No sabe",0.015,0.01,0.004,0,0.051
"P55","Muy buena",0.006,0.358,0.171,0.006,0.099
"P55","Buena",0.047,0.334,0.214,0.045,0.098
"P55","Ni buena ni mala",0.063,0.184,0.242,0.11,0.18
"P55","Mala",0.157,0.06,0.153,0.083,0.153
"P55","Muy mala",0.714,0.059,0.219,0.726,0.453
"P55","No sabe",0.013,0.005,0.001,0.03,0.017
"P56","Muy buena",0.148,0.067,0.038,0.006,0.037
"P56","Buena",0.381,0.079,0.056,0.123,0.16
"P56","Ni buena ni mala",0.25,0.087,0.14,0.43,0.276
"P56","Mala",0.07,0.134,0.161,0.13,0.15
"P56","Muy mala",0.145,0.625,0.596,0.311,0.365
"P56","No sabe",0.006,0.008,0.009,0,0.012
"P57","Muy buena",0.039,0.117,0.101,0.006,0.105
"P57","Buena",0.125,0.178,0.135,0.263,0.125
"P57","Ni buena ni mala",0.398,0.353,0.33,0.274,0.367
"P57","Mala",0.184,0.13,0.13,0.203,0.134
"P57","Muy mala",0.204,0.198,0.26,0.187,0.192
"P57","No sabe",0.05,0.024,0.044,0.067,0.077
"P58","Muy buena",0.012,0.082,0.043,0.006,0.062
"P58","Buena",0.054,0.288,0.109,0.074,0.109
"P58","Ni buena ni mala",0.221,0.368,0.385,0.176,0.28
"P58","Mala",0.164,0.116,0.096,0.15,0.123
"P58","Muy mala",0.501,0.101,0.284,0.528,0.32
"P58","No sabe",0.048,0.045,0.083,0.066,0.106
"P59","Siempre",0.38,0.321,0.24,0.192,0.332
"P59","Casi siempre",0.349,0.419,0.379,0.477,0.326
"P59","Casi nunca",0.174,0.179,0.298,0.237,0.214
"P59","Nunca, pero esta es una excepción",0.097,0.081,0.083,0.094,0.128
"P60","Si",0.565,0.601,0.584,0.494,0.548
"P60","No",0.435,0.399,0.416,0.506,0.452
