"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P12","A Mauricio Macri",0.35,0.331,0.352,0.528,0.362
"P12","A Patricia Bullrich",0.235,0.15,0.424,0.259,0.282
"P12","A Facundo Manes",0.085,0.158,0.033,0.111,0.199
"P12","A Gerardo Morales",0.031,0.078,0.01,0,0.041
"P13","Seguro lo votaria",0.201,0.118,0.447,0,0.057
"P13","Quizás lo votaría",0.339,0.323,0.371,0.047,0.309
"P13","Nunca lo votaría",0.46,0.559,0.182,0.953,0.634
"P14","Lo votaría",0.473,0.082,0.196,0.029,0.184
"P14","Puede que lo vote",0.249,0.069,0.303,0.058,0.114
"P14","Nunca lo votaría",0.191,0.776,0.378,0.772,0.57
"P14","No sabe",0.087,0.073,0.123,0.141,0.132
"P15","Lo votaría",0.095,0.276,0.064,0.094,0.073
"P15","Puede que lo vote",0.104,0.361,0.091,0.193,0.257
"P15","Nunca lo votaría",0.744,0.291,0.786,0.512,0.542
"P15","No sabe",0.057,0.072,0.059,0.201,0.128
"P16","Lo votaría",0.045,0.307,0.019,0.034,0.035
"P16","Puede que lo vote",0.061,0.424,0.031,0.28,0.215
"P16","Nunca lo votaría",0.857,0.188,0.924,0.534,0.612
"P16","No sabe",0.037,0.081,0.026,0.152,0.138
"P17","La votaría",0.074,0.692,0.044,0.439,0.342
"P17","Puede que la vote",0.04,0.128,0.02,0.183,0.087
"P17","Nunca la votaría",0.872,0.164,0.918,0.273,0.504
"P17","No sabe",0.014,0.016,0.018,0.105,0.067
"P18","Lo votaría",0.412,0.128,0.087,0.085,0.046
"P18","Puede que lo vote",0.369,0.079,0.277,0.056,0.206
"P18","Nunca lo votaría",0.161,0.758,0.549,0.74,0.642
"P18","No sabe",0.058,0.035,0.087,0.119,0.106
"P19","Lo votaría",0.201,0.058,0.067,0.081,0.087
"P19","Puede que lo vote",0.362,0.141,0.233,0.184,0.176
"P19","Nunca lo votaría",0.346,0.693,0.58,0.618,0.571
"P19","No sabe",0.091,0.108,0.12,0.117,0.166
"P20","La votaría",0.437,0.065,0.298,0.071,0.17
"P20","Puede que la vote",0.281,0.054,0.304,0.054,0.147
"P20","Nunca la votaría",0.205,0.847,0.342,0.776,0.583
"P20","No sabe",0.077,0.034,0.056,0.099,0.1
"P21","Lo votaría",0.13,0.047,0.63,0.027,0.049
"P21","Puede que lo vote",0.293,0.066,0.249,0.052,0.132
"P21","Nunca lo votaría",0.502,0.832,0.08,0.779,0.72
"P21","No sabe",0.075,0.055,0.041,0.142,0.099
"P22","La votaría",0.291,0.055,0.142,0.018,0.06
"P22","Puede que la vote",0.343,0.063,0.25,0.047,0.177
"P22","Nunca la votaría",0.277,0.816,0.516,0.825,0.662
"P22","No sabe",0.089,0.066,0.092,0.11,0.101
"P23","Lo votaría",0.04,0.242,0.025,0.022,0.021
"P23","Puede que lo vote",0.093,0.36,0.067,0.188,0.24
"P23","Nunca lo votaría",0.812,0.312,0.863,0.596,0.632
"P23","No sabe",0.055,0.086,0.045,0.194,0.107
"P24","Lo votaría",0.087,0.044,0.013,0.008,0.018
"P24","Puede que lo vote",0.318,0.113,0.107,0.058,0.118
"P24","Nunca lo votaría",0.484,0.722,0.767,0.755,0.711
"P24","No sabe",0.111,0.121,0.113,0.179,0.153
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.449,0.095,0.143,0.021,0.178
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.362,0.047,0.033,0.03,0.055
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.014,0.075,0.018,0.022,0.02
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.105,0.746,0.036,0.407,0.387
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.014,0.004,0.727,0.035,0.048
"P25","Nicolás del Caño – Myriam Bregman",0.005,0.012,0.006,0.437,0.005
"P25","Otros candidatos",0.051,0.021,0.037,0.048,0.307
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.107,0.809,0.021,0.373,0.377
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.686,0.126,0.109,0.025,0.168
"P29","Javier Milei – José Luis Espert por los liberales",0.054,0.02,0.827,0.052,0.039
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.016,0.003,0.003,0.483,0.009
"P29","Otro candidato",0.137,0.042,0.04,0.067,0.407
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.111,0.662,0.027,0.19,0.183
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.675,0.157,0.167,0.042,0.176
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.062,0.022,0.758,0.02,0.035
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.017,0.026,0.013,0.667,0.016
"P33","Otro candidato",0.135,0.133,0.035,0.081,0.59
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.1,0.636,0.027,0.203,0.221
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.764,0.162,0.06,0.043,0.096
"P35","Javier Milei – José Luis Espert por los liberales",0.05,0.024,0.868,0.029,0.068
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.015,0.033,0.006,0.598,0.012
"P35","Otro candidato",0.071,0.145,0.039,0.127,0.603
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.125,0.777,0.044,0.455,0.359
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.742,0.145,0.058,0.023,0.112
"P37","Javier Milei – José Luis Espert por los liberales",0.062,0.022,0.867,0.022,0.054
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.003,0.005,0,0.432,0.016
"P37","Otro candidato",0.068,0.051,0.031,0.068,0.459
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.084,0.709,0.017,0.169,0.217
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.686,0.127,0.157,0.012,0.191
"P38","Javier Milei – José Luis Espert por los liberales",0.079,0.026,0.784,0.035,0.046
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.017,0.015,0.001,0.637,0.023
"P38","Otro candidato",0.134,0.123,0.041,0.147,0.523
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.119,0.811,0.063,0.581,0.402
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.752,0.152,0.446,0.135,0.255
"P39","No sabe",0.129,0.037,0.491,0.284,0.343
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.081,0.77,0.04,0.329,0.227
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.844,0.136,0.453,0.129,0.197
"P40","No sabe",0.075,0.094,0.507,0.542,0.576
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.086,0.725,0.032,0.351,0.302
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.779,0.13,0.586,0.087,0.27
"P41","No sabe",0.135,0.145,0.382,0.562,0.428
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.095,0.795,0.047,0.574,0.394
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.853,0.136,0.483,0.095,0.197
"P42","No sabe",0.052,0.069,0.47,0.331,0.409
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.088,0.715,0.04,0.371,0.307
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.844,0.133,0.468,0.115,0.205
"P43","No sabe",0.068,0.152,0.492,0.514,0.488
"P44","Mauricio Macri – María Eugenia Vidal",0.718,0.175,0.486,0.174,0.264
"P44","Sergio Massa – Wado de Pedro",0.149,0.686,0.093,0.342,0.331
"P44","No sabe",0.133,0.139,0.421,0.484,0.405
"P45","Sergio Massa – Wado de Pedro",0.167,0.684,0.093,0.392,0.316
"P45","Javier Milei – José Luis Espert",0.346,0.125,0.79,0.143,0.157
"P45","No sabe",0.487,0.191,0.117,0.465,0.527
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.738,0.195,0.059,0.13,0.178
"P46","Javier Milei – José Luis Espert",0.11,0.059,0.851,0.095,0.127
"P46","No sabe",0.152,0.746,0.09,0.775,0.695
"P47","Muy buena",0.099,0.204,0.015,0.018,0.052
"P47","Buena",0.037,0.325,0.099,0.127,0.165
"P47","Ni buena ni mala",0.08,0.301,0.06,0.409,0.201
"P47","Mala",0.112,0.069,0.061,0.239,0.133
"P47","Muy mala",0.669,0.091,0.764,0.207,0.432
"P47","No sabe",0.003,0.01,0.001,0,0.017
"P48","Muy buena",0.022,0.181,0.008,0.019,0.021
"P48","Buena",0.039,0.348,0.021,0.153,0.13
"P48","Ni buena ni mala",0.069,0.29,0.055,0.367,0.221
"P48","Mala",0.146,0.068,0.082,0.226,0.143
"P48","Muy mala",0.721,0.113,0.831,0.235,0.456
"P48","No sabe",0.003,0,0.003,0,0.029
"P49","Muy buena",0.056,0.641,0.019,0.335,0.257
"P49","Buena",0.027,0.124,0.023,0.121,0.066
"P49","Ni buena ni mala",0.04,0.079,0.062,0.282,0.094
"P49","Mala",0.068,0.024,0.051,0.034,0.065
"P49","Muy mala",0.806,0.132,0.844,0.225,0.495
"P49","No sabe",0.003,0,0.001,0.003,0.023
"P50","Muy buena",0.304,0.091,0.125,0.048,0.12
"P50","Buena",0.255,0.072,0.202,0.061,0.104
"P50","Ni buena ni mala",0.195,0.042,0.278,0.123,0.131
"P50","Mala",0.063,0.17,0.139,0.179,0.156
"P50","Muy mala",0.178,0.625,0.255,0.589,0.472
"P50","No sabe",0.005,0,0.001,0,0.017
"P51","Muy buena",0.344,0.051,0.081,0.019,0.058
"P51","Buena",0.399,0.078,0.206,0.045,0.135
"P51","Ni buena ni mala",0.152,0.106,0.359,0.186,0.273
"P51","Mala",0.047,0.19,0.163,0.162,0.142
"P51","Muy mala",0.053,0.568,0.181,0.553,0.364
"P51","No sabe",0.005,0.007,0.01,0.035,0.028
"P52","Muy buena",0.059,0.176,0.02,0.012,0.061
"P52","Buena",0.09,0.313,0.052,0.103,0.157
"P52","Ni buena ni mala",0.094,0.288,0.118,0.304,0.238
"P52","Mala",0.16,0.085,0.155,0.212,0.102
"P52","Muy mala",0.588,0.134,0.65,0.334,0.426
"P52","No sabe",0.009,0.004,0.005,0.035,0.016
"P53","Muy buena",0.391,0.076,0.316,0.064,0.195
"P53","Buena",0.27,0.053,0.224,0.039,0.129
"P53","Ni buena ni mala",0.139,0.09,0.205,0.132,0.12
"P53","Mala",0.07,0.166,0.095,0.054,0.105
"P53","Muy mala",0.123,0.611,0.158,0.676,0.437
"P53","No sabe",0.007,0.004,0.002,0.035,0.014
"P54","Muy buena",0.089,0.043,0.531,0.039,0.054
"P54","Buena",0.173,0.054,0.275,0.012,0.066
"P54","Ni buena ni mala",0.433,0.097,0.15,0.187,0.238
"P54","Mala",0.128,0.147,0.022,0.091,0.145
"P54","Muy mala",0.159,0.642,0.02,0.627,0.469
"P54","No sabe",0.018,0.017,0.002,0.044,0.028
"P55","Muy buena",0.338,0.061,0.167,0.047,0.103
"P55","Buena",0.312,0.051,0.243,0.062,0.131
"P55","Ni buena ni mala",0.167,0.077,0.253,0.083,0.177
"P55","Mala",0.078,0.147,0.133,0.072,0.145
"P55","Muy mala",0.101,0.652,0.202,0.67,0.434
"P55","No sabe",0.004,0.012,0.002,0.066,0.01
"P56","Muy buena",0.057,0.183,0.025,0.003,0.02
"P56","Buena",0.076,0.372,0.057,0.098,0.163
"P56","Ni buena ni mala",0.111,0.22,0.137,0.404,0.267
"P56","Mala",0.165,0.058,0.151,0.16,0.128
"P56","Muy mala",0.582,0.164,0.622,0.335,0.407
"P56","No sabe",0.009,0.003,0.008,0,0.015
"P57","Muy buena",0.151,0.032,0.085,0.027,0.086
"P57","Buena",0.21,0.12,0.125,0.202,0.123
"P57","Ni buena ni mala",0.361,0.397,0.334,0.273,0.353
"P57","Mala",0.113,0.154,0.141,0.28,0.166
"P57","Muy mala",0.138,0.241,0.272,0.127,0.218
"P57","No sabe",0.027,0.056,0.043,0.091,0.054
"P58","Muy buena",0.093,0.023,0.043,0.019,0.04
"P58","Buena",0.308,0.086,0.09,0.105,0.096
"P58","Ni buena ni mala",0.386,0.208,0.401,0.145,0.272
"P58","Mala",0.08,0.158,0.108,0.129,0.171
"P58","Muy mala",0.073,0.461,0.292,0.521,0.35
"P58","No sabe",0.06,0.064,0.066,0.081,0.071
"P59","Siempre",0.349,0.366,0.229,0.31,0.305
"P59","Casi siempre",0.385,0.363,0.405,0.482,0.337
"P59","Casi nunca",0.174,0.161,0.282,0.185,0.252
"P59","Nunca, pero esta es una excepción",0.092,0.11,0.084,0.023,0.106
"P60","Si",0.589,0.592,0.569,0.582,0.532
"P60","No",0.411,0.408,0.431,0.418,0.468
