"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Sergio Massa","Neutra",0.19,0.176,0.202,0.226,0.204,0.155,0.172,0.175,0.211,0.174,0.181,0.205,0.307,0.109,0.151
"Sergio Massa","Negativa",0.566,0.586,0.545,0.609,0.556,0.605,0.496,0.528,0.56,0.617,0.577,0.544,0.281,0.757,0.71
"Sergio Massa","No sabe",0.009,0.009,0.01,0.01,0.007,0.01,0.011,0.018,0.003,0.008,0.008,0.011,0.01,0.006,0
"CFK","Positiva",0.322,0.296,0.347,0.278,0.335,0.307,0.353,0.327,0.327,0.308,0.332,0.302,0.735,0.061,0.128
"CFK","Neutra",0.077,0.078,0.076,0.146,0.075,0.049,0.062,0.081,0.088,0.057,0.071,0.09,0.096,0.046,0.043
"CFK","Negativa",0.595,0.622,0.57,0.576,0.582,0.639,0.577,0.583,0.581,0.631,0.591,0.602,0.168,0.888,0.822
"CFK","No sabe",0.006,0.004,0.007,0,0.008,0.005,0.008,0.009,0.004,0.004,0.006,0.006,0.001,0.005,0.007
"Alberto Fernandez","Positiva",0.202,0.171,0.234,0.138,0.201,0.214,0.248,0.219,0.206,0.18,0.208,0.194,0.447,0.047,0.065
"Alberto Fernandez","Neutra",0.169,0.168,0.171,0.205,0.176,0.144,0.16,0.179,0.182,0.14,0.174,0.161,0.311,0.062,0.166
"Alberto Fernandez","Negativa",0.621,0.657,0.585,0.657,0.611,0.635,0.587,0.592,0.605,0.675,0.612,0.636,0.239,0.885,0.762
"Alberto Fernandez","No sabe",0.008,0.004,0.01,0,0.012,0.007,0.005,0.01,0.007,0.005,0.006,0.009,0.003,0.006,0.007
