"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.023,0.047,0.844,0.031,0.044
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.036,0.007,0.006,0.624,0.029
"P31","Otro candidato",0.179,0.072,0.062,0.055,0.636
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.779,0.14,0.01,0.101,0.07
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.13,0.693,0.163,0.027,0.165
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.005,0.046,0.795,0,0.019
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.018,0.012,0.004,0.776,0.013
"P33","Otro candidato",0.068,0.109,0.028,0.096,0.733
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.818,0.145,0.004,0.398,0.379
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.114,0.767,0.039,0.051,0.084
"P37","Javier Milei – José Luis Espert por los liberales",0.013,0.036,0.922,0.013,0.018
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.006,0.001,0.001,0.489,0.01
"P37","Otro candidato",0.049,0.051,0.034,0.049,0.509
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.84,0.092,0.007,0.144,0.084
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.082,0.703,0.152,0.023,0.188
"P38","Javier Milei – José Luis Espert por los liberales",0.013,0.069,0.808,0.036,0.027
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0.017,0.002,0.678,0.017
"P38","Otro candidato",0.053,0.119,0.031,0.119,0.684
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.837,0.135,0.043,0.589,0.418
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.111,0.741,0.476,0.11,0.244
"P39","No sabe",0.052,0.124,0.481,0.301,0.338
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.762,0.094,0.034,0.405,0.252
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.098,0.842,0.465,0.104,0.178
"P40","No sabe",0.14,0.064,0.501,0.491,0.57
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.851,0.101,0.024,0.351,0.153
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.09,0.775,0.601,0.065,0.259
"P41","No sabe",0.059,0.124,0.375,0.584,0.588
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.855,0.096,0.025,0.568,0.388
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.093,0.838,0.502,0.09,0.186
"P42","No sabe",0.052,0.066,0.473,0.342,0.426
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.838,0.102,0.019,0.371,0.173
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.086,0.826,0.503,0.112,0.184
"P43","No sabe",0.076,0.072,0.478,0.517,0.643
"P44","Mauricio Macri – María Eugenia Vidal",0.173,0.696,0.489,0.151,0.25
"P44","Sergio Massa – Wado de Pedro",0.759,0.171,0.098,0.339,0.218
"P44","No sabe",0.068,0.133,0.413,0.51,0.532
"P45","Sergio Massa – Wado de Pedro",0.789,0.169,0.061,0.393,0.228
"P45","Javier Milei – José Luis Espert",0.12,0.33,0.836,0.111,0.101
"P45","No sabe",0.091,0.501,0.103,0.496,0.671
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.178,0.729,0.032,0.155,0.192
"P46","Javier Milei – José Luis Espert",0.055,0.097,0.893,0.057,0.086
"P46","No sabe",0.767,0.174,0.075,0.788,0.722
"P47","Muy buena",0.189,0.094,0.012,0.06,0.076
"P47","Buena",0.34,0.049,0.094,0.129,0.153
"P47","Ni buena ni mala",0.325,0.073,0.05,0.392,0.212
"P47","Mala",0.061,0.129,0.064,0.191,0.129
"P47","Muy mala",0.078,0.653,0.779,0.196,0.414
"P47","No sabe",0.007,0.002,0.001,0.032,0.016
"P48","Muy buena",0.157,0.025,0.004,0.027,0.062
"P48","Buena",0.343,0.056,0.014,0.199,0.127
"P48","Ni buena ni mala",0.326,0.054,0.047,0.371,0.223
"P48","Mala",0.078,0.154,0.082,0.213,0.116
"P48","Muy mala",0.093,0.709,0.85,0.19,0.442
"P48","No sabe",0.003,0.002,0.003,0,0.03
"P49","Muy buena",0.645,0.073,0.008,0.364,0.274
"P49","Buena",0.14,0.028,0.02,0.111,0.055
"P49","Ni buena ni mala",0.076,0.031,0.051,0.256,0.137
"P49","Mala",0.028,0.07,0.055,0.036,0.05
"P49","Muy mala",0.111,0.793,0.865,0.23,0.462
"P49","No sabe",0,0.005,0.001,0.003,0.022
"P50","Muy buena",0.076,0.29,0.129,0.058,0.139
"P50","Buena",0.062,0.248,0.211,0.022,0.11
"P50","Ni buena ni mala",0.044,0.187,0.271,0.09,0.143
"P50","Mala",0.174,0.064,0.137,0.192,0.156
"P50","Muy mala",0.643,0.208,0.249,0.632,0.437
"P50","No sabe",0.001,0.003,0.003,0.006,0.015
"P51","Muy buena",0.06,0.322,0.075,0.017,0.06
"P51","Buena",0.03,0.416,0.206,0.042,0.148
"P51","Ni buena ni mala",0.106,0.142,0.383,0.201,0.258
"P51","Mala",0.209,0.035,0.156,0.195,0.143
"P51","Muy mala",0.586,0.082,0.171,0.545,0.351
"P51","No sabe",0.009,0.003,0.009,0,0.04
"P52","Muy buena",0.223,0.043,0.015,0.032,0.03
"P52","Buena",0.313,0.112,0.055,0.124,0.13
"P52","Ni buena ni mala",0.301,0.101,0.094,0.325,0.252
"P52","Mala",0.056,0.15,0.162,0.24,0.133
"P52","Muy mala",0.102,0.589,0.669,0.276,0.425
"P52","No sabe",0.005,0.005,0.005,0.003,0.03
"P53","Muy buena",0.073,0.397,0.317,0.018,0.177
"P53","Buena",0.048,0.267,0.231,0.04,0.113
"P53","Ni buena ni mala",0.093,0.145,0.188,0.108,0.127
"P53","Mala",0.131,0.054,0.107,0.114,0.158
"P53","Muy mala",0.651,0.133,0.152,0.72,0.4
"P53","No sabe",0.004,0.004,0.005,0,0.025
"P54","Muy buena",0.033,0.099,0.541,0.01,0.029
"P54","Buena",0.04,0.181,0.279,0.01,0.049
"P54","Ni buena ni mala",0.102,0.418,0.148,0.16,0.245
"P54","Mala",0.14,0.128,0.018,0.119,0.159
"P54","Muy mala",0.67,0.158,0.01,0.692,0.475
"P54","No sabe",0.015,0.016,0.004,0.009,0.043
"P55","Muy buena",0.029,0.338,0.184,0.008,0.111
"P55","Buena",0.054,0.297,0.242,0.063,0.127
"P55","Ni buena ni mala",0.074,0.174,0.247,0.108,0.167
"P55","Mala",0.156,0.075,0.129,0.094,0.146
"P55","Muy mala",0.676,0.112,0.196,0.7,0.427
"P55","No sabe",0.011,0.004,0.002,0.027,0.022
"P56","Muy buena",0.158,0.061,0.03,0.033,0.038
"P56","Buena",0.373,0.079,0.057,0.141,0.17
"P56","Ni buena ni mala",0.245,0.133,0.116,0.418,0.231
"P56","Mala",0.061,0.157,0.161,0.125,0.126
"P56","Muy mala",0.159,0.561,0.625,0.283,0.423
"P56","No sabe",0.004,0.009,0.011,0,0.012
"P57","Muy buena",0.057,0.136,0.079,0.011,0.079
"P57","Buena",0.114,0.204,0.13,0.257,0.11
"P57","Ni buena ni mala",0.398,0.384,0.339,0.237,0.322
"P57","Mala",0.162,0.104,0.144,0.208,0.186
"P57","Muy mala",0.226,0.149,0.264,0.184,0.226
"P57","No sabe",0.043,0.023,0.044,0.103,0.077
"P58","Muy buena",0.026,0.091,0.039,0.008,0.039
"P58","Buena",0.066,0.306,0.108,0.071,0.094
"P58","Ni buena ni mala",0.182,0.389,0.383,0.221,0.294
"P58","Mala",0.168,0.079,0.121,0.13,0.153
"P58","Muy mala",0.51,0.083,0.283,0.461,0.319
"P58","No sabe",0.048,0.052,0.066,0.109,0.101
"P59","Siempre",0.371,0.338,0.26,0.278,0.286
"P59","Casi siempre",0.353,0.39,0.401,0.414,0.358
"P59","Casi nunca",0.169,0.184,0.261,0.249,0.238
"P59","Nunca, pero esta es una excepción",0.107,0.088,0.078,0.059,0.118
"P60","Si",0.588,0.561,0.602,0.557,0.542
"P60","No",0.412,0.439,0.398,0.443,0.458
