"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.916,0.015,0.067
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.023,0.861,0.258
"P41","No sabe",0.061,0.124,0.675
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.939,0.007,0.224
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.028,0.935,0.087
"P42","No sabe",0.033,0.058,0.689
"P44","Mauricio Macri – María Eugenia Vidal",0.183,0.726,0.182
"P44","Sergio Massa – Wado de Pedro",0.77,0.172,0.074
"P44","No sabe",0.047,0.102,0.744
"P45","Sergio Massa – Wado de Pedro",0.843,0.123,0.08
"P45","Javier Milei – José Luis Espert",0.107,0.49,0.353
"P45","No sabe",0.05,0.387,0.567
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.182,0.572,0.047
"P46","Javier Milei – José Luis Espert",0.056,0.332,0.369
"P46","No sabe",0.762,0.096,0.584
"P47","Muy buena",0.161,0.078,0.053
"P47","Buena",0.342,0.054,0.115
"P47","Ni buena ni mala",0.378,0.025,0.174
"P47","Mala",0.084,0.096,0.121
"P47","Muy mala",0.033,0.745,0.517
"P47","No sabe",0.002,0.002,0.02
"P48","Muy buena",0.149,0.007,0.048
"P48","Buena",0.366,0.017,0.085
"P48","Ni buena ni mala",0.344,0.028,0.192
"P48","Mala",0.111,0.124,0.102
"P48","Muy mala",0.029,0.819,0.554
"P48","No sabe",0.001,0.005,0.019
"P49","Muy buena",0.692,0.003,0.172
"P49","Buena",0.141,0.015,0.057
"P49","Ni buena ni mala",0.108,0.021,0.127
"P49","Mala",0.03,0.062,0.054
"P49","Muy mala",0.029,0.896,0.574
"P49","No sabe",0,0.003,0.016
"P50","Muy buena",0.098,0.237,0.111
"P50","Buena",0.021,0.291,0.1
"P50","Ni buena ni mala",0.042,0.208,0.201
"P50","Mala",0.171,0.085,0.159
"P50","Muy mala",0.666,0.178,0.416
"P50","No sabe",0.002,0.001,0.013
"P51","Muy buena",0.02,0.276,0.054
"P51","Buena",0.015,0.403,0.104
"P51","Ni buena ni mala",0.089,0.242,0.291
"P51","Mala",0.216,0.054,0.168
"P51","Muy mala",0.651,0.024,0.349
"P51","No sabe",0.009,0.001,0.034
"P52","Muy buena",0.182,0.046,0.024
"P52","Buena",0.317,0.087,0.086
"P52","Ni buena ni mala",0.313,0.075,0.228
"P52","Mala",0.08,0.16,0.137
"P52","Muy mala",0.104,0.627,0.505
"P52","No sabe",0.004,0.005,0.02
"P53","Muy buena",0.032,0.421,0.181
"P53","Buena",0.049,0.262,0.138
"P53","Ni buena ni mala",0.084,0.141,0.185
"P53","Mala",0.124,0.07,0.145
"P53","Muy mala",0.709,0.102,0.331
"P53","No sabe",0.002,0.004,0.02
"P54","Muy buena",0.015,0.211,0.255
"P54","Buena",0.025,0.223,0.119
"P54","Ni buena ni mala",0.092,0.357,0.193
"P54","Mala",0.116,0.118,0.097
"P54","Muy mala",0.744,0.077,0.304
"P54","No sabe",0.008,0.014,0.032
"P55","Muy buena",0.014,0.313,0.112
"P55","Buena",0.013,0.343,0.115
"P55","Ni buena ni mala",0.054,0.204,0.206
"P55","Mala",0.162,0.083,0.136
"P55","Muy mala",0.747,0.053,0.413
"P55","No sabe",0.01,0.004,0.018
"P56","Muy buena",0.137,0.054,0.037
"P56","Buena",0.357,0.072,0.116
"P56","Ni buena ni mala",0.299,0.09,0.222
"P56","Mala",0.072,0.156,0.138
"P56","Muy mala",0.134,0.621,0.47
"P56","No sabe",0.001,0.007,0.017
"P57","Muy buena",0.045,0.138,0.053
"P57","Buena",0.116,0.185,0.133
"P57","Ni buena ni mala",0.386,0.366,0.321
"P57","Mala",0.203,0.112,0.143
"P57","Muy mala",0.205,0.169,0.278
"P57","No sabe",0.045,0.03,0.072
"P58","Muy buena",0.011,0.093,0.026
"P58","Buena",0.044,0.285,0.06
"P58","Ni buena ni mala",0.159,0.396,0.338
"P58","Mala",0.208,0.084,0.106
"P58","Muy mala",0.523,0.088,0.377
"P58","No sabe",0.055,0.054,0.093
"P59","Siempre",0.356,0.32,0.271
"P59","Casi siempre",0.346,0.412,0.361
"P59","Casi nunca",0.188,0.19,0.265
"P59","Nunca, pero esta es una excepción",0.11,0.078,0.103
"P60","Si",0.566,0.597,0.548
"P60","No",0.434,0.403,0.452
