"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P13","Seguro lo votaria",0.19,0.171,0.539,0.184,0.107
"P13","Quizás lo votaría",0.125,0.367,0.268,0.096,0.302
"P13","Nunca lo votaría",0.685,0.462,0.193,0.72,0.591
"P14","Lo votaría",0.029,0.643,0.132,0.019,0.099
"P14","Puede que lo vote",0.028,0.236,0.32,0.041,0.226
"P14","Nunca lo votaría",0.849,0.086,0.413,0.824,0.473
"P14","No sabe",0.094,0.035,0.135,0.116,0.202
"P15","Lo votaría",0.223,0.119,0.062,0.098,0.045
"P15","Puede que lo vote",0.397,0.07,0.085,0.138,0.197
"P15","Nunca lo votaría",0.267,0.782,0.796,0.617,0.623
"P15","No sabe",0.113,0.029,0.057,0.147,0.135
"P16","Lo votaría",0.255,0.018,0.033,0.094,0.031
"P16","Puede que lo vote",0.466,0.02,0.031,0.194,0.1
"P16","Nunca lo votaría",0.162,0.95,0.91,0.606,0.732
"P16","No sabe",0.117,0.012,0.026,0.106,0.137
"P17","La votaría",0.812,0.014,0.04,0.154,0.056
"P17","Puede que la vote",0.141,0.012,0.018,0.21,0.09
"P17","Nunca la votaría",0.028,0.968,0.923,0.498,0.751
"P17","No sabe",0.019,0.006,0.019,0.138,0.103
"P18","Lo votaría",0.094,0.357,0.1,0.089,0.135
"P18","Puede que lo vote",0.042,0.411,0.262,0.122,0.273
"P18","Nunca lo votaría",0.826,0.191,0.538,0.72,0.43
"P18","No sabe",0.038,0.041,0.1,0.069,0.162
"P19","Lo votaría",0.025,0.197,0.09,0.042,0.155
"P19","Puede que lo vote",0.107,0.357,0.242,0.216,0.252
"P19","Nunca lo votaría",0.75,0.379,0.543,0.66,0.377
"P19","No sabe",0.118,0.067,0.125,0.082,0.216
"P20","La votaría",0.015,0.544,0.263,0.076,0.165
"P20","Puede que la vote",0.022,0.29,0.314,0.065,0.22
"P20","Nunca la votaría",0.922,0.118,0.351,0.77,0.467
"P20","No sabe",0.041,0.048,0.072,0.089,0.148
"P21","Lo votaría",0.016,0.161,0.642,0.023,0.077
"P21","Puede que lo vote",0.038,0.32,0.224,0.113,0.188
"P21","Nunca lo votaría",0.884,0.465,0.083,0.763,0.59
"P21","No sabe",0.062,0.054,0.051,0.101,0.145
"P22","La votaría",0.021,0.33,0.134,0.049,0.057
"P22","Puede que la vote",0.031,0.388,0.216,0.118,0.234
"P22","Nunca la votaría",0.874,0.214,0.55,0.773,0.565
"P22","No sabe",0.074,0.068,0.1,0.06,0.144
"P23","Lo votaría",0.163,0.059,0.03,0.052,0.044
"P23","Puede que lo vote",0.414,0.068,0.069,0.13,0.095
"P23","Nunca lo votaría",0.31,0.837,0.85,0.683,0.767
"P23","No sabe",0.113,0.036,0.051,0.135,0.094
"P24","Lo votaría",0.024,0.073,0.012,0.033,0.072
"P24","Puede que lo vote",0.1,0.285,0.107,0.08,0.175
"P24","Nunca lo votaría",0.755,0.54,0.756,0.787,0.557
"P24","No sabe",0.121,0.102,0.125,0.1,0.196
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.009,0.686,0.067,0.009,0.053
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.012,0.241,0.073,0.105,0.258
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.052,0.006,0.018,0.044,0.059
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.899,0.012,0.037,0.083,0.072
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.006,0.015,0.757,0.038,0.065
"P25","Nicolás del Caño – Myriam Bregman",0.01,0.001,0.005,0.676,0.012
"P25","Otros candidatos",0.012,0.039,0.043,0.045,0.481
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.08,0.652,0.066,0.143,0.243
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.624,0.124,0.026,0.028,0.076
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.014,0.087,0.857,0.021,0.06
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.049,0.004,0.011,0.746,0.021
"P31","Otro candidato",0.233,0.133,0.04,0.062,0.6
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.661,0.04,0.036,0.087,0.075
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.047,0.787,0.135,0.049,0.223
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.013,0.067,0.778,0.018,0.06
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.051,0.003,0.016,0.725,0.029
"P33","Otro candidato",0.228,0.103,0.035,0.121,0.613
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.621,0.076,0.024,0.102,0.107
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.088,0.691,0.084,0.094,0.262
"P35","Javier Milei – José Luis Espert por los liberales",0.011,0.101,0.863,0.031,0.079
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.051,0.004,0.003,0.722,0.022
"P35","Otro candidato",0.229,0.128,0.026,0.051,0.53
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.889,0.053,0.034,0.197,0.086
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.052,0.701,0.065,0.129,0.301
"P37","Javier Milei – José Luis Espert por los liberales",0.005,0.103,0.866,0.019,0.068
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.009,0.001,0.001,0.621,0.03
"P37","Otro candidato",0.045,0.142,0.034,0.034,0.515
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.721,0.011,0.027,0.077,0.07
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.028,0.871,0.08,0.053,0.123
"P38","Javier Milei – José Luis Espert por los liberales",0.018,0.046,0.856,0.037,0.084
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.04,0.004,0.003,0.739,0.036
"P38","Otro candidato",0.193,0.068,0.034,0.094,0.687
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.933,0.044,0.058,0.367,0.113
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.038,0.918,0.409,0.178,0.235
"P39","No sabe",0.029,0.038,0.533,0.455,0.652
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.771,0.011,0.037,0.24,0.124
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.022,0.86,0.452,0.23,0.393
"P40","No sabe",0.207,0.129,0.511,0.53,0.483
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.786,0.005,0.04,0.254,0.111
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.016,0.907,0.551,0.124,0.356
"P41","No sabe",0.198,0.088,0.409,0.622,0.533
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.934,0.005,0.039,0.362,0.099
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.02,0.871,0.484,0.166,0.401
"P42","No sabe",0.046,0.124,0.477,0.472,0.5
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.789,0.015,0.037,0.255,0.106
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.018,0.847,0.479,0.167,0.413
"P43","No sabe",0.193,0.138,0.484,0.578,0.481
"P44","Mauricio Macri – María Eugenia Vidal",0.133,0.807,0.447,0.227,0.218
"P44","Sergio Massa – Wado de Pedro",0.701,0.135,0.093,0.24,0.167
"P44","No sabe",0.166,0.058,0.46,0.533,0.615
"P45","Sergio Massa – Wado de Pedro",0.736,0.12,0.078,0.307,0.143
"P45","Javier Milei – José Luis Espert",0.095,0.372,0.804,0.18,0.197
"P45","No sabe",0.169,0.508,0.118,0.513,0.66
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.152,0.644,0.06,0.201,0.35
"P46","Javier Milei – José Luis Espert",0.035,0.18,0.86,0.121,0.123
"P46","No sabe",0.813,0.176,0.08,0.678,0.527
"P47","Muy buena",0.166,0.091,0.01,0.016,0.078
"P47","Buena",0.359,0.031,0.095,0.107,0.034
"P47","Ni buena ni mala",0.368,0.031,0.052,0.312,0.151
"P47","Mala",0.087,0.097,0.074,0.274,0.134
"P47","Muy mala",0.009,0.748,0.768,0.291,0.582
"P47","No sabe",0.011,0.002,0.001,0,0.021
"P48","Muy buena",0.153,0.007,0.009,0.016,0.04
"P48","Buena",0.37,0.006,0.022,0.206,0.032
"P48","Ni buena ni mala",0.356,0.025,0.054,0.312,0.159
"P48","Mala",0.101,0.125,0.084,0.192,0.149
"P48","Muy mala",0.015,0.833,0.829,0.274,0.59
"P48","No sabe",0.005,0.004,0.002,0,0.03
"P49","Muy buena",0.729,0.004,0.011,0.143,0.036
"P49","Buena",0.153,0.008,0.014,0.119,0.03
"P49","Ni buena ni mala",0.09,0.02,0.06,0.283,0.148
"P49","Mala",0.018,0.071,0.05,0.071,0.081
"P49","Muy mala",0.01,0.892,0.863,0.379,0.677
"P49","No sabe",0,0.005,0.002,0.005,0.028
"P50","Muy buena",0.098,0.357,0.08,0.057,0.032
"P50","Buena",0.027,0.305,0.18,0.022,0.145
"P50","Ni buena ni mala",0.042,0.137,0.298,0.167,0.262
"P50","Mala",0.174,0.033,0.157,0.177,0.191
"P50","Muy mala",0.657,0.165,0.284,0.577,0.348
"P50","No sabe",0.002,0.003,0.001,0,0.022
"P51","Muy buena",0.01,0.333,0.076,0.048,0.137
"P51","Buena",0.015,0.419,0.206,0.061,0.223
"P51","Ni buena ni mala",0.097,0.195,0.358,0.271,0.289
"P51","Mala",0.2,0.026,0.151,0.256,0.154
"P51","Muy mala",0.663,0.025,0.199,0.364,0.162
"P51","No sabe",0.015,0.002,0.01,0,0.035
"P52","Muy buena",0.16,0.046,0.019,0.026,0.064
"P52","Buena",0.305,0.075,0.06,0.128,0.108
"P52","Ni buena ni mala",0.332,0.086,0.102,0.278,0.171
"P52","Mala",0.09,0.134,0.168,0.186,0.147
"P52","Muy mala",0.102,0.655,0.65,0.382,0.481
"P52","No sabe",0.011,0.004,0.001,0,0.029
"P53","Muy buena",0.027,0.494,0.276,0.034,0.182
"P53","Buena",0.051,0.244,0.242,0.046,0.173
"P53","Ni buena ni mala",0.063,0.119,0.217,0.179,0.224
"P53","Mala",0.14,0.056,0.102,0.125,0.145
"P53","Muy mala",0.711,0.087,0.161,0.595,0.247
"P53","No sabe",0.008,0,0.002,0.021,0.029
"P54","Muy buena",0.01,0.127,0.555,0.004,0.074
"P54","Buena",0.02,0.192,0.276,0.016,0.105
"P54","Ni buena ni mala",0.073,0.438,0.132,0.263,0.319
"P54","Mala",0.132,0.142,0.018,0.099,0.139
"P54","Muy mala",0.746,0.09,0.013,0.583,0.322
"P54","No sabe",0.019,0.011,0.006,0.035,0.041
"P55","Muy buena",0.006,0.399,0.161,0.033,0.097
"P55","Buena",0.018,0.346,0.227,0.081,0.17
"P55","Ni buena ni mala",0.059,0.172,0.253,0.127,0.248
"P55","Mala",0.137,0.051,0.139,0.096,0.216
"P55","Muy mala",0.766,0.027,0.218,0.618,0.256
"P55","No sabe",0.014,0.005,0.002,0.045,0.013
"P56","Muy buena",0.132,0.073,0.021,0.008,0.027
"P56","Buena",0.364,0.065,0.058,0.125,0.097
"P56","Ni buena ni mala",0.32,0.073,0.14,0.188,0.194
"P56","Mala",0.058,0.144,0.16,0.235,0.177
"P56","Muy mala",0.122,0.637,0.618,0.444,0.477
"P56","No sabe",0.004,0.008,0.003,0,0.028
"P57","Muy buena",0.036,0.118,0.08,0.031,0.164
"P57","Buena",0.117,0.174,0.135,0.275,0.174
"P57","Ni buena ni mala",0.382,0.352,0.354,0.185,0.365
"P57","Mala",0.196,0.128,0.129,0.259,0.077
"P57","Muy mala",0.206,0.209,0.255,0.191,0.159
"P57","No sabe",0.063,0.019,0.047,0.059,0.061
"P58","Muy buena",0.014,0.079,0.031,0.043,0.103
"P58","Buena",0.047,0.293,0.108,0.085,0.169
"P58","Ni buena ni mala",0.171,0.392,0.399,0.243,0.345
"P58","Mala",0.18,0.095,0.099,0.142,0.107
"P58","Muy mala",0.517,0.095,0.284,0.419,0.205
"P58","No sabe",0.071,0.046,0.079,0.068,0.071
"P59","Siempre",0.363,0.334,0.224,0.277,0.314
"P59","Casi siempre",0.346,0.403,0.391,0.462,0.366
"P59","Casi nunca",0.174,0.18,0.29,0.229,0.24
"P59","Nunca, pero esta es una excepción",0.117,0.083,0.095,0.032,0.08
"P60","Si",0.596,0.577,0.558,0.531,0.545
"P60","No",0.404,0.423,0.442,0.469,0.455
