"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe","No lo conozco"
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.804,0.559,0.199,0.069,0.036,0.347,0.299
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.086,0.183,0.323,0.431,0.356,0.154,0.12
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.056,0.082,0.225,0.239,0.339,0.339,0.292
"P20","Al candidato del Frente de Izquierda",0,0.086,0.052,0.073,0.053,0,0.086
"P20","No sabe",0.054,0.09,0.201,0.188,0.216,0.16,0.203
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.822,0.58,0.219,0.044,0.053,0.385,0.393
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.07,0.3,0.329,0.445,0.441,0.143,0.13
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.072,0.037,0.297,0.252,0.314,0.278,0.351
"P21","Al candidato del Frente de Izquierda",0,0.002,0.041,0.081,0.023,0,0
"P21","No sabe",0.036,0.081,0.114,0.178,0.169,0.194,0.126
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.706,0.516,0.168,0.032,0.021,0.285,0.347
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.084,0.237,0.246,0.344,0.295,0.083,0.082
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.095,0.053,0.331,0.328,0.401,0.328,0.366
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.033,0.026,0.053,0.077,0.041,0,0.04
"P22","No sabe",0.082,0.168,0.202,0.219,0.242,0.304,0.165
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.737,0.51,0.138,0.042,0.013,0.263,0.319
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.081,0.304,0.273,0.43,0.394,0.143,0.149
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.08,0.05,0.364,0.296,0.332,0.348,0.298
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.006,0.035,0.045,0.072,0.029,0,0.04
"P23","No sabe",0.096,0.101,0.18,0.16,0.232,0.246,0.194
"P25","Muy buena",0.155,0.022,0.011,0.041,0.005,0,0
"P25","Buena",0.109,0.191,0.021,0.027,0.01,0.013,0.034
"P25","Ni buena ni mala",0.393,0.381,0.571,0.213,0.106,0.08,0.109
"P25","Mala",0.109,0.109,0.094,0.427,0.105,0.019,0.026
"P25","Muy mala",0.048,0.036,0.036,0.05,0.579,0.019,0.06
"P25","No sabe",0.083,0.123,0.164,0.162,0.119,0.599,0.031
"P25","No lo conozco",0.103,0.138,0.103,0.08,0.076,0.27,0.74
"P26","Muy buena",0.072,0.045,0.03,0.126,0.131,0.019,0.009
"P26","Buena",0.059,0.165,0.178,0.202,0.164,0.042,0.064
"P26","Ni buena ni mala",0.138,0.21,0.44,0.249,0.215,0.156,0.226
"P26","Mala",0.226,0.244,0.167,0.284,0.109,0.019,0.018
"P26","Muy mala",0.438,0.229,0.093,0.1,0.329,0.136,0.059
"P26","No sabe",0.024,0.05,0.059,0.016,0.029,0.302,0.107
"P26","No lo conozco",0.043,0.057,0.033,0.023,0.023,0.326,0.517
"P27","Muy buena",0.08,0.052,0.023,0.068,0.101,0.021,0.034
"P27","Buena",0.018,0.17,0.075,0.148,0.098,0,0.022
"P27","Ni buena ni mala",0.21,0.24,0.429,0.317,0.192,0.125,0.174
"P27","Mala",0.176,0.094,0.124,0.124,0.086,0,0
"P27","Muy mala",0.247,0.114,0.049,0.065,0.227,0,0.122
"P27","No sabe",0.112,0.128,0.136,0.119,0.15,0.468,0.106
"P27","No lo conozco",0.157,0.202,0.164,0.159,0.146,0.386,0.542
"P28","Muy buena",0.046,0.061,0.024,0.055,0.035,0,0
"P28","Buena",0.01,0.109,0.031,0.085,0.023,0,0
"P28","Ni buena ni mala",0.297,0.252,0.326,0.252,0.164,0.175,0.154
"P28","Mala",0.109,0.066,0.14,0.138,0.07,0,0
"P28","Muy mala",0.146,0.069,0.056,0.032,0.228,0.02,0.007
"P28","No sabe",0.134,0.159,0.202,0.187,0.22,0.444,0.114
"P28","No lo conozco",0.258,0.284,0.221,0.251,0.26,0.361,0.725
"P29","Muy buena",0.05,0.008,0.087,0.095,0.058,0.011,0
"P29","Buena",0.038,0.078,0.059,0.075,0.057,0,0.008
"P29","Ni buena ni mala",0.19,0.224,0.333,0.28,0.193,0.125,0.113
"P29","Mala",0.171,0.131,0.107,0.186,0.06,0,0.021
"P29","Muy mala",0.206,0.132,0.071,0.059,0.253,0.021,0.065
"P29","No sabe",0.108,0.151,0.17,0.139,0.144,0.474,0.017
"P29","No lo conozco",0.237,0.276,0.173,0.166,0.235,0.369,0.776
"P30","Muy buena",0.594,0.065,0.019,0.003,0.021,0.1,0.043
"P30","Buena",0.27,0.52,0.067,0.026,0.009,0.039,0
"P30","Ni buena ni mala",0.03,0.237,0.474,0.118,0.071,0.029,0.334
"P30","Mala",0.052,0.083,0.336,0.496,0.102,0.037,0.136
"P30","Muy mala",0.036,0.069,0.072,0.349,0.781,0.069,0.145
"P30","No sabe",0.018,0.026,0.032,0.008,0.016,0.726,0.342
"P31","Que continúe el intendente Lucas Gui",0.547,0.149,0.046,0.003,0.032,0.115,0.095
"P31","Que continúe Lucas Gui pero con mejoras",0.378,0.572,0.221,0.035,0.031,0.07,0.174
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.034,0.079,0.283,0.108,0.032,0.19,0.04
"P31","Que cambie el intendente Lucas Gui",0.041,0.2,0.45,0.854,0.905,0.625,0.691
"P32","La seguridad",0.157,0.109,0.035,0.041,0.046,0.055,0.056
"P32","El tránsito",0.077,0.102,0.025,0.006,0.033,0.101,0.141
"P32","El arreglo de las calles",0.196,0.1,0.183,0.037,0.019,0.013,0.099
"P32","Los parques y espacios públicos",0.11,0.299,0.192,0.184,0.078,0.159,0.139
"P32","El sistema de salud",0.146,0.044,0.026,0.01,0.057,0.039,0
"P32","La limpieza de las calles",0.076,0.088,0.043,0.057,0.055,0.051,0.112
"P32","El deporte y la cultura",0.134,0.104,0.118,0.048,0.069,0.205,0.012
"P32","La luminaria",0.042,0.034,0.059,0.097,0.079,0.064,0.047
"P32","No sabe",0.062,0.12,0.319,0.52,0.564,0.313,0.394
"P33","La seguridad",0.28,0.394,0.511,0.535,0.632,0.514,0.353
"P33","El tránsito",0.089,0.102,0.032,0.018,0.042,0.161,0.024
"P33","El arreglo de las calles",0.208,0.264,0.215,0.176,0.108,0.068,0.176
"P33","Los parques y espacios públicos",0.036,0.017,0.039,0.07,0.038,0,0
"P33","El sistema de salud",0.061,0.031,0.073,0.035,0.041,0.018,0.073
"P33","La limpieza de las calles",0.086,0.029,0.006,0.019,0.026,0.034,0.023
"P33","El deporte y la cultura",0.02,0.005,0.056,0.008,0.026,0,0
"P33","La luminaria",0.031,0.018,0.003,0.016,0.019,0.064,0
"P33","No sabe",0.189,0.14,0.065,0.123,0.068,0.141,0.351
"P34","Agua corriente y cloacas",0.228,0.261,0.228,0.211,0.315,0.187,0.364
"P34","Energía eléctrica",0.091,0.184,0.162,0.108,0.16,0.368,0.232
"P34","Red de gas natural",0.04,0.085,0.092,0.057,0.071,0.022,0.025
"P34","Recolección de residuos",0.225,0.153,0.228,0.348,0.284,0.266,0.214
"P34","Ninguno",0.416,0.317,0.29,0.276,0.17,0.157,0.165
"P35","Los robos",0.44,0.473,0.392,0.505,0.494,0.407,0.246
"P35","El narcotráfico",0.122,0.127,0.082,0.063,0.137,0.159,0.068
"P35","La ausencia de patrulleros y personal policial",0.161,0.219,0.329,0.233,0.21,0.103,0.299
"P35","Otro",0.155,0.105,0.125,0.164,0.115,0.296,0.221
"P35","Ninguno",0.122,0.076,0.072,0.035,0.044,0.035,0.166
"P36","Muy buena",0.168,0.167,0.131,0.082,0.079,0.022,0.192
"P36","Buena",0.208,0.195,0.113,0.099,0.043,0.056,0.095
"P36","Ni buena ni mala",0.322,0.293,0.352,0.311,0.144,0,0.325
"P36","Mala",0.102,0.079,0.19,0.233,0.289,0.144,0.047
"P36","Muy mala",0.039,0.05,0.062,0.096,0.311,0.023,0.036
"P36","No sabe",0.161,0.216,0.152,0.179,0.134,0.755,0.305
"P37","Lo votaria",0.195,0.123,0.039,0.018,0.049,0.048,0.269
"P37","Puede que lo vote",0.373,0.265,0.09,0.055,0.002,0.059,0.04
"P37","Nunca lo votaría",0.32,0.459,0.777,0.849,0.87,0.736,0.533
"P37","No sabe",0.112,0.153,0.094,0.078,0.079,0.157,0.158
"P38","Lo votaria",0.223,0.104,0.063,0.022,0.039,0.203,0.128
"P38","Puede que lo vote",0.342,0.334,0.133,0.116,0.031,0.286,0.142
"P38","Nunca lo votaría",0.305,0.432,0.692,0.819,0.887,0.405,0.433
"P38","No sabe",0.13,0.13,0.112,0.043,0.043,0.106,0.297
"P39","Lo votaria",0.255,0.138,0.041,0.029,0.036,0.094,0.104
"P39","Puede que lo vote",0.418,0.357,0.08,0.078,0.027,0.059,0.094
"P39","Nunca lo votaría",0.215,0.399,0.794,0.852,0.887,0.799,0.546
"P39","No sabe",0.112,0.106,0.085,0.041,0.05,0.048,0.256
"P40","Lo votaria",0.105,0.091,0.158,0.133,0.098,0.071,0.115
"P40","Puede que lo vote",0.106,0.151,0.241,0.458,0.376,0.142,0.099
"P40","Nunca lo votaría",0.737,0.678,0.503,0.329,0.489,0.62,0.589
"P40","No sabe",0.052,0.08,0.098,0.08,0.037,0.167,0.197
"P41","Lo votaria",0.109,0.184,0.253,0.443,0.486,0.317,0.236
"P41","Puede que lo vote",0.07,0.133,0.223,0.294,0.206,0.26,0.131
"P41","Nunca lo votaría",0.777,0.644,0.465,0.185,0.271,0.351,0.455
"P41","No sabe",0.044,0.039,0.059,0.078,0.037,0.072,0.178
"P42","Lo votaria",0.064,0.096,0.111,0.074,0.123,0.108,0.067
"P42","Puede que lo vote",0.094,0.193,0.244,0.416,0.236,0.599,0.07
"P42","Nunca lo votaría",0.708,0.629,0.506,0.349,0.559,0.078,0.536
"P42","No sabe",0.134,0.082,0.139,0.161,0.082,0.215,0.327
"P43","Lo votaria",0.067,0.018,0.068,0.122,0.102,0,0.067
"P43","Puede que lo vote",0.09,0.163,0.204,0.249,0.208,0.332,0.035
"P43","Nunca lo votaría",0.75,0.739,0.569,0.405,0.591,0.359,0.555
"P43","No sabe",0.093,0.08,0.159,0.224,0.099,0.309,0.343
"P44","Lo votaria",0.142,0.092,0.277,0.239,0.407,0.46,0.534
"P44","Puede que lo vote",0.036,0.171,0.147,0.321,0.21,0,0.134
"P44","Nunca lo votaría",0.753,0.693,0.512,0.348,0.342,0.492,0.262
"P44","No sabe",0.069,0.044,0.064,0.092,0.041,0.048,0.07
"P45","Lo votaria",0.068,0.087,0.128,0.24,0.197,0.209,0.184
"P45","Puede que lo vote",0.051,0.166,0.26,0.306,0.353,0.108,0.22
"P45","Nunca lo votaría",0.8,0.696,0.534,0.324,0.373,0.433,0.477
"P45","No sabe",0.081,0.051,0.078,0.13,0.077,0.25,0.119
"P46","Muy buena",0.155,0.057,0.039,0.004,0.041,0,0.138
"P46","Buena",0.203,0.288,0.052,0.056,0.022,0,0.038
"P46","Ni buena ni mala",0.33,0.32,0.179,0.015,0.075,0.166,0.224
"P46","Mala",0.204,0.198,0.268,0.22,0.059,0.25,0.237
"P46","Muy mala",0.104,0.137,0.46,0.705,0.803,0.584,0.297
"P46","No sabe",0.004,0,0.002,0,0,0,0.066
"P47","Muy buena",0.09,0.167,0.154,0.218,0.228,0.071,0.111
"P47","Buena",0.069,0.149,0.153,0.234,0.267,0.082,0.035
"P47","Ni buena ni mala",0.081,0.076,0.176,0.122,0.159,0.465,0.181
"P47","Mala",0.203,0.156,0.181,0.271,0.125,0.202,0.306
"P47","Muy mala",0.556,0.452,0.314,0.155,0.206,0.18,0.324
"P47","No sabe",0.001,0,0.022,0,0.015,0,0.043
"P48","Muy buena",0.658,0.418,0.188,0.062,0.065,0.166,0.232
"P48","Buena",0.068,0.206,0.035,0.024,0.027,0.095,0.066
"P48","Ni buena ni mala",0.027,0.033,0.101,0,0.007,0.048,0.043
"P48","Mala",0.055,0.101,0.189,0.173,0.043,0,0.289
"P48","Muy mala",0.188,0.229,0.475,0.741,0.85,0.691,0.303
"P48","No sabe",0.004,0.013,0.012,0,0.008,0,0.067
"P49","Muy buena",0.157,0.114,0.114,0.12,0.133,0.023,0.023
"P49","Buena",0.037,0.181,0.17,0.301,0.152,0.214,0.2
"P49","Ni buena ni mala",0.119,0.144,0.267,0.205,0.298,0.332,0.269
"P49","Mala",0.166,0.251,0.174,0.201,0.132,0.048,0.151
"P49","Muy mala",0.521,0.295,0.239,0.173,0.262,0.276,0.291
"P49","No sabe",0,0.015,0.036,0,0.023,0.107,0.066
"P50","Muy buena",0.125,0.048,0.038,0.035,0.054,0.107,0
"P50","Buena",0.33,0.32,0.078,0,0.03,0.202,0.14
"P50","Ni buena ni mala",0.257,0.297,0.219,0.138,0.039,0.107,0.327
"P50","Mala",0.117,0.14,0.258,0.246,0.1,0.393,0.059
"P50","Muy mala",0.169,0.18,0.382,0.577,0.771,0.191,0.384
"P50","No sabe",0.002,0.015,0.025,0.004,0.006,0,0.09
"P51","Muy buena",0.102,0.185,0.215,0.371,0.418,0.201,0.111
"P51","Buena",0.073,0.101,0.212,0.208,0.177,0.238,0.17
"P51","Ni buena ni mala",0.093,0.084,0.137,0.155,0.12,0.131,0.326
"P51","Mala",0.149,0.121,0.135,0.088,0.061,0.142,0.178
"P51","Muy mala",0.583,0.496,0.281,0.178,0.218,0.18,0.089
"P51","No sabe",0,0.013,0.02,0,0.006,0.108,0.126
"P52","Muy buena",0.119,0.106,0.209,0.196,0.306,0.298,0.402
"P52","Buena",0.012,0.145,0.194,0.274,0.164,0.023,0.19
"P52","Ni buena ni mala",0.08,0.108,0.194,0.268,0.227,0.221,0.131
"P52","Mala",0.123,0.163,0.143,0.122,0.093,0.261,0.13
"P52","Muy mala",0.646,0.465,0.223,0.129,0.195,0.138,0.038
"P52","No sabe",0.02,0.013,0.037,0.011,0.015,0.059,0.109
