"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe","No lo conozco"
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.131,0.229,0.228,0.423,0.388,0.332,0.24
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.062,0.099,0.228,0.22,0.257,0.146,0.237
"P21","Al candidato del Frente de Izquierda",0.074,0.015,0.009,0.067,0.036,0.011,0.011
"P21","No sabe",0.026,0.049,0.089,0.089,0.157,0.195,0.144
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.652,0.593,0.39,0.15,0.074,0.247,0.328
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.149,0.135,0.15,0.35,0.254,0.258,0.232
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.029,0.141,0.266,0.258,0.361,0.183,0.287
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.08,0.009,0.032,0.064,0.064,0.025,0.027
"P22","No sabe",0.09,0.122,0.162,0.178,0.247,0.287,0.126
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.623,0.563,0.367,0.177,0.056,0.269,0.322
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.154,0.212,0.207,0.37,0.376,0.328,0.242
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.038,0.097,0.28,0.258,0.274,0.166,0.271
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.08,0.023,0.017,0.055,0.053,0.017,0.03
"P23","No sabe",0.105,0.105,0.129,0.14,0.241,0.22,0.135
"P24","Muy buena",0.746,0.385,0.279,0.174,0.072,0.138,0.179
"P24","Buena",0.068,0.43,0.173,0.111,0.035,0.131,0.153
"P24","Ni buena ni mala",0.047,0.068,0.366,0.135,0.049,0.245,0.161
"P24","Mala",0.119,0.059,0.093,0.419,0.046,0.165,0.086
"P24","Muy mala",0.02,0.03,0.067,0.149,0.777,0.178,0.118
"P24","No sabe",0,0.006,0.007,0.004,0.004,0.133,0.062
"P24","No lo conozco",0,0.022,0.015,0.008,0.017,0.01,0.241
"P26","Muy buena",0.328,0.042,0.05,0.06,0.119,0.061,0.04
"P26","Buena",0,0.299,0.117,0.135,0.13,0.17,0.151
"P26","Ni buena ni mala",0.16,0.099,0.421,0.201,0.194,0.125,0.158
"P26","Mala",0.301,0.215,0.189,0.385,0.086,0.122,0.087
"P26","Muy mala",0.196,0.319,0.18,0.219,0.453,0.235,0.16
"P26","No sabe",0,0.026,0.025,0,0.015,0.202,0.053
"P26","No lo conozco",0.015,0,0.018,0,0.003,0.085,0.351
"P27","Muy buena",0.221,0.123,0.029,0.068,0.115,0.049,0.01
"P27","Buena",0.084,0.165,0.08,0.153,0.095,0.028,0.04
"P27","Ni buena ni mala",0.21,0.204,0.491,0.258,0.163,0.109,0.063
"P27","Mala",0.135,0.156,0.119,0.251,0.068,0.043,0.059
"P27","Muy mala",0.176,0.198,0.112,0.123,0.384,0.029,0.056
"P27","No sabe",0.074,0.04,0.113,0.064,0.088,0.41,0.127
"P27","No lo conozco",0.1,0.114,0.056,0.083,0.087,0.332,0.645
"P28","Muy buena",0.188,0.024,0.026,0.082,0.042,0.012,0.004
"P28","Buena",0.127,0.104,0.027,0.087,0.03,0.007,0.012
"P28","Ni buena ni mala",0.236,0.333,0.473,0.217,0.15,0.079,0.022
"P28","Mala",0.114,0.105,0.117,0.209,0.06,0.006,0.055
"P28","Muy mala",0.018,0.159,0.067,0.109,0.373,0.006,0.015
"P28","No sabe",0.156,0.123,0.161,0.099,0.161,0.469,0.104
"P28","No lo conozco",0.161,0.152,0.129,0.197,0.184,0.421,0.788
"P29","Muy buena",0.144,0.034,0.067,0.061,0.073,0.01,0.027
"P29","Buena",0.136,0.153,0.046,0.035,0.07,0.044,0.014
"P29","Ni buena ni mala",0.15,0.199,0.413,0.295,0.112,0.069,0.081
"P29","Mala",0.219,0.144,0.11,0.256,0.057,0.048,0.097
"P29","Muy mala",0.066,0.204,0.12,0.161,0.393,0.025,0.034
"P29","No sabe",0.131,0.096,0.119,0.065,0.118,0.435,0.059
"P29","No lo conozco",0.154,0.17,0.125,0.127,0.177,0.369,0.688
"P30","Muy buena",0.41,0.314,0.194,0.121,0.081,0.145,0.087
"P30","Buena",0.339,0.335,0.22,0.072,0.031,0.098,0.176
"P30","Ni buena ni mala",0.064,0.135,0.273,0.138,0.083,0.21,0.164
"P30","Mala",0.118,0.067,0.149,0.352,0.112,0.255,0.214
"P30","Muy mala",0.049,0.099,0.125,0.311,0.693,0.204,0.201
"P30","No sabe",0.02,0.05,0.039,0.006,0,0.088,0.158
"P31","Que continúe el intendente Lucas Gui",0.484,0.295,0.215,0.118,0.099,0.127,0.129
"P31","Que continúe Lucas Gui pero con mejoras",0.36,0.485,0.288,0.182,0.056,0.24,0.243
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.064,0.095,0.169,0.069,0.03,0.126,0.074
"P31","Que cambie el intendente Lucas Gui",0.092,0.125,0.328,0.631,0.815,0.507,0.554
"P32","La seguridad",0.278,0.134,0.035,0.057,0.067,0.174,0.039
"P32","El tránsito",0.121,0.064,0.077,0.044,0.039,0.009,0.047
"P32","El arreglo de las calles",0.08,0.154,0.175,0.066,0.038,0.068,0.141
"P32","Los parques y espacios públicos",0.252,0.086,0.181,0.211,0.153,0.086,0.156
"P32","El sistema de salud",0.039,0.057,0.088,0.038,0.074,0.031,0.055
"P32","La limpieza de las calles",0.028,0.157,0.041,0.093,0.036,0.038,0.116
"P32","El deporte y la cultura",0.021,0.078,0.129,0.071,0.045,0.156,0.09
"P32","La luminaria",0.032,0.055,0.047,0.023,0.096,0.116,0.047
"P32","No sabe",0.149,0.215,0.227,0.397,0.452,0.322,0.309
"P33","La seguridad",0.278,0.207,0.414,0.428,0.614,0.548,0.524
"P33","El tránsito",0.061,0.165,0.054,0.069,0.051,0.022,0.06
"P33","El arreglo de las calles",0.312,0.125,0.261,0.212,0.135,0.139,0.089
"P33","Los parques y espacios públicos",0.128,0.035,0.034,0.054,0.05,0.013,0.005
"P33","El sistema de salud",0.074,0.006,0.064,0.035,0.049,0.03,0.075
"P33","La limpieza de las calles",0.056,0.162,0.035,0.04,0.017,0.012,0.013
"P33","El deporte y la cultura",0.025,0.007,0.037,0.009,0.019,0.03,0.013
"P33","La luminaria",0.025,0.029,0.009,0.023,0.009,0.039,0.017
"P33","No sabe",0.041,0.264,0.092,0.13,0.056,0.167,0.204
"P34","Agua corriente y cloacas",0.282,0.253,0.242,0.195,0.366,0.165,0.301
"P34","Energía eléctrica",0.126,0.143,0.124,0.118,0.157,0.22,0.156
"P34","Red de gas natural",0.049,0.066,0.095,0.09,0.048,0.031,0.023
"P34","Recolección de residuos",0.085,0.342,0.214,0.305,0.259,0.239,0.239
"P34","Ninguno",0.458,0.196,0.325,0.292,0.17,0.345,0.281
"P35","Los robos",0.333,0.437,0.486,0.4,0.502,0.462,0.379
"P35","El narcotráfico",0.135,0.045,0.12,0.081,0.093,0.126,0.132
"P35","La ausencia de patrulleros y personal policial",0.163,0.217,0.239,0.257,0.169,0.254,0.225
"P35","Otro",0.05,0.225,0.096,0.22,0.167,0.097,0.16
"P35","Ninguno",0.319,0.076,0.059,0.042,0.069,0.061,0.104
"P36","Muy buena",0.393,0.311,0.091,0.153,0.101,0.093,0.087
"P36","Buena",0.118,0.331,0.171,0.071,0.076,0.119,0.083
"P36","Ni buena ni mala",0.249,0.16,0.404,0.342,0.153,0.129,0.277
"P36","Mala",0.014,0.074,0.178,0.284,0.184,0.195,0.086
"P36","Muy mala",0.169,0.028,0.025,0.074,0.391,0.098,0.072
"P36","No sabe",0.057,0.096,0.131,0.076,0.095,0.366,0.395
"P37","Lo votaria",0.391,0.101,0.092,0.039,0.093,0.067,0.127
"P37","Puede que lo vote",0.281,0.39,0.233,0.105,0.01,0.183,0.061
"P37","Nunca lo votaría",0.286,0.332,0.562,0.753,0.846,0.639,0.68
"P37","No sabe",0.042,0.177,0.113,0.103,0.051,0.111,0.132
"P38","Lo votaria",0.409,0.169,0.101,0.05,0.059,0.103,0.078
"P38","Puede que lo vote",0.282,0.425,0.258,0.107,0.036,0.171,0.2
"P38","Nunca lo votaría",0.237,0.296,0.543,0.731,0.881,0.579,0.566
"P38","No sabe",0.072,0.11,0.098,0.112,0.024,0.147,0.156
"P39","Lo votaria",0.404,0.241,0.105,0.056,0.046,0.108,0.082
"P39","Puede que lo vote",0.331,0.4,0.27,0.133,0.053,0.138,0.159
"P39","Nunca lo votaría",0.187,0.338,0.539,0.713,0.854,0.627,0.631
"P39","No sabe",0.078,0.021,0.086,0.098,0.047,0.127,0.128
"P40","Lo votaria",0.276,0.199,0.086,0.15,0.115,0.089,0.077
"P40","Puede que lo vote",0.131,0.197,0.205,0.254,0.341,0.353,0.153
"P40","Nunca lo votaría",0.53,0.571,0.623,0.531,0.524,0.454,0.666
"P40","No sabe",0.063,0.033,0.086,0.065,0.02,0.104,0.104
"P41","Lo votaria",0.201,0.214,0.217,0.367,0.464,0.265,0.21
"P41","Puede que lo vote",0.044,0.177,0.132,0.209,0.16,0.245,0.217
"P41","Nunca lo votaría",0.735,0.575,0.596,0.373,0.345,0.428,0.473
"P41","No sabe",0.02,0.034,0.055,0.051,0.031,0.062,0.1
"P42","Lo votaria",0.201,0.034,0.059,0.112,0.162,0.081,0.083
"P42","Puede que lo vote",0.051,0.159,0.22,0.258,0.204,0.248,0.242
"P42","Nunca lo votaría",0.663,0.688,0.58,0.519,0.577,0.509,0.497
"P42","No sabe",0.085,0.119,0.141,0.111,0.057,0.162,0.178
"P43","Lo votaria",0.173,0.035,0.058,0.071,0.149,0.039,0.045
"P43","Puede que lo vote",0.018,0.254,0.187,0.208,0.127,0.185,0.142
"P43","Nunca lo votaría",0.71,0.666,0.631,0.586,0.636,0.556,0.628
"P43","No sabe",0.099,0.045,0.124,0.135,0.088,0.22,0.185
"P44","Lo votaria",0.22,0.199,0.24,0.206,0.405,0.152,0.289
"P44","Puede que lo vote",0.039,0.164,0.118,0.212,0.176,0.244,0.112
"P44","Nunca lo votaría",0.741,0.617,0.576,0.505,0.401,0.511,0.512
"P44","No sabe",0,0.02,0.066,0.077,0.018,0.093,0.087
"P45","Lo votaria",0.154,0.02,0.135,0.187,0.217,0.089,0.116
"P45","Puede que lo vote",0.052,0.197,0.193,0.251,0.282,0.197,0.245
"P45","Nunca lo votaría",0.775,0.678,0.593,0.463,0.413,0.607,0.562
"P45","No sabe",0.019,0.105,0.079,0.099,0.088,0.107,0.077
"P46","Muy buena",0.218,0.086,0.064,0.036,0.074,0.054,0.064
"P46","Buena",0.233,0.347,0.122,0.078,0.05,0.072,0.133
"P46","Ni buena ni mala",0.37,0.248,0.27,0.123,0.074,0.209,0.137
"P46","Mala",0.14,0.16,0.223,0.221,0.106,0.175,0.222
"P46","Muy mala",0.039,0.159,0.321,0.532,0.696,0.49,0.424
"P46","No sabe",0,0,0,0.01,0,0,0.02
"P47","Muy buena",0.191,0.12,0.108,0.222,0.197,0.143,0.21
"P47","Buena",0.122,0.177,0.155,0.151,0.229,0.155,0.116
"P47","Ni buena ni mala",0.111,0.138,0.16,0.083,0.166,0.097,0.12
"P47","Mala",0.281,0.057,0.199,0.26,0.094,0.24,0.152
"P47","Muy mala",0.295,0.508,0.365,0.284,0.314,0.35,0.377
"P47","No sabe",0,0,0.013,0,0,0.015,0.025
"P48","Muy buena",0.549,0.46,0.359,0.24,0.148,0.205,0.315
"P48","Buena",0.043,0.202,0.08,0.023,0.041,0.072,0.074
"P48","Ni buena ni mala",0.039,0.029,0.051,0.029,0.025,0.023,0.039
"P48","Mala",0.155,0,0.098,0.18,0.064,0.131,0.133
"P48","Muy mala",0.214,0.309,0.407,0.515,0.722,0.548,0.416
"P48","No sabe",0,0,0.005,0.013,0,0.021,0.023
"P49","Muy buena",0.502,0.08,0.094,0.151,0.195,0.053,0.041
"P49","Buena",0.032,0.159,0.166,0.128,0.117,0.232,0.158
"P49","Ni buena ni mala",0.045,0.091,0.235,0.189,0.191,0.25,0.277
"P49","Mala",0.197,0.197,0.193,0.188,0.131,0.174,0.155
"P49","Muy mala",0.199,0.473,0.303,0.331,0.346,0.255,0.333
"P49","No sabe",0.025,0,0.009,0.013,0.02,0.036,0.036
"P50","Muy buena",0.292,0.017,0.04,0.036,0.075,0.09,0.045
"P50","Buena",0.186,0.555,0.192,0.116,0.042,0.081,0.169
"P50","Ni buena ni mala",0.343,0.122,0.26,0.125,0.057,0.219,0.225
"P50","Mala",0.055,0.09,0.201,0.195,0.122,0.192,0.14
"P50","Muy mala",0.098,0.216,0.304,0.518,0.701,0.393,0.378
"P50","No sabe",0.026,0,0.003,0.01,0.003,0.025,0.043
"P51","Muy buena",0.243,0.201,0.157,0.297,0.373,0.274,0.216
"P51","Buena",0.051,0.163,0.169,0.127,0.149,0.147,0.175
"P51","Ni buena ni mala",0.222,0.083,0.133,0.125,0.118,0.091,0.125
"P51","Mala",0.111,0.069,0.133,0.123,0.084,0.108,0.137
"P51","Muy mala",0.347,0.484,0.408,0.318,0.276,0.35,0.293
"P51","No sabe",0.026,0,0,0.01,0,0.03,0.054
"P52","Muy buena",0.255,0.118,0.186,0.18,0.3,0.092,0.262
"P52","Buena",0,0.14,0.135,0.164,0.157,0.155,0.166
"P52","Ni buena ni mala",0.092,0.094,0.145,0.186,0.173,0.264,0.152
"P52","Mala",0.188,0.106,0.142,0.178,0.11,0.106,0.082
"P52","Muy mala",0.432,0.542,0.376,0.278,0.257,0.326,0.286
"P52","No sabe",0.033,0,0.016,0.014,0.003,0.057,0.052
