"var","categoria","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda","No sabe"
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.025,0.126,0.131,0.059,0.797,0.025,0.063
"P21","Al candidato del Frente de Izquierda",0.008,0.037,0.006,0.039,0.018,0.304,0.015
"P21","No sabe",0.033,0.066,0.167,0.04,0.064,0.159,0.431
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.837,0.653,0.026,0.011,0.026,0.165,0.153
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.008,0.074,0.724,0.582,0.036,0.054,0.079
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.025,0.12,0.149,0.179,0.883,0.056,0.089
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.035,0.045,0.031,0.029,0.019,0.458,0.035
"P22","No sabe",0.095,0.108,0.07,0.199,0.036,0.267,0.644
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.854,0.595,0.037,0.018,0.023,0.182,0.134
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.013,0.109,0.618,0.856,0.045,0,0.101
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.025,0.162,0.178,0.08,0.883,0.065,0.048
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.019,0.008,0.013,0.03,0.009,0.425,0.054
"P23","No sabe",0.089,0.126,0.154,0.016,0.04,0.328,0.663
"P24","Muy buena",0.563,0.174,0.125,0.048,0.082,0.167,0.164
"P24","Buena",0.212,0.327,0.121,0.123,0.029,0.193,0.123
"P24","Ni buena ni mala",0.113,0.226,0.331,0.207,0.271,0.203,0.167
"P24","Mala",0.029,0.097,0.172,0.271,0.158,0.226,0.11
"P24","Muy mala",0.028,0.066,0.229,0.312,0.325,0.119,0.293
"P24","No sabe",0.024,0.049,0.006,0.021,0.051,0.011,0.059
"P24","No lo conozco",0.031,0.061,0.016,0.018,0.084,0.081,0.084
"P25","Muy buena",0.096,0.09,0.057,0.021,0.016,0,0.019
"P25","Buena",0.101,0.187,0.052,0.042,0.015,0.028,0.051
"P25","Ni buena ni mala",0.445,0.254,0.315,0.237,0.347,0.256,0.224
"P25","Mala",0.086,0.136,0.176,0.205,0.139,0.249,0.127
"P25","Muy mala",0.048,0.082,0.182,0.21,0.201,0.272,0.19
"P25","No sabe",0.103,0.122,0.136,0.183,0.092,0.113,0.223
"P25","No lo conozco",0.121,0.129,0.082,0.102,0.19,0.082,0.166
"P26","Muy buena",0.039,0.012,0.258,0.145,0.026,0,0.015
"P26","Buena",0.036,0.184,0.296,0.253,0.101,0.014,0.113
"P26","Ni buena ni mala",0.192,0.131,0.303,0.311,0.356,0.22,0.12
"P26","Mala",0.21,0.294,0.049,0.168,0.184,0.212,0.207
"P26","Muy mala",0.464,0.214,0.049,0.052,0.157,0.462,0.327
"P26","No sabe",0.023,0.105,0.041,0.033,0.053,0.092,0.072
"P26","No lo conozco",0.036,0.06,0.004,0.038,0.123,0,0.146
"P27","Muy buena",0.02,0.04,0.1,0.193,0.022,0,0.015
"P27","Buena",0.026,0.11,0.142,0.189,0.068,0,0.041
"P27","Ni buena ni mala",0.241,0.129,0.386,0.283,0.362,0.133,0.156
"P27","Mala",0.187,0.222,0.045,0.035,0.086,0.221,0.106
"P27","Muy mala",0.273,0.112,0.03,0.019,0.092,0.27,0.237
"P27","No sabe",0.112,0.159,0.141,0.133,0.17,0.155,0.134
"P27","No lo conozco",0.141,0.228,0.156,0.148,0.2,0.221,0.311
"P28","Muy buena",0.018,0.115,0.119,0.04,0.022,0,0.014
"P28","Buena",0.014,0.087,0.059,0.083,0.039,0,0.01
"P28","Ni buena ni mala",0.245,0.133,0.311,0.264,0.348,0.194,0.137
"P28","Mala",0.134,0.131,0.035,0.051,0.12,0.177,0.072
"P28","Muy mala",0.174,0.121,0.067,0.041,0.07,0.183,0.149
"P28","No sabe",0.171,0.201,0.176,0.22,0.171,0.119,0.192
"P28","No lo conozco",0.244,0.212,0.233,0.301,0.23,0.327,0.426
"P29","Muy buena",0.019,0.068,0.077,0.007,0.177,0.019,0.011
"P29","Buena",0.012,0.111,0.041,0.104,0.091,0,0.007
"P29","Ni buena ni mala",0.159,0.116,0.347,0.289,0.318,0.089,0.165
"P29","Mala",0.216,0.126,0.083,0.1,0.065,0.075,0.08
"P29","Muy mala",0.246,0.185,0.071,0.067,0.042,0.462,0.195
"P29","No sabe",0.129,0.178,0.164,0.178,0.096,0.082,0.181
"P29","No lo conozco",0.219,0.216,0.217,0.255,0.211,0.273,0.361
"P30","Muy buena",0.423,0.105,0.084,0.03,0.053,0.083,0.125
"P30","Buena",0.318,0.237,0.075,0.046,0.061,0.285,0.17
"P30","Ni buena ni mala",0.102,0.238,0.379,0.176,0.195,0.192,0.14
"P30","Mala",0.093,0.126,0.191,0.313,0.228,0.264,0.151
"P30","Muy mala",0.037,0.205,0.254,0.408,0.381,0.165,0.31
"P30","No sabe",0.027,0.089,0.017,0.027,0.082,0.011,0.104
"P31","Que continúe el intendente Lucas Gui",0.444,0.129,0.073,0.003,0.07,0.12,0.18
"P31","Que continúe Lucas Gui pero con mejoras",0.404,0.53,0.125,0.074,0.13,0.444,0.237
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.076,0.152,0.199,0.078,0.14,0.063,0.069
"P31","Que cambie el intendente Lucas Gui",0.076,0.189,0.603,0.845,0.66,0.373,0.514
"P32","La seguridad",0.112,0.117,0.103,0.024,0.061,0.015,0.108
"P32","El tránsito",0.098,0.101,0.003,0.013,0.067,0.047,0.026
"P32","El arreglo de las calles",0.177,0.128,0.102,0.062,0.122,0.073,0.067
"P32","Los parques y espacios públicos",0.171,0.148,0.173,0.161,0.141,0.24,0.156
"P32","El sistema de salud",0.115,0.035,0.077,0.021,0.027,0.105,0.055
"P32","La limpieza de las calles",0.039,0.116,0.068,0.069,0.093,0.02,0.053
"P32","El deporte y la cultura",0.154,0.041,0.038,0.038,0.106,0.218,0.116
"P32","La luminaria",0.053,0.05,0.065,0.083,0.049,0.102,0.046
"P32","No sabe",0.081,0.264,0.371,0.529,0.334,0.18,0.373
"P33","La seguridad",0.314,0.285,0.535,0.638,0.579,0.274,0.369
"P33","El tránsito",0.101,0.085,0.039,0.019,0.028,0.108,0.075
"P33","El arreglo de las calles",0.217,0.272,0.25,0.126,0.154,0.238,0.181
"P33","Los parques y espacios públicos",0.052,0.009,0.026,0.021,0.038,0.085,0.038
"P33","El sistema de salud",0.065,0.031,0.048,0.039,0.04,0.045,0.07
"P33","La limpieza de las calles",0.05,0.061,0.015,0.052,0.009,0,0.037
"P33","El deporte y la cultura",0.03,0.006,0.009,0.017,0.028,0.023,0.032
"P33","La luminaria",0.026,0.025,0.006,0.011,0.008,0.036,0.033
"P33","No sabe",0.145,0.226,0.072,0.077,0.116,0.191,0.165
"P34","Agua corriente y cloacas",0.214,0.21,0.319,0.314,0.215,0.193,0.272
"P34","Energía eléctrica",0.096,0.143,0.176,0.134,0.224,0.192,0.13
"P34","Red de gas natural",0.073,0.103,0.078,0.058,0.065,0.023,0.038
"P34","Recolección de residuos",0.215,0.193,0.165,0.271,0.271,0.221,0.314
"P34","Ninguno",0.402,0.351,0.262,0.223,0.225,0.371,0.246
"P35","Los robos",0.437,0.489,0.439,0.474,0.444,0.463,0.414
"P35","El narcotráfico",0.062,0.113,0.124,0.131,0.137,0.099,0.12
"P35","La ausencia de patrulleros y personal policial",0.201,0.136,0.298,0.288,0.194,0.094,0.256
"P35","Otro",0.137,0.161,0.116,0.085,0.167,0.321,0.16
"P35","Ninguno",0.163,0.101,0.023,0.022,0.058,0.023,0.05
"P36","Muy buena",0.161,0.172,0.122,0.113,0.102,0.164,0.109
"P36","Buena",0.175,0.245,0.085,0.032,0.127,0.19,0.18
"P36","Ni buena ni mala",0.294,0.264,0.373,0.226,0.309,0.187,0.26
"P36","Mala",0.114,0.044,0.161,0.249,0.264,0.176,0.098
"P36","Muy mala",0.062,0.114,0.069,0.178,0.112,0.109,0.109
"P36","No sabe",0.194,0.161,0.19,0.202,0.086,0.174,0.244
"P37","Lo votaria",0.185,0.272,0.097,0.006,0.064,0.045,0.051
"P37","Puede que lo vote",0.355,0.28,0.031,0.029,0.047,0.247,0.184
"P37","Nunca lo votaría",0.293,0.36,0.822,0.937,0.873,0.445,0.522
"P37","No sabe",0.167,0.088,0.05,0.028,0.016,0.263,0.243
"P38","Lo votaria",0.2,0.213,0.102,0,0.07,0.031,0.08
"P38","Puede que lo vote",0.432,0.334,0.053,0.024,0.042,0.275,0.221
"P38","Nunca lo votaría",0.204,0.386,0.779,0.951,0.819,0.516,0.519
"P38","No sabe",0.164,0.067,0.066,0.025,0.069,0.178,0.18
"P39","Lo votaria",0.279,0.186,0.064,0.002,0.062,0.015,0.016
"P39","Puede que lo vote",0.457,0.383,0.036,0.006,0.024,0.257,0.212
"P39","Nunca lo votaría",0.144,0.367,0.857,0.972,0.861,0.583,0.559
"P39","No sabe",0.12,0.064,0.043,0.02,0.053,0.145,0.213
"P40","Lo votaria",0.062,0.034,0.466,0.141,0.077,0.016,0.017
"P40","Puede que lo vote",0.048,0.276,0.283,0.51,0.242,0.122,0.193
"P40","Nunca lo votaría",0.817,0.602,0.214,0.303,0.628,0.751,0.63
"P40","No sabe",0.073,0.088,0.037,0.046,0.053,0.111,0.16
"P41","Lo votaria",0.019,0.073,0.401,0.841,0.215,0.016,0.088
"P41","Puede que lo vote",0.022,0.201,0.289,0.096,0.385,0.216,0.201
"P41","Nunca lo votaría",0.891,0.726,0.286,0.038,0.34,0.678,0.597
"P41","No sabe",0.068,0,0.024,0.025,0.06,0.09,0.114
"P42","Lo votaria",0.032,0.031,0.265,0.125,0.098,0.135,0.045
"P42","Puede que lo vote",0.077,0.239,0.267,0.316,0.334,0.13,0.17
"P42","Nunca lo votaría",0.757,0.676,0.356,0.463,0.424,0.524,0.607
"P42","No sabe",0.134,0.054,0.112,0.096,0.144,0.211,0.178
"P43","Lo votaria",0.038,0.034,0.17,0.104,0.058,0.089,0.048
"P43","Puede que lo vote",0.022,0.177,0.246,0.331,0.216,0.151,0.11
"P43","Nunca lo votaría",0.817,0.692,0.462,0.446,0.568,0.511,0.675
"P43","No sabe",0.123,0.097,0.122,0.119,0.158,0.249,0.167
"P44","Lo votaria",0.047,0.16,0.184,0.208,0.836,0.143,0.065
"P44","Puede que lo vote",0.015,0.154,0.201,0.348,0.087,0,0.238
"P44","Nunca lo votaría",0.865,0.615,0.524,0.412,0.059,0.733,0.603
"P44","No sabe",0.073,0.071,0.091,0.032,0.018,0.124,0.094
"P45","Lo votaria",0.027,0.107,0.169,0.209,0.272,0.066,0.09
"P45","Puede que lo vote",0.015,0.189,0.274,0.409,0.298,0.07,0.207
"P45","Nunca lo votaría",0.895,0.638,0.444,0.281,0.338,0.769,0.623
"P45","No sabe",0.063,0.066,0.113,0.101,0.092,0.095,0.08
"P46","Muy buena",0.105,0.154,0.086,0.044,0.059,0.044,0
"P46","Buena",0.237,0.4,0.025,0.043,0.032,0.016,0.077
"P46","Ni buena ni mala",0.419,0.191,0.097,0.045,0.03,0.204,0.289
"P46","Mala",0.183,0.137,0.231,0.108,0.23,0.574,0.197
"P46","Muy mala",0.056,0.118,0.551,0.76,0.649,0.162,0.414
"P46","No sabe",0,0,0.01,0,0,0,0.023
"P47","Muy buena",0.011,0.096,0.439,0.368,0.114,0,0.049
"P47","Buena",0.038,0.205,0.19,0.341,0.171,0,0.099
"P47","Ni buena ni mala",0.095,0.072,0.134,0.123,0.23,0.142,0.112
"P47","Mala",0.186,0.268,0.1,0.061,0.3,0.255,0.256
"P47","Muy mala",0.669,0.347,0.137,0.097,0.185,0.603,0.436
"P47","No sabe",0.001,0.012,0,0.01,0,0,0.048
"P48","Muy buena",0.696,0.521,0.126,0.088,0.019,0.241,0.241
"P48","Buena",0.119,0.156,0.013,0.049,0.021,0.182,0.046
"P48","Ni buena ni mala",0.03,0.059,0.023,0.009,0.039,0.09,0.08
"P48","Mala",0.036,0.081,0.196,0.103,0.169,0.239,0.118
"P48","Muy mala",0.116,0.183,0.637,0.739,0.743,0.248,0.484
"P48","No sabe",0.003,0,0.005,0.012,0.009,0,0.031
"P49","Muy buena",0.134,0.107,0.392,0.106,0.051,0,0.047
"P49","Buena",0.018,0.209,0.26,0.307,0.137,0,0.138
"P49","Ni buena ni mala",0.112,0.22,0.23,0.279,0.298,0.105,0.196
"P49","Mala",0.221,0.24,0.068,0.113,0.203,0.347,0.164
"P49","Muy mala",0.504,0.213,0.045,0.169,0.303,0.548,0.397
"P49","No sabe",0.011,0.011,0.005,0.026,0.008,0,0.058
"P50","Muy buena",0.114,0.11,0.092,0.017,0.037,0.026,0.031
"P50","Buena",0.351,0.377,0.047,0.059,0.027,0.112,0.121
"P50","Ni buena ni mala",0.293,0.216,0.214,0.075,0.093,0.218,0.292
"P50","Mala",0.114,0.132,0.228,0.153,0.214,0.424,0.131
"P50","Muy mala",0.118,0.151,0.414,0.684,0.621,0.22,0.385
"P50","No sabe",0.01,0.014,0.005,0.012,0.008,0,0.04
"P51","Muy buena",0.02,0.077,0.432,0.703,0.14,0,0.08
"P51","Buena",0.037,0.239,0.219,0.134,0.316,0.023,0.121
"P51","Ni buena ni mala",0.095,0.104,0.178,0.057,0.195,0.165,0.15
"P51","Mala",0.174,0.197,0.049,0.01,0.108,0.299,0.152
"P51","Muy mala",0.669,0.383,0.118,0.086,0.229,0.513,0.436
"P51","No sabe",0.005,0,0.004,0.01,0.012,0,0.061
"P52","Muy buena",0.019,0.083,0.13,0.226,0.653,0.023,0.062
"P52","Buena",0.006,0.211,0.241,0.216,0.241,0.126,0.064
"P52","Ni buena ni mala",0.049,0.083,0.302,0.321,0.08,0,0.247
"P52","Mala",0.17,0.163,0.154,0.1,0.017,0.21,0.189
"P52","Muy mala",0.746,0.434,0.128,0.112,0,0.641,0.377
"P52","No sabe",0.01,0.026,0.045,0.025,0.009,0,0.061
