"var","categoria","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza","Al candidato del Frente de Izquierda","No sabe"
"P27","Buena",0.032,0.16,0.086,0.184,0.053
"P27","Ni buena ni mala",0.199,0.3,0.341,0.169,0.294
"P27","Mala",0.186,0.036,0.101,0.138,0.097
"P27","Muy mala",0.242,0.027,0.108,0.165,0.167
"P27","No sabe",0.12,0.156,0.165,0.121,0.118
"P27","No lo conozco",0.194,0.182,0.157,0.104,0.243
"P28","Muy buena",0.014,0.071,0.051,0.087,0.012
"P28","Buena",0.026,0.058,0.025,0.198,0.015
"P28","Ni buena ni mala",0.222,0.254,0.336,0.22,0.22
"P28","Mala",0.137,0.046,0.116,0.165,0.044
"P28","Muy mala",0.148,0.051,0.094,0.106,0.14
"P28","No sabe",0.164,0.216,0.185,0.075,0.214
"P28","No lo conozco",0.289,0.304,0.193,0.149,0.355
"P29","Muy buena",0.015,0.048,0.167,0,0.035
"P29","Buena",0.03,0.067,0.109,0.086,0.01
"P29","Ni buena ni mala",0.159,0.277,0.305,0.163,0.248
"P29","Mala",0.182,0.078,0.094,0.21,0.056
"P29","Muy mala",0.228,0.072,0.048,0.312,0.166
"P29","No sabe",0.128,0.202,0.098,0.086,0.166
"P29","No lo conozco",0.258,0.256,0.179,0.143,0.319
"P30","Muy buena",0.392,0.043,0.077,0,0.017
"P30","Buena",0.342,0.048,0.06,0.096,0.093
"P30","Ni buena ni mala",0.108,0.242,0.211,0.233,0.191
"P30","Mala",0.092,0.264,0.235,0.286,0.189
"P30","Muy mala",0.036,0.36,0.351,0.374,0.404
"P30","No sabe",0.03,0.043,0.066,0.011,0.106
"P31","Que continúe el intendente Lucas Gui",0.428,0.036,0.051,0.11,0.032
"P31","Que continúe Lucas Gui pero con mejoras",0.431,0.089,0.186,0.068,0.198
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.08,0.124,0.118,0.141,0.102
"P31","Que cambie el intendente Lucas Gui",0.061,0.751,0.645,0.681,0.668
"P32","La seguridad",0.121,0.058,0.044,0.098,0.065
"P32","El tránsito",0.061,0.021,0.117,0.044,0.016
"P32","El arreglo de las calles",0.177,0.114,0.06,0.056,0.054
"P32","Los parques y espacios públicos",0.17,0.115,0.129,0.38,0.205
"P32","El sistema de salud",0.117,0.032,0.017,0.075,0.038
"P32","La limpieza de las calles",0.053,0.067,0.085,0,0.087
"P32","El deporte y la cultura",0.148,0.051,0.088,0.077,0.089
"P32","La luminaria",0.051,0.096,0.04,0.034,0.049
"P32","No sabe",0.102,0.446,0.42,0.236,0.397
"P33","La seguridad",0.299,0.587,0.517,0.528,0.505
"P33","El tránsito",0.095,0.026,0.061,0.07,0.029
"P33","El arreglo de las calles",0.221,0.168,0.197,0.131,0.159
"P33","Los parques y espacios públicos",0.039,0.019,0.042,0.107,0.034
"P33","El sistema de salud",0.068,0.052,0.023,0.082,0.036
"P33","La limpieza de las calles",0.062,0.028,0.011,0.009,0.031
"P33","El deporte y la cultura",0.026,0.015,0.012,0.014,0.052
"P33","La luminaria",0.032,0.015,0.013,0,0.004
"P33","No sabe",0.158,0.09,0.124,0.059,0.15
"P34","Agua corriente y cloacas",0.198,0.273,0.247,0.375,0.316
"P34","Energía eléctrica",0.124,0.173,0.171,0.177,0.11
"P34","Red de gas natural",0.046,0.075,0.123,0.032,0.025
