"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"Sergio Massa","Negativa",0.564,0.591,0.541,0.482,0.561,0.577,0.632,0.538,0.583,0.558,0.314,0.798,0.395,0.399,0.8,0.484,0.648,0.278
"Sergio Massa","No sabe",0.013,0.012,0.014,0.014,0.01,0.015,0.018,0.013,0.013,0.015,0.005,0.015,0.052,0.012,0.01,0,0,0
"Ramiro Tagliaferro","Positiva",0.215,0.215,0.214,0.182,0.15,0.234,0.337,0.234,0.232,0.177,0.106,0.352,0.116,0.112,0.393,0.063,0,0.323
"Ramiro Tagliaferro","Neutra",0.246,0.24,0.253,0.262,0.265,0.204,0.248,0.277,0.262,0.204,0.179,0.319,0.585,0.21,0.293,0.338,0.221,0.201
"Ramiro Tagliaferro","Negativa",0.427,0.413,0.438,0.382,0.499,0.458,0.308,0.33,0.41,0.519,0.61,0.244,0.242,0.605,0.237,0.599,0.779,0.256
"Ramiro Tagliaferro","No sabe",0.047,0.047,0.047,0.036,0.038,0.059,0.059,0.055,0.05,0.038,0.038,0.035,0.057,0.049,0.04,0,0,0.102
"Ramiro Tagliaferro","No lo conozco",0.065,0.085,0.048,0.138,0.048,0.045,0.048,0.104,0.046,0.062,0.067,0.05,0,0.024,0.037,0,0,0.118
"Alberto Fernández","Positiva",0.189,0.171,0.205,0.23,0.188,0.171,0.17,0.268,0.169,0.159,0.318,0.086,0.245,0.251,0.114,0,0.352,0.386
"Alberto Fernández","Neutra",0.198,0.199,0.197,0.151,0.218,0.238,0.16,0.204,0.181,0.214,0.312,0.121,0.196,0.319,0.057,0.445,0.126,0.125
"Alberto Fernández","Negativa",0.609,0.624,0.595,0.605,0.591,0.591,0.668,0.528,0.65,0.615,0.37,0.791,0.559,0.427,0.829,0.555,0.522,0.489
"Alberto Fernández","No sabe",0.004,0.006,0.003,0.014,0.003,0,0.002,0,0,0.012,0,0.002,0,0.003,0,0,0,0
"Analía Zapulla","Positiva",0.15,0.147,0.152,0.16,0.103,0.142,0.231,0.185,0.158,0.113,0.083,0.225,0.146,0.091,0.253,0.102,0.188,0.324
"Analía Zapulla","Neutra",0.266,0.269,0.264,0.214,0.281,0.264,0.295,0.292,0.281,0.227,0.23,0.302,0.488,0.245,0.286,0.293,0.09,0.213
"Analía Zapulla","Negativa",0.26,0.257,0.263,0.284,0.308,0.255,0.156,0.191,0.248,0.326,0.386,0.145,0.083,0.364,0.136,0.385,0.583,0.097
"Analía Zapulla","No sabe",0.138,0.139,0.136,0.136,0.135,0.144,0.138,0.13,0.145,0.135,0.106,0.154,0.052,0.111,0.154,0,0.105,0.187
"Analía Zapulla","No lo conozco",0.186,0.188,0.185,0.206,0.173,0.195,0.18,0.202,0.168,0.199,0.195,0.174,0.231,0.189,0.171,0.22,0.034,0.179
"Martín Marinucci","Positiva",0.113,0.11,0.115,0.108,0.115,0.104,0.123,0.128,0.105,0.112,0.187,0.06,0.021,0.179,0.069,0.053,0.189,0
"Martín Marinucci","Neutra",0.322,0.306,0.337,0.295,0.346,0.321,0.311,0.315,0.346,0.297,0.366,0.289,0.525,0.366,0.261,0.178,0.221,0.517
"Martín Marinucci","Negativa",0.295,0.304,0.288,0.309,0.312,0.312,0.232,0.284,0.292,0.309,0.185,0.369,0.293,0.215,0.4,0.608,0.559,0.045
"Martín Marinucci","No sabe",0.138,0.121,0.152,0.128,0.091,0.152,0.213,0.108,0.155,0.136,0.111,0.165,0.102,0.117,0.157,0.085,0.031,0.319
"Martín Marinucci","No lo conozco",0.132,0.159,0.108,0.16,0.136,0.111,0.121,0.165,0.102,0.146,0.151,0.117,0.059,0.123,0.113,0.076,0,0.119
"Ariel Diguan","Positiva",0.111,0.105,0.117,0.191,0.108,0.096,0.054,0.162,0.125,0.056,0.073,0.114,0.396,0.055,0.141,0.064,0.198,0.337
"Ariel Diguan","Neutra",0.232,0.239,0.225,0.18,0.201,0.255,0.311,0.23,0.247,0.214,0.17,0.292,0.262,0.215,0.277,0.094,0.088,0.25
"Ariel Diguan","Negativa",0.267,0.283,0.253,0.251,0.329,0.288,0.15,0.223,0.24,0.333,0.384,0.178,0.104,0.347,0.213,0.516,0.58,0.022
"Ariel Diguan","No sabe",0.145,0.148,0.142,0.113,0.124,0.144,0.215,0.135,0.158,0.136,0.112,0.173,0.065,0.132,0.15,0.103,0.072,0.186
"Ariel Diguan","No lo conozco",0.245,0.225,0.263,0.265,0.238,0.217,0.27,0.25,0.23,0.261,0.261,0.243,0.173,0.251,0.219,0.223,0.062,0.205
"Roly Moreto","Positiva",0.081,0.1,0.063,0.126,0.057,0.064,0.097,0.149,0.076,0.037,0.061,0.103,0.137,0.069,0.101,0,0,0.339
"Roly Moreto","Neutra",0.252,0.251,0.254,0.211,0.271,0.255,0.258,0.251,0.255,0.251,0.207,0.278,0.471,0.254,0.26,0.104,0.288,0.21
"Roly Moreto","Negativa",0.206,0.208,0.204,0.211,0.271,0.201,0.089,0.176,0.194,0.242,0.304,0.107,0.077,0.239,0.144,0.631,0.578,0.022
"Roly Moreto","No sabe",0.185,0.195,0.175,0.181,0.153,0.177,0.254,0.172,0.189,0.188,0.14,0.226,0.122,0.157,0.223,0.048,0.072,0.214
"Roly Moreto","No lo conozco",0.276,0.246,0.304,0.271,0.248,0.303,0.302,0.252,0.286,0.282,0.288,0.286,0.193,0.281,0.272,0.217,0.062,0.215
