"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe","No lo conozco"
"P17","Nunca lo votaría",0.457,0.413,0.466,0.661,0.784,0.281,0.307
"P17","No sabe",0.223,0.342,0.379,0.283,0.203,0.663,0.64
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.078,0.069,0.224,0.452,0.451,0.243,0.318
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.057,0.094,0.039,0.064,0.029,0.057,0.062
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.171,0.187,0.171,0.111,0.109,0.176,0.117
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.566,0.507,0.234,0.081,0.056,0.203,0.151
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.017,0.019,0.045,0.01,0.033,0.06,0.04
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.04,0.072,0.097,0.08,0.105,0.078,0.047
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.071,0.046,0.161,0.153,0.088,0.118,0.139
"P18","Al candidato del Frente de Izquierda",0,0,0.001,0.032,0.057,0.004,0.015
"P18","No sabe",0,0.006,0.028,0.017,0.072,0.061,0.111
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.085,0.08,0.245,0.437,0.507,0.219,0.204
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.045,0.091,0.035,0.138,0.055,0.083,0.088
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.169,0.179,0.157,0.043,0.023,0.111,0.09
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.603,0.435,0.211,0.061,0.025,0.191,0.158
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.066,0.152,0.26,0.144,0.121,0.235,0.205
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0,0,0.014,0.055,0.053,0.032,0.034
"P19","No sabe",0.032,0.063,0.078,0.122,0.216,0.129,0.221
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.147,0.128,0.26,0.561,0.578,0.301,0.36
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.565,0.481,0.291,0.082,0.048,0.293,0.252
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.131,0.195,0.252,0.173,0.146,0.235,0.166
"P20","Al candidato del Frente de Izquierda",0.091,0.103,0.031,0.058,0.055,0.043,0.027
"P20","No sabe",0.066,0.093,0.166,0.126,0.173,0.128,0.195
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.124,0.086,0.292,0.591,0.631,0.32,0.371
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.76,0.705,0.312,0.089,0.04,0.3,0.232
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.116,0.14,0.3,0.181,0.107,0.203,0.193
"P21","Al candidato del Frente de Izquierda",0,0.038,0.011,0.055,0.04,0.028,0.019
"P21","No sabe",0,0.031,0.085,0.084,0.182,0.149,0.185
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.13,0.137,0.249,0.516,0.51,0.255,0.282
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.542,0.5,0.212,0.096,0.054,0.222,0.193
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.192,0.204,0.34,0.195,0.138,0.258,0.253
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0,0.058,0.024,0.068,0.054,0.039,0.043
"P22","No sabe",0.136,0.101,0.175,0.125,0.244,0.226,0.229
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.136,0.069,0.235,0.526,0.483,0.243,0.32
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.687,0.684,0.296,0.073,0.034,0.242,0.24
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.109,0.16,0.335,0.204,0.128,0.289,0.222
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0,0.05,0.017,0.053,0.066,0.021,0.032
"P23","No sabe",0.068,0.037,0.117,0.144,0.289,0.205,0.186
"P24","Muy buena",0.292,0.049,0.183,0.356,0.394,0.188,0.196
"P24","Buena",0.121,0.29,0.132,0.12,0.116,0.137,0.159
"P24","Ni buena ni mala",0.075,0.176,0.327,0.218,0.068,0.199,0.178
"P24","Mala",0.15,0.239,0.166,0.151,0.062,0.121,0.119
"P24","Muy mala",0.33,0.235,0.149,0.155,0.323,0.224,0.162
"P24","No sabe",0.009,0,0.014,0,0,0.097,0.059
"P24","No lo conozco",0.023,0.011,0.029,0,0.037,0.034,0.127
"P25","Muy buena",0.17,0.048,0.038,0.057,0.059,0.026,0.026
"P25","Buena",0.128,0.126,0.051,0.09,0.09,0.019,0.041
"P25","Ni buena ni mala",0.145,0.3,0.591,0.333,0.247,0.262,0.096
"P25","Mala",0.153,0.251,0.138,0.31,0.12,0.066,0.063
"P25","Muy mala",0.277,0.169,0.094,0.091,0.406,0.099,0.071
"P25","No sabe",0.106,0.044,0.056,0.051,0.027,0.406,0.243
"P25","No lo conozco",0.021,0.062,0.032,0.068,0.051,0.122,0.46
"P26","Muy buena",0.419,0.148,0.046,0.012,0.026,0.083,0.042
"P26","Buena",0.211,0.427,0.152,0.038,0.011,0.182,0.104
"P26","Ni buena ni mala",0.194,0.201,0.51,0.108,0.029,0.201,0.19
"P26","Mala",0.12,0.172,0.173,0.639,0.049,0.079,0.147
"P26","Muy mala",0.031,0.031,0.086,0.195,0.853,0.254,0.19
"P26","No sabe",0.025,0.008,0.03,0.003,0.016,0.136,0.067
"P26","No lo conozco",0,0.013,0.003,0.005,0.016,0.065,0.26
"P28","Muy buena",0.336,0.095,0.011,0.034,0,0.01,0.006
"P28","Buena",0.056,0.293,0.036,0.003,0.015,0.002,0.002
"P28","Ni buena ni mala",0.303,0.271,0.644,0.168,0.113,0.026,0.02
"P28","Mala",0.073,0.026,0.081,0.526,0.037,0.008,0.004
"P28","Muy mala",0.03,0.003,0.031,0.063,0.607,0.014,0
"P28","No sabe",0.11,0.124,0.117,0.12,0.108,0.706,0.043
"P28","No lo conozco",0.092,0.188,0.08,0.086,0.12,0.234,0.925
"P29","Muy buena",0.162,0.043,0.088,0.05,0.049,0.024,0.012
"P29","Buena",0.136,0.237,0.048,0,0.017,0.047,0.023
"P29","Ni buena ni mala",0.209,0.36,0.508,0.157,0.064,0.08,0.098
"P29","Mala",0.136,0.135,0.09,0.529,0.035,0.017,0.039
"P29","Muy mala",0.112,0.014,0.074,0.116,0.627,0.046,0.036
"P29","No sabe",0.088,0.062,0.099,0.09,0.064,0.553,0.062
"P29","No lo conozco",0.157,0.149,0.093,0.058,0.144,0.233,0.73
"P30","Muy buena",0.218,0.041,0.132,0.255,0.326,0.144,0.075
"P30","Buena",0.056,0.125,0.129,0.171,0.187,0.138,0.249
"P30","Ni buena ni mala",0.079,0.238,0.296,0.085,0.11,0.178,0.158
"P30","Mala",0.134,0.276,0.222,0.298,0.073,0.174,0.158
"P30","Muy mala",0.437,0.316,0.204,0.176,0.304,0.27,0.223
"P30","No sabe",0.076,0.004,0.017,0.015,0,0.096,0.137
"P31","Que continúe el intendente Lucas Gui",0.141,0.035,0.147,0.289,0.353,0.167,0.099
"P31","Que continúe Lucas Gui pero con mejoras",0.218,0.182,0.185,0.287,0.286,0.212,0.311
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.033,0.102,0.166,0.069,0.065,0.087,0.118
"P31","Que cambie el intendente Lucas Gui",0.608,0.681,0.502,0.355,0.296,0.534,0.472
"P32","La seguridad",0.192,0.104,0.028,0.086,0.104,0.114,0.055
"P32","El tránsito",0.041,0.091,0.056,0.021,0.088,0.017,0.065
"P32","El arreglo de las calles",0.114,0.051,0.131,0.202,0.145,0.097,0.056
"P32","Los parques y espacios públicos",0.122,0.186,0.18,0.231,0.153,0.122,0.135
"P32","El sistema de salud",0.024,0,0.045,0.059,0.142,0.099,0.038
"P32","La limpieza de las calles",0.102,0.086,0.076,0.037,0.034,0.067,0.068
"P32","El deporte y la cultura",0.042,0.007,0.092,0.094,0.129,0.12,0.133
"P32","La luminaria",0.029,0.101,0.066,0.033,0.031,0.086,0.063
"P32","No sabe",0.334,0.374,0.326,0.237,0.174,0.278,0.387
"P33","La seguridad",0.583,0.49,0.469,0.345,0.295,0.552,0.502
"P33","El tránsito",0.078,0.081,0.04,0.041,0.113,0.027,0.068
"P33","El arreglo de las calles",0.079,0.215,0.244,0.158,0.289,0.133,0.135
"P33","Los parques y espacios públicos",0.014,0.009,0.036,0.13,0.052,0.009,0.008
"P33","El sistema de salud",0.009,0.037,0.035,0.053,0.062,0.055,0.08
"P33","La limpieza de las calles",0.088,0.065,0.028,0.055,0.032,0.006,0.031
"P33","El deporte y la cultura",0,0.014,0.044,0.003,0.02,0.02,0.028
"P33","La luminaria",0.015,0.007,0.014,0.014,0.034,0.04,0.006
"P33","No sabe",0.134,0.082,0.09,0.201,0.103,0.158,0.142
"P34","Agua corriente y cloacas",0.405,0.22,0.28,0.136,0.227,0.232,0.281
"P34","Energía eléctrica",0.214,0.211,0.123,0.128,0.115,0.181,0.135
"P34","Red de gas natural",0,0.135,0.09,0.057,0.042,0.051,0.059
"P34","Recolección de residuos",0.241,0.246,0.242,0.335,0.217,0.237,0.209
"P34","Ninguno",0.14,0.188,0.265,0.344,0.399,0.299,0.316
"P35","Los robos",0.424,0.51,0.455,0.396,0.516,0.452,0.399
"P35","El narcotráfico",0.191,0.176,0.12,0.113,0.046,0.09,0.091
"P35","La ausencia de patrulleros y personal policial",0.185,0.214,0.236,0.208,0.113,0.309,0.275
"P35","Otro",0.081,0.081,0.139,0.204,0.168,0.095,0.157
"P35","Ninguno",0.119,0.019,0.05,0.079,0.157,0.054,0.078
"P36","Muy buena",0.232,0.149,0.085,0.181,0.208,0.118,0.066
"P36","Buena",0.178,0.142,0.153,0.126,0.131,0.105,0.115
"P36","Ni buena ni mala",0.207,0.308,0.356,0.382,0.208,0.267,0.213
"P36","Mala",0.087,0.276,0.249,0.124,0.08,0.194,0.125
"P36","Muy mala",0.198,0.051,0.057,0.096,0.166,0.086,0.135
"P36","No sabe",0.098,0.074,0.1,0.091,0.207,0.23,0.346
"P37","Lo votaria",0.235,0.086,0.099,0.117,0.092,0.069,0.082
"P37","Puede que lo vote",0.107,0.032,0.131,0.263,0.273,0.155,0.17
"P37","Nunca lo votaría",0.591,0.816,0.691,0.478,0.42,0.703,0.654
"P37","No sabe",0.067,0.066,0.079,0.142,0.215,0.073,0.094
"P38","Lo votaria",0.281,0.024,0.102,0.115,0.113,0.116,0.059
"P38","Puede que lo vote",0.019,0.116,0.159,0.32,0.34,0.143,0.207
"P38","Nunca lo votaría",0.7,0.808,0.679,0.437,0.397,0.61,0.585
"P38","No sabe",0,0.052,0.06,0.128,0.15,0.131,0.149
"P39","Lo votaria",0.269,0.007,0.109,0.139,0.162,0.093,0.059
"P39","Puede que lo vote",0.022,0.103,0.152,0.295,0.369,0.134,0.222
"P39","Nunca lo votaría",0.649,0.85,0.687,0.421,0.351,0.681,0.612
"P39","No sabe",0.06,0.04,0.052,0.145,0.118,0.092,0.107
"P40","Lo votaria",0.359,0.11,0.12,0.068,0.062,0.109,0.094
"P40","Puede que lo vote",0.328,0.546,0.272,0.082,0.09,0.28,0.214
"P40","Nunca lo votaría",0.265,0.306,0.538,0.724,0.771,0.557,0.605
"P40","No sabe",0.048,0.038,0.07,0.126,0.077,0.054,0.087
"P41","Lo votaria",0.821,0.551,0.305,0.081,0.04,0.258,0.23
"P41","Puede que lo vote",0.095,0.298,0.191,0.106,0.021,0.212,0.248
"P41","Nunca lo votaría",0.058,0.139,0.449,0.733,0.872,0.499,0.444
"P41","No sabe",0.026,0.012,0.055,0.08,0.067,0.031,0.078
"P42","Lo votaria",0.246,0.137,0.11,0.039,0.057,0.093,0.058
"P42","Puede que lo vote",0.136,0.477,0.259,0.075,0.061,0.252,0.256
"P42","Nunca lo votaría",0.525,0.322,0.506,0.752,0.77,0.487,0.532
"P42","No sabe",0.093,0.064,0.125,0.134,0.112,0.168,0.154
"P43","Lo votaria",0.228,0.117,0.079,0.028,0.05,0.059,0.042
"P43","Puede que lo vote",0.27,0.294,0.242,0.075,0.041,0.151,0.163
"P43","Nunca lo votaría",0.463,0.436,0.553,0.786,0.811,0.633,0.595
"P43","No sabe",0.039,0.153,0.126,0.111,0.098,0.157,0.2
"P44","Lo votaria",0.43,0.322,0.257,0.137,0.129,0.303,0.257
"P44","Puede que lo vote",0.137,0.342,0.196,0.075,0.008,0.181,0.169
"P44","Nunca lo votaría",0.406,0.314,0.489,0.721,0.807,0.428,0.5
"P44","No sabe",0.027,0.022,0.058,0.067,0.056,0.088,0.074
"P45","Lo votaria",0.297,0.242,0.145,0.02,0.041,0.106,0.196
"P45","Puede que lo vote",0.359,0.465,0.248,0.122,0.031,0.232,0.192
"P45","Nunca lo votaría",0.223,0.244,0.511,0.768,0.87,0.581,0.518
"P45","No sabe",0.121,0.049,0.096,0.09,0.058,0.081,0.094
"P46","Muy buena",0.31,0.083,0.069,0.073,0.018,0.035,0.038
"P46","Buena",0.026,0.14,0.099,0.262,0.138,0.069,0.109
"P46","Ni buena ni mala",0.06,0.06,0.148,0.187,0.434,0.203,0.194
"P46","Mala",0.106,0.149,0.213,0.308,0.183,0.209,0.14
"P46","Muy mala",0.498,0.568,0.471,0.161,0.227,0.484,0.503
"P46","No sabe",0,0,0,0.009,0,0,0.016
"P47","Muy buena",0.524,0.327,0.149,0.022,0.058,0.146,0.14
"P47","Buena",0.258,0.328,0.201,0.105,0.056,0.11,0.147
"P47","Ni buena ni mala",0.062,0.196,0.163,0.127,0.056,0.148,0.136
"P47","Mala",0.046,0.028,0.251,0.275,0.101,0.226,0.219
"P47","Muy mala",0.11,0.121,0.233,0.453,0.719,0.356,0.341
"P47","No sabe",0,0,0.003,0.018,0.01,0.014,0.017
"P48","Muy buena",0.255,0.127,0.24,0.573,0.515,0.21,0.209
"P48","Buena",0.023,0.106,0.059,0.041,0.075,0.064,0.098
"P48","Ni buena ni mala",0.036,0.019,0.035,0.046,0.062,0.031,0.027
"P48","Mala",0.097,0.134,0.129,0.112,0.054,0.103,0.134
"P48","Muy mala",0.582,0.608,0.537,0.228,0.287,0.564,0.514
"P48","No sabe",0.007,0.006,0,0,0.007,0.028,0.018
"P49","Muy buena",0.289,0.188,0.1,0.144,0.122,0.111,0.066
"P49","Buena",0.26,0.385,0.182,0.055,0.06,0.165,0.104
"P49","Ni buena ni mala",0.135,0.168,0.3,0.154,0.086,0.253,0.247
"P49","Mala",0.075,0.178,0.179,0.276,0.105,0.154,0.218
"P49","Muy mala",0.234,0.075,0.223,0.368,0.627,0.271,0.328
"P49","No sabe",0.007,0.006,0.016,0.003,0,0.046,0.037
"P50","Muy buena",0.235,0.04,0.042,0.083,0.049,0.067,0.034
"P50","Buena",0.101,0.171,0.143,0.275,0.253,0.078,0.135
"P50","Ni buena ni mala",0.074,0.047,0.199,0.234,0.263,0.212,0.218
"P50","Mala",0.098,0.209,0.21,0.212,0.128,0.128,0.144
"P50","Muy mala",0.492,0.527,0.406,0.196,0.307,0.468,0.438
"P50","No sabe",0,0.006,0,0,0,0.047,0.031
"P51","Muy buena",0.894,0.456,0.231,0.062,0.044,0.223,0.186
"P51","Buena",0.014,0.303,0.199,0.112,0.062,0.088,0.214
"P51","Ni buena ni mala",0.016,0.042,0.169,0.14,0.066,0.119,0.181
"P51","Mala",0.037,0.021,0.173,0.211,0.117,0.084,0.088
"P51","Muy mala",0.039,0.172,0.228,0.475,0.711,0.44,0.296
"P51","No sabe",0,0.006,0,0,0,0.046,0.035
"P52","Muy buena",0.419,0.195,0.206,0.144,0.094,0.25,0.182
"P52","Buena",0.082,0.393,0.178,0.046,0.014,0.164,0.154
"P52","Ni buena ni mala",0.185,0.24,0.211,0.104,0.02,0.164,0.223
"P52","Mala",0.124,0.107,0.175,0.218,0.098,0.11,0.073
"P52","Muy mala",0.19,0.059,0.213,0.488,0.774,0.262,0.304
"P52","No sabe",0,0.006,0.017,0,0,0.05,0.064
