"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P35","El narcotráfico",0.117,0.213,0.122,0.062,0.085
"P35","La ausencia de patrulleros y personal policial",0.197,0.209,0.424,0.268,0.183
"P35","Otro",0.042,0.093,0.103,0.314,0.106
"P35","Ninguno",0.01,0.067,0.033,0.014,0.204
"P36","Muy buena",0.183,0.104,0.139,0.108,0.115
"P36","Buena",0.099,0.172,0.077,0.153,0.141
"P36","Ni buena ni mala",0.278,0.213,0.363,0.24,0.333
"P36","Mala",0.158,0.174,0.214,0.263,0.09
"P36","Muy mala",0.153,0.119,0.122,0.065,0.089
"P36","No sabe",0.129,0.218,0.085,0.171,0.232
"P37","Lo votaria",0.156,0.12,0.069,0.036,0.103
"P37","Puede que lo vote",0.072,0.169,0.065,0.21,0.238
"P37","Nunca lo votaría",0.691,0.629,0.789,0.61,0.542
"P37","No sabe",0.081,0.082,0.077,0.144,0.117
"P38","Lo votaria",0.13,0.106,0.059,0.066,0.122
"P38","Puede que lo vote",0.15,0.184,0.124,0.181,0.275
"P38","Nunca lo votaría",0.644,0.612,0.727,0.624,0.488
"P38","No sabe",0.076,0.098,0.09,0.129,0.115
"P39","Lo votaria",0.139,0.088,0.11,0.064,0.135
"P39","Puede que lo vote",0.153,0.119,0.126,0.211,0.283
"P39","Nunca lo votaría",0.636,0.694,0.694,0.626,0.488
"P39","No sabe",0.072,0.099,0.07,0.099,0.094
"P40","Lo votaria",0.155,0.15,0.099,0.074,0.1
"P40","Puede que lo vote",0.21,0.278,0.154,0.271,0.246
"P40","Nunca lo votaría",0.567,0.504,0.681,0.566,0.582
"P40","No sabe",0.068,0.068,0.066,0.089,0.072
"P41","Lo votaria",0.363,0.342,0.263,0.253,0.195
"P41","Puede que lo vote",0.174,0.151,0.238,0.17,0.171
"P41","Nunca lo votaría",0.396,0.462,0.48,0.499,0.594
"P41","No sabe",0.067,0.045,0.019,0.078,0.04
"P42","Lo votaria",0.131,0.114,0.043,0.084,0.068
"P42","Puede que lo vote",0.199,0.285,0.221,0.194,0.219
"P42","Nunca lo votaría",0.524,0.493,0.62,0.563,0.61
"P42","No sabe",0.146,0.108,0.116,0.159,0.103
"P43","Lo votaria",0.101,0.088,0.028,0.047,0.07
"P43","Puede que lo vote",0.135,0.205,0.226,0.182,0.164
"P43","Nunca lo votaría",0.605,0.545,0.645,0.626,0.663
"P43","No sabe",0.159,0.162,0.101,0.145,0.103
"P44","Lo votaria",0.286,0.316,0.295,0.224,0.192
"P44","Puede que lo vote",0.166,0.173,0.131,0.179,0.125
"P44","Nunca lo votaría",0.451,0.492,0.527,0.54,0.626
"P44","No sabe",0.097,0.019,0.047,0.057,0.057
"P45","Lo votaria",0.212,0.094,0.346,0.07,0.107
"P45","Puede que lo vote",0.236,0.311,0.128,0.222,0.161
"P45","Nunca lo votaría",0.452,0.532,0.456,0.637,0.634
"P45","No sabe",0.1,0.063,0.07,0.071,0.098
"P46","Muy buena",0.115,0.061,0.106,0.039,0.05
"P46","Buena",0.104,0.134,0.124,0.056,0.174
"P46","Ni buena ni mala",0.163,0.162,0.291,0.209,0.216
"P46","Mala",0.128,0.186,0.083,0.266,0.213
"P46","Muy mala",0.49,0.436,0.396,0.43,0.343
"P46","No sabe",0,0.021,0,0,0.004
"P47","Muy buena",0.207,0.203,0.162,0.142,0.115
"P47","Buena",0.182,0.138,0.347,0.124,0.137
"P47","Ni buena ni mala",0.129,0.192,0.061,0.118,0.129
"P47","Mala",0.176,0.171,0.114,0.227,0.191
"P47","Muy mala",0.299,0.282,0.316,0.371,0.422
"P47","No sabe",0.007,0.014,0,0.018,0.006
"P48","Muy buena",0.287,0.199,0.26,0.276,0.389
"P48","Buena",0.05,0.108,0.058,0.071,0.069
"P48","Ni buena ni mala",0.036,0.024,0.048,0.057,0.024
"P48","Mala",0.071,0.172,0.036,0.142,0.109
"P48","Muy mala",0.556,0.461,0.598,0.448,0.399
"P48","No sabe",0,0.036,0,0.006,0.01
"P49","Muy buena",0.144,0.177,0.16,0.075,0.112
"P49","Buena",0.17,0.169,0.129,0.155,0.138
"P49","Ni buena ni mala",0.176,0.2,0.3,0.238,0.206
"P49","Mala",0.178,0.208,0.172,0.144,0.185
"P49","Muy mala",0.316,0.199,0.239,0.371,0.346
"P49","No sabe",0.016,0.047,0,0.017,0.013
"P50","Muy buena",0.092,0.096,0.045,0.018,0.063
"P50","Buena",0.15,0.148,0.171,0.129,0.207
"P50","Ni buena ni mala",0.146,0.141,0.199,0.22,0.247
"P50","Mala",0.121,0.185,0.128,0.216,0.161
"P50","Muy mala",0.486,0.392,0.45,0.408,0.309
"P50","No sabe",0.005,0.038,0.007,0.009,0.013
"P51","Muy buena",0.277,0.3,0.181,0.238,0.192
"P51","Buena",0.165,0.143,0.259,0.113,0.151
"P51","Ni buena ni mala",0.14,0.07,0.184,0.134,0.116
"P51","Mala",0.129,0.084,0.069,0.129,0.123
"P51","Muy mala",0.277,0.356,0.307,0.379,0.409
"P51","No sabe",0.012,0.047,0,0.007,0.009
"P52","Muy buena",0.269,0.262,0.255,0.138,0.139
"P52","Buena",0.128,0.215,0.19,0.129,0.121
"P52","Ni buena ni mala",0.218,0.101,0.124,0.202,0.136
"P52","Mala",0.121,0.1,0.143,0.11,0.165
"P52","Muy mala",0.245,0.287,0.273,0.389,0.42
"P52","No sabe",0.019,0.035,0.015,0.032,0.019
