"var","categoria","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda","No sabe"
"P29","Buena",0.036,0.05,0.106,0.127,0.006
"P29","Ni buena ni mala",0.157,0.289,0.323,0.057,0.202
"P29","Mala",0.197,0.12,0.055,0.17,0.073
"P29","Muy mala",0.227,0.071,0.033,0.339,0.218
"P29","No sabe",0.127,0.169,0.115,0.125,0.19
"P29","No lo conozco",0.248,0.258,0.197,0.157,0.308
"P30","Muy buena",0.383,0.051,0.065,0.109,0.083
"P30","Buena",0.32,0.052,0.048,0.244,0.163
"P30","Ni buena ni mala",0.107,0.258,0.186,0.209,0.203
"P30","Mala",0.09,0.257,0.237,0.258,0.188
"P30","Muy mala",0.052,0.365,0.371,0.18,0.312
"P30","No sabe",0.048,0.017,0.093,0,0.051
"P31","Que continúe el intendente Lucas Gui",0.423,0.037,0.041,0.247,0.115
"P31","Que continúe Lucas Gui pero con mejoras",0.429,0.083,0.136,0.224,0.276
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.088,0.095,0.147,0.057,0.099
"P31","Que cambie el intendente Lucas Gui",0.06,0.785,0.676,0.472,0.51
"P32","La seguridad",0.126,0.055,0.042,0,0.103
"P32","El tránsito",0.088,0.012,0.06,0.054,0.042
"P32","El arreglo de las calles",0.182,0.066,0.132,0.099,0.038
"P32","Los parques y espacios públicos",0.171,0.185,0.124,0.241,0.152
"P32","El sistema de salud",0.113,0.032,0.034,0.057,0.049
"P32","La limpieza de las calles",0.055,0.074,0.087,0,0.053
"P32","El deporte y la cultura",0.116,0.036,0.092,0.287,0.121
"P32","La luminaria",0.051,0.084,0.05,0.065,0.058
"P32","No sabe",0.098,0.456,0.379,0.197,0.384
"P33","La seguridad",0.3,0.592,0.566,0.412,0.418
"P33","El tránsito",0.094,0.03,0.027,0.089,0.078
"P33","El arreglo de las calles",0.242,0.177,0.162,0.096,0.173
"P33","Los parques y espacios públicos",0.031,0.01,0.022,0.216,0.061
"P33","El sistema de salud",0.047,0.049,0.036,0.057,0.08
"P33","La limpieza de las calles",0.06,0.031,0.025,0,0.026
"P33","El deporte y la cultura",0.019,0.013,0.03,0.029,0.035
"P33","La luminaria",0.032,0.015,0.001,0.022,0.022
"P33","No sabe",0.175,0.083,0.131,0.079,0.107
"P34","Agua corriente y cloacas",0.21,0.304,0.272,0.272,0.228
"P34","Energía eléctrica",0.109,0.152,0.181,0.1,0.169
"P34","Red de gas natural",0.082,0.065,0.068,0.046,0.034
"P34","Recolección de residuos",0.182,0.236,0.272,0.41,0.285
"P34","Ninguno",0.417,0.243,0.207,0.172,0.284
"P35","Los robos",0.481,0.489,0.411,0.393,0.396
"P35","El narcotráfico",0.083,0.144,0.136,0.015,0.091
"P35","La ausencia de patrulleros y personal policial",0.185,0.245,0.25,0.256,0.242
"P35","Otro",0.108,0.097,0.174,0.272,0.175
"P35","Ninguno",0.143,0.025,0.029,0.064,0.096
"P36","Muy buena",0.17,0.118,0.104,0.132,0.109
"P36","Buena",0.188,0.067,0.078,0.295,0.159
"P36","Ni buena ni mala",0.3,0.317,0.3,0.061,0.225
"P36","Mala",0.094,0.216,0.238,0.214,0.146
"P36","Muy mala",0.065,0.103,0.14,0.122,0.137
"P36","No sabe",0.183,0.179,0.14,0.176,0.224
"P37","Lo votaria",0.229,0.05,0.024,0.115,0.04
"P37","Puede que lo vote",0.37,0.022,0.063,0.113,0.138
"P37","Nunca lo votaría",0.253,0.892,0.89,0.629,0.603
"P37","No sabe",0.148,0.036,0.023,0.143,0.219
"P38","Lo votaria",0.218,0.044,0.023,0.086,0.092
"P38","Puede que lo vote",0.476,0.025,0.055,0.121,0.131
"P38","Nunca lo votaría",0.177,0.893,0.859,0.582,0.603
"P38","No sabe",0.129,0.038,0.063,0.211,0.174
"P39","Lo votaria",0.282,0.033,0.013,0.047,0.05
"P39","Puede que lo vote",0.506,0.027,0.011,0.165,0.124
"P39","Nunca lo votaría",0.111,0.904,0.923,0.609,0.666
"P39","No sabe",0.101,0.036,0.053,0.179,0.16
"P40","Lo votaria",0.058,0.321,0.036,0.094,0.064
"P40","Puede que lo vote",0.097,0.458,0.255,0.09,0.222
"P40","Nunca lo votaría",0.775,0.191,0.663,0.67,0.559
"P40","No sabe",0.07,0.03,0.046,0.146,0.155
"P41","Lo votaria",0.02,0.644,0.293,0.079,0.274
"P41","Puede que lo vote",0.044,0.241,0.316,0.1,0.141
"P41","Nunca lo votaría",0.884,0.092,0.333,0.714,0.498
"P41","No sabe",0.052,0.023,0.058,0.107,0.087
"P42","Lo votaria",0.021,0.19,0.066,0.103,0.125
"P42","Puede que lo vote",0.101,0.312,0.296,0.156,0.21
"P42","Nunca lo votaría",0.761,0.406,0.486,0.58,0.507
"P42","No sabe",0.117,0.092,0.152,0.161,0.158
"P43","Lo votaria",0.021,0.14,0.036,0.117,0.111
"P43","Puede que lo vote",0.058,0.339,0.196,0.033,0.147
"P43","Nunca lo votaría",0.815,0.399,0.634,0.668,0.545
"P43","No sabe",0.106,0.122,0.134,0.182,0.197
"P44","Lo votaria",0.038,0.143,0.768,0.154,0.103
"P44","Puede que lo vote",0.035,0.297,0.123,0.118,0.228
"P44","Nunca lo votaría",0.855,0.485,0.104,0.57,0.591
"P44","No sabe",0.072,0.075,0.005,0.158,0.078
"P45","Lo votaria",0.032,0.156,0.312,0.034,0.097
"P45","Puede que lo vote",0.023,0.455,0.246,0.152,0.209
"P45","Nunca lo votaría",0.876,0.32,0.34,0.673,0.592
"P45","No sabe",0.069,0.069,0.102,0.141,0.102
"P46","Muy buena",0.115,0.054,0.047,0.012,0.048
"P46","Buena",0.304,0.046,0.035,0.051,0.022
"P46","Ni buena ni mala",0.373,0.055,0.075,0.218,0.232
"P46","Mala",0.18,0.123,0.203,0.392,0.245
"P46","Muy mala",0.028,0.717,0.629,0.327,0.45
"P46","No sabe",0,0.005,0.011,0,0.003
"P47","Muy buena",0.022,0.469,0.098,0,0.116
"P47","Buena",0.067,0.271,0.202,0.04,0.145
"P47","Ni buena ni mala",0.062,0.101,0.233,0.06,0.168
"P47","Mala",0.202,0.054,0.255,0.306,0.225
"P47","Muy mala",0.64,0.105,0.212,0.528,0.317
"P47","No sabe",0.007,0,0,0.066,0.029
"P48","Muy buena",0.699,0.101,0.046,0.149,0.224
"P48","Buena",0.129,0.02,0.027,0.158,0.071
"P48","Ni buena ni mala",0.034,0.025,0.028,0.119,0.055
"P48","Mala",0.038,0.124,0.165,0.145,0.145
"P48","Muy mala",0.094,0.728,0.721,0.363,0.495
"P48","No sabe",0.006,0.002,0.013,0.066,0.01
"P49","Muy buena",0.084,0.276,0.014,0.069,0.149
"P49","Buena",0.067,0.333,0.14,0,0.124
"P49","Ni buena ni mala",0.134,0.232,0.313,0.14,0.198
"P49","Mala",0.218,0.05,0.202,0.144,0.234
"P49","Muy mala",0.485,0.107,0.32,0.581,0.243
"P49","No sabe",0.012,0.002,0.011,0.066,0.052
"P50","Muy buena",0.089,0.066,0.005,0.065,0.091
"P50","Buena",0.398,0.036,0.061,0.08,0.071
"P50","Ni buena ni mala",0.31,0.11,0.11,0.122,0.23
"P50","Mala",0.1,0.174,0.218,0.32,0.171
"P50","Muy mala",0.094,0.61,0.595,0.347,0.411
"P50","No sabe",0.009,0.004,0.011,0.066,0.026
"P51","Muy buena",0.025,0.599,0.194,0,0.249
"P51","Buena",0.066,0.196,0.275,0.05,0.103
"P51","Ni buena ni mala",0.081,0.086,0.202,0.158,0.143
"P51","Mala",0.19,0.029,0.103,0.261,0.096
"P51","Muy mala",0.634,0.087,0.215,0.462,0.37
"P51","No sabe",0.004,0.003,0.011,0.069,0.039
"P52","Muy buena",0.02,0.191,0.546,0.139,0.081
"P52","Buena",0.048,0.2,0.245,0.103,0.111
"P52","Ni buena ni mala",0.047,0.349,0.123,0.06,0.21
"P52","Mala",0.157,0.141,0.043,0.116,0.179
"P52","Muy mala",0.714,0.1,0.032,0.513,0.363
"P52","No sabe",0.014,0.019,0.011,0.069,0.056
