"var","categoria","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda","No sabe"
"P29","No lo conozco",0.274,0.257,0.176,0.119,0.299
"P30","Muy buena",0.391,0.033,0.062,0.087,0.129
"P30","Buena",0.339,0.055,0.048,0.248,0.151
"P30","Ni buena ni mala",0.093,0.237,0.211,0.15,0.222
"P30","Mala",0.093,0.276,0.227,0.335,0.129
"P30","Muy mala",0.034,0.372,0.372,0.149,0.314
"P30","No sabe",0.05,0.027,0.08,0.031,0.055
"P31","Que continúe el intendente Lucas Gui",0.432,0.027,0.035,0.114,0.177
"P31","Que continúe Lucas Gui pero con mejoras",0.424,0.093,0.157,0.263,0.277
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.091,0.091,0.147,0,0.116
"P31","Que cambie el intendente Lucas Gui",0.053,0.789,0.661,0.623,0.43
"P32","La seguridad",0.109,0.071,0.035,0,0.128
"P32","El tránsito",0.066,0.014,0.073,0.065,0.071
"P32","El arreglo de las calles",0.19,0.044,0.146,0.031,0.058
"P32","Los parques y espacios públicos",0.164,0.15,0.122,0.441,0.181
"P32","El sistema de salud",0.114,0.025,0.025,0.041,0.083
"P32","La limpieza de las calles",0.056,0.07,0.088,0.058,0.041
"P32","El deporte y la cultura",0.141,0.044,0.094,0.228,0.093
"P32","La luminaria",0.053,0.099,0.031,0.051,0.048
"P32","No sabe",0.107,0.483,0.386,0.085,0.297
"P33","La seguridad",0.309,0.631,0.533,0.324,0.358
"P33","El tránsito",0.091,0.033,0.029,0.106,0.082
"P33","El arreglo de las calles",0.227,0.148,0.198,0.171,0.18
"P33","Los parques y espacios públicos",0.031,0.012,0.024,0.227,0.073
"P33","El sistema de salud",0.049,0.045,0.029,0.076,0.093
"P33","La limpieza de las calles",0.058,0.03,0.027,0,0.025
"P33","El deporte y la cultura",0.019,0.013,0.028,0.021,0.044
"P33","La luminaria",0.032,0.013,0.001,0,0.033
"P33","No sabe",0.184,0.075,0.131,0.075,0.112
"P34","Agua corriente y cloacas",0.202,0.33,0.236,0.353,0.213
"P34","Energía eléctrica",0.105,0.174,0.164,0.119,0.163
"P34","Red de gas natural",0.061,0.049,0.114,0.055,0.031
"P34","Recolección de residuos",0.207,0.213,0.284,0.256,0.311
"P34","Ninguno",0.425,0.234,0.202,0.217,0.282
"P35","Los robos",0.445,0.52,0.39,0.418,0.408
"P35","El narcotráfico",0.071,0.131,0.147,0.019,0.106
"P35","La ausencia de patrulleros y personal policial",0.204,0.256,0.235,0.208,0.216
"P35","Otro",0.129,0.072,0.201,0.324,0.157
"P35","Ninguno",0.151,0.021,0.027,0.031,0.113
"P36","Muy buena",0.156,0.105,0.116,0.091,0.151
"P36","Buena",0.193,0.066,0.082,0.274,0.176
"P36","Ni buena ni mala",0.29,0.28,0.327,0.205,0.219
"P36","Mala",0.094,0.22,0.228,0.232,0.136
"P36","Muy mala",0.062,0.126,0.131,0.116,0.126
"P36","No sabe",0.205,0.203,0.116,0.082,0.192
"P37","Lo votaria",0.205,0.054,0.026,0.092,0.082
"P37","Puede que lo vote",0.395,0.022,0.063,0.026,0.138
"P37","Nunca lo votaría",0.249,0.897,0.894,0.638,0.521
"P37","No sabe",0.151,0.027,0.017,0.244,0.259
"P38","Lo votaria",0.226,0.038,0.02,0.043,0.109
"P38","Puede que lo vote",0.455,0.034,0.062,0.052,0.195
"P38","Nunca lo votaría",0.165,0.891,0.868,0.622,0.531
"P38","No sabe",0.154,0.037,0.05,0.283,0.165
"P39","Lo votaria",0.281,0.024,0.014,0,0.08
"P39","Puede que lo vote",0.497,0.035,0.02,0.096,0.156
"P39","Nunca lo votaría",0.097,0.904,0.933,0.707,0.601
"P39","No sabe",0.125,0.037,0.033,0.197,0.163
"P40","Lo votaria",0.061,0.21,0.051,0.036,0.154
"P40","Puede que lo vote",0.089,0.454,0.258,0.07,0.165
"P40","Nunca lo votaría",0.772,0.278,0.661,0.733,0.542
"P40","No sabe",0.078,0.058,0.03,0.161,0.139
"P41","Lo votaria",0.028,0.727,0.199,0.036,0.115
"P41","Puede que lo vote",0.027,0.185,0.362,0.043,0.206
"P41","Nunca lo votaría",0.888,0.058,0.397,0.803,0.579
"P41","No sabe",0.057,0.03,0.042,0.118,0.1
"P42","Lo votaria",0.028,0.159,0.053,0.133,0.148
"P42","Puede que lo vote",0.088,0.341,0.278,0.112,0.187
"P42","Nunca lo votaría",0.759,0.399,0.538,0.512,0.504
"P42","No sabe",0.125,0.101,0.131,0.243,0.161
"P43","Lo votaria",0.026,0.124,0.033,0.149,0.112
"P43","Puede que lo vote",0.041,0.337,0.196,0,0.122
"P43","Nunca lo votaría",0.817,0.393,0.675,0.639,0.571
"P43","No sabe",0.116,0.146,0.096,0.212,0.195
"P44","Lo votaria",0.031,0.162,0.778,0.078,0.142
"P44","Puede que lo vote",0.029,0.334,0.112,0.097,0.155
"P44","Nunca lo votaría",0.865,0.431,0.105,0.682,0.631
"P44","No sabe",0.075,0.073,0.005,0.143,0.072
"P45","Lo votaria",0.022,0.171,0.308,0.036,0.097
"P45","Puede que lo vote",0.011,0.44,0.225,0.071,0.216
"P45","Nunca lo votaría",0.889,0.29,0.387,0.676,0.63
"P45","No sabe",0.078,0.099,0.08,0.217,0.057
"P46","Muy buena",0.097,0.039,0.064,0.013,0.086
"P46","Buena",0.291,0.073,0.032,0,0.011
"P46","Ni buena ni mala",0.395,0.046,0.081,0.219,0.24
"P46","Mala",0.185,0.125,0.214,0.408,0.252
"P46","Muy mala",0.032,0.717,0.609,0.36,0.385
"P46","No sabe",0,0,0,0,0.026
"P47","Muy buena",0.026,0.419,0.087,0.071,0.074
"P47","Buena",0.033,0.306,0.225,0.042,0.076
"P47","Ni buena ni mala",0.066,0.141,0.189,0.012,0.186
"P47","Mala",0.222,0.048,0.283,0.24,0.234
"P47","Muy mala",0.644,0.086,0.216,0.564,0.4
"P47","No sabe",0.009,0,0,0.071,0.03
"P48","Muy buena",0.687,0.089,0.069,0.062,0.282
"P48","Buena",0.129,0.056,0.023,0.212,0.015
"P48","Ni buena ni mala",0.041,0.012,0.04,0.114,0.055
"P48","Mala",0.038,0.119,0.176,0.155,0.143
"P48","Muy mala",0.097,0.722,0.69,0.386,0.479
"P48","No sabe",0.008,0.002,0.002,0.071,0.026
"P49","Muy buena",0.097,0.189,0.031,0.043,0.201
"P49","Buena",0.029,0.309,0.169,0.07,0.116
"P49","Ni buena ni mala",0.132,0.248,0.33,0.062,0.165
"P49","Mala",0.237,0.123,0.156,0.221,0.172
"P49","Muy mala",0.492,0.119,0.314,0.533,0.286
"P49","No sabe",0.013,0.012,0,0.071,0.06
"P50","Muy buena",0.096,0.048,0.002,0.069,0.109
"P50","Buena",0.369,0.055,0.096,0.026,0.071
"P50","Ni buena ni mala",0.327,0.088,0.12,0.035,0.268
"P50","Mala",0.101,0.182,0.194,0.476,0.165
"P50","Muy mala",0.098,0.625,0.588,0.323,0.337
"P50","No sabe",0.009,0.002,0,0.071,0.05
"P51","Muy buena",0.029,0.62,0.17,0,0.11
"P51","Buena",0.032,0.188,0.316,0,0.12
"P51","Ni buena ni mala",0.084,0.082,0.207,0.111,0.167
"P51","Mala",0.182,0.014,0.101,0.349,0.153
"P51","Muy mala",0.663,0.094,0.206,0.466,0.398
"P51","No sabe",0.01,0.002,0,0.074,0.052
"P52","Muy buena",0.02,0.178,0.576,0,0.096
"P52","Buena",0.019,0.243,0.26,0.147,0.043
"P52","Ni buena ni mala",0.039,0.327,0.107,0.027,0.234
"P52","Mala",0.155,0.135,0.022,0.347,0.179
"P52","Muy mala",0.746,0.094,0.035,0.405,0.39
"P52","No sabe",0.021,0.023,0,0.074,0.058
