"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","Javier Milei presidente – José Luis Espert vice por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P18","No sabe",0.044,0.053,0.068,0.159,0.153
"P19","Lo votaría",0.045,0.159,0.077,0.041,0.1
"P19","Puede que lo vote",0.151,0.341,0.237,0.126,0.199
"P19","Nunca lo votaría",0.691,0.382,0.556,0.628,0.49
"P19","No sabe",0.113,0.118,0.13,0.205,0.211
"P20","La votaría",0.044,0.552,0.2,0.039,0.068
"P20","Puede que la vote",0.065,0.276,0.355,0.057,0.148
"P20","Nunca la votaría",0.853,0.119,0.379,0.81,0.631
"P20","No sabe",0.038,0.053,0.066,0.094,0.153
"P21","Lo votaría",0.037,0.202,0.646,0.089,0.036
"P21","Puede que lo vote",0.074,0.314,0.235,0.031,0.11
"P21","Nunca lo votaría",0.837,0.42,0.091,0.765,0.694
"P21","No sabe",0.052,0.064,0.028,0.115,0.16
"P22","La votaría",0.038,0.281,0.132,0.021,0.053
"P22","Puede que la vote",0.067,0.363,0.229,0.05,0.152
"P22","Nunca la votaría",0.83,0.258,0.55,0.795,0.628
"P22","No sabe",0.065,0.098,0.089,0.134,0.167
"P23","Lo votaría",0.194,0.057,0.018,0.06,0.054
"P23","Puede que lo vote",0.401,0.082,0.076,0.239,0.196
"P23","Nunca lo votaría",0.326,0.825,0.865,0.575,0.595
"P23","No sabe",0.079,0.036,0.041,0.126,0.155
"P24","Lo votaría",0.045,0.1,0.033,0.014,0.043
"P24","Puede que lo vote",0.117,0.278,0.112,0.054,0.108
"P24","Nunca lo votaría",0.735,0.519,0.739,0.744,0.626
"P24","No sabe",0.103,0.103,0.116,0.188,0.223
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.042,0.531,0.089,0.028,0.088
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.046,0.246,0.067,0.055,0.125
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.08,0.019,0.007,0.027,0.064
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.75,0.04,0.04,0.399,0.351
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.019,0.081,0.761,0.049,0.026
"P25","Nicolás del Caño – Myriam Bregman",0.012,0.008,0.008,0.376,0.014
"P25","Otros candidatos",0.051,0.075,0.028,0.066,0.332
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.834,0.056,0.028,0.388,0.355
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.054,0.721,0.088,0.017,0.121
"P29","Javier Milei – José Luis Espert por los liberales",0.026,0.104,0.846,0.085,0.041
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.017,0.004,0.003,0.441,0.012
"P29","Otro candidato",0.069,0.115,0.035,0.069,0.471
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.146,0.563,0.067,0.078,0.143
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.641,0.139,0.025,0.143,0.185
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.028,0.151,0.88,0.06,0.031
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.031,0.009,0.005,0.642,0.023
"P31","Otro candidato",0.154,0.138,0.023,0.077,0.618
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.751,0.129,0.009,0.094,0.091
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.161,0.605,0.055,0.06,0.125
"P35","Javier Milei – José Luis Espert por los liberales",0.01,0.138,0.909,0.056,0.028
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.013,0.009,0.002,0.745,0.015
"P35","Otro candidato",0.065,0.119,0.025,0.045,0.741
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.815,0.083,0.021,0.368,0.339
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.097,0.608,0.071,0.065,0.171
"P37","Javier Milei – José Luis Espert por los liberales",0.018,0.165,0.874,0.055,0.031
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0.002,0.001,0.468,0.01
"P37","Otro candidato",0.058,0.142,0.033,0.044,0.449
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.82,0.039,0.01,0.127,0.14
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.07,0.733,0.101,0.036,0.135
"P38","Javier Milei – José Luis Espert por los liberales",0.015,0.109,0.861,0.065,0.029
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.017,0.005,0.003,0.672,0.03
"P38","Otro candidato",0.078,0.114,0.025,0.1,0.666
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.839,0.079,0.048,0.58,0.385
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.082,0.817,0.41,0.118,0.205
"P39","No sabe",0.079,0.104,0.542,0.302,0.41
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.757,0.045,0.038,0.395,0.279
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.078,0.796,0.409,0.11,0.223
"P40","No sabe",0.165,0.159,0.553,0.495,0.498
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.84,0.033,0.032,0.358,0.207
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.07,0.9,0.514,0.106,0.165
"P41","No sabe",0.09,0.067,0.454,0.536,0.628
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.859,0.041,0.039,0.57,0.376
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.071,0.806,0.437,0.118,0.213
"P42","No sabe",0.07,0.153,0.524,0.312,0.411
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.834,0.044,0.034,0.372,0.205
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.073,0.799,0.421,0.124,0.224
"P43","No sabe",0.093,0.157,0.545,0.504,0.571
"P44","Mauricio Macri – María Eugenia Vidal",0.182,0.734,0.425,0.132,0.196
"P44","Sergio Massa – Wado de Pedro",0.729,0.158,0.109,0.325,0.226
"P44","No sabe",0.089,0.108,0.466,0.543,0.578
"P45","Sergio Massa – Wado de Pedro",0.757,0.129,0.081,0.366,0.222
"P45","Javier Milei – José Luis Espert",0.128,0.443,0.792,0.166,0.112
"P45","No sabe",0.115,0.428,0.127,0.468,0.666
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.213,0.574,0.057,0.146,0.207
"P46","Javier Milei – José Luis Espert",0.06,0.246,0.854,0.135,0.084
"P46","No sabe",0.727,0.18,0.089,0.719,0.709
"P47","Muy buena",0.172,0.096,0.008,0.068,0.092
"P47","Buena",0.337,0.038,0.106,0.134,0.135
"P47","Ni buena ni mala",0.334,0.044,0.075,0.396,0.25
"P47","Mala",0.099,0.096,0.072,0.199,0.152
"P47","Muy mala",0.051,0.724,0.736,0.203,0.33
"P47","No sabe",0.007,0.002,0.003,0,0.041
"P48","Muy buena",0.168,0.019,0.011,0.062,0.095
"P48","Buena",0.366,0.025,0.021,0.167,0.126
"P48","Ni buena ni mala",0.293,0.045,0.074,0.323,0.219
"P48","Mala",0.101,0.104,0.089,0.229,0.144
"P48","Muy mala",0.064,0.804,0.801,0.217,0.386
"P48","No sabe",0.008,0.003,0.004,0.002,0.03
"P49","Muy buena",0.638,0.028,0.015,0.37,0.291
"P49","Buena",0.159,0.017,0.012,0.114,0.07
"P49","Ni buena ni mala",0.089,0.025,0.063,0.207,0.105
"P49","Mala",0.04,0.05,0.069,0.065,0.078
"P49","Muy mala",0.067,0.878,0.839,0.239,0.425
"P49","No sabe",0.007,0.002,0.002,0.005,0.031
"P50","Muy buena",0.113,0.332,0.08,0.101,0.069
"P50","Buena",0.052,0.265,0.175,0.058,0.092
"P50","Ni buena ni mala",0.065,0.179,0.28,0.067,0.173
"P50","Mala",0.174,0.06,0.18,0.157,0.188
"P50","Muy mala",0.593,0.162,0.282,0.594,0.445
"P50","No sabe",0.003,0.002,0.003,0.023,0.033
"P51","Muy buena",0.039,0.296,0.077,0.012,0.081
"P51","Buena",0.05,0.399,0.175,0.071,0.136
"P51","Ni buena ni mala",0.119,0.211,0.318,0.163,0.258
"P51","Mala",0.191,0.043,0.165,0.156,0.158
"P51","Muy mala",0.579,0.042,0.249,0.572,0.3
"P51","No sabe",0.022,0.009,0.016,0.026,0.067
"P52","Muy buena",0.189,0.05,0.018,0.066,0.05
"P52","Buena",0.35,0.076,0.065,0.07,0.146
"P52","Ni buena ni mala",0.278,0.088,0.15,0.304,0.292
"P52","Mala",0.061,0.153,0.177,0.218,0.16
"P52","Muy mala",0.111,0.626,0.59,0.316,0.302
"P52","No sabe",0.011,0.007,0,0.026,0.05
"P53","Muy buena",0.056,0.511,0.209,0.031,0.075
"P53","Buena",0.079,0.25,0.261,0.028,0.107
"P53","Ni buena ni mala",0.083,0.101,0.26,0.145,0.237
"P53","Mala",0.132,0.034,0.103,0.108,0.175
"P53","Muy mala",0.637,0.101,0.16,0.688,0.359
"P53","No sabe",0.013,0.003,0.007,0,0.047
"P54","Muy buena",0.033,0.152,0.535,0.076,0.031
"P54","Buena",0.033,0.216,0.258,0.037,0.06
"P54","Ni buena ni mala",0.108,0.395,0.139,0.121,0.263
"P54","Mala",0.144,0.135,0.033,0.1,0.156
"P54","Muy mala",0.649,0.092,0.031,0.662,0.412
"P54","No sabe",0.033,0.01,0.004,0.004,0.078
"P55","Muy buena",0.033,0.356,0.149,0.031,0.082
"P55","Buena",0.045,0.335,0.221,0.048,0.111
"P55","Ni buena ni mala",0.075,0.197,0.262,0.119,0.218
"P55","Mala",0.174,0.06,0.142,0.09,0.16
"P55","Muy mala",0.655,0.047,0.217,0.673,0.377
"P55","No sabe",0.018,0.005,0.009,0.039,0.052
"P56","Muy buena",0.167,0.062,0.032,0.07,0.052
"P56","Buena",0.347,0.066,0.058,0.158,0.16
"P56","Ni buena ni mala",0.255,0.089,0.159,0.343,0.271
"P56","Mala",0.083,0.169,0.172,0.146,0.163
"P56","Muy mala",0.135,0.608,0.573,0.272,0.313
"P56","No sabe",0.013,0.006,0.006,0.011,0.041
"P57","Muy buena",0.062,0.12,0.078,0.047,0.117
"P57","Buena",0.13,0.194,0.127,0.191,0.126
"P57","Ni buena ni mala",0.37,0.333,0.318,0.309,0.349
"P57","Mala",0.165,0.132,0.139,0.167,0.135
"P57","Muy mala",0.183,0.184,0.264,0.219,0.161
"P57","No sabe",0.09,0.037,0.074,0.067,0.112
"P58","Muy buena",0.04,0.117,0.042,0.009,0.069
"P58","Buena",0.056,0.255,0.113,0.07,0.104
"P58","Ni buena ni mala",0.233,0.366,0.361,0.161,0.312
"P58","Mala",0.165,0.116,0.122,0.145,0.135
"P58","Muy mala",0.429,0.094,0.273,0.488,0.263
"P58","No sabe",0.077,0.052,0.089,0.127,0.117
"P59","Siempre",0.372,0.348,0.247,0.23,0.301
"P59","Casi siempre",0.347,0.388,0.387,0.466,0.332
"P59","Casi nunca",0.175,0.186,0.269,0.197,0.241
"P59","Nunca, pero esta es una excepción",0.106,0.078,0.097,0.107,0.126
"P60","Si",0.594,0.574,0.565,0.603,0.517
"P60","No",0.406,0.426,0.435,0.397,0.483
