"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Nicolás del Caño – Myriam Bregman","Otros candidatos"
"P09","De Cambiemos",0.746,0.644,0.103,0.046,0.105,0.05,0.194
"P09","De los Liberales libertarios",0.077,0.085,0.028,0.013,0.674,0.126,0.092
"P09","De la Izquierda",0.017,0.021,0.019,0.015,0.016,0.508,0.038
"P09","No sabe",0.089,0.152,0.291,0.103,0.17,0.191,0.574
"P10","A Alberto Fernández",0.228,0.179,0.541,0.159,0.202,0.088,0.011
"P10","A Sergio Massa",0.096,0.23,0.213,0.15,0.121,0.147,0.307
"P10","A algún candidato del peronismo",0.489,0.564,0.146,0.147,0.575,0.459,0.487
"P10","A algún candidato del kirchnerismo",0.187,0.027,0.1,0.544,0.102,0.306,0.195
"P11","A Alberto Fernández",0.17,0.246,0.381,0.086,0.201,0.02,0.022
"P11","A Sergio Massa",0.151,0.15,0.202,0.079,0.11,0.117,0.264
"P11","A algún candidato del peronismo",0.552,0.55,0.171,0.07,0.587,0.407,0.528
"P11","A Cristina Fernández de Kirchner",0.127,0.054,0.246,0.765,0.102,0.456,0.186
"P12","A Horacio Rodriguez Larreta",0.152,0.545,0.127,0.237,0.216,0.429,0.182
"P12","A Mauricio Macri",0.518,0.117,0.347,0.252,0.266,0.267,0.073
"P12","A Patricia Bullrich",0.281,0.149,0.238,0.107,0.442,0.229,0.428
"P12","A Facundo Manes",0.042,0.104,0.08,0.299,0.065,0.033,0.253
"P12","A Gerardo Morales",0.007,0.085,0.208,0.105,0.011,0.042,0.064
"P13","Seguro lo votaria",0.199,0.251,0.414,0.185,0.505,0.429,0.147
"P13","Quizás lo votaría",0.376,0.266,0.308,0.197,0.269,0.267,0.292
"P13","Nunca lo votaría",0.425,0.483,0.278,0.618,0.226,0.304,0.561
"P14","Lo votaría",0.706,0.251,0.113,0.028,0.129,0.055,0.065
"P14","Puede que lo vote",0.188,0.376,0.072,0.033,0.344,0.115,0.184
"P14","Nunca lo votaría",0.069,0.275,0.644,0.851,0.425,0.699,0.512
"P14","No sabe",0.037,0.098,0.171,0.088,0.102,0.131,0.239
"P15","Lo votaría",0.144,0.07,0.257,0.199,0.051,0.09,0.061
"P15","Puede que lo vote",0.062,0.151,0.312,0.409,0.086,0.195,0.116
"P15","Nunca lo votaría",0.752,0.709,0.294,0.267,0.807,0.634,0.617
"P15","No sabe",0.042,0.07,0.137,0.125,0.056,0.081,0.206
"P16","Lo votaría",0.022,0.03,0.557,0.263,0.009,0.04,0.028
"P16","Puede que lo vote",0.025,0.052,0.264,0.437,0.029,0.191,0.066
"P16","Nunca lo votaría",0.924,0.876,0.117,0.172,0.939,0.682,0.727
"P16","No sabe",0.029,0.042,0.062,0.128,0.023,0.087,0.179
"P17","La votaría",0.024,0.034,0.498,0.823,0.018,0.164,0.033
"P17","Puede que la vote",0.006,0.028,0.188,0.112,0.022,0.211,0.075
"P17","Nunca la votaría",0.953,0.909,0.219,0.041,0.944,0.522,0.745
"P17","No sabe",0.017,0.029,0.095,0.024,0.016,0.103,0.147
"P18","Lo votaría",0.271,0.481,0.09,0.105,0.057,0.069,0.036
"P18","Puede que lo vote",0.416,0.335,0.086,0.051,0.246,0.163,0.221
"P18","Nunca lo votaría",0.262,0.143,0.609,0.798,0.616,0.629,0.508
"P18","No sabe",0.051,0.041,0.215,0.046,0.081,0.139,0.235
"P19","Lo votaría",0.141,0.251,0.105,0.022,0.058,0.047,0.112
"P19","Puede que lo vote",0.338,0.413,0.159,0.104,0.225,0.24,0.226
"P19","Nunca lo votaría",0.419,0.214,0.491,0.745,0.587,0.565,0.391
"P19","No sabe",0.102,0.122,0.245,0.129,0.13,0.148,0.271
"P20","La votaría",0.551,0.3,0.082,0.015,0.238,0.08,0.173
"P20","Puede que la vote",0.277,0.381,0.084,0.031,0.336,0.081,0.156
"P20","Nunca la votaría",0.119,0.244,0.683,0.898,0.358,0.762,0.493
"P20","No sabe",0.053,0.075,0.151,0.056,0.068,0.077,0.178
"P21","Lo votaría",0.201,0.133,0.069,0.021,0.714,0.088,0.064
"P21","Puede que lo vote",0.335,0.293,0.121,0.045,0.203,0.102,0.164
"P21","Nunca lo votaría",0.4,0.506,0.633,0.864,0.051,0.766,0.587
"P21","No sabe",0.064,0.068,0.177,0.07,0.032,0.044,0.185
"P22","La votaría",0.287,0.214,0.085,0.021,0.148,0.02,0.055
"P22","Puede que la vote",0.385,0.364,0.106,0.036,0.21,0.166,0.18
"P22","Nunca la votaría",0.234,0.329,0.607,0.867,0.548,0.74,0.539
"P22","No sabe",0.094,0.093,0.202,0.076,0.094,0.074,0.226
"P23","Lo votaría",0.05,0.045,0.218,0.157,0.026,0.061,0.023
"P23","Puede que lo vote",0.088,0.082,0.329,0.396,0.063,0.162,0.103
"P23","Nunca lo votaría",0.817,0.834,0.298,0.34,0.872,0.668,0.706
"P23","No sabe",0.045,0.039,0.155,0.107,0.039,0.109,0.168
"P24","Lo votaría",0.07,0.175,0.053,0.028,0.028,0.01,0.034
"P24","Puede que lo vote",0.258,0.293,0.15,0.088,0.088,0.106,0.141
"P24","Nunca lo votaría",0.559,0.408,0.538,0.76,0.769,0.76,0.581
"P24","No sabe",0.113,0.124,0.259,0.124,0.115,0.124,0.244
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.015,0.045,0.618,0.929,0.007,0.111,0.043
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.89,0.505,0.075,0.011,0.034,0.051,0.091
"P29","Javier Milei – José Luis Espert por los liberales",0.058,0.131,0.069,0.024,0.905,0.1,0.078
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.005,0.016,0.026,0.006,0.014,0.624,0.011
"P29","Otro candidato",0.032,0.303,0.212,0.03,0.04,0.114,0.777
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.541,0.7,0.086,0.097,0.021,0.069,0.11
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.124,0.097,0.657,0.588,0.007,0.085,0.053
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.153,0.083,0.103,0.028,0.926,0.091,0.071
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.013,0.006,0.027,0.048,0.014,0.636,0.023
"P31","Otro candidato",0.169,0.114,0.127,0.239,0.032,0.119,0.743
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.048,0.087,0.473,0.626,0.022,0.125,0.11
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.768,0.581,0.137,0.042,0.122,0.109,0.202
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.092,0.113,0.041,0.03,0.821,0.077,0.054
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.005,0.015,0.023,0.048,0.008,0.566,0.02
"P33","Otro candidato",0.087,0.204,0.326,0.254,0.027,0.123,0.614
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.089,0.093,0.428,0.615,0.03,0.111,0.109
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.57,0.726,0.131,0.073,0.031,0.092,0.136
"P35","Javier Milei – José Luis Espert por los liberales",0.174,0.079,0.051,0.027,0.894,0.1,0.084
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.013,0.006,0.032,0.048,0.004,0.595,0.013
"P35","Otro candidato",0.154,0.096,0.358,0.237,0.041,0.102,0.658
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.048,0.064,0.602,0.877,0.011,0.128,0.059
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.585,0.803,0.089,0.035,0.033,0.089,0.117
"P37","Javier Milei – José Luis Espert por los liberales",0.194,0.074,0.06,0.018,0.914,0.11,0.073
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.005,0.004,0.018,0.015,0.002,0.58,0.016
"P37","Otro candidato",0.168,0.055,0.231,0.055,0.04,0.093,0.735
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.011,0.045,0.52,0.707,0.014,0.085,0.088
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.845,0.605,0.09,0.017,0.056,0.085,0.107
"P38","Javier Milei – José Luis Espert por los liberales",0.077,0.13,0.051,0.021,0.897,0.107,0.077
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.008,0.011,0.052,0.041,0.003,0.588,0.035
"P38","Otro candidato",0.059,0.209,0.287,0.214,0.03,0.135,0.693
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.069,0.042,0.619,0.919,0.025,0.346,0.096
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.88,0.686,0.15,0.04,0.402,0.169,0.256
"P39","No sabe",0.051,0.272,0.231,0.041,0.573,0.485,0.648
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.016,0.025,0.727,0.753,0.03,0.293,0.085
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.804,0.874,0.104,0.017,0.381,0.154,0.274
"P40","No sabe",0.18,0.101,0.169,0.23,0.589,0.553,0.641
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.013,0.031,0.545,0.769,0.023,0.3,0.14
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.897,0.734,0.121,0.015,0.553,0.121,0.331
"P41","No sabe",0.09,0.235,0.334,0.216,0.424,0.579,0.529
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.01,0.023,0.672,0.925,0.029,0.402,0.097
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.815,0.868,0.121,0.016,0.411,0.111,0.261
"P42","No sabe",0.175,0.109,0.207,0.059,0.56,0.487,0.642
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.017,0.022,0.526,0.777,0.032,0.331,0.14
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.787,0.916,0.132,0.014,0.397,0.131,0.246
"P43","No sabe",0.196,0.062,0.342,0.209,0.571,0.538,0.614
"P44","Mauricio Macri – María Eugenia Vidal",0.809,0.568,0.175,0.132,0.418,0.172,0.256
"P44","Sergio Massa – Wado de Pedro",0.129,0.202,0.556,0.661,0.105,0.275,0.157
"P44","No sabe",0.062,0.23,0.269,0.207,0.477,0.553,0.587
"P45","Sergio Massa – Wado de Pedro",0.128,0.132,0.502,0.695,0.079,0.253,0.154
"P45","Javier Milei – José Luis Espert",0.454,0.322,0.209,0.105,0.799,0.248,0.213
"P45","No sabe",0.418,0.546,0.289,0.2,0.122,0.499,0.633
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.519,0.699,0.23,0.149,0.036,0.175,0.228
"P46","Javier Milei – José Luis Espert",0.29,0.139,0.097,0.048,0.876,0.213,0.154
"P46","No sabe",0.191,0.162,0.673,0.803,0.088,0.612,0.618
"P47","Muy buena",0.081,0.104,0.288,0.155,0.012,0.076,0.042
"P47","Buena",0.043,0.046,0.208,0.351,0.09,0.089,0.046
"P47","Ni buena ni mala",0.037,0.053,0.371,0.376,0.065,0.245,0.182
"P47","Mala",0.09,0.143,0.043,0.089,0.07,0.299,0.181
"P47","Muy mala",0.746,0.651,0.059,0.016,0.76,0.283,0.511
"P47","No sabe",0.003,0.003,0.031,0.013,0.003,0.008,0.038
"P48","Muy buena",0.009,0.012,0.482,0.161,0.009,0.05,0.007
"P48","Buena",0.015,0.028,0.221,0.375,0.014,0.138,0.042
"P48","Ni buena ni mala",0.026,0.076,0.19,0.338,0.068,0.259,0.154
"P48","Mala",0.099,0.173,0.047,0.095,0.083,0.229,0.159
"P48","Muy mala",0.846,0.705,0.059,0.024,0.821,0.324,0.594
"P48","No sabe",0.005,0.006,0.001,0.007,0.005,0,0.044
"P49","Muy buena",0.01,0.013,0.452,0.731,0.017,0.119,0.023
"P49","Buena",0.008,0.026,0.154,0.158,0.005,0.158,0.039
"P49","Ni buena ni mala",0.022,0.047,0.211,0.081,0.057,0.276,0.104
"P49","Mala",0.055,0.083,0.066,0.015,0.062,0.068,0.127
"P49","Muy mala",0.902,0.828,0.101,0.009,0.858,0.376,0.659
"P49","No sabe",0.003,0.003,0.016,0.006,0.001,0.003,0.048
"P50","Muy buena",0.428,0.11,0.143,0.109,0.069,0.11,0.051
"P50","Buena",0.296,0.263,0.078,0.025,0.153,0.071,0.111
"P50","Ni buena ni mala",0.091,0.303,0.188,0.05,0.3,0.127,0.231
"P50","Mala",0.032,0.121,0.277,0.179,0.18,0.17,0.171
"P50","Muy mala",0.151,0.197,0.309,0.633,0.292,0.522,0.386
"P50","No sabe",0.002,0.006,0.005,0.004,0.006,0,0.05
"P51","Muy buena",0.283,0.363,0.081,0.017,0.062,0.026,0.054
"P51","Buena",0.428,0.436,0.057,0.015,0.148,0.073,0.15
"P51","Ni buena ni mala",0.218,0.147,0.272,0.12,0.339,0.223,0.326
"P51","Mala",0.039,0.024,0.294,0.184,0.173,0.188,0.169
"P51","Muy mala",0.022,0.021,0.263,0.635,0.259,0.469,0.229
"P51","No sabe",0.01,0.009,0.033,0.029,0.019,0.021,0.072
"P52","Muy buena",0.041,0.065,0.261,0.145,0.023,0.022,0.044
"P52","Buena",0.074,0.124,0.235,0.317,0.058,0.053,0.093
"P52","Ni buena ni mala",0.095,0.102,0.299,0.335,0.134,0.262,0.195
"P52","Mala",0.125,0.232,0.072,0.084,0.167,0.235,0.15
"P52","Muy mala",0.655,0.464,0.095,0.106,0.612,0.403,0.472
"P52","No sabe",0.01,0.013,0.038,0.013,0.006,0.025,0.046
"P53","Muy buena",0.536,0.252,0.093,0.03,0.272,0.06,0.165
"P53","Buena",0.24,0.316,0.1,0.052,0.235,0.047,0.147
"P53","Ni buena ni mala",0.091,0.244,0.219,0.084,0.241,0.138,0.215
"P53","Mala",0.029,0.092,0.266,0.129,0.092,0.155,0.146
"P53","Muy mala",0.098,0.092,0.283,0.686,0.153,0.6,0.284
"P53","No sabe",0.006,0.004,0.039,0.019,0.007,0,0.043
"P54","Muy buena",0.168,0.102,0.128,0.01,0.583,0.074,0.029
"P54","Buena",0.229,0.203,0.066,0.019,0.238,0.056,0.106
"P54","Ni buena ni mala",0.393,0.383,0.24,0.096,0.123,0.192,0.327
"P54","Mala",0.124,0.164,0.171,0.129,0.027,0.083,0.184
"P54","Muy mala",0.071,0.131,0.328,0.705,0.027,0.588,0.293
"P54","No sabe",0.015,0.017,0.067,0.041,0.002,0.007,0.061
"P55","Muy buena",0.397,0.252,0.091,0.011,0.164,0.033,0.085
"P55","Buena",0.344,0.357,0.051,0.013,0.216,0.068,0.141
"P55","Ni buena ni mala",0.181,0.25,0.188,0.082,0.243,0.136,0.266
"P55","Mala",0.049,0.083,0.267,0.15,0.144,0.134,0.188
"P55","Muy mala",0.022,0.053,0.334,0.724,0.219,0.591,0.271
"P55","No sabe",0.007,0.005,0.069,0.02,0.014,0.038,0.049
"P56","Muy buena",0.065,0.053,0.212,0.139,0.043,0.007,0.024
"P56","Buena",0.062,0.079,0.291,0.348,0.053,0.096,0.072
"P56","Ni buena ni mala",0.073,0.15,0.319,0.31,0.139,0.207,0.183
"P56","Mala",0.15,0.247,0.066,0.073,0.156,0.212,0.212
"P56","Muy mala",0.641,0.467,0.098,0.114,0.601,0.443,0.465
"P56","No sabe",0.009,0.004,0.014,0.016,0.008,0.035,0.044
"P57","Muy buena",0.097,0.212,0.133,0.031,0.081,0.06,0.13
"P57","Buena",0.18,0.249,0.06,0.117,0.121,0.17,0.149
"P57","Ni buena ni mala",0.317,0.338,0.492,0.366,0.314,0.279,0.342
"P57","Mala",0.15,0.061,0.109,0.176,0.145,0.224,0.133
"P57","Muy mala",0.215,0.1,0.074,0.204,0.27,0.181,0.171
"P57","No sabe",0.041,0.04,0.132,0.106,0.069,0.086,0.075
"P58","Muy buena",0.083,0.219,0.057,0.008,0.043,0.071,0.077
"P58","Buena",0.24,0.339,0.049,0.04,0.088,0.093,0.106
"P58","Ni buena ni mala",0.4,0.329,0.43,0.187,0.359,0.21,0.365
"P58","Mala",0.123,0.039,0.157,0.171,0.131,0.157,0.168
"P58","Muy mala",0.101,0.025,0.189,0.492,0.292,0.364,0.192
"P58","No sabe",0.053,0.049,0.118,0.102,0.087,0.105,0.092
"P59","Siempre",0.365,0.311,0.369,0.348,0.25,0.306,0.271
"P59","Casi siempre",0.365,0.427,0.286,0.351,0.378,0.404,0.364
"P59","Casi nunca",0.19,0.18,0.199,0.188,0.28,0.235,0.233
"P59","Nunca, pero esta es una excepción",0.08,0.082,0.146,0.113,0.092,0.055,0.132
"P60","Si",0.584,0.535,0.512,0.611,0.558,0.623,0.477
"P60","No",0.416,0.465,0.488,0.389,0.442,0.377,0.523
