"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P12","A Mauricio Macri",0.255,0.317,0.451,0.064,0.384
"P12","A Patricia Bullrich",0.152,0.226,0.392,0.085,0.293
"P12","A Facundo Manes",0.212,0.074,0.017,0.587,0.16
"P12","A Gerardo Morales",0.105,0.048,0.009,0,0.033
"P13","Seguro lo votaria",0.253,0.227,0.361,0,0.099
"P13","Quizás lo votaría",0.207,0.302,0.427,0.137,0.349
"P13","Nunca lo votaría",0.54,0.471,0.212,0.863,0.552
"P14","Lo votaría",0.053,0.479,0.219,0.07,0.201
"P14","Puede que lo vote",0.042,0.271,0.32,0.025,0.176
"P14","Nunca lo votaría",0.815,0.186,0.364,0.683,0.441
"P14","No sabe",0.09,0.064,0.097,0.222,0.182
"P15","Lo votaría",0.23,0.104,0.072,0.069,0.069
"P15","Puede que lo vote",0.398,0.109,0.089,0.168,0.134
"P15","Nunca lo votaría",0.26,0.744,0.784,0.646,0.629
"P15","No sabe",0.112,0.043,0.055,0.117,0.168
"P16","Lo votaría",0.268,0.039,0.012,0.044,0.075
"P16","Puede que lo vote",0.421,0.05,0.034,0.184,0.082
"P16","Nunca lo votaría",0.189,0.886,0.924,0.641,0.708
"P16","No sabe",0.122,0.025,0.03,0.131,0.135
"P17","La votaría",0.775,0.049,0.024,0.261,0.098
"P17","Puede que la vote",0.113,0.03,0.021,0.198,0.061
"P17","Nunca la votaría",0.082,0.909,0.935,0.433,0.737
"P17","No sabe",0.03,0.012,0.02,0.108,0.104
"P18","Lo votaría",0.117,0.405,0.073,0.074,0.06
"P18","Puede que lo vote",0.057,0.381,0.283,0.12,0.235
"P18","Nunca lo votaría",0.783,0.175,0.566,0.627,0.521
"P18","No sabe",0.043,0.039,0.078,0.179,0.184
"P19","Lo votaría",0.034,0.216,0.065,0.092,0.092
"P19","Puede que lo vote",0.134,0.382,0.248,0.183,0.193
"P19","Nunca lo votaría",0.708,0.298,0.558,0.537,0.479
"P19","No sabe",0.124,0.104,0.129,0.188,0.236
"P20","La votaría",0.033,0.436,0.306,0.078,0.219
"P20","Puede que la vote",0.051,0.328,0.328,0.071,0.181
"P20","Nunca la votaría",0.866,0.178,0.307,0.748,0.44
"P20","No sabe",0.05,0.058,0.059,0.103,0.16
"P21","Lo votaría",0.029,0.134,0.64,0.029,0.077
"P21","Puede que lo vote",0.049,0.308,0.255,0.1,0.172
"P21","Nunca lo votaría",0.851,0.491,0.079,0.763,0.59
"P21","No sabe",0.071,0.067,0.026,0.108,0.161
"P22","La votaría",0.037,0.271,0.166,0.038,0.07
"P22","Puede que la vote",0.057,0.359,0.255,0.099,0.212
"P22","Nunca la votaría",0.839,0.27,0.493,0.696,0.529
"P22","No sabe",0.067,0.1,0.086,0.167,0.189
"P23","Lo votaría",0.175,0.058,0.024,0.07,0.035
"P23","Puede que lo vote",0.411,0.085,0.073,0.218,0.118
"P23","Nunca lo votaría",0.324,0.813,0.869,0.599,0.714
"P23","No sabe",0.09,0.044,0.034,0.113,0.133
"P24","Lo votaría",0.034,0.139,0.033,0.029,0.018
"P24","Puede que lo vote",0.108,0.313,0.105,0.09,0.125
"P24","Nunca lo votaría",0.744,0.438,0.754,0.699,0.638
"P24","No sabe",0.114,0.11,0.108,0.182,0.219
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.033,0.473,0.163,0.049,0.227
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.027,0.394,0.038,0.024,0.045
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.075,0.013,0.009,0.031,0.056
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.828,0.039,0.021,0.197,0.103
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.007,0.025,0.727,0.021,0.05
"P25","Nicolás del Caño – Myriam Bregman",0.009,0.008,0.01,0.599,0.013
"P25","Otros candidatos",0.021,0.048,0.032,0.079,0.506
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.882,0.057,0.019,0.182,0.111
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.053,0.718,0.152,0.023,0.248
"P29","Javier Milei – José Luis Espert por los liberales",0.024,0.051,0.793,0.012,0.055
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.011,0.012,0.002,0.673,0.008
"P29","Otro candidato",0.03,0.162,0.034,0.11,0.578
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.115,0.724,0.061,0.04,0.105
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.6,0.118,0.034,0.09,0.118
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.027,0.052,0.86,0.008,0.062
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.046,0.006,0.004,0.768,0.027
"P31","Otro candidato",0.212,0.1,0.041,0.094,0.688
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.641,0.09,0.017,0.136,0.09
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.082,0.711,0.202,0.03,0.277
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.015,0.059,0.748,0.012,0.045
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.04,0.008,0.008,0.726,0.009
"P33","Otro candidato",0.222,0.132,0.025,0.096,0.579
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.621,0.122,0.035,0.063,0.086
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.121,0.766,0.043,0.085,0.09
"P35","Javier Milei – José Luis Espert por los liberales",0.008,0.039,0.894,0.02,0.05
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.043,0.007,0.003,0.78,0.009
"P35","Otro candidato",0.207,0.066,0.025,0.052,0.765
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.715,0.049,0.015,0.034,0.058
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.054,0.785,0.146,0.031,0.198
"P38","Javier Milei – José Luis Espert por los liberales",0.015,0.049,0.825,0.003,0.033
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.036,0.01,0.002,0.851,0.013
"P38","Otro candidato",0.18,0.107,0.012,0.081,0.698
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.887,0.074,0.037,0.468,0.134
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.066,0.791,0.472,0.155,0.35
"P39","No sabe",0.047,0.135,0.491,0.377,0.516
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.729,0.053,0.031,0.335,0.128
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.065,0.876,0.445,0.145,0.225
"P40","No sabe",0.206,0.071,0.524,0.52,0.647
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.733,0.062,0.031,0.318,0.117
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.069,0.816,0.592,0.147,0.361
"P41","No sabe",0.198,0.122,0.377,0.535,0.522
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.876,0.05,0.031,0.442,0.125
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.065,0.876,0.473,0.152,0.227
"P42","No sabe",0.059,0.074,0.496,0.406,0.648
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.741,0.051,0.037,0.278,0.117
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.071,0.894,0.454,0.143,0.194
"P43","No sabe",0.188,0.055,0.509,0.579,0.689
"P44","Mauricio Macri – María Eugenia Vidal",0.157,0.699,0.475,0.224,0.34
"P44","Sergio Massa – Wado de Pedro",0.663,0.181,0.11,0.19,0.134
"P44","No sabe",0.18,0.12,0.415,0.586,0.526
"P45","Sergio Massa – Wado de Pedro",0.687,0.138,0.086,0.298,0.135
"P45","Javier Milei – José Luis Espert",0.116,0.367,0.806,0.189,0.174
"P45","No sabe",0.197,0.495,0.108,0.513,0.691
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.193,0.73,0.029,0.152,0.175
"P46","Javier Milei – José Luis Espert",0.056,0.115,0.885,0.125,0.138
"P46","No sabe",0.751,0.155,0.086,0.723,0.687
"P47","Muy buena",0.177,0.115,0.007,0.024,0.042
"P47","Buena",0.329,0.03,0.112,0.079,0.046
"P47","Ni buena ni mala",0.344,0.046,0.061,0.353,0.207
"P47","Mala",0.093,0.123,0.07,0.255,0.14
"P47","Muy mala",0.045,0.684,0.748,0.289,0.527
"P47","No sabe",0.012,0.002,0.002,0,0.038
"P48","Muy buena",0.174,0.023,0.008,0.033,0.045
"P48","Buena",0.347,0.035,0.019,0.112,0.046
"P48","Ni buena ni mala",0.311,0.057,0.068,0.272,0.131
"P48","Mala",0.088,0.141,0.082,0.265,0.137
"P48","Muy mala",0.073,0.742,0.819,0.318,0.603
"P48","No sabe",0.007,0.002,0.004,0,0.038
"P49","Muy buena",0.683,0.034,0.01,0.177,0.054
"P49","Buena",0.146,0.022,0.013,0.134,0.045
"P49","Ni buena ni mala",0.085,0.032,0.059,0.3,0.092
"P49","Mala",0.02,0.065,0.063,0.079,0.108
"P49","Muy mala",0.06,0.844,0.855,0.306,0.661
"P49","No sabe",0.006,0.003,0,0.004,0.04
"P50","Muy buena",0.125,0.278,0.129,0.074,0.136
"P50","Buena",0.041,0.279,0.182,0.075,0.129
"P50","Ni buena ni mala",0.067,0.182,0.261,0.15,0.197
"P50","Mala",0.171,0.08,0.162,0.178,0.144
"P50","Muy mala",0.593,0.179,0.26,0.523,0.352
"P50","No sabe",0.003,0.002,0.006,0,0.042
"P51","Muy buena",0.034,0.356,0.078,0.032,0.067
"P51","Buena",0.051,0.437,0.184,0.054,0.168
"P51","Ni buena ni mala",0.117,0.15,0.342,0.241,0.343
"P51","Mala",0.19,0.023,0.161,0.155,0.149
"P51","Muy mala",0.581,0.027,0.217,0.496,0.208
"P51","No sabe",0.027,0.007,0.018,0.022,0.065
"P52","Muy buena",0.158,0.071,0.015,0.035,0.034
"P52","Buena",0.308,0.103,0.061,0.097,0.085
"P52","Ni buena ni mala",0.319,0.1,0.145,0.24,0.174
"P52","Mala",0.082,0.162,0.16,0.252,0.164
"P52","Muy mala",0.117,0.555,0.614,0.371,0.497
"P52","No sabe",0.016,0.009,0.005,0.005,0.046
"P53","Muy buena",0.05,0.401,0.316,0.043,0.232
"P53","Buena",0.063,0.283,0.233,0.029,0.146
"P53","Ni buena ni mala",0.09,0.154,0.221,0.189,0.191
"P53","Mala",0.141,0.056,0.079,0.168,0.129
"P53","Muy mala",0.638,0.103,0.145,0.571,0.257
"P53","No sabe",0.018,0.003,0.006,0,0.045
"P54","Muy buena",0.032,0.108,0.521,0.036,0.057
"P54","Buena",0.021,0.2,0.276,0.054,0.093
"P54","Ni buena ni mala",0.12,0.411,0.153,0.13,0.325
"P54","Mala",0.136,0.146,0.026,0.124,0.189
"P54","Muy mala",0.652,0.123,0.021,0.643,0.266
"P54","No sabe",0.039,0.012,0.003,0.013,0.07
"P55","Muy buena",0.036,0.348,0.18,0.047,0.133
"P55","Buena",0.032,0.332,0.248,0.062,0.173
"P55","Ni buena ni mala",0.089,0.193,0.254,0.164,0.242
"P55","Mala",0.159,0.066,0.123,0.106,0.168
"P55","Muy mala",0.667,0.055,0.181,0.583,0.23
"P55","No sabe",0.017,0.006,0.014,0.038,0.054
"P56","Muy buena",0.153,0.064,0.033,0.026,0.041
"P56","Buena",0.325,0.074,0.063,0.103,0.099
"P56","Ni buena ni mala",0.288,0.104,0.143,0.316,0.178
"P56","Mala",0.078,0.194,0.162,0.177,0.175
"P56","Muy mala",0.14,0.557,0.591,0.378,0.468
"P56","No sabe",0.016,0.007,0.008,0,0.039
"P57","Muy buena",0.043,0.162,0.082,0.077,0.1
"P57","Buena",0.111,0.236,0.122,0.191,0.125
"P57","Ni buena ni mala",0.375,0.338,0.314,0.316,0.323
"P57","Mala",0.169,0.105,0.147,0.147,0.152
"P57","Muy mala",0.193,0.13,0.269,0.188,0.215
"P57","No sabe",0.109,0.029,0.066,0.081,0.085
"P58","Muy buena",0.023,0.167,0.037,0.055,0.045
"P58","Buena",0.057,0.305,0.1,0.084,0.1
"P58","Ni buena ni mala",0.207,0.365,0.381,0.217,0.353
"P58","Mala",0.163,0.072,0.137,0.121,0.185
"P58","Muy mala",0.448,0.05,0.263,0.384,0.218
"P58","No sabe",0.102,0.041,0.082,0.139,0.099
"P59","Siempre",0.351,0.361,0.256,0.26,0.292
"P59","Casi siempre",0.356,0.395,0.372,0.471,0.333
"P59","Casi nunca",0.182,0.167,0.277,0.174,0.252
"P59","Nunca, pero esta es una excepción",0.111,0.077,0.095,0.095,0.123
"P60","Si",0.598,0.553,0.579,0.613,0.499
"P60","No",0.402,0.447,0.421,0.387,0.501
