"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos ","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P21","Nunca lo votaría",0.898,0.436,0.069,0.775,0.658
"P21","No sabe",0.043,0.054,0.03,0.117,0.171
"P22","La votaría",0.023,0.283,0.157,0.049,0.053
"P22","Puede que la vote",0.048,0.392,0.226,0.078,0.165
"P22","Nunca la votaría",0.877,0.239,0.525,0.781,0.596
"P22","No sabe",0.052,0.086,0.092,0.092,0.186
"P23","Lo votaría",0.199,0.044,0.03,0.072,0.056
"P23","Puede que lo vote",0.427,0.085,0.075,0.265,0.183
"P23","Nunca lo votaría",0.297,0.838,0.858,0.578,0.615
"P23","No sabe",0.077,0.033,0.037,0.085,0.146
"P24","Lo votaría",0.037,0.103,0.041,0.044,0.047
"P24","Puede que lo vote",0.116,0.285,0.105,0.072,0.128
"P24","Nunca lo votaría",0.756,0.514,0.74,0.728,0.599
"P24","No sabe",0.091,0.098,0.114,0.156,0.226
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.009,0.621,0.072,0.053,0.064
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.023,0.266,0.073,0.04,0.137
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.079,0.012,0.008,0.057,0.055
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.832,0.018,0.028,0.346,0.318
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.011,0.037,0.771,0.016,0.03
"P25","Nicolás del Caño – Myriam Bregman",0.008,0.007,0.011,0.38,0.015
"P25","Otros candidatos",0.038,0.039,0.037,0.108,0.381
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.907,0.028,0.022,0.363,0.323
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.014,0.848,0.069,0.019,0.092
"P29","Javier Milei – José Luis Espert por los liberales",0.022,0.051,0.859,0.037,0.034
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.007,0.007,0.004,0.454,0.012
"P29","Otro candidato",0.05,0.066,0.046,0.127,0.539
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.109,0.615,0.077,0.082,0.163
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.665,0.106,0.036,0.131,0.2
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.022,0.13,0.844,0.009,0.037
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.028,0.008,0.004,0.64,0.022
"P31","Otro candidato",0.176,0.141,0.039,0.138,0.578
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.813,0.06,0.016,0.12,0.098
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.048,0.77,0.147,0.045,0.177
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.009,0.073,0.802,0.017,0.026
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.017,0.004,0.01,0.641,0.017
"P33","Otro candidato",0.113,0.093,0.025,0.177,0.682
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.792,0.093,0.029,0.088,0.076
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.106,0.646,0.077,0.109,0.158
"P35","Javier Milei – José Luis Espert por los liberales",0.007,0.132,0.855,0.015,0.03
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.014,0.007,0.005,0.697,0.017
"P35","Otro candidato",0.081,0.122,0.034,0.091,0.719
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.895,0.058,0.021,0.323,0.285
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.052,0.711,0.058,0.073,0.143
"P37","Javier Milei – José Luis Espert por los liberales",0.014,0.124,0.899,0.014,0.015
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.003,0.002,0,0.533,0.009
"P37","Otro candidato",0.036,0.105,0.022,0.057,0.548
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.884,0.079,0.033,0.55,0.339
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.058,0.872,0.419,0.121,0.174
"P39","No sabe",0.058,0.049,0.548,0.329,0.487
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.81,0.024,0.034,0.392,0.231
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.039,0.833,0.423,0.122,0.233
"P40","No sabe",0.151,0.143,0.543,0.486,0.536
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.881,0.023,0.028,0.392,0.146
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.033,0.879,0.557,0.138,0.23
"P41","No sabe",0.086,0.098,0.415,0.47,0.624
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.903,0.023,0.034,0.532,0.334
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.031,0.842,0.449,0.135,0.232
"P42","No sabe",0.066,0.135,0.517,0.333,0.434
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.871,0.024,0.034,0.387,0.155
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.033,0.848,0.433,0.154,0.222
"P43","No sabe",0.096,0.128,0.533,0.459,0.623
"P44","Mauricio Macri – María Eugenia Vidal",0.161,0.794,0.42,0.157,0.161
"P44","Sergio Massa – Wado de Pedro",0.747,0.15,0.118,0.299,0.193
"P44","No sabe",0.092,0.056,0.462,0.544,0.646
"P45","Sergio Massa – Wado de Pedro",0.78,0.13,0.072,0.357,0.187
"P45","Javier Milei – José Luis Espert",0.122,0.413,0.81,0.171,0.113
"P45","No sabe",0.098,0.457,0.118,0.472,0.7
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.189,0.61,0.065,0.188,0.212
"P46","Javier Milei – José Luis Espert",0.059,0.217,0.854,0.127,0.083
"P46","No sabe",0.752,0.173,0.081,0.685,0.705
"P47","Muy buena",0.172,0.103,0.014,0.049,0.081
"P47","Buena",0.336,0.036,0.094,0.119,0.142
"P47","Ni buena ni mala",0.369,0.041,0.066,0.352,0.219
"P47","Mala",0.088,0.1,0.073,0.253,0.151
"P47","Muy mala",0.023,0.718,0.75,0.208,0.375
"P47","No sabe",0.012,0.002,0.003,0.019,0.032
"P48","Muy buena",0.185,0.019,0.007,0.056,0.074
"P48","Buena",0.371,0.015,0.013,0.134,0.14
"P48","Ni buena ni mala",0.308,0.038,0.076,0.327,0.198
"P48","Mala",0.093,0.123,0.087,0.256,0.125
"P48","Muy mala",0.036,0.8,0.813,0.227,0.434
"P48","No sabe",0.007,0.005,0.004,0,0.029
"P49","Muy buena",0.68,0.017,0.011,0.308,0.252
"P49","Buena",0.162,0.013,0.008,0.128,0.073
"P49","Ni buena ni mala",0.087,0.028,0.061,0.218,0.097
"P49","Mala",0.037,0.061,0.062,0.08,0.069
"P49","Muy mala",0.027,0.877,0.858,0.261,0.48
"P49","No sabe",0.007,0.004,0,0.005,0.029
"P50","Muy buena",0.123,0.357,0.069,0.088,0.053
"P50","Buena",0.037,0.297,0.163,0.054,0.086
"P50","Ni buena ni mala",0.056,0.154,0.297,0.116,0.191
"P50","Mala",0.17,0.046,0.185,0.147,0.203
"P50","Muy mala",0.61,0.145,0.279,0.595,0.435
"P50","No sabe",0.004,0.001,0.007,0,0.032
"P51","Muy buena",0.026,0.311,0.081,0.069,0.081
"P51","Buena",0.028,0.436,0.176,0.062,0.131
"P51","Ni buena ni mala",0.114,0.188,0.332,0.163,0.282
"P51","Mala",0.197,0.037,0.159,0.154,0.155
"P51","Muy mala",0.609,0.024,0.233,0.541,0.281
"P51","No sabe",0.026,0.004,0.019,0.011,0.07
"P52","Muy buena",0.191,0.057,0.019,0.071,0.03
"P52","Buena",0.349,0.089,0.059,0.089,0.12
"P52","Ni buena ni mala",0.296,0.082,0.149,0.303,0.273
"P52","Mala",0.062,0.156,0.169,0.21,0.168
"P52","Muy mala",0.087,0.611,0.598,0.316,0.363
"P52","No sabe",0.015,0.005,0.006,0.011,0.046
"P53","Muy buena",0.041,0.477,0.265,0.07,0.106
"P53","Buena",0.065,0.26,0.254,0.03,0.122
"P53","Ni buena ni mala",0.091,0.122,0.242,0.137,0.207
"P53","Mala",0.135,0.052,0.087,0.125,0.151
"P53","Muy mala",0.656,0.089,0.146,0.632,0.361
"P53","No sabe",0.012,0,0.006,0.006,0.053
"P54","Muy buena",0.024,0.135,0.543,0.045,0.034
"P54","Buena",0.019,0.223,0.26,0.031,0.067
"P54","Ni buena ni mala",0.101,0.399,0.15,0.155,0.278
"P54","Mala",0.14,0.146,0.022,0.097,0.167
"P54","Muy mala",0.682,0.086,0.022,0.661,0.379
"P54","No sabe",0.034,0.011,0.003,0.011,0.075
"P55","Muy buena",0.018,0.372,0.156,0.07,0.083
"P55","Buena",0.02,0.35,0.232,0.071,0.12
"P55","Ni buena ni mala",0.084,0.192,0.261,0.107,0.216
"P55","Mala",0.172,0.057,0.136,0.092,0.165
"P55","Muy mala",0.693,0.024,0.199,0.635,0.362
"P55","No sabe",0.013,0.005,0.016,0.025,0.054
"P56","Muy buena",0.161,0.063,0.035,0.048,0.056
"P56","Buena",0.356,0.066,0.058,0.122,0.145
"P56","Ni buena ni mala",0.279,0.086,0.152,0.324,0.245
"P56","Mala",0.071,0.186,0.166,0.161,0.162
"P56","Muy mala",0.124,0.592,0.581,0.339,0.347
"P56","No sabe",0.009,0.007,0.008,0.006,0.045
"P57","Muy buena",0.054,0.133,0.087,0.085,0.094
"P57","Buena",0.132,0.204,0.121,0.143,0.13
"P57","Ni buena ni mala",0.376,0.319,0.335,0.298,0.346
"P57","Mala",0.161,0.139,0.127,0.23,0.131
"P57","Muy mala",0.184,0.164,0.264,0.179,0.193
"P57","No sabe",0.093,0.041,0.066,0.065,0.106
"P58","Muy buena",0.019,0.135,0.044,0.088,0.057
"P58","Buena",0.046,0.282,0.096,0.063,0.111
"P58","Ni buena ni mala",0.213,0.36,0.39,0.165,0.314
"P58","Mala",0.177,0.104,0.121,0.146,0.14
"P58","Muy mala",0.462,0.07,0.266,0.432,0.255
"P58","No sabe",0.083,0.049,0.083,0.106,0.123
"P59","Siempre",0.344,0.355,0.25,0.318,0.311
"P59","Casi siempre",0.361,0.391,0.366,0.437,0.34
"P59","Casi nunca",0.181,0.179,0.277,0.192,0.231
"P59","Nunca, pero esta es una excepción",0.114,0.075,0.107,0.053,0.118
"P60","Si",0.603,0.55,0.571,0.579,0.539
"P60","No",0.397,0.45,0.429,0.421,0.461
