"var","categoria","Sergio Massa – Wado de Pedro","Javier Milei – José Luis Espert","No sabe"
"P14","Puede que lo vote",0.071,0.305,0.179
"P14","Nunca lo votaría",0.76,0.301,0.392
"P14","No sabe",0.068,0.09,0.136
"P15","Lo votaría",0.253,0.083,0.075
"P15","Puede que lo vote",0.386,0.109,0.119
"P15","Nunca lo votaría",0.282,0.764,0.68
"P15","No sabe",0.079,0.044,0.126
"P16","Lo votaría",0.204,0.033,0.081
"P16","Puede que lo vote",0.387,0.071,0.081
"P16","Nunca lo votaría",0.311,0.866,0.743
"P16","No sabe",0.098,0.03,0.095
"P17","La votaría",0.623,0.075,0.173
"P17","Puede que la vote",0.106,0.039,0.05
"P17","Nunca la votaría",0.248,0.867,0.723
"P17","No sabe",0.023,0.019,0.054
"P18","Lo votaría",0.122,0.176,0.211
"P18","Puede que lo vote",0.108,0.302,0.26
"P18","Nunca lo votaría",0.744,0.455,0.415
"P18","No sabe",0.026,0.067,0.114
"P19","Lo votaría",0.057,0.088,0.139
"P19","Puede que lo vote",0.179,0.3,0.252
"P19","Nunca lo votaría",0.669,0.499,0.439
"P19","No sabe",0.095,0.113,0.17
"P20","La votaría",0.09,0.364,0.265
"P20","Puede que la vote",0.095,0.318,0.239
"P20","Nunca la votaría",0.792,0.258,0.385
"P20","No sabe",0.023,0.06,0.111
"P21","Lo votaría",0.069,0.442,0.114
"P21","Puede que lo vote",0.095,0.318,0.153
"P21","Nunca lo votaría",0.799,0.195,0.61
"P21","No sabe",0.037,0.045,0.123
"P22","La votaría",0.059,0.178,0.158
"P22","Puede que la vote",0.097,0.295,0.236
"P22","Nunca la votaría",0.799,0.436,0.456
"P22","No sabe",0.045,0.091,0.15
"P23","Lo votaría",0.173,0.042,0.051
"P23","Puede que lo vote",0.386,0.089,0.121
"P23","Nunca lo votaría",0.371,0.832,0.731
"P23","No sabe",0.07,0.037,0.097
"P24","Lo votaría",0.046,0.064,0.071
"P24","Puede que lo vote",0.121,0.188,0.183
"P24","Nunca lo votaría",0.742,0.64,0.575
"P24","No sabe",0.091,0.108,0.171
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.096,0.274,0.281
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.057,0.112,0.211
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.057,0.019,0.03
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.663,0.081,0.171
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.054,0.438,0.074
"P25","Nicolás del Caño – Myriam Bregman",0.019,0.015,0.033
"P25","Otros candidatos",0.054,0.061,0.2
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.72,0.086,0.18
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.13,0.333,0.404
"P29","Javier Milei – José Luis Espert por los liberales",0.062,0.491,0.084
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.023,0.016,0.032
"P29","Otro candidato",0.065,0.074,0.3
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.142,0.26,0.373
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.535,0.096,0.155
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.075,0.531,0.091
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.046,0.022,0.042
"P31","Otro candidato",0.202,0.091,0.339
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.624,0.085,0.086
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.138,0.383,0.412
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.058,0.46,0.082
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.041,0.015,0.047
"P33","Otro candidato",0.139,0.057,0.373
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.622,0.086,0.095
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.151,0.279,0.382
"P35","Javier Milei – José Luis Espert por los liberales",0.066,0.541,0.089
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.039,0.019,0.049
"P35","Otro candidato",0.122,0.075,0.385
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.717,0.098,0.185
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.124,0.266,0.4
"P37","Javier Milei – José Luis Espert por los liberales",0.073,0.557,0.083
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.021,0.011,0.033
"P37","Otro candidato",0.065,0.068,0.299
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.66,0.084,0.074
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.131,0.337,0.414
"P38","Javier Milei – José Luis Espert por los liberales",0.056,0.509,0.082
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.04,0.015,0.048
"P38","Otro candidato",0.113,0.055,0.382
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.756,0.094,0.207
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.156,0.613,0.429
"P39","No sabe",0.088,0.293,0.364
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.646,0.099,0.133
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.18,0.564,0.44
"P40","No sabe",0.174,0.337,0.427
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.733,0.097,0.067
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.171,0.679,0.46
"P41","No sabe",0.096,0.224,0.473
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.746,0.107,0.17
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.171,0.586,0.443
"P42","No sabe",0.083,0.307,0.387
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.737,0.097,0.058
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.173,0.573,0.443
"P43","No sabe",0.09,0.33,0.499
"P44","Mauricio Macri – María Eugenia Vidal",0.323,0.535,0.36
"P44","Sergio Massa – Wado de Pedro",0.635,0.211,0.118
"P44","No sabe",0.042,0.254,0.522
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.298,0.235,0.349
"P46","Javier Milei – José Luis Espert",0.099,0.67,0.058
"P46","No sabe",0.603,0.095,0.593
"P47","Muy buena",0.189,0.04,0.07
"P47","Buena",0.327,0.071,0.07
"P47","Ni buena ni mala",0.277,0.084,0.175
"P47","Mala",0.099,0.073,0.148
"P47","Muy mala",0.105,0.726,0.515
"P47","No sabe",0.003,0.006,0.022
"P48","Muy buena",0.137,0.03,0.051
"P48","Buena",0.302,0.046,0.073
"P48","Ni buena ni mala",0.263,0.069,0.15
"P48","Mala",0.121,0.082,0.137
"P48","Muy mala",0.174,0.769,0.567
"P48","No sabe",0.003,0.004,0.022
"P49","Muy buena",0.564,0.052,0.142
"P49","Buena",0.123,0.038,0.039
"P49","Ni buena ni mala",0.072,0.048,0.092
"P49","Mala",0.052,0.047,0.074
"P49","Muy mala",0.185,0.812,0.634
"P49","No sabe",0.004,0.003,0.019
"P50","Muy buena",0.122,0.19,0.184
"P50","Buena",0.081,0.214,0.154
"P50","Ni buena ni mala",0.072,0.219,0.197
"P50","Mala",0.155,0.123,0.148
"P50","Muy mala",0.569,0.248,0.297
"P50","No sabe",0.001,0.006,0.02
"P51","Muy buena",0.071,0.144,0.189
"P51","Buena",0.089,0.266,0.243
"P51","Ni buena ni mala",0.148,0.251,0.247
"P51","Mala",0.166,0.13,0.099
"P51","Muy mala",0.509,0.195,0.177
"P51","No sabe",0.017,0.014,0.045
"P52","Muy buena",0.158,0.045,0.041
"P52","Buena",0.297,0.093,0.091
"P52","Ni buena ni mala",0.278,0.107,0.213
"P52","Mala",0.088,0.159,0.163
"P52","Muy mala",0.173,0.589,0.46
"P52","No sabe",0.006,0.007,0.032
"P53","Muy buena",0.085,0.355,0.245
"P53","Buena",0.077,0.258,0.176
"P53","Ni buena ni mala",0.081,0.171,0.213
"P53","Mala",0.124,0.073,0.112
"P53","Muy mala",0.626,0.137,0.224
"P53","No sabe",0.007,0.006,0.03
"P54","Muy buena",0.066,0.359,0.084
"P54","Buena",0.055,0.283,0.072
"P54","Ni buena ni mala",0.13,0.219,0.354
"P54","Mala",0.134,0.054,0.175
"P54","Muy mala",0.603,0.079,0.252
"P54","No sabe",0.012,0.006,0.063
"P55","Muy buena",0.062,0.215,0.222
"P55","Buena",0.082,0.257,0.211
"P55","Ni buena ni mala",0.095,0.225,0.214
"P55","Mala",0.158,0.109,0.112
"P55","Muy mala",0.595,0.182,0.205
"P55","No sabe",0.008,0.012,0.036
"P56","Muy buena",0.135,0.055,0.057
"P56","Buena",0.29,0.084,0.105
"P56","Ni buena ni mala",0.264,0.121,0.189
"P56","Mala",0.097,0.158,0.181
"P56","Muy mala",0.207,0.574,0.439
"P56","No sabe",0.007,0.008,0.029
"P57","Muy buena",0.058,0.116,0.102
"P57","Buena",0.129,0.158,0.165
"P57","Ni buena ni mala",0.355,0.318,0.354
"P57","Mala",0.177,0.141,0.114
"P57","Muy mala",0.218,0.21,0.166
"P57","No sabe",0.063,0.057,0.099
"P58","Muy buena",0.04,0.074,0.092
"P58","Buena",0.083,0.17,0.163
"P58","Ni buena ni mala",0.235,0.346,0.354
"P58","Mala",0.176,0.128,0.102
"P58","Muy mala",0.407,0.21,0.178
"P58","No sabe",0.059,0.072,0.111
"P59","Siempre",0.338,0.3,0.323
"P59","Casi siempre",0.364,0.387,0.357
"P59","Casi nunca",0.2,0.223,0.211
"P59","Nunca, pero esta es una excepción",0.098,0.09,0.109
"P60","Si",0.596,0.582,0.523
"P60","No",0.404,0.418,0.477
