"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P12","A Horacio Rodriguez Larreta",0.187,0.283,0.147
"P12","A Mauricio Macri",0.349,0.354,0.353
"P12","A Patricia Bullrich",0.02,0.257,0.358
"P12","A Facundo Manes",0.259,0.071,0.107
"P12","A Gerardo Morales",0.185,0.035,0.035
"P13","Seguro lo votaria",0.197,0.229,0.241
"P13","Quizás lo votaría",0.252,0.328,0.309
"P13","Nunca lo votaría",0.551,0.443,0.45
"P14","Lo votaría",0.036,0.449,0.143
"P14","Puede que lo vote",0.045,0.316,0.165
"P14","Nunca lo votaría",0.825,0.165,0.551
"P14","No sabe",0.094,0.07,0.141
"P15","Lo votaría",0.24,0.101,0.074
"P15","Puede que lo vote",0.402,0.096,0.149
"P15","Nunca lo votaría",0.265,0.762,0.653
"P15","No sabe",0.093,0.041,0.124
"P16","Lo votaría",0.325,0.014,0.036
"P16","Puede que lo vote",0.455,0.027,0.104
"P16","Nunca lo votaría",0.126,0.941,0.739
"P16","No sabe",0.094,0.018,0.121
"P17","La votaría",0.78,0.015,0.186
"P17","Puede que la vote",0.126,0.017,0.064
"P17","Nunca la votaría",0.071,0.958,0.685
"P17","No sabe",0.023,0.01,0.065
"P18","Lo votaría",0.12,0.308,0.049
"P18","Puede que lo vote",0.053,0.411,0.153
"P18","Nunca lo votaría",0.791,0.236,0.667
"P18","No sabe",0.036,0.045,0.131
"P19","Lo votaría",0.025,0.173,0.069
"P19","Puede que lo vote",0.135,0.38,0.151
"P19","Nunca lo votaría",0.722,0.346,0.596
"P19","No sabe",0.118,0.101,0.184
"P20","La votaría",0.025,0.449,0.171
"P20","Puede que la vote",0.05,0.339,0.21
"P20","Nunca la votaría",0.88,0.163,0.509
"P20","No sabe",0.045,0.049,0.11
"P21","Lo votaría",0.036,0.271,0.305
"P21","Puede que lo vote",0.049,0.312,0.162
"P21","Nunca lo votaría",0.86,0.368,0.43
"P21","No sabe",0.055,0.049,0.103
"P22","La votaría",0.027,0.26,0.075
"P22","Puede que la vote",0.051,0.37,0.153
"P22","Nunca la votaría",0.852,0.284,0.636
"P22","No sabe",0.07,0.086,0.136
"P23","Lo votaría",0.218,0.041,0.022
"P23","Puede que lo vote",0.411,0.079,0.149
"P23","Nunca lo votaría",0.289,0.851,0.727
"P23","No sabe",0.082,0.029,0.102
"P24","Lo votaría",0.04,0.107,0.016
"P24","Puede que lo vote",0.105,0.27,0.085
"P24","Nunca lo votaría",0.749,0.519,0.734
"P24","No sabe",0.106,0.104,0.165
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.013,0.434,0.121
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.011,0.277,0.04
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.094,0.009,0.019
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.804,0.013,0.212
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.022,0.187,0.361
"P25","Nicolás del Caño – Myriam Bregman",0.024,0.009,0.039
"P25","Otros candidatos",0.032,0.071,0.208
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.873,0.017,0.211
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.02,0.608,0.124
"P29","Javier Milei – José Luis Espert por los liberales",0.029,0.232,0.383
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.027,0.012,0.033
"P29","Otro candidato",0.051,0.131,0.249
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.086,0.534,0.07
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.69,0.093,0.07
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.032,0.257,0.412
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.051,0.01,0.056
"P31","Otro candidato",0.141,0.106,0.392
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.678,0.048,0.127
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.051,0.617,0.154
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.029,0.218,0.368
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.047,0.009,0.051
"P33","Otro candidato",0.195,0.108,0.3
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.64,0.074,0.135
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.088,0.567,0.058
"P35","Javier Milei – José Luis Espert por los liberales",0.029,0.261,0.406
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.053,0.009,0.05
"P35","Otro candidato",0.19,0.089,0.351
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.827,0.051,0.202
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.051,0.581,0.059
"P37","Javier Milei – José Luis Espert por los liberales",0.028,0.277,0.407
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.026,0.008,0.035
"P37","Otro candidato",0.068,0.083,0.297
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.742,0.025,0.119
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.026,0.616,0.132
"P38","Javier Milei – José Luis Espert por los liberales",0.028,0.24,0.385
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.049,0.011,0.052
"P38","Otro candidato",0.155,0.108,0.312
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.915,0.042,0.208
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.043,0.833,0.191
"P39","No sabe",0.042,0.125,0.601
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.824,0.019,0.134
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.027,0.883,0.252
"P41","No sabe",0.149,0.098,0.614
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.911,0.013,0.211
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.02,0.913,0.108
"P42","No sabe",0.069,0.074,0.681
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.814,0.02,0.148
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.025,0.899,0.113
"P43","No sabe",0.161,0.081,0.739
"P44","Mauricio Macri – María Eugenia Vidal",0.16,0.719,0.235
"P44","Sergio Massa – Wado de Pedro",0.68,0.172,0.16
"P44","No sabe",0.16,0.109,0.605
"P45","Sergio Massa – Wado de Pedro",0.705,0.132,0.163
"P45","Javier Milei – José Luis Espert",0.133,0.51,0.392
"P45","No sabe",0.162,0.358,0.445
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.176,0.544,0.064
"P46","Javier Milei – José Luis Espert",0.066,0.357,0.422
"P46","No sabe",0.758,0.099,0.514
"P47","Muy buena",0.184,0.085,0.028
"P47","Buena",0.34,0.05,0.106
"P47","Ni buena ni mala",0.365,0.028,0.191
"P47","Mala",0.072,0.105,0.134
"P47","Muy mala",0.028,0.73,0.519
"P47","No sabe",0.011,0.002,0.022
"P48","Muy buena",0.214,0.01,0.021
"P48","Buena",0.37,0.019,0.069
"P48","Ni buena ni mala",0.299,0.033,0.185
"P48","Mala",0.082,0.116,0.131
"P48","Muy mala",0.031,0.818,0.572
"P48","No sabe",0.004,0.004,0.022
"P49","Muy buena",0.68,0.01,0.142
"P49","Buena",0.165,0.012,0.044
"P49","Ni buena ni mala",0.088,0.023,0.114
"P49","Mala",0.032,0.062,0.072
"P49","Muy mala",0.028,0.892,0.609
"P49","No sabe",0.007,0.001,0.019
"P50","Muy buena",0.124,0.243,0.107
"P50","Buena",0.035,0.274,0.102
"P50","Ni buena ni mala",0.069,0.209,0.2
"P50","Mala",0.174,0.085,0.186
"P50","Muy mala",0.594,0.188,0.382
"P50","No sabe",0.004,0.001,0.023
"P51","Muy buena",0.03,0.276,0.047
"P51","Buena",0.02,0.408,0.103
"P51","Ni buena ni mala",0.128,0.221,0.295
"P51","Mala",0.186,0.053,0.184
"P51","Muy mala",0.613,0.036,0.32
"P51","No sabe",0.023,0.006,0.051
"P52","Muy buena",0.168,0.047,0.039
"P52","Buena",0.313,0.091,0.095
"P52","Ni buena ni mala",0.288,0.106,0.223
"P52","Mala",0.093,0.159,0.153
"P52","Muy mala",0.119,0.592,0.465
"P52","No sabe",0.019,0.005,0.025
"P53","Muy buena",0.049,0.413,0.174
"P53","Buena",0.059,0.275,0.152
"P53","Ni buena ni mala",0.097,0.148,0.222
"P53","Mala",0.153,0.051,0.122
"P53","Muy mala",0.631,0.11,0.298
"P53","No sabe",0.011,0.003,0.032
"P54","Muy buena",0.046,0.212,0.26
"P54","Buena",0.026,0.233,0.135
"P54","Ni buena ni mala",0.094,0.348,0.213
"P54","Mala",0.137,0.114,0.106
"P54","Muy mala",0.661,0.08,0.25
"P54","No sabe",0.036,0.013,0.036
"P55","Muy buena",0.029,0.315,0.106
"P55","Buena",0.021,0.34,0.137
"P55","Ni buena ni mala",0.082,0.217,0.225
"P55","Mala",0.159,0.074,0.162
"P55","Muy mala",0.687,0.051,0.333
"P55","No sabe",0.022,0.003,0.037
"P56","Muy buena",0.174,0.064,0.018
"P56","Buena",0.362,0.064,0.089
"P56","Ni buena ni mala",0.262,0.1,0.233
"P56","Mala",0.062,0.186,0.169
"P56","Muy mala",0.123,0.581,0.467
"P56","No sabe",0.017,0.005,0.024
"P57","Muy buena",0.056,0.144,0.061
"P57","Buena",0.113,0.205,0.113
"P57","Ni buena ni mala",0.376,0.333,0.321
"P57","Mala",0.173,0.115,0.154
"P57","Muy mala",0.193,0.161,0.253
"P57","No sabe",0.089,0.042,0.098
"P58","Muy buena",0.028,0.129,0.025
"P58","Buena",0.046,0.261,0.067
"P58","Ni buena ni mala",0.207,0.393,0.307
"P58","Mala",0.177,0.09,0.155
"P58","Muy mala",0.463,0.074,0.327
"P58","No sabe",0.079,0.053,0.119
"P59","Siempre",0.354,0.332,0.272
"P59","Casi siempre",0.351,0.404,0.341
"P59","Casi nunca",0.176,0.193,0.269
"P59","Nunca, pero esta es una excepción",0.119,0.071,0.118
"P60","Si",0.597,0.567,0.542
"P60","No",0.403,0.433,0.458
