"var","categoria","Horacio Rodríguez Larreta – Gerardo Morales","Javier Milei – José Luis Espert","No sabe"
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.02,0.015,0.062
"P35","Otro candidato",0.112,0.06,0.342
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.204,0.058,0.565
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.673,0.104,0.102
"P37","Javier Milei – José Luis Espert por los liberales",0.025,0.763,0.054
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.011,0.009,0.038
"P37","Otro candidato",0.087,0.066,0.241
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.163,0.049,0.462
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.633,0.22,0.127
"P38","Javier Milei – José Luis Espert por los liberales",0.052,0.667,0.046
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.022,0.014,0.057
"P38","Otro candidato",0.13,0.05,0.308
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.194,0.075,0.605
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.684,0.536,0.144
"P39","No sabe",0.122,0.389,0.251
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.164,0.06,0.502
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.767,0.49,0.099
"P40","No sabe",0.069,0.45,0.399
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.175,0.058,0.501
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.705,0.641,0.147
"P41","No sabe",0.12,0.301,0.352
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.177,0.063,0.598
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.763,0.519,0.098
"P42","No sabe",0.06,0.418,0.304
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.179,0.067,0.489
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.771,0.497,0.097
"P43","No sabe",0.05,0.436,0.414
"P44","Mauricio Macri – María Eugenia Vidal",0.723,0.491,0.146
"P44","Sergio Massa – Wado de Pedro",0.178,0.174,0.487
"P44","No sabe",0.099,0.335,0.367
"P45","Sergio Massa – Wado de Pedro",0.303,0.098,0.437
"P45","Javier Milei – José Luis Espert",0.302,0.838,0.087
"P45","No sabe",0.395,0.064,0.476
"P47","Muy buena",0.17,0.008,0.103
"P47","Buena",0.058,0.132,0.221
"P47","Ni buena ni mala",0.08,0.045,0.329
"P47","Mala",0.113,0.082,0.117
"P47","Muy mala",0.578,0.726,0.211
"P47","No sabe",0.001,0.007,0.019
"P48","Muy buena",0.047,0.018,0.122
"P48","Buena",0.066,0.038,0.245
"P48","Ni buena ni mala",0.096,0.059,0.263
"P48","Mala",0.13,0.083,0.12
"P48","Muy mala",0.657,0.798,0.233
"P48","No sabe",0.004,0.004,0.017
"P49","Muy buena",0.12,0.031,0.464
"P49","Buena",0.04,0.023,0.109
"P49","Ni buena ni mala",0.04,0.054,0.103
"P49","Mala",0.059,0.062,0.053
"P49","Muy mala",0.736,0.827,0.256
"P49","No sabe",0.005,0.003,0.015
"P50","Muy buena",0.303,0.139,0.092
"P50","Buena",0.248,0.198,0.056
"P50","Ni buena ni mala",0.193,0.226,0.108
"P50","Mala",0.085,0.151,0.173
"P50","Muy mala",0.17,0.278,0.556
"P50","No sabe",0.001,0.008,0.015
"P51","Muy buena",0.302,0.093,0.051
"P51","Buena",0.361,0.219,0.085
"P51","Ni buena ni mala",0.174,0.31,0.184
"P51","Mala",0.067,0.149,0.163
"P51","Muy mala",0.09,0.209,0.475
"P51","No sabe",0.006,0.02,0.042
"P52","Muy buena",0.068,0.031,0.118
"P52","Buena",0.087,0.1,0.238
"P52","Ni buena ni mala",0.126,0.129,0.287
"P52","Mala",0.173,0.146,0.11
"P52","Muy mala",0.539,0.585,0.22
"P52","No sabe",0.007,0.009,0.027
"P53","Muy buena",0.361,0.312,0.097
"P53","Buena",0.234,0.242,0.089
"P53","Ni buena ni mala",0.142,0.203,0.136
"P53","Mala",0.079,0.075,0.135
"P53","Muy mala",0.182,0.16,0.515
"P53","No sabe",0.002,0.008,0.028
"P54","Muy buena",0.084,0.452,0.054
"P54","Buena",0.148,0.287,0.041
"P54","Ni buena ni mala",0.383,0.176,0.176
"P54","Mala",0.163,0.037,0.144
"P54","Muy mala",0.21,0.041,0.534
"P54","No sabe",0.012,0.007,0.051
"P55","Muy buena",0.31,0.177,0.068
"P55","Buena",0.268,0.262,0.08
"P55","Ni buena ni mala",0.181,0.245,0.138
"P55","Mala",0.088,0.124,0.151
"P55","Muy mala",0.15,0.176,0.531
"P55","No sabe",0.003,0.016,0.032
"P56","Muy buena",0.058,0.046,0.119
"P56","Buena",0.068,0.087,0.262
"P56","Ni buena ni mala",0.118,0.133,0.273
"P56","Mala",0.181,0.168,0.108
"P56","Muy mala",0.567,0.557,0.215
"P56","No sabe",0.008,0.009,0.023
"P57","Muy buena",0.148,0.093,0.056
"P57","Buena",0.218,0.13,0.118
"P57","Ni buena ni mala",0.343,0.301,0.369
"P57","Mala",0.113,0.152,0.158
"P57","Muy mala",0.14,0.254,0.2
"P57","No sabe",0.038,0.07,0.099
"P58","Muy buena",0.142,0.055,0.027
"P58","Buena",0.268,0.131,0.058
"P58","Ni buena ni mala",0.357,0.351,0.26
"P58","Mala",0.1,0.139,0.154
"P58","Muy mala",0.085,0.235,0.402
"P58","No sabe",0.048,0.089,0.099
"P59","Siempre",0.363,0.272,0.321
"P59","Casi siempre",0.384,0.384,0.35
"P59","Casi nunca",0.175,0.249,0.213
"P59","Nunca, pero esta es una excepción",0.078,0.095,0.116
"P60","Si",0.58,0.577,0.55
"P60","No",0.42,0.423,0.45
