"var","categoria","Micaela Ferraro por el Frente de todos","Gisela Zamora por Frente vecinal unidos","Segundo cernadas por juntos por el cambio","Rodriguez Laborde por el Frente de Randazzo","A los candidatos del frente de izquierda","Cervetto por los liberales"
"P20","Buena",0.112,0.157,0.004,0.043,0.107,0.12
"P20","Ni buena ni mala",0.062,0.127,0.061,0.236,0.221,0
"P20","Mala",0.012,0.12,0.076,0.225,0.074,0.115
"P20","Muy mala",0.036,0.219,0.823,0.386,0.39,0.631
"P20","No sabe",0.002,0.014,0.002,0.015,0.048,0.002
"P21","Muy buena",0.153,0.096,0.326,0.022,0,0.027
"P21","Buena",0.056,0.108,0.315,0.25,0.269,0.193
"P21","Ni buena ni mala",0.041,0.291,0.225,0.237,0.125,0.148
"P21","Mala",0.126,0.096,0.054,0.355,0.15,0.245
"P21","Muy mala",0.602,0.402,0.078,0.119,0.428,0.378
"P21","No sabe",0.022,0.007,0.002,0.017,0.028,0.009
"P22","Muy buena",0.711,0.295,0.049,0.08,0.158,0.021
"P22","Buena",0.119,0.125,0.023,0.057,0.357,0.144
"P22","Ni buena ni mala",0.068,0.195,0.02,0.171,0.226,0.179
"P22","Mala",0.021,0.109,0.146,0.441,0.066,0.065
"P22","Muy mala",0.067,0.254,0.749,0.251,0.164,0.591
"P22","No sabe",0.014,0.022,0.013,0,0.029,0
"P23","Muy buena",0.131,0.158,0.53,0.08,0.098,0.273
"P23","Buena",0.025,0.183,0.302,0.158,0.304,0.11
"P23","Ni buena ni mala",0.196,0.24,0.122,0.461,0.085,0.134
"P23","Mala",0.143,0.138,0.003,0.082,0.246,0.127
"P23","Muy mala",0.447,0.254,0.02,0.161,0.222,0.215
"P23","No sabe",0.058,0.027,0.023,0.058,0.045,0.141
"P24","Muy buena",0.251,0.102,0.031,0.061,0.156,0.076
"P24","Buena",0.234,0.211,0.06,0.027,0.077,0.055
"P24","Ni buena ni mala",0.253,0.391,0.058,0.385,0.278,0.178
"P24","Mala",0.008,0.074,0.202,0.155,0.129,0.279
"P24","Muy mala",0.184,0.152,0.535,0.259,0.339,0.351
"P24","No sabe",0.07,0.07,0.114,0.113,0.021,0.061
"P25","Muy buena",0.264,0.147,0.023,0.141,0.172,0
"P25","Buena",0.207,0.203,0.055,0.179,0.044,0.076
"P25","Ni buena ni mala",0.338,0.271,0.068,0.057,0.22,0.02
"P25","Mala",0.055,0.076,0.134,0.121,0.146,0.299
"P25","Muy mala",0.136,0.268,0.72,0.443,0.396,0.591
"P25","No sabe",0,0.035,0,0.059,0.022,0.014
"P26","Muy buena",0.295,0.309,0.05,0.123,0.154,0.06
"P26","Buena",0.311,0.399,0.096,0.142,0.158,0.171
"P26","Ni buena ni mala",0.279,0.152,0.257,0.359,0.294,0.236
"P26","Mala",0.048,0.079,0.218,0.121,0.133,0.093
"P26","Muy mala",0.055,0.05,0.309,0.102,0.261,0.416
"P26","No sabe",0.012,0.011,0.07,0.153,0,0.024
"P27","Muy buena",0.109,0.02,0.204,0.077,0.097,0.002
"P27","Buena",0.046,0.113,0.361,0.118,0.036,0.086
"P27","Ni buena ni mala",0.174,0.359,0.29,0.254,0.187,0.345
"P27","Mala",0.22,0.082,0.021,0.155,0.182,0.07
"P27","Muy mala",0.361,0.235,0.038,0.195,0.404,0.287
"P27","No sabe",0.09,0.191,0.086,0.201,0.094,0.21
"P28","Si",0.504,0.561,0.444,0.668,0.715,0.478
"P28","No",0.496,0.439,0.556,0.332,0.285,0.522
