"var","categoria","Muy bueno","Bueno","Ni bueno ni malo","Malo","Muy malo","No sabe"
"P14","Rodriguez Laborde por el Frente de Randazzo",0.053,0.028,0.071,0.065,0.059,0
"P14","A los candidatos del frente de izquierda",0.038,0.015,0.038,0.095,0.121,0.088
"P14","Cervetto por los liberales",0.048,0.084,0.057,0.092,0.121,0.169
"P15","Luis Samin Duco por el Frente de todos",0.515,0.295,0.178,0.071,0.052,0.298
"P15","Gisela Zamora por Frente vecinal unidos",0.257,0.414,0.108,0.106,0.099,0.239
"P15","Segundo cernadas por juntos por el cambio",0.136,0.181,0.542,0.549,0.514,0.149
"P15","Rodriguez Laborde por el Frente de Randazzo",0.066,0.018,0.066,0.06,0.08,0.014
"P15","A los candidatos del frente de izquierda",0.024,0.016,0.05,0.094,0.114,0.16
"P15","Cervetto por los liberales",0.002,0.076,0.056,0.12,0.141,0.14
"P18","Muy buena",0.558,0.345,0.234,0.064,0.131,0.033
"P18","Buena",0.131,0.161,0.055,0.072,0.042,0.37
"P18","Ni buena ni mala",0.162,0.161,0.08,0.057,0.04,0.086
"P18","Mala",0.073,0.159,0.174,0.159,0.089,0
"P18","Muy mala",0.069,0.174,0.448,0.648,0.698,0.416
"P18","No sabe",0.007,0,0.009,0,0,0.095
"P19","Muy buena",0.125,0.073,0.121,0.186,0.248,0.02
"P19","Buena",0.066,0.101,0.209,0.131,0.127,0.036
"P19","Ni buena ni mala",0.114,0.175,0.146,0.267,0.226,0.25
"P19","Mala",0.248,0.225,0.186,0.176,0.152,0.086
"P19","Muy mala",0.431,0.393,0.33,0.209,0.244,0.53
"P19","No sabe",0.016,0.033,0.008,0.031,0.003,0.078
"P20","Muy buena",0.542,0.32,0.268,0.151,0.13,0.235
"P20","Buena",0.136,0.169,0.013,0.014,0.003,0.299
"P20","Ni buena ni mala",0.214,0.104,0.045,0.034,0.039,0
"P20","Mala",0.028,0.102,0.104,0.076,0.092,0
"P20","Muy mala",0.068,0.296,0.567,0.725,0.729,0.388
"P20","No sabe",0.012,0.009,0.003,0,0.007,0.078
"P21","Muy buena",0.201,0.108,0.185,0.164,0.291,0.137
"P21","Buena",0.081,0.161,0.264,0.151,0.307,0.107
"P21","Ni buena ni mala",0.102,0.277,0.171,0.264,0.115,0.163
"P21","Mala",0.211,0.114,0.043,0.187,0.058,0.096
"P21","Muy mala",0.402,0.315,0.332,0.23,0.229,0.418
"P21","No sabe",0.003,0.025,0.005,0.004,0,0.079
"P22","Muy buena",0.553,0.317,0.195,0.097,0.102,0.094
"P22","Buena",0.076,0.18,0.078,0.026,0.069,0.161
"P22","Ni buena ni mala",0.125,0.154,0.063,0.06,0.04,0.446
"P22","Mala",0.094,0.134,0.073,0.177,0.139,0
"P22","Muy mala",0.126,0.197,0.591,0.64,0.623,0.219
"P22","No sabe",0.026,0.018,0,0,0.027,0.08
"P23","Muy buena",0.175,0.201,0.331,0.411,0.41,0.284
"P23","Buena",0.097,0.199,0.213,0.172,0.284,0.062
"P23","Ni buena ni mala",0.183,0.246,0.134,0.253,0.088,0.141
"P23","Mala",0.112,0.103,0.117,0.034,0.033,0.205
"P23","Muy mala",0.277,0.226,0.183,0.12,0.182,0.226
"P23","No sabe",0.156,0.025,0.022,0.01,0.003,0.082
"P24","Muy buena",0.188,0.122,0.094,0.091,0.037,0.157
"P24","Buena",0.219,0.232,0.113,0.051,0,0.043
"P24","Ni buena ni mala",0.223,0.277,0.261,0.151,0.022,0.484
"P24","Mala",0.018,0.146,0.111,0.287,0.11,0
"P24","Muy mala",0.209,0.174,0.319,0.41,0.722,0.146
"P24","No sabe",0.143,0.049,0.102,0.01,0.109,0.17
"P25","Muy buena",0.224,0.149,0.106,0.069,0.023,0.068
"P25","Buena",0.158,0.258,0.087,0.113,0,0
"P25","Ni buena ni mala",0.38,0.253,0.11,0.093,0.018,0.484
"P25","Mala",0.03,0.122,0.185,0.138,0.03,0
"P25","Muy mala",0.177,0.202,0.503,0.587,0.923,0.448
"P25","No sabe",0.031,0.016,0.009,0,0.006,0
"P26","Muy buena",0.61,0.174,0.072,0.036,0.027,0.12
"P26","Buena",0.235,0.546,0.1,0.079,0.024,0.381
"P26","Ni buena ni mala",0.084,0.136,0.552,0.155,0.088,0.055
"P26","Mala",0.01,0.088,0.134,0.407,0.092,0.044
"P26","Muy mala",0.041,0.029,0.088,0.307,0.691,0.364
"P26","No sabe",0.02,0.027,0.054,0.016,0.078,0.036
"P27","Muy buena",0.114,0.024,0.129,0.114,0.254,0.059
"P27","Buena",0.134,0.156,0.199,0.335,0.133,0.17
"P27","Ni buena ni mala",0.176,0.303,0.327,0.275,0.26,0.135
"P27","Mala",0.199,0.126,0.067,0.065,0.042,0
"P27","Muy mala",0.232,0.23,0.181,0.165,0.181,0.212
"P27","No sabe",0.145,0.161,0.097,0.046,0.13,0.424
"P28","Si",0.503,0.508,0.528,0.512,0.464,0.611
"P28","No",0.497,0.492,0.472,0.488,0.536,0.389
