"var","categoria","Luis Samin Duco por el Frente de todos","Gisela Zamora por Frente vecinal unidos","Segundo cernadas por juntos por el cambio","Rodriguez Laborde por el Frente de Randazzo","A los candidatos del frente de izquierda","Cervetto por los liberales"
"P25","Muy mala",0.077,0.265,0.72,0.464,0.375,0.636
"P25","No sabe",0,0.037,0,0.058,0.023,0.013
"P26","Muy buena",0.275,0.352,0.058,0.098,0.208,0.005
"P26","Buena",0.381,0.342,0.105,0.133,0.166,0.155
"P26","Ni buena ni mala",0.218,0.196,0.282,0.32,0.234,0.197
"P26","Mala",0.05,0.06,0.211,0.12,0.141,0.146
"P26","Muy mala",0.043,0.041,0.287,0.177,0.251,0.475
"P26","No sabe",0.033,0.009,0.057,0.152,0,0.022
"P27","Muy buena",0.077,0.056,0.205,0,0.102,0
"P27","Buena",0.09,0.039,0.361,0.195,0.038,0.074
"P27","Ni buena ni mala",0.157,0.345,0.299,0.242,0.202,0.373
"P27","Mala",0.221,0.11,0.019,0.153,0.122,0.064
"P27","Muy mala",0.356,0.242,0.045,0.211,0.392,0.299
"P27","No sabe",0.099,0.208,0.071,0.199,0.144,0.19
"P28","Si",0.509,0.517,0.503,0.612,0.707,0.353
"P28","No",0.491,0.483,0.497,0.388,0.293,0.647
