"var","categoria","Diego Santilli y Facundo Manes por “Juntos”","Victoria Tolosa Paz por el Frente de todos","Nicolás del Caño por el Frente de Izquierda","José Luis Espert por “Avanza Libertad”","Florencio Randazzo por “Vamos con vos”","Cynthia Hotton por “+Valores”","Ninguna en particular","No sabe"
"P18","Ninguna en particular",0.044,0.044,0.032,0.138,0,0.318,0.325,0.065
"P18","No sabe",0.007,0.02,0,0,0,0,0.298,0.364
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.312,0.251,0.369,0.169,0.457,0.318,0.362,0.263
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.188,0.344,0.4,0.159,0.123,0.075,0.161,0.183
"P20","No alcanzan para cubrir los gastos totales de la familia",0.174,0.161,0.061,0.058,0.058,0.57,0.126,0.353
"P20","Alcanzan para cubrir los gastos totales de la familia",0.193,0.089,0.056,0.117,0.14,0.022,0.06,0
"P20","Tenemos un pequeño excedente, pero es excepcional",0.09,0.024,0,0.164,0.082,0,0.007,0
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.038,0.055,0.08,0,0,0,0.02,0
"P20","Tenemos un gran excedente pero es excepcional",0.001,0,0,0,0,0.015,0.109,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.003,0.034,0,0.333,0.14,0,0,0
"P20","No sabe",0.001,0.042,0.034,0,0,0,0.155,0.201
"P21","La inflación",0.392,0.254,0.061,0.062,0.108,0,0.157,0.284
"P21","El desempleo",0.164,0.106,0.618,0.169,0.183,0.567,0.115,0.098
"P21","La corrupción",0.178,0.496,0.148,0.148,0.405,0.405,0.512,0.056
"P21","La inseguridad",0.065,0.05,0,0.183,0,0,0.092,0.198
"P21","El precio del dólar",0.033,0.02,0.035,0,0.152,0,0.013,0.043
"P21","La pobreza",0.07,0.048,0.09,0.331,0,0.028,0.035,0
"P21","El narcotráfico",0.003,0.013,0.015,0,0,0,0.018,0
"P21","Las tarifas",0.023,0,0,0,0,0,0.013,0
"P21","Otro",0.04,0.013,0.033,0.107,0.152,0,0.045,0.106
"P21","No sabe",0.032,0,0,0,0,0,0,0.215
"P22","Muy buena",0.343,0.034,0.297,0.148,0.209,0.111,0.092,0.132
"P22","Buena",0.244,0.051,0.014,0.477,0.227,0.022,0.171,0.315
"P22","Ni buena ni mala",0.199,0.077,0.361,0.231,0.153,0,0.336,0.424
"P22","Mala",0.099,0.208,0.144,0.095,0,0.436,0.086,0.109
"P22","Muy mala",0.101,0.629,0.184,0.049,0.411,0.431,0.295,0.02
"P22","No sabe",0.014,0.001,0,0,0,0,0.02,0
"P23","Muy buena",0.548,0.059,0.295,0.169,0.148,0.052,0.067,0.206
"P23","Buena",0.187,0.034,0.024,0.166,0.119,0.083,0.098,0.135
"P23","Ni buena ni mala",0.065,0.016,0.314,0.271,0.108,0,0.452,0.289
"P23","Mala",0.064,0.084,0.062,0.064,0.085,0.44,0.111,0.042
"P23","Muy mala",0.136,0.803,0.305,0.146,0.54,0.425,0.252,0.128
"P23","No sabe",0,0.004,0,0.184,0,0,0.02,0.2
"P24","Muy buena",0.209,0.036,0.036,0,0,0.083,0.009,0
"P24","Buena",0.283,0.024,0.333,0.474,0.141,0.43,0.17,0
"P24","Ni buena ni mala",0.234,0.114,0.33,0.234,0.281,0.054,0.336,0.523
"P24","Mala",0.108,0.166,0.069,0,0.128,0.059,0.164,0
"P24","Muy mala",0.161,0.66,0.232,0.112,0.45,0.374,0.266,0.248
"P24","No sabe",0.005,0,0,0.18,0,0,0.055,0.229
"P25","Muy buena",0.078,0.216,0.011,0.034,0,0,0.049,0
"P25","Buena",0.07,0.189,0.07,0,0,0,0.025,0.106
"P25","Ni buena ni mala",0.1,0.286,0.737,0.239,0.142,0.059,0.177,0.151
"P25","Mala",0.139,0.162,0.1,0.248,0.548,0,0.371,0.111
"P25","Muy mala",0.605,0.134,0.082,0.398,0.31,0.941,0.302,0.338
"P25","No sabe",0.008,0.013,0,0.081,0,0,0.076,0.294
"P26","Muy buena",0.064,0.334,0.056,0.274,0,0,0.216,0.175
"P26","Buena",0.136,0.321,0.458,0.142,0,0.043,0.244,0.059
"P26","Ni buena ni mala",0.143,0.209,0.435,0.241,0.646,0.484,0.314,0.271
"P26","Mala",0.202,0.035,0.01,0.224,0.182,0.017,0.082,0.24
"P26","Muy mala",0.453,0.096,0.041,0.119,0.172,0.386,0.08,0.026
"P26","No sabe",0.002,0.005,0,0,0,0.07,0.064,0.229
"P27","Muy buena",0.221,0.042,0.029,0.237,0,0,0.036,0.083
"P27","Buena",0.242,0.027,0.012,0.115,0.182,0.064,0.296,0.157
"P27","Ni buena ni mala",0.233,0.174,0.74,0.332,0.194,0.537,0.423,0.318
"P27","Mala",0.094,0.186,0.185,0.035,0,0,0.033,0
"P27","Muy mala",0.18,0.493,0.034,0.085,0.624,0.399,0.137,0.09
"P27","No sabe",0.03,0.078,0,0.196,0,0,0.075,0.352
