"var","categoria","Diego Santilli y Facundo Manes por “Juntos”","Victoria Tolosa Paz por el Frente de todos","Nicolás del Caño por el Frente de Izquierda","José Luis Espert por “Avanza Libertad”","Florencio Randazzo por “Vamos con vos”","Cynthia Hotton por “+Valores”","Ninguna en particular","No sabe"
"P22","Muy buena",0.051,0.389,0.153,0,0.176,0,0.038,0.146
"P22","Buena",0.019,0.357,0.071,0,0.475,0.039,0.047,0
"P22","Ni buena ni mala",0.077,0.2,0.109,0.352,0.125,0,0.216,0.56
"P22","Mala",0.211,0.009,0.265,0.151,0.191,0.252,0.407,0.101
"P22","Muy mala",0.641,0.029,0.402,0.496,0.033,0.709,0.271,0.193
"P22","No sabe",0.001,0.016,0,0.001,0,0,0.021,0
"P23","Muy buena",0.041,0.636,0.191,0.024,0.265,0,0.032,0.08
"P23","Buena",0.023,0.215,0.126,0.211,0.023,0,0.019,0
"P23","Ni buena ni mala",0.06,0.058,0.034,0,0.225,0.415,0.17,0.523
"P23","Mala",0.101,0.016,0.194,0.144,0.24,0,0.199,0.032
"P23","Muy mala",0.771,0.075,0.455,0.621,0.247,0.585,0.502,0.214
"P23","No sabe",0.004,0,0,0,0,0,0.078,0.151
"P24","Muy buena",0.034,0.23,0.031,0,0.179,0,0,0
"P24","Buena",0.04,0.328,0.269,0.018,0.078,0.144,0,0.227
"P24","Ni buena ni mala",0.09,0.271,0.171,0.251,0.577,0.744,0.224,0.079
"P24","Mala",0.164,0.092,0.275,0.136,0.038,0.04,0.079,0.034
"P24","Muy mala",0.67,0.074,0.254,0.564,0.128,0.072,0.621,0.485
"P24","No sabe",0.002,0.005,0,0.031,0,0,0.076,0.175
"P25","Muy buena",0.215,0.039,0.132,0.36,0,0.017,0,0
"P25","Buena",0.237,0.056,0,0.051,0.126,0,0,0
"P25","Ni buena ni mala",0.295,0.088,0.313,0.197,0.165,0.249,0.271,0.211
"P25","Mala",0.125,0.16,0.17,0.293,0.397,0,0.323,0.281
"P25","Muy mala",0.105,0.644,0.385,0.099,0.312,0.734,0.325,0.357
"P25","No sabe",0.023,0.013,0,0,0,0,0.081,0.151
"P26","Muy buena",0.454,0.024,0,0.163,0,0.013,0.077,0.052
"P26","Buena",0.308,0.106,0.429,0.354,0.177,0.506,0.044,0.05
"P26","Ni buena ni mala",0.171,0.173,0.207,0.326,0.546,0.03,0.557,0.384
"P26","Mala",0.025,0.2,0.183,0.08,0.277,0.175,0.095,0
"P26","Muy mala",0.032,0.489,0.181,0.077,0,0.276,0.208,0.296
"P26","No sabe",0.01,0.008,0,0,0,0,0.019,0.218
"P27","Muy buena",0.035,0.273,0.007,0,0.062,0,0,0
"P27","Buena",0.041,0.279,0.03,0,0.253,0.386,0.018,0.092
"P27","Ni buena ni mala",0.179,0.234,0.591,0.139,0.351,0.563,0.182,0.425
"P27","Mala",0.206,0.086,0.039,0.089,0.181,0,0.085,0
"P27","Muy mala",0.487,0.127,0.333,0.638,0.057,0.051,0.312,0.268
"P27","No sabe",0.052,0.001,0,0.134,0.096,0,0.403,0.215
