"var","categoria","Mejor","Igual","Peor","No sabe"
"P50","Muy buena",0.094,0.088,0.154,0.134
"P50","Buena",0.087,0.072,0.214,0.119
"P50","Ni buena ni mala",0.22,0.162,0.278,0.203
"P50","Mala",0.261,0.362,0.172,0.214
"P50","Muy mala",0.338,0.304,0.169,0.272
"P50","No sabe",0,0.012,0.013,0.058
"P51","Muy buena",0.383,0.437,0.093,0.186
"P51","Buena",0.145,0.145,0.043,0.141
"P51","Ni buena ni mala",0.078,0.151,0.078,0.248
"P51","Mala",0.159,0.116,0.17,0.118
"P51","Muy mala",0.216,0.143,0.604,0.25
"P51","No sabe",0.019,0.008,0.012,0.057
"P53","Muy buena",0.126,0.1,0.267,0.26
"P53","Buena",0.138,0.078,0.231,0.088
"P53","Ni buena ni mala",0.141,0.134,0.245,0.193
"P53","Mala",0.185,0.181,0.095,0.13
"P53","Muy mala",0.408,0.499,0.154,0.294
"P53","No sabe",0.002,0.008,0.008,0.035
"P54","Muy buena",0.155,0.121,0.311,0.108
"P54","Buena",0.135,0.071,0.3,0.171
"P54","Ni buena ni mala",0.144,0.134,0.156,0.249
"P54","Mala",0.177,0.223,0.104,0.26
"P54","Muy mala",0.381,0.443,0.126,0.185
"P54","No sabe",0.008,0.008,0.003,0.027
"P55","Muy buena",0.264,0.297,0.085,0.167
"P55","Buena",0.208,0.156,0.074,0.213
"P55","Ni buena ni mala",0.184,0.305,0.19,0.228
"P55","Mala",0.151,0.118,0.165,0.177
"P55","Muy mala",0.163,0.108,0.421,0.189
"P55","No sabe",0.03,0.016,0.065,0.026
"P56","Muy buena",0.144,0.114,0.021,0.07
"P56","Buena",0.204,0.178,0.054,0.234
"P56","Ni buena ni mala",0.281,0.416,0.169,0.236
"P56","Mala",0.158,0.127,0.178,0.183
"P56","Muy mala",0.151,0.135,0.522,0.253
"P56","No sabe",0.062,0.03,0.056,0.024
"P57","Muy buena",0.075,0.048,0.065,0.034
"P57","Buena",0.111,0.137,0.135,0.128
"P57","Ni buena ni mala",0.317,0.422,0.264,0.213
"P57","Mala",0.313,0.25,0.22,0.352
"P57","Muy mala",0.147,0.127,0.289,0.217
"P57","No sabe",0.037,0.016,0.027,0.056
"P58","Muy buena",0.326,0.369,0.071,0.308
"P58","Buena",0.238,0.208,0.122,0.009
"P58","Ni buena ni mala",0.176,0.245,0.264,0.154
"P58","Mala",0.128,0.075,0.183,0.291
"P58","Muy mala",0.119,0.079,0.327,0.189
"P58","No sabe",0.013,0.024,0.033,0.049
"P59","Radio",0.213,0.246,0.182,0.177
"P59","Televisión",0.29,0.333,0.362,0.22
"P59","Diario",0.093,0.04,0.06,0.064
"P59","Medio digital",0.218,0.224,0.156,0.283
"P59","Redes Sociales",0.12,0.095,0.158,0.204
"P59","Ninguno en particular",0.055,0.062,0.082,0.052
"P59","No sabe",0.011,0,0,0
"P60","Muy buena",0.149,0.101,0.047,0.111
"P60","Buena",0.238,0.26,0.09,0.209
"P60","Ni buena ni mala",0.23,0.33,0.2,0.257
"P60","Mala",0.221,0.223,0.347,0.198
"P60","Muy mala",0.152,0.077,0.293,0.209
"P60","No sabe",0.01,0.009,0.023,0.016
"P61","Muy buena",0.058,0.025,0.03,0.061
"P61","Buena",0.134,0.117,0.109,0.151
"P61","Ni buena ni mala",0.282,0.267,0.254,0.133
"P61","Mala",0.285,0.295,0.285,0.147
"P61","Muy mala",0.232,0.291,0.309,0.458
"P61","No sabe",0.009,0.005,0.013,0.05
