"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Maria Eugenia Vidal","Buena",0.16,0.149,0.17,0.105,0.14,0.178,0.24,0.135,0.152,0.175,0.05,0.228,0.116,0.047,0.041,0.279,0.252,0.18
"Maria Eugenia Vidal","Ni buena ni mala",0.239,0.255,0.226,0.228,0.207,0.275,0.27,0.22,0.232,0.251,0.128,0.295,0.273,0.156,0.117,0.333,0.239,0.273
"Maria Eugenia Vidal","Mala",0.231,0.242,0.222,0.317,0.239,0.179,0.177,0.253,0.233,0.223,0.411,0.132,0.331,0.38,0.334,0.084,0.156,0.197
"Maria Eugenia Vidal","Muy mala",0.227,0.235,0.22,0.229,0.29,0.198,0.144,0.204,0.235,0.228,0.368,0.138,0.178,0.322,0.41,0.092,0.132,0.243
"Maria Eugenia Vidal","No sabe",0.013,0.018,0.009,0.031,0.005,0.007,0.012,0.017,0.021,0.005,0.006,0.014,0,0.016,0.027,0.004,0.019,0.017
"Horacio Rodriguez Larreta","Muy buena",0.113,0.087,0.134,0.097,0.112,0.104,0.141,0.172,0.109,0.096,0.074,0.149,0.065,0.117,0.057,0.147,0.23,0.041
"Horacio Rodriguez Larreta","Buena",0.172,0.165,0.177,0.116,0.158,0.207,0.22,0.146,0.16,0.188,0.112,0.211,0.189,0.089,0.125,0.237,0.452,0.118
"Horacio Rodriguez Larreta","Ni buena ni mala",0.258,0.273,0.247,0.232,0.242,0.293,0.28,0.32,0.24,0.251,0.227,0.269,0.252,0.243,0.228,0.304,0.154,0.243
"Horacio Rodriguez Larreta","Mala",0.244,0.249,0.24,0.281,0.249,0.222,0.217,0.195,0.23,0.27,0.361,0.176,0.233,0.333,0.337,0.157,0.06,0.253
"Horacio Rodriguez Larreta","Muy mala",0.207,0.223,0.194,0.269,0.236,0.17,0.128,0.145,0.261,0.19,0.219,0.19,0.261,0.21,0.242,0.153,0.104,0.334
"Horacio Rodriguez Larreta","No sabe",0.006,0.003,0.008,0.005,0.003,0.004,0.014,0.022,0,0.005,0.007,0.005,0,0.008,0.011,0.002,0,0.011
"Wado de Pedro","Muy buena",0.162,0.146,0.176,0.181,0.167,0.146,0.15,0.181,0.149,0.165,0.36,0.078,0.066,0.345,0.339,0.049,0.066,0.034
"Wado de Pedro","Buena",0.114,0.099,0.128,0.106,0.128,0.098,0.118,0.104,0.123,0.112,0.22,0.057,0.101,0.188,0.264,0.043,0.069,0.088
"Wado de Pedro","Ni buena ni mala",0.219,0.205,0.231,0.218,0.252,0.175,0.211,0.273,0.227,0.195,0.23,0.198,0.293,0.211,0.197,0.189,0.284,0.241
"Wado de Pedro","Mala",0.152,0.152,0.151,0.146,0.121,0.172,0.19,0.197,0.153,0.135,0.082,0.185,0.189,0.11,0.048,0.205,0.195,0.136
"Wado de Pedro","Muy mala",0.305,0.337,0.278,0.266,0.297,0.365,0.297,0.198,0.285,0.356,0.104,0.417,0.294,0.13,0.108,0.44,0.369,0.453
"Wado de Pedro","No sabe",0.048,0.061,0.036,0.083,0.035,0.044,0.034,0.047,0.063,0.037,0.004,0.065,0.057,0.016,0.044,0.074,0.017,0.048
"Axel Kicillof","Muy buena",0.217,0.209,0.224,0.215,0.268,0.174,0.175,0.253,0.199,0.217,0.56,0.06,0.101,0.494,0.488,0.034,0.099,0.03
"Axel Kicillof","Buena",0.084,0.085,0.083,0.104,0.085,0.075,0.069,0.11,0.077,0.08,0.134,0.055,0.142,0.15,0.163,0.041,0.058,0.019
"Axel Kicillof","Ni buena ni mala",0.102,0.088,0.113,0.112,0.105,0.086,0.1,0.135,0.115,0.081,0.109,0.074,0.227,0.094,0.105,0.082,0.16,0.111
"Axel Kicillof","Mala",0.153,0.167,0.142,0.193,0.105,0.165,0.18,0.201,0.15,0.139,0.091,0.185,0.135,0.091,0.122,0.195,0.128,0.187
"Axel Kicillof","Muy mala",0.431,0.441,0.423,0.359,0.426,0.495,0.454,0.278,0.454,0.467,0.104,0.611,0.385,0.165,0.113,0.634,0.523,0.645
"Axel Kicillof","No sabe",0.013,0.01,0.015,0.017,0.011,0.005,0.022,0.023,0.005,0.016,0.002,0.015,0.01,0.006,0.009,0.014,0.032,0.008
"Sergio Massa","Muy buena",0.144,0.129,0.157,0.174,0.156,0.096,0.141,0.228,0.147,0.113,0.323,0.061,0.162,0.346,0.154,0.044,0.089,0.029
"Sergio Massa","Buena",0.134,0.141,0.127,0.136,0.155,0.126,0.101,0.145,0.127,0.134,0.299,0.063,0.118,0.269,0.363,0.03,0.048,0.033
"Sergio Massa","Ni buena ni mala",0.128,0.126,0.129,0.115,0.143,0.118,0.126,0.143,0.126,0.123,0.177,0.078,0.283,0.148,0.208,0.088,0.22,0.05
"Sergio Massa","Mala",0.169,0.154,0.181,0.191,0.138,0.191,0.176,0.178,0.173,0.164,0.079,0.211,0.082,0.082,0.101,0.228,0.138,0.21
"Sergio Massa","Muy mala",0.419,0.444,0.399,0.377,0.404,0.466,0.443,0.304,0.416,0.461,0.119,0.579,0.355,0.154,0.16,0.598,0.505,0.678
"Sergio Massa","No sabe",0.006,0.006,0.007,0.007,0.004,0.003,0.013,0.002,0.011,0.005,0.003,0.008,0,0.001,0.014,0.012,0,0
"CFK","Muy buena",0.2,0.19,0.209,0.242,0.245,0.14,0.139,0.246,0.224,0.168,0.513,0.061,0.054,0.439,0.541,0.041,0.067,0.029
"CFK","Buena",0.083,0.079,0.086,0.065,0.098,0.078,0.081,0.093,0.063,0.093,0.185,0.033,0.059,0.163,0.173,0.02,0.023,0.035
"CFK","Ni buena ni mala",0.09,0.075,0.103,0.096,0.097,0.076,0.089,0.124,0.089,0.08,0.106,0.062,0.263,0.131,0.07,0.049,0.12,0.069
"CFK","Mala",0.144,0.148,0.141,0.155,0.111,0.15,0.183,0.194,0.14,0.13,0.073,0.171,0.166,0.082,0.087,0.189,0.139,0.17
"CFK","Muy mala",0.478,0.502,0.457,0.435,0.448,0.551,0.499,0.341,0.482,0.521,0.12,0.667,0.458,0.18,0.129,0.693,0.645,0.697
"CFK","No sabe",0.005,0.006,0.004,0.007,0.001,0.005,0.009,0.002,0.002,0.008,0.003,0.006,0,0.005,0,0.008,0.006,0
"Martin Lousteau","Muy buena",0.061,0.05,0.069,0.078,0.046,0.07,0.058,0.101,0.048,0.057,0.041,0.078,0.064,0.065,0.026,0.077,0.111,0.022
"Martin Lousteau","Buena",0.132,0.107,0.154,0.091,0.127,0.141,0.182,0.105,0.131,0.143,0.112,0.128,0.294,0.117,0.102,0.155,0.212,0.085
"Martin Lousteau","Ni buena ni mala",0.309,0.3,0.316,0.27,0.308,0.311,0.351,0.333,0.322,0.291,0.373,0.284,0.299,0.375,0.384,0.271,0.327,0.249
"Martin Lousteau","Mala",0.243,0.245,0.241,0.281,0.253,0.237,0.187,0.235,0.249,0.241,0.306,0.216,0.097,0.274,0.292,0.208,0.151,0.234
"Martin Lousteau","Muy mala",0.229,0.257,0.206,0.231,0.243,0.229,0.202,0.17,0.229,0.248,0.159,0.265,0.222,0.149,0.154,0.262,0.189,0.378
"Martin Lousteau","No sabe",0.026,0.041,0.014,0.049,0.023,0.012,0.02,0.056,0.021,0.02,0.009,0.029,0.024,0.02,0.042,0.027,0.01,0.032
"Alberto Fernandez","Muy buena",0.053,0.052,0.054,0.091,0.054,0.031,0.032,0.136,0.053,0.025,0.088,0.037,0.086,0.101,0.077,0.023,0.031,0.041
"Alberto Fernandez","Buena",0.059,0.057,0.062,0.059,0.053,0.068,0.063,0.085,0.055,0.054,0.121,0.028,0.024,0.118,0.089,0.026,0.037,0.029
"Alberto Fernandez","Ni buena ni mala",0.148,0.144,0.152,0.127,0.171,0.129,0.153,0.218,0.121,0.144,0.323,0.057,0.206,0.293,0.292,0.046,0.14,0.022
"Alberto Fernandez","Mala",0.262,0.248,0.273,0.296,0.239,0.248,0.275,0.227,0.295,0.249,0.28,0.239,0.304,0.27,0.332,0.235,0.21,0.237
"Alberto Fernandez","Muy mala",0.475,0.496,0.457,0.427,0.482,0.523,0.466,0.332,0.471,0.526,0.186,0.636,0.38,0.216,0.206,0.667,0.582,0.668
"Alberto Fernandez","No sabe",0.003,0.003,0.002,0,0.001,0.001,0.011,0.002,0.005,0.002,0.002,0.003,0,0.002,0.004,0.003,0,0.003
