"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P42","Sergio Massa por el Frente de Todos",0.028,0.011,0.312,0.173
"P42","Patricia Bullrich por Juntos por el Cambio",0.785,0.944,0.544,0.521
"P42","No sabe",0.187,0.045,0.144,0.306
"P43","Alberto Fernández por el Frente de Todos",0.05,0.005,0.243,0.328
"P43","Patricia Bullrich por Juntos por el Cambio",0.765,0.968,0.573,0.482
"P43","No sabe",0.185,0.027,0.184,0.19
"P44","Wado de Pedro por el Frente de Todos",0.027,0.028,0.336,0.194
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.857,0.811,0.632,0.641
"P44","No sabe",0.116,0.161,0.032,0.165
"P45","Daniel Scioli por el Frente de Todos",0.007,0.031,0.365,0.335
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.858,0.791,0.581,0.495
"P45","No sabe",0.135,0.178,0.054,0.17
"P46","Wado de Pedro por el Frente de Todos",0.019,0.006,0.357,0.198
"P46","Patricia Bullrich por Juntos por el Cambio",0.745,0.946,0.549,0.475
"P46","No sabe",0.236,0.048,0.094,0.327
"P47","Daniel Scioli por el Frente de Todos",0.016,0.001,0.417,0.332
"P47","Patricia Bullrich por Juntos por el Cambio",0.781,0.962,0.534,0.485
"P47","No sabe",0.203,0.037,0.049,0.183
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.693,0.491,0.518,0.263
"P48","Javier Milei por los liberales libertarios",0.216,0.406,0.111,0.249
"P48","No sabe",0.091,0.103,0.371,0.488
"P49","Patricia Bullrich por Juntos por el Cambio",0.641,0.833,0.557,0.453
"P49","Javier Milei por los liberales libertarios",0.21,0.14,0.043,0.051
"P49","No sabe",0.149,0.027,0.4,0.496
"P50","Alberto Fernández por el Frente de Todos",0.162,0.145,0.334,0.09
"P50","Javier Milei por los liberales libertarios",0.574,0.527,0.307,0.267
"P50","No sabe",0.264,0.328,0.359,0.643
"P51","Sergio Massa por el Frente de Todos",0.072,0.024,0.388,0.166
"P51","Javier Milei por los liberales libertarios",0.65,0.65,0.216,0.293
"P51","No sabe",0.278,0.326,0.396,0.541
"P52","Muy buena",0.005,0,0.034,0.027
"P52","Buena",0.067,0.137,0.107,0.313
"P52","Ni buena ni mala",0.054,0.039,0.096,0.244
"P52","Mala",0.106,0.058,0.224,0.034
"P52","Muy mala",0.766,0.762,0.539,0.382
"P52","No sabe",0.002,0.004,0,0
"P53","Muy buena",0.019,0.001,0.21,0.173
"P53","Buena",0.004,0.017,0.046,0.154
"P53","Ni buena ni mala",0.019,0.002,0.047,0.171
"P53","Mala",0.076,0.037,0.013,0.02
"P53","Muy mala",0.882,0.942,0.684,0.482
"P53","No sabe",0,0.001,0,0
"P54","Muy buena",0.263,0.493,0.056,0.336
"P54","Buena",0.282,0.273,0.041,0.145
"P54","Ni buena ni mala",0.177,0.1,0.227,0.082
"P54","Mala",0.06,0.029,0.019,0.323
"P54","Muy mala",0.217,0.102,0.641,0.114
"P54","No sabe",0.001,0.003,0.016,0
"P55","Muy buena",0.418,0.219,0.265,0.313
"P55","Buena",0.349,0.362,0.252,0.233
"P55","Ni buena ni mala",0.194,0.266,0.034,0.258
"P55","Mala",0.037,0.065,0.027,0.025
"P55","Muy mala",0.002,0.088,0.422,0.171
"P55","No sabe",0,0,0,0
"P56","Muy buena",0.041,0.018,0.224,0.009
"P56","Buena",0.074,0.023,0.135,0.216
"P56","Ni buena ni mala",0.112,0.092,0.134,0.366
"P56","Mala",0.176,0.103,0.232,0.071
"P56","Muy mala",0.59,0.763,0.275,0.338
"P56","No sabe",0.007,0.001,0,0
"P57","Muy buena",0.255,0.672,0.278,0.175
"P57","Buena",0.207,0.19,0.216,0.235
"P57","Ni buena ni mala",0.165,0.019,0.138,0.215
"P57","Mala",0.18,0.023,0.017,0.211
"P57","Muy mala",0.193,0.096,0.316,0.164
"P57","No sabe",0,0,0.035,0
"P58","Muy buena",0.076,0.101,0.25,0.106
"P58","Buena",0.155,0.265,0.075,0.104
"P58","Ni buena ni mala",0.348,0.39,0.135,0.165
"P58","Mala",0.261,0.118,0.024,0.365
"P58","Muy mala",0.121,0.106,0.481,0.26
"P58","No sabe",0.039,0.02,0.035,0
"P59","Muy buena",0.01,0.037,0.117,0.027
"P59","Buena",0.009,0.037,0.092,0.174
"P59","Ni buena ni mala",0.286,0.109,0.144,0.239
"P59","Mala",0.153,0.153,0.176,0.205
"P59","Muy mala",0.529,0.63,0.471,0.355
"P59","No sabe",0.013,0.034,0,0
"P60","Muy buena",0,0.002,0.084,0.163
"P60","Buena",0.014,0.004,0.21,0.199
"P60","Ni buena ni mala",0.145,0.035,0.175,0.166
"P60","Mala",0.19,0.163,0.108,0.142
"P60","Muy mala",0.648,0.781,0.409,0.33
"P60","No sabe",0.003,0.015,0.014,0
"P61","Muy buena",0.355,0.258,0.353,0.215
"P61","Buena",0.234,0.349,0.178,0.179
"P61","Ni buena ni mala",0.18,0.19,0.178,0.095
"P61","Mala",0.1,0.074,0.058,0.339
"P61","Muy mala",0.128,0.129,0.219,0.172
"P61","No sabe",0.003,0,0.014,0
"P62","Muy buena",0.109,0.08,0.464,0.193
"P62","Buena",0.262,0.22,0.149,0.128
"P62","Ni buena ni mala",0.441,0.384,0.123,0.319
"P62","Mala",0.158,0.138,0.229,0.189
"P62","Muy mala",0.012,0.162,0.035,0.171
"P62","No sabe",0.018,0.016,0,0
"P63","Siempre",0.334,0.312,0.563,0.112
"P63","Casi siempre",0.416,0.42,0.3,0.631
"P63","Casi nunca",0.14,0.214,0.087,0.25
"P63","Nunca, pero esta es una excepción",0.11,0.054,0.05,0.007
"P64","Si",0.684,0.643,0.834,0.473
"P64","No",0.316,0.357,0.166,0.527
